"Notes"	"Age of Infant at Death in days"	"Age of Infant at Death in days Code"	Deaths	Births	Death Rate
	"143 days"	"143"	18	3613647	0.00498 (Unreliable)
	"144 days"	"144"	16	3613647	0.00443 (Unreliable)
	"145 days"	"145"	26	3613647	0.00719
	"146 days"	"146"	28	3613647	0.00775
	"147 days"	"147"	16	3613647	0.00443 (Unreliable)
	"148 days"	"148"	25	3613647	0.00692
	"149 days"	"149"	14	3613647	0.00387 (Unreliable)
	"150 days"	"150"	19	3613647	0.00526 (Unreliable)
	"151 days"	"151"	15	3613647	0.00415 (Unreliable)
	"152 days"	"152"	17	3613647	0.00470 (Unreliable)
	"153 days"	"153"	12	3613647	0.00332 (Unreliable)
	"154 days"	"154"	12	3613647	0.00332 (Unreliable)
	"155 days"	"155"	15	3613647	0.00415 (Unreliable)
	"156 days"	"156"	14	3613647	0.00387 (Unreliable)
	"157 days"	"157"	22	3613647	0.00609
	"158 days"	"158"	16	3613647	0.00443 (Unreliable)
	"159 days"	"159"	22	3613647	0.00609
	"160 days"	"160"	15	3613647	0.00415 (Unreliable)
	"161 days"	"161"	15	3613647	0.00415 (Unreliable)
	"162 days"	"162"	22	3613647	0.00609
	"164 days"	"164"	14	3613647	0.00387 (Unreliable)
	"165 days"	"165"	20	3613647	0.00553
	"166 days"	"166"	14	3613647	0.00387 (Unreliable)
	"167 days"	"167"	15	3613647	0.00415 (Unreliable)
	"168 days"	"168"	24	3613647	0.00664
	"169 days"	"169"	10	3613647	0.00277 (Unreliable)
	"170 days"	"170"	20	3613647	0.00553
	"171 days"	"171"	17	3613647	0.00470 (Unreliable)
	"172 days"	"172"	12	3613647	0.00332 (Unreliable)
	"173 days"	"173"	16	3613647	0.00443 (Unreliable)
	"174 days"	"174"	19	3613647	0.00526 (Unreliable)
	"175 days"	"175"	19	3613647	0.00526 (Unreliable)
	"176 days"	"176"	15	3613647	0.00415 (Unreliable)
	"177 days"	"177"	12	3613647	0.00332 (Unreliable)
	"178 days"	"178"	10	3613647	0.00277 (Unreliable)
	"179 days"	"179"	15	3613647	0.00415 (Unreliable)
	"180 days"	"180"	12	3613647	0.00332 (Unreliable)
	"181 days"	"181"	12	3613647	0.00332 (Unreliable)
	"182 days"	"182"	17	3613647	0.00470 (Unreliable)
	"183 days"	"183"	14	3613647	0.00387 (Unreliable)
	"184 days"	"184"	20	3613647	0.00553
	"185 days"	"185"	11	3613647	0.00304 (Unreliable)
	"186 days"	"186"	10	3613647	0.00277 (Unreliable)
	"187 days"	"187"	24	3613647	0.00664
	"188 days"	"188"	13	3613647	0.00360 (Unreliable)
	"189 days"	"189"	13	3613647	0.00360 (Unreliable)
	"190 days"	"190"	13	3613647	0.00360 (Unreliable)
	"191 days"	"191"	21	3613647	0.00581
	"193 days"	"193"	18	3613647	0.00498 (Unreliable)
	"194 days"	"194"	13	3613647	0.00360 (Unreliable)
	"195 days"	"195"	15	3613647	0.00415 (Unreliable)
	"196 days"	"196"	11	3613647	0.00304 (Unreliable)
	"197 days"	"197"	12	3613647	0.00332 (Unreliable)
	"198 days"	"198"	13	3613647	0.00360 (Unreliable)
	"199 days"	"199"	11	3613647	0.00304 (Unreliable)
	"200 days"	"200"	13	3613647	0.00360 (Unreliable)
	"201 days"	"201"	10	3613647	0.00277 (Unreliable)
	"202 days"	"202"	18	3613647	0.00498 (Unreliable)
	"203 days"	"203"	12	3613647	0.00332 (Unreliable)
	"204 days"	"204"	16	3613647	0.00443 (Unreliable)
	"205 days"	"205"	13	3613647	0.00360 (Unreliable)
	"206 days"	"206"	10	3613647	0.00277 (Unreliable)
	"207 days"	"207"	14	3613647	0.00387 (Unreliable)
	"208 days"	"208"	18	3613647	0.00498 (Unreliable)
	"209 days"	"209"	11	3613647	0.00304 (Unreliable)
	"210 days"	"210"	11	3613647	0.00304 (Unreliable)
	"211 days"	"211"	13	3613647	0.00360 (Unreliable)
	"212 days"	"212"	14	3613647	0.00387 (Unreliable)
	"215 days"	"215"	12	3613647	0.00332 (Unreliable)
	"216 days"	"216"	10	3613647	0.00277 (Unreliable)
	"218 days"	"218"	11	3613647	0.00304 (Unreliable)
	"219 days"	"219"	12	3613647	0.00332 (Unreliable)
	"221 days"	"221"	14	3613647	0.00387 (Unreliable)
	"223 days"	"223"	10	3613647	0.00277 (Unreliable)
	"224 days"	"224"	16	3613647	0.00443 (Unreliable)
	"225 days"	"225"	12	3613647	0.00332 (Unreliable)
	"226 days"	"226"	16	3613647	0.00443 (Unreliable)
	"229 days"	"229"	15	3613647	0.00415 (Unreliable)
	"230 days"	"230"	13	3613647	0.00360 (Unreliable)
	"231 days"	"231"	10	3613647	0.00277 (Unreliable)
	"233 days"	"233"	14	3613647	0.00387 (Unreliable)
	"236 days"	"236"	17	3613647	0.00470 (Unreliable)
	"239 days"	"239"	10	3613647	0.00277 (Unreliable)
	"241 days"	"241"	13	3613647	0.00360 (Unreliable)
	"243 days"	"243"	15	3613647	0.00415 (Unreliable)
	"244 days"	"244"	11	3613647	0.00304 (Unreliable)
	"245 days"	"245"	16	3613647	0.00443 (Unreliable)
	"250 days"	"250"	11	3613647	0.00304 (Unreliable)
	"253 days"	"253"	10	3613647	0.00277 (Unreliable)
	"269 days"	"269"	12	3613647	0.00332 (Unreliable)
	"270 days"	"270"	12	3613647	0.00332 (Unreliable)
	"271 days"	"271"	13	3613647	0.00360 (Unreliable)
	"273 days"	"273"	10	3613647	0.00277 (Unreliable)
	"274 days"	"274"	10	3613647	0.00277 (Unreliable)
	"285 days"	"285"	11	3613647	0.00304 (Unreliable)
	"288 days"	"288"	10	3613647	0.00277 (Unreliable)
	"294 days"	"294"	13	3613647	0.00360 (Unreliable)
	"303 days"	"303"	11	3613647	0.00304 (Unreliable)
	"304 days"	"304"	11	3613647	0.00304 (Unreliable)
	"311 days"	"311"	13	3613647	0.00360 (Unreliable)
	"315 days"	"315"	11	3613647	0.00304 (Unreliable)
	"344 days"	"344"	10	3613647	0.00277 (Unreliable)
	"365 days"	"365"	0	3613647	0.00000
	"Unknown or Not Stated"	"999"	0	3613647	0.00000
"Total"			19578	3613647	5.41780
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2020 Expanded"
"Query Parameters:"
"Year of Death: 2020"
"Group By: Age of Infant at Death in days"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Aug 22, 2023 8:11:57 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Linked Birth / Infant Deaths on CDC WONDER Online Database. Data are from the Linked Birth / Infant Deaths Records"
"2017-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Aug 22, 2023 8:11:57 AM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Births values in those rows are included in the totals. Use Quick"
"Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Weight Factors."
