"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","FLUVACCIN","TOT","PC_POP65","A","2008",51,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2009",50,"B"
"DNK","FLUVACCIN","TOT","PC_POP65","A","2010",47,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2011",48,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2012",45,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2013",47,"B"
"DNK","FLUVACCIN","TOT","PC_POP65","A","2014",45,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2015",44,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2016",47,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2017",50,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2018",52,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2019",52,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2020",75,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2021",78,"P"
"FIN","FLUVACCIN","TOT","PC_POP65","A","2001",25,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2002",43,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2003",45,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2004",46,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2005",52,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2006",46,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2007",48.4,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2008",51,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2009",46,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2010",40.3,"B"
"FIN","FLUVACCIN","TOT","PC_POP65","A","2011",38.5,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2012",36.4,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2013",41,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2014",40,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2015",43.1,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2016",47.4,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2017",47.7,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2018",49.6,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2019",47.3,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2020",53.7,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2000",65,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2001",65,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2002",67,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2003",65,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2004",63.9,"B"
"FRA","FLUVACCIN","TOT","PC_POP65","A","2005",63.5,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2006",63.4,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2007",63.9,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2008",64.8,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2009",63.9,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2010",56.2,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2011",55.2,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2012",53.1,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2013",51.9,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2014",48.5,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2015",50.8,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2016",50,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2017",49.7,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2018",51,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2019",52,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2020",59.9,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2001",55.8,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2003",48,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2005",63,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2006",60,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2007",56,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2009",61.1,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2010",56.1,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2012",58.6,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2013",37.2,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2014",38.1,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2015",36.5,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2016",35.3,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2017",34.8,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2018",38,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2019",38.8,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2020",47.3,"D"
"GRC","FLUVACCIN","TOT","PC_POP65","A","2009",41.6,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2014",48.9,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2018",51,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2019",58.9,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2020",73.5,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2021",65.3,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2002",36.8,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2003",38.9,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2004",37.9,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2005",37.1,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2006",34,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2007",34.2,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2008",37.8,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2009",31.6,"D"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2010",29.7,"B"
"HUN","FLUVACCIN","TOT","PC_POP65","A","2011",31.3,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2012",30.9,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2013",29,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2014",27.1,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2015",26,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2016",24,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2017",26.8,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2018",24.1,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2019",23.6,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2020",30.5,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2021",22.3,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2003",62.2,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2004",61.4,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2005",63,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2006",60.6,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2007",61.7,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2008",70.1,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2009",53.8,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2010",63.8,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2011",56.3,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2012",56.9,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2013",59.4,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2014",60.2,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2015",55.4,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2016",54.5,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2017",57.6,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2018",68.5,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2019",58.9,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2020",70.5,"B"
"IRL","FLUVACCIN","TOT","PC_POP65","A","2021",70.7,"P"
"ITA","FLUVACCIN","TOT","PC_POP65","A","2000",40.7,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2001",50.7,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2002",55.2,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2003",60.3,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2004",63.4,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2005",66.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2006",68.3,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2007",66.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2008",64.9,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2009",66.3,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2010",65.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2011",62.4,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2012",62.7,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2013",54.2,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2014",55.4,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2015",48.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2016",49.9,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2017",52,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2018",52.7,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2019",53.1,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2020",54.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2021",65.3,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2001",28,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2002",35,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2003",43,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2004",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2005",49,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2006",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2007",53,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2008",56,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2009",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2010",53,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2011",52,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2012",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2013",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2014",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2015",51,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2016",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2017",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2018",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2019",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2020",66,"P"
"KOR","FLUVACCIN","TOT","PC_POP65","A","2004",75.7,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2005",77.3,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2007",70.2,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2008",73.6,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2009",74.3,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2010",77.1,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2011",79.6,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2012",77.4,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2014",79.8,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2015",81.7,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2016",84.4,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2017",82.7,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2018",85.1,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2019",85.8,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2020",80.7,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2001",42.8,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2002",46,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2003",49.1,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2004",51,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2005",54.3,"B"
"LUX","FLUVACCIN","TOT","PC_POP65","A","2006",51.3,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2007",53,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2008",53.7,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2009",52.3,"B"
"LUX","FLUVACCIN","TOT","PC_POP65","A","2010",45.2,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2011",45.4,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2012",43.3,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2013",42.1,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2014",40.1,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2015",39.5,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2016",38,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2017",37.6,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2018",39.8,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2019",40.4,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2020",46.3,"P"
"MEX","FLUVACCIN","TOT","PC_POP65","A","2006",51.1,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2007",34.6,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2008",76.1,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2009",88.2,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2010",71.1,"B"
"MEX","FLUVACCIN","TOT","PC_POP65","A","2011",73.9,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2012",68.3,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2013",79,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2014",82.6,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2016",94.4,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2017",88.4,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2018",78.7,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2019",76.1,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2020",72.6,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2000",76,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2001",76,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2002",78,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2003",77,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2004",82,"B"
"NLD","FLUVACCIN","TOT","PC_POP65","A","2005",83.5,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2006",82.1,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2007",81.9,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2008",82.5,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2009",81.1,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2010",80.6,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2011",77.2,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2012",74.3,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2013",72.2,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2014",67.8,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2015",66.5,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2016",62.9,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2017",60.4,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2018",60.3,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2019",61.3,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2020",67.9,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2002",51,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2003",63.2,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2004",58,"B"
"NZL","FLUVACCIN","TOT","PC_POP65","A","2005",60.6,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2006",63.6,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2007",63.7,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2008",63.7,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2009",66.5,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2010",66.9,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2011",65.5,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2012",64.3,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2013",69,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2014",69,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2015",67.3,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2016",67,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2017",65,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2018",65,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2019",62,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2020",73,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2021",69,
"NOR","FLUVACCIN","TOT","PC_POP65","A","2009",43.9,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2010",7.7,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2011",14.1,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2012",11.4,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2013",30.9,
"NOR","FLUVACCIN","TOT","PC_POP65","A","2014",26.9,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2015",27,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2016",38,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2017",34.4,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2018",38.2,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2019",43,"B"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2020",57,
"NOR","FLUVACCIN","TOT","PC_POP65","A","2021",65.5,
"POL","FLUVACCIN","TOT","PC_POP65","A","2009",12.1,
"POL","FLUVACCIN","TOT","PC_POP65","A","2014",9.7,
"POL","FLUVACCIN","TOT","PC_POP65","A","2019",10.4,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2001",41.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2002",36.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2003",46.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2004",39,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2005",41.6,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2006",50.4,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2007",51,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2008",53.3,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2009",52.2,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2010",48.3,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2011",43.4,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2012",44.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2013",49.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2014",50.9,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2015",50.1,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2016",57.5,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2017",60.8,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2000",20.7,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2001",31.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2003",37.9,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2004",22.9,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2005",29.3,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2006",25.7,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2007",33.4,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2008",35.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2009",30.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2010",23.8,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2011",21.9,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2012",15.4,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2013",15.6,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2014",14.1,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2015",13.8,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2016",13.3,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2017",13,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2018",12.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2019",11.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2020",12.8,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2000",61.5,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2001",61.9,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2002",67.2,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2003",68,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2004",68.6,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2005",70.1,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2006",67.5,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2007",62.3,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2008",65.4,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2009",65.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2010",56.9,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2011",57.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2012",57,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2013",56.2,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2014",56.2,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2015",56.1,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2016",55.5,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2017",55.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2018",54.3,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2019",54.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2020",67.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2021",69,"P"
"SWE","FLUVACCIN","TOT","PC_POP65","A","2003",51,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2004",55,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2005",61,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2006",57,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2007",58,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2008",65.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2009",44,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2010",55.2,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2011",46.1,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2012",44.3,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2013",45.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2014",49.7,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2015",49.1,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2016",49.4,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2017",49.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2018",52.2,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2019",52.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2020",60.4,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2000",51,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2001",54,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2002",55,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2003",58,
