Our World In Data Name,TIME,Value
Slovakia,2007,33.4
Slovakia,2008,35.5
Slovakia,2009,30.5
Slovakia,2010,23.8
Slovakia,2011,21.9
Slovakia,2012,15.4
Slovakia,2013,15.6
Slovakia,2014,14.1
Slovakia,2015,13.8
Slovakia,2016,13.3
Slovakia,2017,13.0
Slovakia,2018,12.5
Slovakia,2019,11.5
Slovakia,2020,12.8
Spain,2000,61.5
Spain,2001,61.9
Spain,2002,67.2
Spain,2003,68.0
Spain,2004,68.6
Spain,2005,70.1
Spain,2006,67.5
Spain,2007,62.3
Spain,2008,65.4
Spain,2009,65.7
Spain,2010,56.9
Spain,2011,57.7
Spain,2012,57.0
Spain,2013,56.2
Spain,2014,56.2
Spain,2015,56.1
Spain,2016,55.5
Spain,2017,55.7
Spain,2018,54.3
Spain,2019,54.7
Spain,2020,67.7
Spain,2021,69.0
Sweden,2003,51.0
Sweden,2004,55.0
Sweden,2005,61.0
Sweden,2006,57.0
Sweden,2007,58.0
Sweden,2008,65.8
Sweden,2009,44.0
Sweden,2010,55.2
Sweden,2011,46.1
Sweden,2012,44.3
Sweden,2013,45.8
Sweden,2014,49.7
Sweden,2015,49.1
Sweden,2016,49.4
Sweden,2017,49.8
Sweden,2018,52.2
Sweden,2019,52.8
Sweden,2020,60.4
Switzerland,2000,51.0
Switzerland,2001,54.0
Switzerland,2002,55.0
Switzerland,2003,58.0
Switzerland,2004,57.0
Switzerland,2005,59.0
Switzerland,2006,61.0
Switzerland,2007,56.0
Switzerland,2010,46.0
Turkey,2008,9.9
Turkey,2010,12.2
Turkey,2012,13.2
Turkey,2014,9.0
Turkey,2016,7.0
Turkey,2019,5.9
United Kingdom,2000,65.0
United Kingdom,2001,68.0
United Kingdom,2002,69.0
United Kingdom,2003,71.0
United Kingdom,2004,71.0
United Kingdom,2005,75.0
United Kingdom,2006,75.1
United Kingdom,2007,73.2
United Kingdom,2008,73.6
United Kingdom,2009,72.3
United Kingdom,2010,72.8
United Kingdom,2011,74.0
United Kingdom,2012,73.5
United Kingdom,2013,73.3
United Kingdom,2014,72.8
United Kingdom,2015,71.1
United Kingdom,2016,70.5
United Kingdom,2017,72.6
United Kingdom,2018,72.0
United Kingdom,2019,72.4
United Kingdom,2020,72.4
United States,2000,64.3
United States,2001,63.0
United States,2002,65.6
United States,2003,65.5
United States,2004,64.4
United States,2005,59.5
United States,2006,64.1
United States,2007,66.7
United States,2008,66.9
United States,2009,66.7
United States,2010,63.6
United States,2011,67.0
United States,2012,66.5
United States,2013,67.9
United States,2014,70.0
United States,2015,69.1
United States,2016,67.2
United States,2017,67.8
United States,2018,68.7
United States,2019,67.0
United States,2020,67.5
Chile,2001,94.8
Chile,2002,76.9
Chile,2003,80.3
Chile,2004,79.4
Chile,2005,73.4
Chile,2006,82.0
Chile,2007,84.5
Chile,2008,78.1
Chile,2009,87.9
Chile,2010,57.7
Chile,2011,62.4
Chile,2012,73.1
Chile,2013,76.5
Chile,2014,74.9
Chile,2015,55.0
Chile,2016,54.0
Chile,2017,59.0
Chile,2018,64.7
Chile,2019,68.3
Chile,2020,84.7
Chile,2021,73.2
Estonia,2008,1.0
Estonia,2009,1.4
Estonia,2010,1.0
Estonia,2011,0.9
Estonia,2012,0.9
Estonia,2013,1.1
Estonia,2014,1.4
Estonia,2015,1.6
Estonia,2016,2.8
Estonia,2017,4.8
Estonia,2018,10.2
Estonia,2019,15.0
Estonia,2020,12.0
Israel,2000,44.7
Israel,2002,45.2
Israel,2003,43.9
Israel,2004,48.1
Israel,2005,50.7
Israel,2006,44.6
Israel,2007,51.9
Israel,2008,56.8
Israel,2009,56.7
Israel,2010,57.2
Israel,2011,61.0
Israel,2012,57.6
Israel,2013,61.2
Israel,2014,63.8
Israel,2015,65.7
Israel,2016,62.3
Israel,2017,59.8
Israel,2018,58.2
Israel,2019,59.8
Israel,2020,68.4
Israel,2021,61.0
Slovenia,2000,35.0
Slovenia,2001,29.0
Slovenia,2002,26.0
Slovenia,2003,33.0
Slovenia,2004,30.0
Slovenia,2005,33.8
Slovenia,2006,27.5
Slovenia,2007,25.6
Slovenia,2008,25.2
Slovenia,2009,21.9
Slovenia,2010,17.7
Slovenia,2011,15.9
Slovenia,2012,14.5
Slovenia,2013,12.8
Slovenia,2014,10.9
Slovenia,2015,10.4
Slovenia,2016,9.8
Slovenia,2017,11.8
Slovenia,2018,12.9
Slovenia,2019,18.8
Slovenia,2020,27.0
Latvia,2007,3.1
Latvia,2008,2.2
Latvia,2009,2.6
Latvia,2010,1.2
Latvia,2011,2.0
Latvia,2012,1.7
Latvia,2013,3.1
Latvia,2014,2.8
Latvia,2015,2.5
Latvia,2016,4.3
Latvia,2017,6.9
Latvia,2018,7.7
Latvia,2019,11.7
Latvia,2020,9.1
Lithuania,2005,1.8
Lithuania,2006,1.6
Lithuania,2007,12.5
Lithuania,2008,11.7
Lithuania,2009,11.2
Lithuania,2010,9.1
Lithuania,2011,9.0
Lithuania,2012,9.7
Lithuania,2013,9.8
Lithuania,2014,10.3
Lithuania,2015,9.6
Lithuania,2016,11.3
Lithuania,2017,13.4
Lithuania,2018,14.8
Lithuania,2019,21.5
Lithuania,2020,26.3
Iceland,2015,43.0
Iceland,2016,47.0
Iceland,2017,45.0
Iceland,2018,49.4
Iceland,2019,47.5
Iceland,2020,54.6
Costa Rica,2019,64.0
Costa Rica,2020,71.0
Costa Rica,2021,60.6
