ENTITY,YEAR,Number of objects
Low Earth orbit,2009,3597
Medium Earth orbit,2009,648
Geostationary orbit,2009,557
High Earth orbit,2009,416
Low Earth orbit,2010,3652
Medium Earth orbit,2010,672
Geostationary orbit,2010,587
High Earth orbit,2010,417
Low Earth orbit,2011,3698
Medium Earth orbit,2011,700
Geostationary orbit,2011,616
High Earth orbit,2011,417
Low Earth orbit,2012,3743
Medium Earth orbit,2012,721
Geostationary orbit,2012,653
High Earth orbit,2012,418
Low Earth orbit,2013,3868
Medium Earth orbit,2013,743
Geostationary orbit,2013,677
High Earth orbit,2013,420
Low Earth orbit,2014,3920
Medium Earth orbit,2014,781
Geostationary orbit,2014,707
High Earth orbit,2014,425
Low Earth orbit,2015,3959
Medium Earth orbit,2015,817
Geostationary orbit,2015,743
High Earth orbit,2015,427
Low Earth orbit,2016,4035
Medium Earth orbit,2016,839
Geostationary orbit,2016,778
High Earth orbit,2016,428
Low Earth orbit,2017,4331
Medium Earth orbit,2017,855
Geostationary orbit,2017,814
High Earth orbit,2017,428
Low Earth orbit,2018,4568
Medium Earth orbit,2018,902
Geostationary orbit,2018,844
High Earth orbit,2018,431
Low Earth orbit,2019,4870
Medium Earth orbit,2019,930
Geostationary orbit,2019,872
High Earth orbit,2019,432
Low Earth orbit,2020,5952
Medium Earth orbit,2020,941
Geostationary orbit,2020,891
High Earth orbit,2020,434
Low Earth orbit,2021,7495
Medium Earth orbit,2021,950
Geostationary orbit,2021,915
High Earth orbit,2021,436
Low Earth orbit,2022,9309
Medium Earth orbit,2022,971
Geostationary orbit,2022,938
High Earth orbit,2022,437
