Year,Entity,"Number of people living in extreme poverty, by world region"
2003,High income countries,5544299.0
2004,High income countries,5337526.0
2005,High income countries,5480998.0
2006,High income countries,5195278.0
2007,High income countries,5153099.0
2008,High income countries,5317524.0
2009,High income countries,5385998.0
2010,High income countries,5283394.0
2011,High income countries,5936261.0
2012,High income countries,6104628.0
2013,High income countries,6785233.0
2014,High income countries,7309667.0
2015,High income countries,7930903.0
2016,High income countries,6906909.0
2017,High income countries,7673933.0
2018,High income countries,6674078.0
1990,Latin America and the Caribbean,68124083.0
1991,Latin America and the Caribbean,65498048.0
1992,Latin America and the Caribbean,66850300.0
1993,Latin America and the Caribbean,67362472.0
1994,Latin America and the Caribbean,63481304.0
1995,Latin America and the Caribbean,64822684.0
1996,Latin America and the Caribbean,74298597.0
1997,Latin America and the Caribbean,71177927.0
1998,Latin America and the Caribbean,68673964.0
1999,Latin America and the Caribbean,70563277.0
2000,Latin America and the Caribbean,65986481.0
2001,Latin America and the Caribbean,65673762.0
2002,Latin America and the Caribbean,63151566.0
2003,Latin America and the Caribbean,61446177.0
2004,Latin America and the Caribbean,56453236.0
2005,Latin America and the Caribbean,54043983.0
2006,Latin America and the Caribbean,44542366.0
2007,Latin America and the Caribbean,42754475.0
2008,Latin America and the Caribbean,40400255.0
2009,Latin America and the Caribbean,38650908.0
2010,Latin America and the Caribbean,35445339.0
2011,Latin America and the Caribbean,33126133.0
2012,Latin America and the Caribbean,28165389.0
2013,Latin America and the Caribbean,25547270.0
2014,Latin America and the Caribbean,24152353.0
2015,Latin America and the Caribbean,24027199.0
2016,Latin America and the Caribbean,25514231.0
2017,Latin America and the Caribbean,25603214.0
2018,Latin America and the Caribbean,25337029.0
1990,Middle East and North Africa,14476419.0
1991,Middle East and North Africa,23409295.0
1992,Middle East and North Africa,19222412.0
1993,Middle East and North Africa,16113613.0
1994,Middle East and North Africa,15886258.0
1995,Middle East and North Africa,16797440.0
1996,Middle East and North Africa,15332621.0
1997,Middle East and North Africa,13434624.0
1998,Middle East and North Africa,11116773.0
1999,Middle East and North Africa,10362919.0
2000,Middle East and North Africa,9452492.0
2001,Middle East and North Africa,9647371.0
2002,Middle East and North Africa,9688080.0
2003,Middle East and North Africa,12473601.0
2004,Middle East and North Africa,9930528.0
2005,Middle East and North Africa,9450203.0
2006,Middle East and North Africa,9138154.0
2007,Middle East and North Africa,9037346.0
2008,Middle East and North Africa,8820140.0
2009,Middle East and North Africa,8195994.0
2010,Middle East and North Africa,6936159.0
2011,Middle East and North Africa,7816728.0
2012,Middle East and North Africa,7583122.0
2013,Middle East and North Africa,7882568.0
2014,Middle East and North Africa,9470472.0
2015,Middle East and North Africa,17521484.0
2016,Middle East and North Africa,20004752.0
2017,Middle East and North Africa,22744407.0
2018,Middle East and North Africa,29103108.0
1990,South Asia,561301855.0
1991,South Asia,566191316.0
1992,South Asia,557949282.0
1993,South Asia,556366080.0
1994,South Asia,558068922.0
1995,South Asia,546627563.0
1996,South Asia,540547499.0
1997,South Asia,548306248.0
1998,South Asia,554602990.0
1999,South Asia,555268636.0
2000,South Asia,561219492.0
2001,South Asia,564457993.0
2002,South Asia,571774283.0
2003,South Asia,565504487.0
2004,South Asia,549587650.0
2005,South Asia,530519020.0
2006,South Asia,517350296.0
2007,South Asia,497894888.0
2008,South Asia,483706846.0
2009,South Asia,473227709.0
2010,South Asia,425014222.0
2011,South Asia,348309927.0
2012,South Asia,322485600.0
2013,South Asia,291636780.0
2014,South Asia,262735763.0
2015,South Asia,231179655.0
2016,South Asia,199694107.0
2017,South Asia,172136963.0
2018,South Asia,148164264.0
1990,Sub-Saharan Africa,280583869.0
1991,Sub-Saharan Africa,297556239.0
1992,Sub-Saharan Africa,313958935.0
1993,Sub-Saharan Africa,330259563.0
1994,Sub-Saharan Africa,342176140.0
1995,Sub-Saharan Africa,348078626.0
1996,Sub-Saharan Africa,351568962.0
1997,Sub-Saharan Africa,359604022.0
1998,Sub-Saharan Africa,368638851.0
1999,Sub-Saharan Africa,377545713.0
2000,Sub-Saharan Africa,384738570.0
2001,Sub-Saharan Africa,390171576.0
2002,Sub-Saharan Africa,393705439.0
2003,Sub-Saharan Africa,396925139.0
2004,Sub-Saharan Africa,389634397.0
2005,Sub-Saharan Africa,387687456.0
2006,Sub-Saharan Africa,388639537.0
2007,Sub-Saharan Africa,389910636.0
2008,Sub-Saharan Africa,389906349.0
2009,Sub-Saharan Africa,397863771.0
2010,Sub-Saharan Africa,393498317.0
2011,Sub-Saharan Africa,394300539.0
2012,Sub-Saharan Africa,399346303.0
2013,Sub-Saharan Africa,400990587.0
2014,Sub-Saharan Africa,400828211.0
2015,Sub-Saharan Africa,411486589.0
2016,Sub-Saharan Africa,417779542.0
2017,Sub-Saharan Africa,419828419.0
2018,Sub-Saharan Africa,419828171.0
1990,China,752268639.0
1991,China,734939438.0
1992,China,702348161.0
1993,China,668104363.0
1994,China,626952468.0
1995,China,562378364.0
1996,China,507983690.0
1997,China,509265469.0
1998,China,508925178.0
1999,China,504291008.0
2000,China,460709587.0
2001,China,437435541.0
2002,China,405848449.0
2003,China,359413103.0
2004,China,303458902.0
2005,China,241655350.0
2006,China,227570474.0
2007,China,206861271.0
2008,China,196750282.0
2009,China,174826494.0
2010,China,149895297.0
2011,China,106752648.0
2012,China,87982556.0
2013,China,25363242.0
2014,China,18690656.0
2015,China,10034379.0
2016,China,7286907.0
2017,China,5940525.0
2018,China,3949103.0
1990,India,428532540.0
1991,India,434487636.0
1992,India,440642216.0
1993,India,444546930.0
1994,India,447908471.0
1995,India,449914546.0
1996,India,447349450.0
1997,India,452500119.0
1998,India,453265896.0
1999,India,452262611.0
2000,India,456375015.0
2001,India,456418340.0
2002,India,460914170.0
2003,India,460801724.0
2004,India,458716561.0
2005,India,448031747.0
2006,India,439807768.0
2007,India,427066277.0
2008,India,416464877.0
2009,India,410075497.0
2010,India,369067750.0
2011,India,297161584.0
2012,India,273111678.0
2013,India,245321295.0
2014,India,219412159.0
2015,India,190999148.0
2016,India,163154156.0
2017,India,142810367.0
2018,India,123443521.0
1990,East Asia and Pacific excluding China,224819729.0
1991,East Asia and Pacific excluding China,224476683.0
1992,East Asia and Pacific excluding China,225460155.0
1993,East Asia and Pacific excluding China,223423362.0
1994,East Asia and Pacific excluding China,216533288.0
1995,East Asia and Pacific excluding China,203478946.0
1996,East Asia and Pacific excluding China,191488139.0
1997,East Asia and Pacific excluding China,196983601.0
1998,East Asia and Pacific excluding China,228354293.0
1999,East Asia and Pacific excluding China,176916372.0
2000,East Asia and Pacific excluding China,171254925.0
2001,East Asia and Pacific excluding China,162706912.0
2002,East Asia and Pacific excluding China,132022091.0
2003,East Asia and Pacific excluding China,123209703.0
2004,East Asia and Pacific excluding China,119384234.0
2005,East Asia and Pacific excluding China,105392706.0
2006,East Asia and Pacific excluding China,113334495.0
2007,East Asia and Pacific excluding China,95285264.0
2008,East Asia and Pacific excluding China,88807177.0
2009,East Asia and Pacific excluding China,76111878.0
2010,East Asia and Pacific excluding China,61844003.0
2011,East Asia and Pacific excluding China,54391737.0
2012,East Asia and Pacific excluding China,49099093.0
2013,East Asia and Pacific excluding China,40199087.0
2014,East Asia and Pacific excluding China,35118297.0
2015,East Asia and Pacific excluding China,32057641.0
2016,East Asia and Pacific excluding China,28153772.0
2017,East Asia and Pacific excluding China,24266856.0
2018,East Asia and Pacific excluding China,21073104.0
1990,South Asia excluding India,132769315.0
1991,South Asia excluding India,131703680.0
1992,South Asia excluding India,117307066.0
1993,South Asia excluding India,111819150.0
1994,South Asia excluding India,110160451.0
1995,South Asia excluding India,96713017.0
1996,South Asia excluding India,93198049.0
1997,South Asia excluding India,95806129.0
1998,South Asia excluding India,101337094.0
1999,South Asia excluding India,103006025.0
2000,South Asia excluding India,104844477.0
2001,South Asia excluding India,108039653.0
2002,South Asia excluding India,110860113.0
2003,South Asia excluding India,104702763.0
2004,South Asia excluding India,90871089.0
2005,South Asia excluding India,82487273.0
2006,South Asia excluding India,77542528.0
2007,South Asia excluding India,70828611.0
2008,South Asia excluding India,67241969.0
2009,South Asia excluding India,63152212.0
2010,South Asia excluding India,55946472.0
2011,South Asia excluding India,51148343.0
2012,South Asia excluding India,49373922.0
2013,South Asia excluding India,46315485.0
2014,South Asia excluding India,43323604.0
2015,South Asia excluding India,40180507.0
2016,South Asia excluding India,36539951.0
2017,South Asia excluding India,29326596.0
2018,South Asia excluding India,24720743.0
