,region,year,population
200,EE & CA,1963,327755727
201,EE & CA,1964,331725274
202,EE & CA,1965,335413442
203,EE & CA,1966,338912094
204,EE & CA,1967,342319727
205,EE & CA,1968,345601438
206,EE & CA,1969,348781980
207,EE & CA,1970,351727627
208,EE & CA,1971,354657811
209,EE & CA,1972,357815748
210,EE & CA,1973,361001857
211,EE & CA,1974,364287787
212,EE & CA,1975,367719141
213,EE & CA,1976,371187514
214,EE & CA,1977,374598027
215,EE & CA,1978,377868088
216,EE & CA,1979,380989857
217,EE & CA,1980,383941226
218,EE & CA,1981,386797029
219,EE & CA,1982,389723377
220,EE & CA,1983,392834358
221,EE & CA,1984,395987731
222,EE & CA,1985,399042681
223,EE & CA,1986,402270956
224,EE & CA,1987,405640725
225,EE & CA,1988,408782666
226,EE & CA,1989,411429434
227,EE & CA,1990,413567287
228,EE & CA,1991,415250938
229,EE & CA,1992,416165748
230,EE & CA,1993,416391510
231,EE & CA,1994,416062667
232,EE & CA,1995,415438477
233,EE & CA,1996,414815624
234,EE & CA,1997,414023806
235,EE & CA,1998,412903389
236,EE & CA,1999,411663641
237,EE & CA,2000,410792347
238,EE & CA,2001,410001050
239,EE & CA,2002,409051517
240,EE & CA,2003,408162723
241,EE & CA,2004,407385929
242,EE & CA,2005,406692307
243,EE & CA,2006,406189658
244,EE & CA,2007,406048701
245,EE & CA,2008,406255963
246,EE & CA,2009,406777893
247,EE & CA,2010,407367463
248,EE & CA,2011,408008962
249,EE & CA,2012,408886717
250,EE & CA,2013,409866728
251,EE & CA,2014,410841490
252,EE & CA,2015,411914664
253,EE & CA,2016,413067556
254,EE & CA,2017,414079670
255,EE & CA,2018,414890874
256,EE & CA,2019,415575529
257,EE & CA,2020,415867239
258,EE & CA,2021,415452351
259,EE & CA,2022,414554985
260,EE & CA,2023,414088908
261,EE & CA,2024,414260107
262,EE & CA,2025,414462245
263,EE & CA,2026,414563646
264,EE & CA,2027,414577103
265,EE & CA,2028,414518324
266,EE & CA,2029,414400316
267,EE & CA,2030,414233986
268,EE & CA,2031,414025494
269,EE & CA,2032,413779501
270,EE & CA,2033,413506875
271,EE & CA,2034,413215916
272,EE & CA,2035,412911656
273,EE & CA,2036,412600053
274,EE & CA,2037,412284141
275,EE & CA,2038,411966082
276,EE & CA,2039,411643490
277,EE & CA,2040,411316608
278,EE & CA,2041,410989440
279,EE & CA,2042,410659778
280,EE & CA,2043,410323438
281,EE & CA,2044,409971974
282,EE & CA,2045,409594971
283,EE & CA,2046,409187604
284,EE & CA,2047,408748301
285,EE & CA,2048,408265431
286,EE & CA,2049,407730762
287,EE & CA,2050,407146942
288,EE & CA,2051,406512225
289,EE & CA,2052,405825314
290,EE & CA,2053,405088290
291,EE & CA,2054,404304904
292,EE & CA,2055,403474534
293,EE & CA,2056,402597553
294,EE & CA,2057,401678057
295,EE & CA,2058,400717715
296,EE & CA,2059,399719848
297,EE & CA,2060,398687671
298,EE & CA,2061,397625814
299,EE & CA,2062,396538136
300,EE & CA,2063,395430300
301,EE & CA,2064,394303970
302,EE & CA,2065,393159692
303,EE & CA,2066,392004311
304,EE & CA,2067,390841688
305,EE & CA,2068,389679824
306,EE & CA,2069,388518486
307,EE & CA,2070,387358314
308,EE & CA,2071,386205193
309,EE & CA,2072,385062430
310,EE & CA,2073,383931445
311,EE & CA,2074,382808728
312,EE & CA,2075,381700547
313,EE & CA,2076,380609742
314,EE & CA,2077,379536125
315,EE & CA,2078,378480768
316,EE & CA,2079,377442914
317,EE & CA,2080,376427272
318,EE & CA,2081,375433524
319,EE & CA,2082,374456597
320,EE & CA,2083,373497464
321,EE & CA,2084,372557948
322,EE & CA,2085,371634716
323,EE & CA,2086,370726714
324,EE & CA,2087,369832804
325,EE & CA,2088,368948616
326,EE & CA,2089,368071437
327,EE & CA,2090,367197327
328,EE & CA,2091,366323005
329,EE & CA,2092,365445175
330,EE & CA,2093,364559799
331,EE & CA,2094,363662415
332,EE & CA,2095,362749870
333,EE & CA,2096,361820400
334,EE & CA,2097,360872183
335,EE & CA,2098,359904383
336,EE & CA,2099,358919246
337,EE & CA,2100,357919116
338,East Asia,-10000,266166
339,East Asia,-9000,426938
340,East Asia,-8000,689945
341,East Asia,-7000,1121824
342,East Asia,-6000,1833098
343,East Asia,-5000,3007456
344,East Asia,-4000,4950023
345,East Asia,-3000,8168187
346,East Asia,-2000,13506250
347,East Asia,-1000,13747644
348,East Asia,0,58871207
349,East Asia,100,52595108
350,East Asia,200,44642445
351,East Asia,300,23908289
352,East Asia,400,32650301
353,East Asia,500,40835286
354,East Asia,600,54763117
355,East Asia,700,48168114
356,East Asia,800,40802623
357,East Asia,900,48829537
358,East Asia,1000,45868978
359,East Asia,1100,100589907
360,East Asia,1200,114909884
361,East Asia,1300,91289890
362,East Asia,1400,84844501
363,East Asia,1500,108370513
364,East Asia,1555,400
365,East Asia,1600,120864514
366,East Asia,1640,40000
367,East Asia,1700,133982380
368,East Asia,1710,141652887
369,East Asia,1720,157610645
370,East Asia,1730,165704693
371,East Asia,1740,182199849
372,East Asia,1750,218161522
373,East Asia,1760,237329018
374,East Asia,1770,260903892
375,East Asia,1780,316992386
376,East Asia,1790,340616316
377,East Asia,1800,374377310
378,East Asia,1801,376042792
379,East Asia,1802,377733492
380,East Asia,1803,379432136
381,East Asia,1804,381138764
382,East Asia,1805,382853410
383,East Asia,1806,384576114
384,East Asia,1807,386306914
385,East Asia,1808,388045846
386,East Asia,1809,389792951
387,East Asia,1810,392619836
388,East Asia,1811,395457316
389,East Asia,1812,398671589
390,East Asia,1813,402267962
391,East Asia,1814,405899050
392,East Asia,1815,409565189
393,East Asia,1816,413266716
394,East Asia,1817,417003969
395,East Asia,1818,420777293
396,East Asia,1819,424361792
397,East Asia,1820,427754255
398,East Asia,1821,430951431
399,East Asia,1822,433950029
400,East Asia,1823,436746711
401,East Asia,1824,439563345
402,East Asia,1825,442400069
403,East Asia,1826,445257027
404,East Asia,1827,448134361
405,East Asia,1828,451032215
406,East Asia,1829,453428382
407,East Asia,1830,455318911
408,East Asia,1831,456699819
409,East Asia,1832,457566777
410,East Asia,1833,457915742
411,East Asia,1834,458264995
412,East Asia,1835,458649540
413,East Asia,1836,458964372
414,East Asia,1837,459314494
415,East Asia,1838,459664906
416,East Asia,1839,459968368
417,East Asia,1840,460185836
418,East Asia,1841,460356346
419,East Asia,1842,460466865
420,East Asia,1843,460517353
421,East Asia,1844,460568017
422,East Asia,1845,460618867
423,East Asia,1846,460669910
424,East Asia,1847,460721157
425,East Asia,1848,460772619
426,East Asia,1849,460113816
427,East Asia,1850,458751276
428,East Asia,1851,456712454
429,East Asia,1852,453982325
430,East Asia,1853,450567087
431,East Asia,1854,447183608
432,East Asia,1855,443831629
433,East Asia,1856,440510906
434,East Asia,1857,437221184
435,East Asia,1858,433962227
436,East Asia,1859,431011495
437,East Asia,1860,428449922
438,East Asia,1861,426018263
439,East Asia,1862,423967437
440,East Asia,1863,422208480
441,East Asia,1864,420459673
442,East Asia,1865,418720963
443,East Asia,1866,416992300
444,East Asia,1867,415273632
445,East Asia,1868,413564905
446,East Asia,1869,412454383
447,East Asia,1870,411940992
448,East Asia,1871,412025851
449,East Asia,1872,412703597
450,East Asia,1873,413975106
451,East Asia,1874,415250813
452,East Asia,1875,416530706
453,East Asia,1876,417814766
454,East Asia,1877,419103423
455,East Asia,1878,420396695
456,East Asia,1879,421741880
457,East Asia,1880,423139409
458,East Asia,1881,424589719
459,East Asia,1882,426093242
460,East Asia,1883,427650427
461,East Asia,1884,429214440
462,East Asia,1885,430785323
463,East Asia,1886,432365619
464,East Asia,1887,433955417
465,East Asia,1888,435554806
466,East Asia,1889,437319387
467,East Asia,1890,439250666
468,East Asia,1891,441350154
469,East Asia,1892,443619377
470,East Asia,1893,446059872
471,East Asia,1894,448517631
472,East Asia,1895,450992799
473,East Asia,1896,453485512
474,East Asia,1897,455993382
475,East Asia,1898,458516558
476,East Asia,1899,461113225
477,East Asia,1900,463850266
478,East Asia,1901,466535813
479,East Asia,1902,469360679
480,East Asia,1903,472261383
481,East Asia,1904,475181052
482,East Asia,1905,478120774
483,East Asia,1906,481082082
484,East Asia,1907,484065905
485,East Asia,1908,487072313
486,East Asia,1909,490606345
487,East Asia,1910,494750571
488,East Asia,1911,499261790
489,East Asia,1912,504440300
490,East Asia,1913,510180995
491,East Asia,1914,515976602
492,East Asia,1915,521824131
493,East Asia,1916,527731797
494,East Asia,1917,533708130
495,East Asia,1918,539736410
496,East Asia,1919,545150388
497,East Asia,1920,550014155
498,East Asia,1921,554083323
499,East Asia,1922,557601956
500,East Asia,1923,560486831
501,East Asia,1924,563403497
502,East Asia,1925,566337189
503,East Asia,1926,569297322
504,East Asia,1927,572441322
505,East Asia,1928,575312025
506,East Asia,1929,578585680
507,East Asia,1930,582097574
508,East Asia,1931,585859329
509,East Asia,1932,589854024
510,East Asia,1933,594088145
511,East Asia,1934,598342081
512,East Asia,1935,602628928
513,East Asia,1936,607044722
514,East Asia,1937,611729388
515,East Asia,1938,616195865
516,East Asia,1939,620784221
517,East Asia,1940,625675155
518,East Asia,1941,629765839
519,East Asia,1942,634252587
520,East Asia,1943,638770954
521,East Asia,1944,643281636
522,East Asia,1945,647787921
523,East Asia,1946,652344857
524,East Asia,1947,657080805
525,East Asia,1948,662073819
526,East Asia,1949,668908784
527,East Asia,1950,670121443
528,East Asia,1951,680976150
529,East Asia,1952,693928228
530,East Asia,1953,708310512
531,East Asia,1954,722975355
532,East Asia,1955,738606427
533,East Asia,1956,753850700
534,East Asia,1957,769852931
535,East Asia,1958,786040218
536,East Asia,1959,796907073
537,East Asia,1960,801361488
538,East Asia,1961,804878374
539,East Asia,1962,816639149
540,East Asia,1963,838425398
541,East Asia,1964,861707650
542,East Asia,1965,883616545
543,East Asia,1966,905281305
544,East Asia,1967,925999515
545,East Asia,1968,948205699
546,East Asia,1969,972068500
547,East Asia,1970,996003458
548,East Asia,1971,1019643101
549,East Asia,1972,1042164277
550,East Asia,1973,1063938181
551,East Asia,1974,1084501169
552,East Asia,1975,1102925897
553,East Asia,1976,1119639766
554,East Asia,1977,1135140858
555,East Asia,1978,1149864160
556,East Asia,1979,1165090845
557,East Asia,1980,1181162791
558,East Asia,1981,1198078604
559,East Asia,1982,1216385155
560,East Asia,1983,1234166016
561,East Asia,1984,1251083570
562,East Asia,1985,1269048247
563,East Asia,1986,1288426555
564,East Asia,1987,1309337684
565,East Asia,1988,1330149275
566,East Asia,1989,1350363126
567,East Asia,1990,1371246503
568,East Asia,1991,1389559659
569,East Asia,1992,1403970568
570,East Asia,1993,1417207631
571,East Asia,1994,1429829384
572,East Asia,1995,1441783973
573,East Asia,1996,1453006835
574,East Asia,1997,1463618806
575,East Asia,1998,1473702049
576,East Asia,1999,1483266428
577,East Asia,2000,1492867415
578,East Asia,2001,1502429031
579,East Asia,2002,1511449668
580,East Asia,2003,1520156286
581,East Asia,2004,1528796866
582,East Asia,2005,1537457554
583,East Asia,2006,1546192559
584,East Asia,2007,1555161497
585,East Asia,2008,1564324423
586,East Asia,2009,1573760634
587,East Asia,2010,1583271621
588,East Asia,2011,1592689756
589,East Asia,2012,1602779670
590,East Asia,2013,1612945018
591,East Asia,2014,1622632217
592,East Asia,2015,1631710780
593,East Asia,2016,1640269772
594,East Asia,2017,1648827571
595,East Asia,2018,1655663103
596,East Asia,2019,1660384976
597,East Asia,2020,1663179764
598,East Asia,2021,1663696960
599,East Asia,2022,1663200092
600,East Asia,2023,1662476878
601,East Asia,2024,1661450364
602,East Asia,2025,1660086467
603,East Asia,2026,1658361891
604,East Asia,2027,1656288352
605,East Asia,2028,1653863665
606,East Asia,2029,1651096454
607,East Asia,2030,1647993898
608,East Asia,2031,1644560948
609,East Asia,2032,1640814147
610,East Asia,2033,1636756166
611,East Asia,2034,1632362994
612,East Asia,2035,1627653520
613,East Asia,2036,1622664662
614,East Asia,2037,1617426565
615,East Asia,2038,1611973608
616,East Asia,2039,1606288850
617,East Asia,2040,1600348921
618,East Asia,2041,1594156248
619,East Asia,2042,1587717237
620,East Asia,2043,1580978543
621,East Asia,2044,1573922553
622,East Asia,2045,1566515500
623,East Asia,2046,1558696913
624,East Asia,2047,1550457084
625,East Asia,2048,1541753018
626,East Asia,2049,1532546434
627,East Asia,2050,1522820178
628,East Asia,2051,1512561691
629,East Asia,2052,1501789005
630,East Asia,2053,1490530865
631,East Asia,2054,1478796378
632,East Asia,2055,1466601426
633,East Asia,2056,1453977389
634,East Asia,2057,1440984830
635,East Asia,2058,1427714621
636,East Asia,2059,1414214628
637,East Asia,2060,1400532521
638,East Asia,2061,1386764845
639,East Asia,2062,1372956242
640,East Asia,2063,1359157971
641,East Asia,2064,1345422611
642,East Asia,2065,1331763186
643,East Asia,2066,1318204626
644,East Asia,2067,1304778545
645,East Asia,2068,1291477652
646,East Asia,2069,1278310370
647,East Asia,2070,1265296056
648,East Asia,2071,1252414523
649,East Asia,2072,1239650302
650,East Asia,2073,1226966760
651,East Asia,2074,1214353795
652,East Asia,2075,1201793493
653,East Asia,2076,1189242437
654,East Asia,2077,1176695592
655,East Asia,2078,1164147429
656,East Asia,2079,1151595842
657,East Asia,2080,1139041676
658,East Asia,2081,1126497510
659,East Asia,2082,1113995049
660,East Asia,2083,1101548154
661,East Asia,2084,1089172530
662,East Asia,2085,1076899946
663,East Asia,2086,1064759108
664,East Asia,2087,1052761531
665,East Asia,2088,1040924638
666,East Asia,2089,1029269543
667,East Asia,2090,1017805282
668,East Asia,2091,1006524892
669,East Asia,2092,995423399
670,East Asia,2093,984480545
671,East Asia,2094,973680376
672,East Asia,2095,963019578
673,East Asia,2096,952475062
674,East Asia,2097,942034775
675,East Asia,2098,931693199
676,East Asia,2099,921448174
677,East Asia,2100,911276668
678,LAC,-10000,2025795
679,LAC,-9000,2484317
680,LAC,-8000,3057375
681,LAC,-7000,3775089
682,LAC,-6000,4675833
683,LAC,-5000,5808461
684,LAC,-4000,7235468
685,LAC,-3000,9036753
686,LAC,-2000,11314912
687,LAC,-1000,14247972
688,LAC,0,18009187
689,LAC,100,19164114
690,LAC,200,20396044
691,LAC,300,21711018
692,LAC,400,23115524
693,LAC,500,24616691
694,LAC,600,26222816
695,LAC,700,27942907
696,LAC,800,29787833
697,LAC,900,32672307
698,LAC,1000,35590070
699,LAC,1100,39787991
700,LAC,1200,44036283
701,LAC,1300,48360323
702,LAC,1400,52788856
703,LAC,1500,58627806
704,LAC,1600,9113993
705,LAC,1700,11458521
706,LAC,1710,12033958
707,LAC,1720,12638052
708,LAC,1730,13276800
709,LAC,1740,13957585
710,LAC,1750,14689494
711,LAC,1760,15483978
712,LAC,1770,16355484
713,LAC,1780,17335606
714,LAC,1790,18429740
715,LAC,1800,17262337
716,LAC,1801,17191141
717,LAC,1802,17332553
718,LAC,1803,17481085
719,LAC,1804,17636904
720,LAC,1805,17800194
721,LAC,1806,17971165
722,LAC,1807,18150032
723,LAC,1808,18337028
724,LAC,1809,18532416
725,LAC,1810,18993968
726,LAC,1811,18961479
727,LAC,1812,19182284
728,LAC,1813,19410205
729,LAC,1814,19643987
730,LAC,1815,19883758
731,LAC,1816,20129663
732,LAC,1817,20381837
733,LAC,1818,20640432
734,LAC,1819,20893620
735,LAC,1820,21448427
736,LAC,1821,21378769
737,LAC,1822,21610641
738,LAC,1823,21839568
739,LAC,1824,22074970
740,LAC,1825,22317040
741,LAC,1826,22565996
742,LAC,1827,22822045
743,LAC,1828,23085420
744,LAC,1829,23368797
745,LAC,1830,24029608
746,LAC,1831,23996129
747,LAC,1832,24340369
748,LAC,1833,24705196
749,LAC,1834,25078297
750,LAC,1835,25459924
751,LAC,1836,25850323
752,LAC,1837,26249767
753,LAC,1838,26658517
754,LAC,1839,27074503
755,LAC,1840,27907665
756,LAC,1841,27935608
757,LAC,1842,28367714
758,LAC,1843,28814528
759,LAC,1844,29271932
760,LAC,1845,29740261
761,LAC,1846,30219889
762,LAC,1847,30711177
763,LAC,1848,31214524
764,LAC,1849,31686371
765,LAC,1850,32627479
766,LAC,1851,32543898
767,LAC,1852,32928972
768,LAC,1853,33281089
769,LAC,1854,33643657
770,LAC,1855,34016726
771,LAC,1856,34400379
772,LAC,1857,34794697
773,LAC,1858,35199765
774,LAC,1859,35592765
775,LAC,1860,36575673
776,LAC,1861,36339017
777,LAC,1862,36690507
778,LAC,1863,37026402
779,LAC,1864,37368776
780,LAC,1865,37717750
781,LAC,1866,38073454
782,LAC,1867,38436026
783,LAC,1868,38805597
784,LAC,1869,39211996
785,LAC,1870,40368694
786,LAC,1871,40146927
787,LAC,1872,40664556
788,LAC,1873,41230701
789,LAC,1874,41810294
790,LAC,1875,42403502
791,LAC,1876,43010505
792,LAC,1877,43631498
793,LAC,1878,44266671
794,LAC,1879,44931956
795,LAC,1880,46456133
796,LAC,1881,46359794
797,LAC,1882,47112717
798,LAC,1883,47903003
799,LAC,1884,48710201
800,LAC,1885,49534867
801,LAC,1886,50377598
802,LAC,1887,51239022
803,LAC,1888,52119801
804,LAC,1889,53013847
805,LAC,1890,54861946
806,LAC,1891,54852114
807,LAC,1892,55779154
808,LAC,1893,56729583
809,LAC,1894,57701483
810,LAC,1895,58695303
811,LAC,1896,59711509
812,LAC,1897,60750573
813,LAC,1898,61812984
814,LAC,1899,62898405
815,LAC,1900,65072866
816,LAC,1901,65144508
817,LAC,1902,66296131
818,LAC,1903,67477140
819,LAC,1904,68683894
820,LAC,1905,69917048
821,LAC,1906,71177270
822,LAC,1907,72465258
823,LAC,1908,73781717
824,LAC,1909,75084106
825,LAC,1910,77668657
826,LAC,1911,77656613
827,LAC,1912,78903638
828,LAC,1913,80146408
829,LAC,1914,81416530
830,LAC,1915,82714630
831,LAC,1916,84041355
832,LAC,1917,85397372
833,LAC,1918,86761303
834,LAC,1919,88202282
835,LAC,1920,91246087
836,LAC,1921,91331345
837,LAC,1922,93001489
838,LAC,1923,94764791
839,LAC,1924,96565181
840,LAC,1925,98403502
841,LAC,1926,100280625
842,LAC,1927,102197433
843,LAC,1928,104154832
844,LAC,1929,106128708
845,LAC,1930,109884958
846,LAC,1931,110123324
847,LAC,1932,112142692
848,LAC,1933,114175761
849,LAC,1934,116246793
850,LAC,1935,118356519
851,LAC,1936,120505675
852,LAC,1937,122695026
853,LAC,1938,124925345
854,LAC,1939,127364873
855,LAC,1940,132056101
856,LAC,1941,132907757
857,LAC,1942,136030045
858,LAC,1943,139406107
859,LAC,1944,142858701
860,LAC,1945,146410456
861,LAC,1946,150063740
862,LAC,1947,153801709
863,LAC,1948,157646596
864,LAC,1949,161685795
865,LAC,1950,168027099
866,LAC,1951,172291456
867,LAC,1952,176850392
868,LAC,1953,181539851
869,LAC,1954,186380399
870,LAC,1955,191393515
871,LAC,1956,196581009
872,LAC,1957,201950762
873,LAC,1958,207466733
874,LAC,1959,213181375
875,LAC,1960,219351316
876,LAC,1961,225301549
877,LAC,1962,231627663
878,LAC,1963,238100246
879,LAC,1964,244705946
880,LAC,1965,251422207
881,LAC,1966,258198498
882,LAC,1967,265022486
883,LAC,1968,271897444
884,LAC,1969,278823964
885,LAC,1970,286063737
886,LAC,1971,292896741
887,LAC,1972,300083453
888,LAC,1973,307391657
889,LAC,1974,314807284
890,LAC,1975,322304919
891,LAC,1976,329865566
892,LAC,1977,337601078
893,LAC,1978,345541958
894,LAC,1979,353564441
895,LAC,1980,361845421
896,LAC,1981,369451887
897,LAC,1982,377301459
898,LAC,1983,385283114
899,LAC,1984,393319409
900,LAC,1985,401339209
901,LAC,1986,409335288
902,LAC,1987,417329055
903,LAC,1988,425373106
904,LAC,1989,433439260
905,LAC,1990,441935351
906,LAC,1991,449896793
907,LAC,1992,458067188
908,LAC,1993,466206843
909,LAC,1994,474337474
910,LAC,1995,482422209
911,LAC,1996,490398144
912,LAC,1997,498305267
913,LAC,1998,506142409
914,LAC,1999,513870384
915,LAC,2000,521721305
916,LAC,2001,529122794
917,LAC,2002,536371387
918,LAC,2003,543418410
919,LAC,2004,550346325
920,LAC,2005,557197303
921,LAC,2006,563900057
922,LAC,2007,570477031
923,LAC,2008,576919288
924,LAC,2009,583296255
925,LAC,2010,589769567
926,LAC,2011,596087482
927,LAC,2012,602723290
928,LAC,2013,609224338
929,LAC,2014,615630542
930,LAC,2015,621969441
931,LAC,2016,628231948
932,LAC,2017,634335872
933,LAC,2018,640187290
934,LAC,2019,645726149
935,LAC,2020,650710054
936,LAC,2021,654966623
937,LAC,2022,659131862
938,LAC,2023,663852236
939,LAC,2024,668820023
940,LAC,2025,673701209
941,LAC,2026,678490108
942,LAC,2027,683165255
943,LAC,2028,687706405
944,LAC,2029,692114074
945,LAC,2030,696383777
946,LAC,2031,700506533
947,LAC,2032,704474423
948,LAC,2033,708290214
949,LAC,2034,711957080
950,LAC,2035,715469178
951,LAC,2036,718823560
952,LAC,2037,722017346
953,LAC,2038,725036586
954,LAC,2039,727879300
955,LAC,2040,730550621
956,LAC,2041,733044112
957,LAC,2042,735356161
958,LAC,2043,737489410
959,LAC,2044,739453471
960,LAC,2045,741259208
961,LAC,2046,742904009
962,LAC,2047,744388833
963,LAC,2048,745708788
964,LAC,2049,746858806
965,LAC,2050,747843174
966,LAC,2051,748665993
967,LAC,2052,749335394
968,LAC,2053,749857748
969,LAC,2054,750229640
970,LAC,2055,750448451
971,LAC,2056,750514626
972,LAC,2057,750436880
973,LAC,2058,750222240
974,LAC,2059,749862502
975,LAC,2060,749364899
976,LAC,2061,748736045
977,LAC,2062,747973220
978,LAC,2063,747077638
979,LAC,2064,746047301
980,LAC,2065,744882047
981,LAC,2066,743577155
982,LAC,2067,742137549
983,LAC,2068,740570066
984,LAC,2069,738877021
985,LAC,2070,737064189
986,LAC,2071,735134240
987,LAC,2072,733082816
988,LAC,2073,730907538
