Country,Year,cumulative_individuals,annual_visits,cumulative_visits
United States,1982,52.0,8,85
United States,1983,66.0,19,104
United States,1984,85.0,27,131
United States,1985,117.0,52,183
United States,1986,123.0,10,193
United States,1988,125.0,10,203
United States,1989,136.0,25,228
United States,1990,149.0,32,260
United States,1991,167.0,35,295
United States,1992,179.0,45,340
United States,1993,194.0,38,378
United States,1994,204.0,39,417
United States,1995,216.0,38,455
United States,1996,223.0,36,491
United States,1997,232.0,44,535
United States,1998,242.0,27,562
United States,1999,245.0,13,575
United States,2000,249.0,25,600
United States,2001,258.0,33,633
United States,2002,269.0,29,662
United States,2003,272.0,7,669
United States,2004,275.0,5,674
United States,2005,277.0,9,683
United States,2006,286.0,19,702
United States,2007,295.0,19,721
United States,2008,310.0,26,747
United States,2009,329.0,34,781
United States,2010,333.0,23,804
United States,2011,,19,823
United States,2012,,4,827
United States,2013,334.0,4,831
United States,2014,335.0,4,835
United States,2015,336.0,3,838
United States,2016,337.0,4,842
United States,2017,340.0,5,847
United States,2018,342.0,4,851
United States,2019,346.0,4,855
United States,2020,347.0,7,862
United States,2021,,3,865
Vietnam,1980,1.0,1,1
World,1961,4.0,4,4
World,1962,9.0,5,9
World,1963,13.0,5,14
World,1964,16.0,3,17
World,1965,25.0,12,29
World,1966,31.0,10,39
World,1967,,1,40
World,1968,35.0,7,47
World,1969,46.0,23,70
World,1970,49.0,5,75
World,1971,56.0,12,87
World,1972,60.0,6,93
World,1973,71.0,13,106
World,1974,74.0,6,112
World,1975,78.0,11,123
World,1976,82.0,6,129
World,1977,86.0,6,135
World,1978,91.0,10,145
World,1979,93.0,4,149
World,1980,100.0,13,162
World,1981,106.0,10,172
World,1982,115.0,15,187
World,1983,132.0,25,212
World,1984,156.0,37,249
World,1985,196.0,63,312
World,1986,202.0,12,324
World,1987,207.0,8,332
World,1988,214.0,18,350
World,1989,225.0,27,377
World,1990,241.0,38,415
World,1991,264.0,42,457
World,1992,286.0,58,515
World,1993,306.0,47,562
World,1994,322.0,50,612
World,1995,339.0,48,660
World,1996,354.0,48,708
World,1997,370.0,58,766
World,1998,386.0,38,804
World,1999,392.0,22,826
World,2000,399.0,37,863
World,2001,411.0,44,907
World,2002,428.0,40,947
World,2003,433.0,13,960
World,2004,438.0,9,969
World,2005,443.0,15,984
World,2006,455.0,26,1010
World,2007,468.0,26,1036
World,2008,490.0,37,1073
World,2009,512.0,46,1119
World,2010,521.0,31,1150
World,2011,526.0,28,1178
World,2012,531.0,15,1193
World,2013,537.0,15,1208
World,2014,542.0,12,1220
World,2015,547.0,12,1232
World,2016,553.0,14,1246
World,2017,557.0,11,1257
World,2018,561.0,9,1266
World,2019,566.0,9,1275
World,2020,569.0,12,1287
World,2021,570.0,7,1294
