Country,year,rate_median_lt65,rate_median_65_74,rate_median_gt_75,number_median_lt65,number_median_65_74,number_median_gt_75
Laos,1999,3.7,37.4,112.7,239,66,93
Latvia,1999,1.3,12.2,15.1,21,24,28
Lebanon,1999,0.4,7.6,25.5,23,22,48
Lesotho,1999,3.8,37.3,111.8,77,21,36
Liberia,1999,3.8,37.2,113.7,168,37,41
Libya,1999,1.0,37.1,110.9,57,69,110
Lithuania,1999,0.9,11.2,19.3,22,30,53
Luxembourg,1999,0.4,9.5,45.6,2,4,17
Madagascar,1999,3.8,36.1,112.1,886,169,247
Malawi,1999,3.8,37.2,111.8,627,156,193
Malaysia,1999,3.8,37.9,111.9,1072,462,623
Maldives,1999,0.6,9.9,71.2,2,1,5
Mali,1999,3.7,37.9,108.1,634,122,131
Malta,1999,0.6,10.1,83.6,2,5,26
Mauritania,1999,3.8,36.5,113.4,148,34,43
Mauritius,1999,1.0,7.5,64.4,11,6,27
Mexico,1999,1.4,19.2,68.2,1685,935,2283
Micronesia (country),1999,4.0,32.3,137.7,4,1,2
Mongolia,1999,1.5,10.3,16.7,44,8,7
Montenegro,1999,0.4,6.3,18.6,2,3,7
Morocco,1999,3.7,37.2,64.6,1195,487,525
Mozambique,1999,3.8,37.3,113.0,1033,244,321
Myanmar,1999,3.7,37.2,64.4,1906,724,606
Namibia,1999,3.7,37.0,114.1,88,22,31
Nepal,1999,3.9,36.9,114.8,1040,410,543
Netherlands,1999,0.4,12.6,91.2,53,226,1179
New Zealand,1999,0.3,4.7,36.7,12,19,102
Nicaragua,1999,0.9,9.6,64.4,54,17,85
Niger,1999,3.7,37.7,112.8,710,147,139
Nigeria,1999,3.8,37.0,113.9,6653,1433,1271
Norway,1999,0.9,8.8,74.6,38,44,265
Oman,1999,1.0,37.9,108.4,42,31,37
Pakistan,1999,3.7,9.3,25.2,6609,533,701
Panama,1999,1.1,9.1,63.9,40,16,79
Papua New Guinea,1999,3.7,38.0,111.9,277,64,68
Paraguay,1999,2.2,24.9,116.0,135,62,174
Peru,1999,3.7,37.3,112.3,1080,482,954
Philippines,1999,4.0,50.8,225.0,3878,1612,3243
Poland,1999,0.8,8.7,45.8,266,287,1241
Portugal,1999,0.6,10.3,92.0,47,114,966
Qatar,1999,0.5,11.4,22.5,10,2,2
South Korea,1999,0.1,3.7,24.7,57,141,688
Moldova,1999,2.6,7.9,13.1,95,18,23
Romania,1999,0.6,6.7,20.2,97,122,316
Russia,1999,2.9,9.6,26.5,3658,946,2480
Rwanda,1999,3.8,37.2,111.4,430,84,109
Saint Lucia,1999,1.2,10.8,54.5,2,1,4
Saint Vincent and the Grenadines,1999,2.0,22.0,86.4,2,1,3
Samoa,1999,1.1,32.6,100.5,2,2,4
Sao Tome and Principe,1999,3.8,33.2,104.9,7,1,3
Saudi Arabia,1999,0.9,37.3,111.6,288,222,343
Senegal,1999,3.7,36.6,111.9,544,113,151
Serbia,1999,0.7,6.5,17.4,49,58,110
Seychelles,1999,2.2,28.3,128.9,2,1,4
Sierra Leone,1999,3.6,36.6,111.9,229,50,40
Singapore,1999,1.5,39.5,188.6,73,160,469
Slovakia,1999,0.9,10.2,65.4,42,46,195
Slovenia,1999,0.3,5.6,63.4,5,11,112
Solomon Islands,1999,3.7,35.7,103.6,21,5,6
Somalia,1999,3.8,37.2,110.6,400,80,99
South Africa,1999,5.1,37.4,123.1,2661,638,1274
South Sudan,1999,3.7,37.0,110.7,446,112,138
Spain,1999,0.3,6.8,54.5,121,293,2360
Sri Lanka,1999,0.9,9.4,64.3,177,125,384
Sudan,1999,3.6,36.4,113.1,1411,338,466
Suriname,1999,1.4,17.3,63.2,7,4,9
Eswatini,1999,3.8,37.0,116.6,47,12,16
Sweden,1999,0.4,11.2,59.7,33,125,495
Switzerland,1999,0.3,4.7,33.2,23,38,229
Syria,1999,1.0,9.3,64.1,169,45,171
Taiwan,1999,0.2,3.4,33.1,33,54,434
Tajikistan,1999,3.7,37.3,64.3,309,55,69
Thailand,1999,1.3,22.6,111.7,783,976,3136
North Macedonia,1999,0.4,5.7,8.1,7,9,8
Timor,1999,3.7,36.3,116.5,42,19,16
Togo,1999,3.8,37.6,113.0,269,57,57
Tonga,1999,1.0,28.5,110.2,1,1,3
Trinidad and Tobago,1999,1.2,13.1,63.5,15,11,28
Tunisia,1999,1.0,37.0,64.8,99,186,228
Turkey,1999,0.6,12.2,40.8,425,444,933
Turkmenistan,1999,3.8,9.8,24.3,194,13,22
Uganda,1999,3.7,36.9,112.0,1403,248,336
Ukraine,1999,1.1,5.7,4.7,411,198,161
United Arab Emirates,1999,0.4,37.2,114.4,40,31,24
United Kingdom,1999,2.1,15.1,62.5,1097,958,3214
Tanzania,1999,3.8,37.0,113.3,1950,427,632
United States,1999,0.6,8.6,49.3,1523,2354,9929
Uruguay,1999,1.8,31.9,169.2,52,82,405
Uzbekistan,1999,2.7,13.4,15.4,760,103,96
Vanuatu,1999,3.9,38.2,122.7,10,3,4
Venezuela,1999,0.9,9.1,70.2,273,114,493
Vietnam,1999,1.0,9.3,63.6,829,304,1932
Yemen,1999,3.7,37.7,112.6,976,211,212
Zambia,1999,3.8,37.1,113.8,591,119,172
Zimbabwe,1999,3.7,36.4,111.1,555,105,193
