dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
uk15,mi,0,  63907072, 19263.27, 14675.56,    0.503,    27.51,    31.87,    36.33,    18.10,    20.43,    22.71,   0.1501,   0.1656,   0.1810,  2193.15,  2877.62,  3604.57,  4217.44,  5135.62,  6011.31
uk15,hcexp,0,  63907072,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk16,dhi,0,  64421005, 19382.99, 16326.90,    0.331,     6.07,    12.28,    19.83,     1.73,     3.18,     5.29,   0.0087,   0.0143,   0.0228,  4672.25,  6045.71,  7183.68,  1858.51,  2117.74,  2612.46
uk16,dhci,0,  64421005, 19363.39, 16321.97,    0.331,     6.25,    12.45,    19.95,     1.78,     3.27,     5.39,   0.0089,   0.0146,   0.0234,  4673.30,  6020.50,  7148.32,  1857.46,  2142.95,  2647.82
uk16,mi,0,  64421005, 19420.01, 14937.36,    0.497,    26.73,    31.34,    35.66,    17.51,    19.81,    22.09,   0.1440,   0.1595,   0.1749,  2253.09,  3004.60,  3727.27,  4277.67,  5158.85,  6068.87
uk16,hcexp,0,  64421005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk17,dhi,0,  64641350, 19277.30, 16366.67,    0.326,     6.52,    12.57,    19.63,     1.75,     3.27,     5.40,   0.0086,   0.0144,   0.0232,  4790.78,  6053.49,  7119.59,  1755.88,  2129.84,  2700.42
uk17,dhci,0,  64641350, 19258.53, 16348.68,    0.327,     6.68,    12.67,    19.77,     1.80,     3.35,     5.49,   0.0088,   0.0148,   0.0238,  4782.12,  6016.90,  7092.02,  1764.55,  2166.43,  2727.98
uk17,mi,0,  64641350, 19153.28, 15207.80,    0.488,    26.62,    31.35,    35.87,    17.44,    19.73,    22.06,   0.1439,   0.1591,   0.1745,  2257.34,  3032.66,  3780.68,  4289.32,  5150.68,  6039.32
uk17,hcexp,0,  64641350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk18,dhi,0,  65464513, 19675.33, 16339.08,    0.337,     6.37,    12.34,    19.95,     1.81,     3.28,     5.43,   0.0090,   0.0148,   0.0235,  4678.24,  5999.33,  7136.52,  1857.40,  2170.21,  2666.92
uk18,dhci,0,  65464513, 19656.26, 16320.67,    0.338,     6.56,    12.56,    20.11,     1.86,     3.35,     5.52,   0.0092,   0.0152,   0.0240,  4687.59,  5989.34,  7110.66,  1848.05,  2180.20,  2692.79
uk18,mi,0,  65464513, 19804.17, 15217.30,    0.495,    26.10,    30.19,    35.05,    17.17,    19.37,    21.57,   0.1422,   0.1570,   0.1716,  2236.12,  2927.12,  3769.32,  4299.52,  5242.42,  6034.13
uk18,hcexp,0,  65464513,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk19,dhi,0,  65614604, 19935.94, 17039.39,    0.328,     7.07,    13.06,    19.93,     2.00,     3.59,     5.73,   0.0100,   0.0164,   0.0256,  4891.63,  6176.70,  7287.28,  1924.12,  2343.00,  2936.36
uk19,dhci,0,  65614604, 19916.41, 17029.34,    0.329,     7.27,    13.26,    20.06,     2.06,     3.68,     5.82,   0.0103,   0.0168,   0.0262,  4882.39,  6156.94,  7255.26,  1933.36,  2362.76,  2968.38
uk19,mi,0,  65614604, 20209.12, 15993.88,    0.484,    25.56,    30.21,    34.46,    16.75,    18.97,    21.19,   0.1382,   0.1529,   0.1677,  2348.48,  3169.68,  3937.49,  4467.27,  5350.02,  6286.15
uk19,hcexp,0,  65614604,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk20,dhi,0,  66004521, 19817.76, 16696.13,    0.328,     5.42,    11.48,    19.65,     1.79,     3.05,     5.12,   0.0104,   0.0152,   0.0230,  4468.11,  6128.99,  7409.73,  2210.34,  2219.08,  2607.95
uk20,dhci,0,  66004521, 19804.33, 16681.11,    0.328,     5.45,    11.60,    19.72,     1.82,     3.10,     5.18,   0.0105,   0.0154,   0.0233,  4453.52,  6115.58,  7384.73,  2224.93,  2232.49,  2632.95
uk20,mi,0,  66004521, 19322.19, 14792.63,    0.490,    26.23,    31.90,    35.90,    17.20,    19.57,    21.95,   0.1428,   0.1577,   0.1731,  2298.88,  3227.44,  3894.00,  4379.57,  5120.62,  6123.68
uk20,hcexp,0,  66004521,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
