Code,Indicator Name,Long definition,Source
CoHD_f_prop,Cost share for fruits in a least-cost healthy diet,"Share of costs for the least expensive fruits to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_v_prop,Cost share for vegetables in a least-cost healthy diet,"Share of costs for the least expensive vegetables to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_ss_prop,Cost share for starchy staples in a least-cost healthy diet,"Share of costs for the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_asf_prop,Cost share for animal-sourced foods in a least-cost healthy diet,"Share of costs for the least expensive animal-source foods to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_lns_prop,"Cost share for legumes, nuts and seeds in a least-cost healthy diet","Share of costs for the least expensive legumes, nuts or seeds to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_of_prop,Cost share for oils and fats in a least-cost healthy diet,"Share of costs for the least expensive oils or fats to meet daily recommendations in food-based dietary guidelines, as a proportion of the total cost of a healthy diet. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_f_ss,Cost of fruits relative to the starchy staples in a least-cost healthy diet,Cost of the least expensive fruits as a multiple of the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_v_ss,Cost of vegetables relative to the starchy staples in a least-cost healthy diet,Cost of the least expensive vegetables as a multiple of the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_asf_ss,Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet,Cost of the least expensive animal-source foods as a multiple of the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_lns_ss,"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet","Cost of the least expensive legumes, nuts and seeds as a multiple of the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_of_ss,Cost of oils and fats relative to the starchy staples in a least-cost healthy diet,Cost of the least expensive oils and fats as a multiple of the least expensive starchy staples to meet daily recommendations in food-based dietary guidelines. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_pov,Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line,The ratio of the cost of an energy sufficient diet to the $0.99 food poverty line (52% of the international poverty line of 1.90/day in 2011 PPP dollars). Data available for 2017.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoNA_pov,Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line,The ratio of the cost of a nutrient adequate diet to the $0.99 food poverty line (52% of the international poverty line of 1.90/day in 2011 PPP dollars). Data available for 2017.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoHD_pov,Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line,"The ratio of the cost of a healthy diet to the $0.99 food poverty line (52% of the international poverty line of 1.90/day in 2011 PPP dollars). Data available for 2017, 2018, 2019 and 2020.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_fexp,Affordability of an energy sufficient diet: ratio of cost to food expenditures,The ratio of the cost of an energy sufficient diet to total food expenditure per capita per day from national accounts. Data available for 2017.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoNA_fexp,Affordability of a nutrient adequate diet: ratio of cost to food expenditures,The ratio of the cost of a nutrient adequate diet to total food expenditure per capita per day from national accounts. Data available for 2017.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoHD_fexp,Affordability of a healthy diet: ratio of cost to food expenditures,The ratio of the cost of a healthy diet to total food expenditure per capita per day from national accounts. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_headcount,Percent of the population who cannot afford sufficient calories at 52% of income,"The share of the population whose food budget is below the cost of an energy sufficient diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoNA_headcount,Percent of the population who cannot afford nutrient adequacy at 52% of income,"The share of the population whose food budget is below the cost of a nutrient adequate diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoHD_headcount,Percent of the population who cannot afford a healthy diet at 52% of income,"The share of the population whose food budget is below the cost of a healthy diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017, 2018, 2019 and 2020.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_unafford_n,Millions of people who cannot afford sufficient calories at 52% of income,"The number of people whose food budget is below the cost of an energy sufficient diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoNA_unafford_n,Millions of people who cannot afford nutrient adequacy at 52% of income,"The number of people whose food budget is below the cost of a nutrient adequate diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoHD_unafford_n,Millions of people who cannot afford a healthy diet at 52% of income,"The number of people whose food budget is below the cost of a healthy diet. The food budget is defined as 52% of household income, based on the average share of income that households in low-income countries spend on food. Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017, 2018, 2019 and 2020.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
