country,issue,id,value,value_formatted,start_date_formatted,description,end_date_formatted
Angola,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,"In Angola, surgery is not required to legally change your gender",
Angola,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,There are only 2 legally recognized genders in Angola.,
Angola,discrimination,19,Illegal,Illegal,"February 21, 2013",A penal code change in 2013 made it illegal to discriminate according to sexual orientation and identity.,
Angola,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2015",Under the change of the Angolan Criminal Code. ,
Angola,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2015",under the change of the Criminal Code. ,
Angola,adoption,5,Single only,Single only,,No restrictions there. no laws in place for same sex couples.,
Angola,military,16,Legal,Legal,,There  no ban on service and with discrimination protections it makes it easy to serve.,
Angola,blood,25,Legal,Legal,,,
Angola,conversion-therapy,49,Not banned,Not banned,,There are no laws banning conversion therapy in Angola.,
Angola,age-of-consent,27,Equal,Equal,,Will come into effect in 2020.,
Anguilla,homosexuality,1,Legal,Legal,"January 1, 2001","On 13 December 2000, Caribbean Territories (Criminal Law) Order 2000 decriminalised consensual same-sex acts in private for two people over the age of 18. The order does not apply to acts with more than two parties, or in public lavatories.",
Anguilla,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,,Gay Marriage and Gay Unions pending under a ruling under the Latin America court to legalize gay marriage in all of Latin America. Under 2018 IACHR ruling.,
Anguilla,censorship,56,No censorship,No censorship,,"In Anguilla, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Anguilla,changing-gender,22,Illegal,Illegal,,Full legalization required under 2018 IACHR ruling. no laws in place.,
Anguilla,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"No way to change legal gender, including to non-binary.",
Anguilla,discrimination,20,No protections,No protections,"January 5, 2001",not much is know about this island. was not added when criminality was decriminalized in Anguilla criminal code.,
Anguilla,employment-discrimination,43,No protections,No protections,"January 5, 2001",Was not added to the current criminal code.,
Anguilla,housing-discrimination,47,No protections,No protections,"January 5, 2001",,
Anguilla,adoption,5,Single only,Single only,,Legalization required under the 2018 IACHR Ruling. Legalization pending. No laws for same sex couples.,
Anguilla,military,16,Legal,Legal,,Defended by Britain.,
Anguilla,blood,25,Legal,Legal,"January 1, 2011",3 month deferral as part of the UK,
Anguilla,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Anguilla,age-of-consent,28,Unequal,Unequal,"January 1, 2001","On 13 December 2000, Caribbean Territories (Criminal Law) Order 2000 decriminalised consensual same-sex acts in private for two people over the age of 18.  Age of consent for heterosexual couples is under 16.",
Antarctica,homosexuality,1,Legal,Legal,,No laws prohibiting homosexuality. No punishments can occur in Antarctica.,
Antarctica,marriage,,varies,Varies by Region,"October 13, 2016","Antarctica has no permanent human population or government and applicable laws are mostly based on a person's nationality due to the Antarctic Treaty System. However, since 13 October 2016 same sex marriage has been legal and possible in the British Antarctic Territory.",
Antarctica,censorship,56,No censorship,No censorship,,Antarctica has no permanent human population or government.,
Antarctica,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,Antarctica has no permanent human population or government.,
Antarctica,non-binary-gender-recognition,57,Recognized,Recognized,,Antarctica has no permanent human population or government.,
Antarctica,discrimination,,na,N/A,,Antarctica has no permanent human population or government.,
Antarctica,employment-discrimination,,na,N/A,,Antarctica has no permanent human population or government.,
Antarctica,housing-discrimination,,na,N/A,,Antarctica has no permanent human population or government.,
Antarctica,adoption,,na,N/A,,Antarctica has no permanent human population or government.,
Antarctica,military,,na,N/A,,There is no military presence in Antarctica.,
Antarctica,blood,25,Legal,Legal,,Antarctica has no permanent human population or government.,
Antarctica,conversion-therapy,,na,N/A,,Antarctica has no permanent human population or government.,
Antarctica,age-of-consent,,na,N/A,,Antarctica has no permanent human population or government.,
Antigua and Barbuda,homosexuality,1,Legal,Legal,"July 5, 2022","The high court of Justice for Antigua and Barbuda ruled that sections of the Penal Code that made consensual same-sex intimacy illegal were unconstitutional, and void, therefore legalizing homosexuality since 2022.",
Antigua and Barbuda,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,,Legalization required by the 2018 IACHR Ruling. Under 2018 IACHR ruling.,
Antigua and Barbuda,censorship,56,No censorship,No censorship,,"In Antigua and Barbuda, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Antigua and Barbuda,changing-gender,22,Illegal,Illegal,,Full Legalization required by 2018 IACHR Ruling.,
Antigua and Barbuda,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"No way to change legal gender, including non-binary.",
Antigua and Barbuda,discrimination,19,Illegal,Illegal,"July 5, 2022","As a result of the Eastern Caribbean Supreme Court's ruling that decriminalized sodomy, references to sex in the constitution were interpreted to include sexual orientation and gender identity as protected categories against discrimination.<br />
<br />
""In giving a liberal and purposive interpretation to section 14(3) of the Constitution the reference to “sex” ought not to merely reference a physical gender. Such an approach would be too linear and restrictive. The reference to “sex” would necessarily encompass concepts such as gender identity, sexual character, and sexual orientation. It would be self-defeating to the constitutional provision if the notion of sex were to be separated from matters of sexual orientation and sexual identification since the concept of sex as a physical gender carries with it a perception of how people identify and are oriented even in those instances when the identification and orientation are stereotypical or traditional in nature.""",
Antigua and Barbuda,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"July 5, 2022",Per Eastern Caribbean Supreme Court ruling,
Antigua and Barbuda,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,Per Eastern Caribbean Supreme Court ruling,
Antigua and Barbuda,adoption,5,Single only,Single only,,Must be residents of the country.,
Antigua and Barbuda,military,16,Legal,Legal,,Unofficial don't ask don't tell because same sex activity is illegal.,
Antigua and Barbuda,blood,25,Legal,Legal,,,
Antigua and Barbuda,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Antigua and Barbuda,age-of-consent,27,Equal,Equal,"July 5, 2022",Supreme court July 2022 ruling made age of consent equal.,
Argentina,homosexuality,1,Legal,Legal,"January 1, 1987",Homosexual activity is legal in Argentina.,
Argentina,marriage,8,Legal,Legal,"July 15, 2010","In 2010, Argentina became the first country in Latin America to legalize gay marriage. The Senate passed the bill by a narrow margin (33 votes in favor, 27 against, and 3 abstained).",
Argentina,censorship,56,No censorship,No censorship,,"In Argentina, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Argentina,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","May 24, 2012","People have a right to change their legal gender without approval from a doctor or a judge. Sex reassignment surgery and hormonal treatments are not required, but they are provided by the state for free to anyone who requests them.<br />
Several people had had their legal gender changed before the Gender Identity Law through court decisions, including popular actress, TV host and trans woman Flor de la V.",
Argentina,non-binary-gender-recognition,57,Recognized,Recognized,"July 21, 2021","Decree in place since july 21th of 2021 as of Presidential Decree N ° 476/21. Recognizing identities outside the male and female binomial by incorporating the nomenclature ""X"" in the National Identity Document as an option, for all people who do not identify themselves as male or female.",
Argentina,discrimination,32,Illegal in some contexts,Illegal in some contexts,"February 27, 2009",Argentina recognizes international convention on human rights. LGBT individuals are explicitly protected in the military code but is not explicitly included in the general discrimination protection code.,
Argentina,employment-discrimination,,varies,Varies by Region,,Pending nationwide.,
Argentina,housing-discrimination,,varies,Varies by Region,,Pending nationwide.,
Argentina,adoption,3,Legal,Legal,"July 15, 2010",Same-sex adoption is legal in Argentina.,
Argentina,military,16,Legal,Legal,"January 1, 2007",,
Argentina,blood,25,Legal,Legal,"September 16, 2015","In 2015, the ban on blood donations by MSMs was lifted.",
Argentina,conversion-therapy,48,Banned,Banned,,Under national ban.,
Argentina,age-of-consent,27,Equal,Equal,"January 1, 2001",,
Armenia,homosexuality,1,Legal,Legal,"April 18, 2003",,
Armenia,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,,Only foreign same-sex marriages are recognized in Armenia.,
Armenia,censorship,56,No censorship,No censorship,,"In Armenia, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Armenia,changing-gender,,na,N/A,,No Laws in place. ,
Armenia,non-binary-gender-recognition,,na,N/A,,There are no laws to change one’s gender in place.,
Armenia,discrimination,20,No protections,No protections,"July 5, 1995",The constitution does not prohibit discrimination on the grounds of sexual orientation or gender identity,
Armenia,employment-discrimination,43,No protections,No protections,,There is no regulation that prohibits employment discrimination on the grounds of sexual orientation or gender identity,
Armenia,housing-discrimination,47,No protections,No protections,,There is no regulation that prohibits housing discrimination on the grounds of sexual orientation or gender identity,
Armenia,adoption,5,Single only,Single only,,Single person is allowed to adopt. There is nothing mentioned about LGBT individuals in the laws regulating adoption,
Armenia,military,17,"Don't Ask, Don't Tell","Don't Ask, Don't Tell","January 1, 2004","According to the Helsinki Rights Committee in Armenia, in 2004, an internal defence ministry decree effectively bans gay men from serving in the armed forces. In practice, gays are marked as ""mentally ill"" and sent to a psychiatrist.",
Armenia,blood,25,Legal,Legal,,Blood donations is legal.,
Armenia,conversion-therapy,49,Not banned,Not banned,,There are no laws in place banning conversion therapy.,
Armenia,age-of-consent,27,Equal,Equal,,Equal at the age of 16.,
Aruba,homosexuality,1,Legal,Legal,,,
Aruba,marriage,8,Legal,Legal,"October 10, 2010",Marriages performed in the Kingdom of the Netherlands are recognised. They are not however performed in Aruba.,
Aruba,censorship,56,No censorship,No censorship,,"In Aruba, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Aruba,changing-gender,22,Illegal,Illegal,,Legalization required under the 2018 IACHR ruling. no laws in place.,
Aruba,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"No way to change legal gender, including to non-binary.",
Aruba,discrimination,20,No protections,No protections,,,
Aruba,employment-discrimination,43,No protections,No protections,,No protections to date.,
Aruba,housing-discrimination,47,No protections,No protections,,,
Aruba,adoption,5,Single only,Single only,,Legalization required under the 2018 IACHR Ruling. Proposed legalization.,
Aruba,military,16,Legal,Legal,"January 1, 1974",The Netherlands is responsible for defence.,
Aruba,blood,25,Legal,Legal,,No restrictions.,
Aruba,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Aruba,age-of-consent,27,Equal,Equal,,Dont know ,
Australia,homosexuality,1,Legal,Legal,"May 1, 1997","In 1997 the High Court of Australia ruled that Tasmania's anti-gay laws were inconsistent with federal law, and Tasmania (the final jurisdiction with contrary laws) was forced to decriminalise homosexuality.",
Australia,marriage,8,Legal,Legal,"December 9, 2017","Same-sex marriage has been legal in Australia since 9 December 2017. The legislation to allow same-sex marriage, the Marriage Amendment (Definition and Religious Freedoms) Act 2017, passed the Australian Parliament on 7 December 2017 and received royal assent from the Governor-General the following day.",
Australia,censorship,56,No censorship,No censorship,,"Not mentioned in law, not punished either. Bias of coverage is more based on media concentration.",
Australia,changing-gender,,varies,Varies by Region,"July 1, 2017","Legal, but surgery requirements vary by region. Most states don't allow you to change your gender marker more than once in a 12-month period. The High Court of Australia has ruled that gender reassignment surgery does not need to be comprehensive, just be socially identifiable as your preferred gender.<br />
• Any government department that operates at a federal level does not require surgery.<br />
• In NSW a gender marker change requires GRS, top surgery, or orchiectomy.<br />
• In Queensland gender change requires an application confirming surgery or proof of reassignment surgery.<br />
• In South Australia no surgery is required, only proof of psychological counseling.<br />
• In Tasmania no surgery is required, they may require proof of psychological counseling for persons under 18.<br />
• In Victoria no surgery is required, you just have to attest you are the gender you claim.<br />
• In Western Australia surgery is not required.<br />
• In Northern Territory clinical treatment, either: surgery, hormone therapy, or counselling is required. ",
Australia,non-binary-gender-recognition,57,Recognized,Recognized,, Australia does have recognition of nonbinary gender through the X marker on legal documentation.,
Australia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"December 6, 1986","The Human Rights and Equal Opportunity Commission Act of 1986 prevents discriminatory activities, however, the Sex Discrimination Act 1984 provides exemptions for religious institutions.",
Australia,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"June 28, 2013","Sex Discrimination Amendment (Sexual<br />
Orientation, Gender Identity and<br />
Intersex Status) Act 2013",
Australia,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"June 28, 2013",,
Australia,adoption,3,Legal,Legal,"April 20, 2018",Adoption of Children Legislation Amendment (Equality) Bill 2017,
Australia,military,16,Legal,Legal,"November 24, 1992",,
Australia,blood,52,Banned (3-month deferral),Banned (3-month deferral),"January 31, 2021","Reduced to 3-months on Jan 31, 2021.",
Australia,conversion-therapy,,varies,Varies by Region,,"Conversion therapy is illegal in the ACT, Queensland and Victoria. Other states are either planning to introduce a bill, or have not introduced a bill as of yet.",
Australia,age-of-consent,27,Equal,Equal,"September 16, 2016","Following the amendment in the Queensland Criminal Code, the age of consent is now equal across all states and territories of Australia.",
Austria,homosexuality,1,Legal,Legal,"August 16, 1971",,
Austria,marriage,8,Legal,Legal,"January 1, 2019",Same-sex marraige was legalized,
Austria,censorship,56,No censorship,No censorship,,"In Austria, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Austria,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","February 27, 2009", ,
Austria,non-binary-gender-recognition,59,Intersex only,Intersex only,"December 14, 2018",Only for inter,
Austria,discrimination,19,Illegal,Illegal,"January 1, 2004",,
Austria,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2004","Gender identity and intersex status are perceived as being covered under ""gender"".",
Austria,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2004",,
Austria,adoption,3,Legal,Legal,"January 14, 2015",Same sex couples can have the same right to adopt as different-sex couples,
Austria,military,16,Legal,Legal,,,
Austria,blood,25,Legal,Legal,"September 1, 2022","A 1-year deferral was implemented following the publication of standardized donor history questionnaire in December 2019. Previously, there was an indefinite ban on donations. In December 2019 this was changed to a 4-month deferral period for blood donors.<br />
Since September 2022, the ban was lifted completely.",
Austria,conversion-therapy,49,Not banned,Not banned,,No restrictions,
Austria,age-of-consent,27,Equal,Equal,"June 24, 2002",The age of consent between people with maximum 5 years of difference is 14. Sexual contact between coetaneous is never punishable.,
Azerbaijan,homosexuality,1,Legal,Legal,"September 1, 2000","In 2000 a new criminal code was introduced, repealing article 121 against homosexuality.",
Azerbaijan,marriage,13,Unrecognized,Unrecognized,,Same-sex marriage is not legally recognized in Azerbaijan.,
Azerbaijan,censorship,56,No censorship,No censorship,,"In Azerbaijan, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Azerbaijan,changing-gender,22,Illegal,Illegal,,Transgender people can change their name but not their legal gender.  ,
Azerbaijan,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,A Third gender is not legally recognized in Azerbaijan.,
Azerbaijan,discrimination,20,No protections,No protections,,"Only ""protection"" is the end of anti-sodomy laws (only in effort to join Council of Europe). Otherwise, LGBT people have no protections.",
Azerbaijan,employment-discrimination,43,No protections,No protections,,"Excerpt: ""Gay and lesbians can be thus unfairly dismissed from their jobs, and homophobia is common.""",
Azerbaijan,housing-discrimination,47,No protections,No protections,"December 28, 1999",,
Azerbaijan,adoption,7,Illegal,Illegal,"December 28, 1999","According to a study by the Council of Europe or the Office of the Commissioner for Human Rights, same-sex couples cannot adopt since Article 120 of the Family Code (1999) states that joint adoption is only allowed for married couples. The report suggests that in principle, there aren't any legal restrictions around adopting as an individual — gay or straight — however, all individuals are usually denied the right to adopt.",
Azerbaijan,military,,ambiguous,Ambiguous,,Unknown laws.,
Azerbaijan,blood,25,Legal,Legal,,,
Azerbaijan,conversion-therapy,49,Not banned,Not banned,,Nowhere in the country,
Azerbaijan,age-of-consent,27,Equal,Equal,,The age of consent in Azerbaijan is 16 for both same-sex couples and opposite-sex couples.,
Bahamas,homosexuality,1,Legal,Legal,"January 1, 1991",Legal between consenting adults.,
Bahamas,marriage,15,Not legal,Not legal,,The Bahamas Marriage Act defines marriage as only being possible between a man and a woman.,
Bahamas,censorship,56,No censorship,No censorship,,"In Bahamas, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Bahamas,changing-gender,22,Illegal,Illegal,,Not possible under current Constitution.,
Bahamas,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"Not currently possible to change legal gender, including to non-binary.",
Bahamas,discrimination,32,Illegal in some contexts,Illegal in some contexts,,According to ilga.org. Full protection on sexual orientation only.,
Bahamas,employment-discrimination,44,Sexual orientation only,Sexual orientation only,,,
Bahamas,housing-discrimination,46,Sexual orientation only,Sexual orientation only,,,
Bahamas,adoption,5,Single only,Single only,"October 6, 2017",No laws in place for same sex couples. Legalization pending.,
Bahamas,military,16,Legal,Legal,"May 8, 1998","President of Bahamas made an announcement in 1998, explicitly supporting LGBTQ+ individuals to serve in the military",
Bahamas,blood,25,Legal,Legal,,,
Bahamas,conversion-therapy,49,Not banned,Not banned,,Not criminalized in the country.,
Bahamas,age-of-consent,28,Unequal,Unequal,,"Set at 16 years for straight couples, and 18 years for same-sex couples.",
Bahrain,homosexuality,1,Legal,Legal,"March 20, 1976","Bahrain may consider homosexuality as ""immoral"", although homosexual activity is not explicitly illegal.<br />
<br />
However there has been documented cases of arrests being made towards homosexual people on virtue of them being homosexuals",
Bahrain,marriage,15,Not legal,Not legal,,There is no legal recognition of same-sex relationships in Bahrain.,
Bahrain,censorship,,ambiguous,Ambiguous,,In Bahrain there are sometimes censorship as some movies or films containing LGBT content is banned. ,
Bahrain,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 2, 2014","As of 2014, Bahrain allows sex change surgeries.",
Bahrain,non-binary-gender-recognition,,,,,,
Bahrain,discrimination,20,No protections,No protections,"March 20, 1976",None are in the criminal code. ,
Bahrain,employment-discrimination,43,No protections,No protections,"March 20, 1976",,
Bahrain,housing-discrimination,47,No protections,No protections,"March 20, 1976",,
Bahrain,adoption,7,Illegal,Illegal,,"According to The Ministry of Islamic and Justice Affairs, adoption is not possible in Bahrain.",
Bahrain,military,,,,,,
Bahrain,blood,,ambiguous,Ambiguous,,No data,
Bahrain,conversion-therapy,49,Not banned,Not banned,,Not criminalized anywhere in the middle east.,
Bahrain,age-of-consent,27,Equal,Equal,"January 1, 1976",Age of consent for same sex acts is 21,
Bangladesh,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"October 6, 1860","Section 377 of the penal code states that ""unnatural intersources"" with any men women or animal is punishable for up to life in prison.",
Bangladesh,marriage,15,Not legal,Not legal,"October 6, 1860","Homosexuality is illegal in Bangladesh, so same-sex relationships are illegal as well.",
Bangladesh,censorship,56,No censorship,No censorship,,"In Bangladesh, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Bangladesh,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","November 11, 2013",Bangladeshi transgender people are allowed to change their legal gender.,
Bangladesh,non-binary-gender-recognition,57,Recognized,Recognized,"November 11, 2013","The Bangladeshi government has acknowledged a third gender (hijra), and is allowed to be legally registered as a gender.",
Bangladesh,discrimination,20,No protections,No protections,,LGBTQ+ personel in Bangladesh face extreme discrimination with no protections.,
Bangladesh,employment-discrimination,43,No protections,No protections,,no protections.,
Bangladesh,housing-discrimination,47,No protections,No protections,,no protections.,
Bangladesh,adoption,5,Single only,Single only,,No laws in place for same sex couples. As well homosexuality is currently illegal.,
Bangladesh,military,18,Illegal,Illegal,,"In Bangladesh, you can't openly serve in the military.",
Bangladesh,blood,,ambiguous,Ambiguous,,no laws in place.,
Bangladesh,conversion-therapy,49,Not banned,Not banned,,Under a poll by ILGA a huge percentage of bangladeshians would try conversion therapy on someone who is lgbt. Homosexuality is still currently illegal.,
Bangladesh,age-of-consent,,na,N/A,,Homosexuality is illegal for males and females.,
Barbados,homosexuality,1,Legal,Legal,"December 12, 2022","In December 2022, the courts ruled Barbados' laws against buggery and ""gross indecency"" were unconstitutional and struck them from the Sexual Offences Act.",
Barbados,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"January 1, 2018",Legalization required under American Convention on Human Rights. Gay marriage pending. Under 2018 IACHR Ruling.,
Barbados,censorship,56,No censorship,No censorship,,"In Barbados, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Barbados,changing-gender,22,Illegal,Illegal,,Required to be legalized by American Convention of Human Rights. No laws in place.,
Barbados,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Barbados does not recognize legal gender changes.,
Barbados,discrimination,32,Illegal in some contexts,Illegal in some contexts,,Discrimination is illegal in some contexts.,
Barbados,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"August 5, 2020",The Employment (Prevention of Discrimination) Act protects against discrimination on grounds of sexual orientation.,
Barbados,housing-discrimination,47,No protections,No protections,,,
Barbados,adoption,5,Single only,Single only,,No laws for same sex couples. As well Homosexuality is currently illegal.,
Barbados,military,16,Legal,Legal,,Not conditions restricting lgbt people serving. ,
Barbados,blood,25,Legal,Legal,,,
Barbados,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
