country,issue,id,value,value_formatted,end_date_formatted,description,start_date_formatted
Antigua and Barbuda,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"July 5, 2022","Sexual Offences Act of 1995 (Act No. 9)<br />
Buggery <br />
Article 12.<br />
“(1) A person who commits buggery is guilty of an offence and <br />
is liable on conviction to imprisonment -<br />
(a) for life, if committed by an adult on a minor;<br />
(b) for  fteen years, if committed by an adult on another adult;<br />
(c) for  ve years, if committed by a minor.<br />
(2) In this section “buggery” means sexual intercourse per <br />
anum by a male person with a male person or by a male <br />
person with a female person.”<br />
Serious indecency<br />
Article 15. “(1) A person who commits an act of serious <br />
indecency on or towards another is guilty of an offence and is <br />
liable on conviction to imprisonment -<br />
(a) for ten years, if committed on or towards a minor under <br />
sixteen years of age;<br />
(b) for  ve years, if committed on or towards a person sixteen <br />
years of age or more,<br />
(2) Subsection (1) does not apply to an act of serious indecency <br />
committed in private between -<br />
(a) a husband and his wife; or<br />
(b) a male person and a female person each of whom is <br />
sixteen years of age or more;<br />
(3) An act of “serious indecency” is an act, other than sexual <br />
intercourse (whether natural or unnatural), by a person <br />
involving the use of genital organ for the purpose of arousing <br />
or gratifying sexual desire.”","January 1, 1995"
Antigua and Barbuda,discrimination,32,Illegal in some contexts,Illegal in some contexts,"July 5, 2022","Pursuant to rule 7(1) of the Eastern Caribbean Supreme Court (Sentencing Guidelines) Rules 2019, adopted by Antigua and Barbuda under Statutory Instrument No. 49 (2019), Practice Direction 8E No. 1 (effective 1 September 2020) includes under Section 5(j) the crime of murder motivated by the victim’s sexual orientation among the exceptionally serious crimes that could lead to the imposition of life imprisonment for the perpetrator.","September 1, 2020"
Antigua and Barbuda,employment-discrimination,43,No protections,No protections,"July 5, 2022",Homosexuality illegal,
Antigua and Barbuda,housing-discrimination,47,No protections,No protections,"July 5, 2022",Homosexuality illegal,
Argentina,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","February 26, 2018",As well people can change documents if they wish,"May 24, 2012"
Argentina,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 16, 2015","Federal regulations ban MSMs from donating blood, but it has been legal in the Autonomous City of Buenos Aires since July 2013.<br />
A bill that would strike down the federal ban in other regions was passed by the lower house of Congress, but it was never considered by the Senate.","June 13, 2006"
Armenia,adoption,5,Single only,Single only,"September 9, 2018",Single people are allowed to adopt. No laws in place for same sex couples.,"January 1, 1995"
Australia,homosexuality,,varies,Varies by Region,"April 30, 1997","Homosexual activity was federally decriminalized by the Human Rights (Sexual Conduct) Act 1994, although some local state laws remained inconsitent until 1997.","March 31, 1994"
Australia,marriage,11,"Unrecognized, same-sex marriage and civil unions banned","Unrecognized, same-sex marriage and civil unions banned","December 9, 2017",Same-sex marriage was unrecognized until 2017.,
Australia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","July 1, 2017","Legal, but requires hormone treatment",
Australia,adoption,3,Legal,Legal,,"Adoption is not a federal law and is state-based. Since April 2018, same-sex couples can adopt children in all jurisdictions within Australia.","April 20, 2018"
Australia,adoption,,na,N/A,"April 1, 2018","This is not decided at the Federal level, but at the territorial government level.  Some territories allow it, others do not.","January 1, 2007"
Australia,blood,40,Banned (1-year deferral),Banned (1-year deferral),"January 31, 2021",The Red Cross controls blood donations in Australia and it has a ban on MSMs active in the last year ,"January 1, 1996"
Austria,marriage,33,Civil unions,Civil unions,"December 31, 2018",Civil Union was a recognized status,"January 1, 2010"
Austria,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","February 27, 2009", ,"January 1, 1983"
Austria,adoption,6,Step-child adoption only,Step-child adoption only,"January 14, 2015",Only step child adoption can take place,"January 1, 2013"
Austria,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 1, 2022","In December 2019, a deferral period of one year was put in place. <br />
<br />
On May 20, 2022, Austria voted to lift the ban entirely and instead vet donors according to the risk of their sexual behavior. The new law is expected to take effect in the Fall.","January 1, 2019"
Austria,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"December 1, 2019",One of the many countries were lgbt people cannot donate.,"January 1, 2002"
Azerbaijan,marriage,14,Unregistered cohabitation,Unregistered cohabitation,"September 9, 2018",Required to be legalized under EU ruling. Under EU Law.,"January 1, 2015"
Bahrain,homosexuality,,ambiguous,Ambiguous,"September 8, 2018",Not technically illegal. but certain sections of the criminal code have been used to prosecute LGBT people.,"March 20, 1976"
Bahrain,marriage,13,Unrecognized,Unrecognized,"September 8, 2018",No such laws outlawing or criminalizing gay couples.,"January 1, 1976"
Bahrain,age-of-consent,27,Equal,Equal,"January 1, 2019",A Penal Code was enacted in 1976 which decriminalized same-sex activities. It also stated that the age of consent for same-sex activities would be the same as heterosexuals at 21 years old.,"January 1, 1976"
Bahrain,age-of-consent,27,Equal,Equal,"September 6, 2018",age of consent is set at 21.,"January 1, 1976"
Barbados,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 7, 2018","10 years to 16 years in prison. Not enforced. it is the next country that activists are working to get homosexuality  Decriminalized. Decriminalization pending. Barbados held its first pride parade on July 24, 2018. ","March 5, 2017"
Barbados,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"December 12, 2022","The law is rarely, if ever enforced. Decriminalization pending.",
Barbados,employment-discrimination,43,No protections,No protections,"August 5, 2020",There are no protections against discrimination against LGBT individuals. The church has a large influence on the island.,
Barbados,age-of-consent,,na,N/A,"December 12, 2022",Homosexuality is illegal. ,"January 1, 1992"
Belarus,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 8, 2018",Foreign Same sex marriages recognized under EU law.,"November 26, 1996"
Belarus,marriage,15,Not legal,Not legal,"January 1, 2015",Article 32 of the constitution defines marriage to be between a man and a woman.,
Belarus,employment-discrimination,43,No protections,No protections,"September 9, 2018",No discrimination protections exist.,"August 25, 1991"
Belgium,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"September 3, 1944",Belgium was under German occupation during World War II and thus Paragraph 175 was in effect.,"May 28, 1940"
Belgium,homosexuality,1,Legal,Legal,"May 28, 1940",Legalized under French rule and the Napoleonic Code.,"January 1, 1795"
Belgium,marriage,9,Other type of partnership,Other type of partnership,"June 1, 2003",Statutory Cohabitation grants specific rights to cohabiting persons. Although not specifically intended for LGBT couples it was open for same sex couples.,"January 1, 2000"
Belgium,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2018",Transgender people in Belgium are required to undergo gender reassignment surgery in order to change their gender on state documents.,"January 1, 2007"
Belgium,blood,52,Banned (3-month deferral),Banned (3-month deferral),,"Starting July 1 2023, MSM who would like to donate blood face a 4-month deferral period.","July 1, 2023"
Belgium,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"April 27, 2017",MSMs were not eligible to donate blood.,"January 1, 1977"
Belize,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"August 10, 2016","The Section 53 of the Belize Criminal Code states that all kinds of sexual acts, except for the natural sex, are illegal. People found guilty are liable for a 10-year imprisonment. ""Every person who has carnal intercourse against the order of nature with any person ... shall be liable to imprisonment for 10 years."" Moreover, homosexual immigrants are prohibited an entry to the country.","January 1, 2003"
Belize,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 8, 2018",Latin American court ruled that all countries in Latin America have to legalize Gay Marriage. Gay marriage pending. Under 2018 IACHR Ruling.,"January 1, 2003"
Bermuda,marriage,8,Legal,Legal,"May 31, 2018",The Supreme Court ruled that same sex-marriage was allowed under the Marriage Act 1944 and the Human Rights Act.,"May 1, 2017"
Bhutan,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"February 17, 2021","Offence of ""unnatural"" sex is considered a petty misdemeanor in article 213 & 214.","August 11, 2004"
Bolivia,homosexuality,2,Illegal (other penalty),Illegal (other penalty),"January 1, 1832",Penalty Unknown.,
Bolivia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","August 1, 2016",New announcement made by the Justice Ministers means transgender people will be able to change their name and gender on official IDs. It is unclear whether surgery will be required or not.,"November 26, 2015"
Bolivia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","November 26, 2015","Article 21 was amended in 2003 so that legal sex can be rectified  to correct for ""errors"" without changing other details in the civil registry.","December 18, 2003"
Bosnia and Herzegovina,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 9, 2018",Requires surgery. Missing non binary options on documents.,"January 1, 2016"
Botswana,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"June 11, 2019","Fine; up to seven years imprisonment. Although same-sex sexual acts remain illegal, their prosecution is rare according to a 2004 publication.","June 10, 1964"
Botswana,marriage,13,Unrecognized,Unrecognized,"September 7, 2018",from a ruling in the supreme Botswana Court. legalization rejected.,"April 22, 2016"
Brazil,marriage,33,Civil unions,Civil unions,"May 14, 2013","Although the first formal legal recognition of a civil union took place in 2004 (See first source), the Supreme Court did not rule in favor of civil unions throughout the country until May 5, 2011.","May 5, 2011"
Brazil,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","March 1, 2018","Until 2018, surgery was required to change your legal gender in Brazil.","November 1, 2003"
Brazil,discrimination,32,Illegal in some contexts,Illegal in some contexts,"July 1, 2018",Missing housing discrimination protections since 2011.,"October 5, 1988"
Brazil,discrimination,32,Illegal in some contexts,Illegal in some contexts,"June 13, 2019",Discrimination is illegal in some parts of Brazil.,"October 5, 1988"
Brazil,housing-discrimination,,ambiguous,Ambiguous,"June 13, 2019","Although the Brazilian constitution of 1988 prohibits any form of discrimination, it was not until 2019 that homosexuals and trans people were definitively recognized as one of these groups.","October 5, 1988"
Brazil,blood,40,Banned (1-year deferral),Banned (1-year deferral),"May 8, 2020",Blood Donation was banned in Brazil until 2020.,"January 1, 1993"
Brazil,conversion-therapy,48,Banned,Banned,"January 1, 2018","The same judge changed his decision, keeping the “treatment” banned.","December 1, 2017"
Brazil,conversion-therapy,49,Not banned,Not banned,"December 1, 2017","In September 2017, a federal judge in Brasília approved the use of conversion therapy by a psychologist to “cure” people of homosexuality, overruling the 1999 decision.","September 1, 2017"
Brazil,conversion-therapy,48,Banned,Banned,"September 1, 2017","Banned by Brazil's Federal Psychology Council: ""psychologists shall not collaborate in events or services offering treatment and cure for homosexuality.""","January 1, 1999"
Brunei,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"March 27, 2019","The Penal Code of Brunei (revised edition 2001), Chapter 22, Page 152 states:<br />
<br />
""Unnatural offences.<br />
377. Whoever voluntarily has carnal intercourse against the order of nature with any man, woman, or animal, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine. [S 12/97]""","January 1, 1951"
Bulgaria,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"May 1, 1968",Up to 3 years imprisonment,"March 13, 1951"
Bulgaria,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"March 13, 1951",At least 6 months imprisonment,"May 1, 1896"
Bulgaria,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","February 21, 2023",Requires sterilization. Ruled not legal by EU. Changes pending. Missing non binary options on documents.,
Burkina Faso,changing-gender,,na,N/A,,No laws in place.  ,
Burundi,marriage,13,Unrecognized,Unrecognized,"September 1, 2018",Homosexuality is currently illegal.,"March 18, 2005"
Cape Verde,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"March 1, 2004",Homosexuality was illegal under the 1886 Penal Code.,"January 1, 1886"
Cape Verde,marriage,13,Unrecognized,Unrecognized,"January 1, 1981",Gay marriage and gay unions pending. Gay Union might be legal in 2018.,
Cape Verde,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"April 5, 2018",Since 2008,"October 16, 2007"
Cambodia,marriage,,ambiguous,Ambiguous,"February 28, 2018",Civil unions under family partnership.One same sex couple has got married.,
Cambodia,adoption,3,Legal,Legal,"September 8, 2018",Nationwide.,"January 1, 2012"
Cambodia,adoption,,ambiguous,Ambiguous,"January 1, 2012",Cambodia banned adoption by gay and lesbian foreigners. It is unclear if gay and lesbian Cambodians could adopt.,"January 1, 2009"
Cameroon,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 17, 2018","Six months to 5 years in prison and a fine of 20,000-200,000 CFA. Not enforced.","November 12, 1967"
Canada,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"May 14, 1969","Indefinite Imprisonment as ""Dangerous Sex Offender"" - origin of law was included from confederation in 1867.","July 1, 1867"
Canada,changing-gender,,varies,Varies by Region,"January 1, 2017","Most provinces in canada require surgery to legally change gender, however, since 2012 Ontario has not required surgery to change gender.","April 11, 2012"
Canada,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","April 11, 2012",Requires surgery for sex change.,
Canada,non-binary-gender-recognition,,varies,Varies by Region,"August 31, 2017","Some provinces allowed ""X"" as a gender identity on drivers licenses and birth certificates. ","June 1, 2016"
Canada,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2017",Non-inclusion of Gender Identity in Charter.,"April 17, 1985"
Canada,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"June 18, 2017","Federal human rights law applies directly to only federal government employment and employers which fall under federal jurisdiction.  Gender identity is only implicitly protected under interpretation of the law by the Canadian Human Rights Tribunal.  Attempts have been made to have gender identity and gender expression added as protected classes to both the Canadian Human Rights Act and Criminal Code, though none of these attempts so far has been successful.<br />
<br />
Provincial human rights acts are separate, but Supreme Court precedent exists for requiring provinces to protect the same classes as the Canadian Human Rights Act.  At this time all provinces protect against employment discrimination on the basis of sexual orientation. Of the provinces only Ontario has explicit protection on the basis of both gender identity and gender expression in its human rights code, though several provide implicit protections on the basis of gender identity or ""transsexualism"" under the category of ""sex"" or ""gender"".","June 1, 1996"
Canada,blood,52,Banned (3-month deferral),Banned (3-month deferral),"September 30, 2022",Banned with 3 months deferral,"June 3, 2019"
Canada,blood,40,Banned (1-year deferral),Banned (1-year deferral),"June 3, 2019",Health Canada approved Canadian Blood Services’ proposal to reduce the blood donation ineligibility period for men who have sex with men from five years to one year.,"January 1, 2016"
Canada,blood,39,Banned (5-year deferral),Banned (5-year deferral),"January 1, 2016","Health Canada changed the indefinite deferral period to a 5-year deferral, effective July 22, 2013.","July 22, 2013"
Canada,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"June 22, 2013", ,"September 26, 1998"
Canada,age-of-consent,28,Unequal,Unequal,"June 21, 2019","The age of consent in for anal sex in Canada is 18, whereas the age of consent for acts of sex is 16.","May 1, 2008"
Central African Republic,military,16,Legal,Legal,"September 1, 2018",No discrimination protections in the criminal code.,"March 15, 2003"
Chad,homosexuality,1,Legal,Legal,"December 1, 2017","Although homosexuality is legal, any homosexual act with any person under the age of 21 is illegal.","June 9, 1967"
Chad,discrimination,20,No protections,No protections,"January 1, 2017",No protections,"November 28, 1958"
Chile,marriage,33,Civil unions,Civil unions,"December 8, 2021","Since 2015, same-sex couples and households headed by same-sex couples have the same legal protections available to opposite-sex married couples, within a civil union - except for adoption rights and the title of marriage.","October 22, 2015"
Chile,marriage,33,Civil unions,Civil unions,"September 9, 2018",Legalization Pending. it is in the same bill that is legalizing gay adoption.,"October 22, 2015"
Chile,marriage,13,Unrecognized,Unrecognized,"October 22, 2015","A bill legalizing Civil Unions in Chile was passed on April 21, 2015 and will go into effect on October 22, 2015.",
Chile,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","December 27, 2019",Change of name and gender legal since 2007 ,"January 1, 2017"
Chile,non-binary-gender-recognition,59,Intersex only,Intersex only,"October 14, 2022","Birth certificates allow for an ""indeterminate"" sex to be recorded.",
Chile,adoption,5,Single only,Single only,"December 8, 2021",Legalization pending.,"January 1, 2017"
Chile,adoption,5,Single only,Single only,"January 1, 2017","Chilean law stipulates that single gays are allowed to adopt, but gay couples may not. ",
Chile,military,16,Legal,Legal,"March 2, 2018",No restrictions.,"January 1, 2012"
Chile,conversion-therapy,49,Not banned,Not banned,"August 2, 2021",Conversion therapy ban pending.,"June 19, 2015"
Chile,age-of-consent,28,Unequal,Unequal,"August 26, 2022","Age of consent for same sex is 18, for different sex is 14.","September 8, 2014"
Chile,age-of-consent,28,Unequal,Unequal,"September 8, 2014","Article 365 of the Penal Code establishes 18 as age if consent for gay couples, whereas 14 is the standard age if consent for straight couples. ",
China,marriage,15,Not legal,Not legal,"October 1, 2017",There are no laws in China recognizing same-sex  marriage in China. But Chinese activists say that legality may happen in the next couple of decades.,"January 1, 2017"
China,changing-gender,,ambiguous,Ambiguous,"September 1, 2018",Sex change laws are vague. Missing non binary options on documents.,"January 1, 2011"
China,adoption,7,Illegal,Illegal,"September 6, 2018","The China Center of Adoption Affairs (CCAA) does not allow same-sex couples to adopt, nor does it allow foreign same-sex couples to adopt a baby from China.","December 4, 1982"
China,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"July 1, 2012","In 1998, China banned homosexual men and women from donating blood out of fear of spreading HIV.","January 1, 1998"
Christmas Island,marriage,15,Not legal,Not legal,"December 9, 2017", ,"January 1, 2004"
Colombia,marriage,8,Legal,Legal,"April 8, 2016","""The magistrates of the constitutional court voted six to three against a proposed ruling that said marriage applied only to unions between men and women and that it was up to the congress and not the court to decide on same-sex marriage.""","April 8, 2016"
Colombia,marriage,9,Other type of partnership,Other type of partnership,"April 28, 2016","A Colombia court ruling implies that even though there are no specific legal provisions, same sex couples can now file for the same right and protection like a different-sex marriage using the provision of a ""de facto union"" in the 1991 constitution","January 29, 2009"
Colombia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","June 4, 2015","DECISION T-918-12<br />
The Constitutional Court rules on the right to sexual identity, its relationship with the right to health in the case of transgender people and the change of the marital status of persons on the grounds on gender reassignment. The Chamber rules that it is the duty of the Health Promotion Agency to which the plaintiff is registered, to apply the procedures needed for the gender reassignment surgery, since these are covered by the Compulsory Health Plan (POS).<br />
Additionally, in the action for protection it is requested the application of all the procedures required for the normalization of the process of feminization and changing registration of gender from MALE to FEMALE, without leaving in this document any record of the biological condition.<br />
<br />
DECREE 1227 OF 2015<br />
On June 5, the Colombian President signed Decree 1227, which authorizes citizens to change their sex on identification documents through a Notary Public and without having to prove their sexual identity through psychiatric or physical evaluations.","January 1, 2013"
Colombia,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","February 26, 2018",Surgery not required since 2015.,"January 1, 2013"
Colombia,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"May 7, 2018","Sexual orientation is explicitly mentioned. Although gender identity is implied, it is not explicitly mentioned.","November 30, 2011"
Colombia,housing-discrimination,46,Sexual orientation only,Sexual orientation only,"May 7, 2018",Gender identity is not explicitly mentioned in the legislation.,"November 30, 2011"
Colombia,adoption,6,Step-child adoption only,Step-child adoption only,"November 4, 2015",Only singles can adopt,"September 8, 2014"
Costa Rica,marriage,13,Unrecognized,Unrecognized,"May 26, 2020","Article 242 of the family law states explicitly that marriage is between a man and a woman who has cohabited for more than 3 years. The recent movement of ""accidental passage"" of same sex marriage has not taken effect or exercised.","December 21, 1973"
Costa Rica,discrimination,32,Illegal in some contexts,Illegal in some contexts,"May 17, 2015",General law on HIV/AIDS protects LGBT people from discrimination in some contexts.,"May 20, 1998"
Croatia,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 1, 1977",up to two years of prison,"January 1, 1951"
Croatia,marriage,33,Civil unions,Civil unions,"September 8, 2018",Gay marriage pending. Under EU Gay marriage law. ,"September 9, 2014"
Croatia,marriage,14,Unregistered cohabitation,Unregistered cohabitation,"September 9, 2014", ,"July 24, 2003"
Croatia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","November 15, 2014",Surgery now required,"January 1, 1994"
Croatia,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"July 15, 2008",Protection only to sexual orientation.,
Croatia,adoption,6,Step-child adoption only,Step-child adoption only,"September 13, 2018",Under Partner Guardianship since 2014. Legalization pending.,"July 16, 2003"
Croatia,adoption,5,Single only,Single only,"May 25, 2022",there are no restrictions for single individuals based on sexual orientation ,"July 16, 2003"
Croatia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"September 8, 2018",One of the many countries that doesn't allow lgbt people to donate. Changes pending.,"December 24, 1998"
Croatia,age-of-consent,28,Unequal,Unequal,"January 1, 1998",,"January 1, 1977"
Cuba,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"June 17, 1997",Article 303 prohibits homosexual behaviours (punishable by 3 months in prison and/or financial fines),"April 30, 1988"
Cuba,marriage,15,Not legal,Not legal,"September 26, 2022","The Cuban Constitution does not ban same sex marriage, but other statutory laws do prohibit it. Article 2 of the Family Code defines marriage as a union between a man and a woman - an amendment drafted in 2018 would have changed this but was rejected. Further consultation on changes to the Family Code are ongoing in 2022.","February 14, 1975"
Cuba,adoption,5,Single only,Single only,"September 26, 2022",No restrictions. No laws in place for same sex couples. Legalization pending.,"October 11, 2016"
Curaçao,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 18, 2018",Gay Union legalization pending.,"October 10, 2010"
Cyprus,marriage,13,Unrecognized,Unrecognized,"December 8, 2015",Nationwide.,
Cyprus,discrimination,19,Illegal,Illegal,"October 10, 2013",Discrimination is illegal in Cyprus.,
Cyprus,military,18,Illegal,Illegal,"April 30, 2004",Illegal due to the Ministry of Defence viewing homosexuality as mental illness.,
Cyprus,blood,40,Banned (1-year deferral),Banned (1-year deferral),"January 1, 2022",MSMs face a 1-year deferral in order to donate blood.,
Cyprus,conversion-therapy,,ambiguous,Ambiguous,"January 1, 2022","In April 2022, a lawmaker introduced a bill to criminally ban conversion therapy.",
Cyprus,age-of-consent,28,Unequal,Unequal,"July 10, 2002",Age of consent for homosexual couples set at 18 versus 16 for heterosexual couples.,"May 21, 1998"
Czech Republic,marriage,8,Legal,Legal,"September 9, 2018","Under the bill passed on June 22, 2018. Will come into effect on September 9, 2018.","July 1, 2006"
Czech Republic,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 8, 2018",Requires surgery and sterilization. Not enforced. Changes pending. Missing non binary options on documents.,"January 1, 1970"
Denmark,marriage,33,Civil unions,Civil unions,"June 14, 2012","Denmark becomes the first country in the world to legally recognize same-sex unions as the Danish Registered Partnership Act goes into effect.<br />
<br />
""Two persons of the same sex may have their partnership registered.""","October 1, 1989"
Denmark,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 5, 2014","By Danish naming-legislation, a man cannot have a woman's name, or vice versa. I am transgendered and had surgery over a decade ago in Denmark, and my legal status was changed even before I was out of the hospital. This has been the case for Denmark since sex changes became an option.",
Denmark,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"January 1, 1996",Labour code affords sexual orientation as a ground for protection,
Denmark,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"March 1, 2020","Since 1988, Denmark had a life-time ban on blood donations for men who have sex with men.","January 1, 1988"
Dominica,discrimination,20,No protections,No protections,"September 1, 2020",No Discrimination protections. Homosexuality is currently illegal.,
Dominican Republic,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 5, 2018",Gay marriage Legalization required under 2018 IACHR Ruling. Gay marriage Pending.,"July 17, 1944"
Ecuador,marriage,33,Civil unions,Civil unions,"July 8, 2019","Although marriage is still defined as a union between a man and a woman, article 68 of the 2008 constitution also state:<br />
The stable and monogamous union between two persons without any other marriage ties who have a common-law home, for the lapse of time and under the conditions and circumstances provided for by law, shall enjoy the same rights and obligations of those families bound by formal marriage ties.","October 20, 2008"
Ecuador,adoption,5,Single only,Single only,"September 1, 2018",Legalization pending. Because gay marriage just got legalized.,"October 20, 2008"
El Salvador,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 6, 2018",Gay Marriage and Gay Union legalization pending.,"January 1, 2018"
El Salvador,changing-gender,,ambiguous,Ambiguous,"January 1, 2017","Human Rights activists are still fighting for this, but there are no laws applied",
El Salvador,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2018","In 2015, the Salvadoran Parliament passed a law adding sexual orientation and gender identity to the Criminal Code's hate crime provisions. The Code provides a penalty of between three and six years imprisonment for those who commit a crime based on the victim's race, ethnicity, political affiliation, sexual orientation or gender identity.","January 1, 2015"
El Salvador,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2015","Discrimination is termed illegal by presidential decree in government offies, but it is not penalized.",
El Salvador,adoption,5,Single only,Single only,"September 14, 2018",Legalization pending. Required by 2018 IACHR Ruling.,"April 1, 2015"
El Salvador,military,16,Legal,Legal,"September 1, 2018",No restrictions for lgbt serving.,"June 15, 1974"
Estonia,marriage,11,"Unrecognized, same-sex marriage and civil unions banned","Unrecognized, same-sex marriage and civil unions banned","October 8, 2014",Marriage is not recognized.,
Estonia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","June 1, 2002","The main legislation on gender change is the “General Requirements on Medical Procedures for the Change of Gender” issued by the Minister for Social Affairs (Soovahetuse arstlike<br />
toimingute ühtsed nõuded, of 07.05.1999, no 32). This sets out the conditions for changing a person’s legal gender and allowing medical treatment for gender reassignment. It requires:<br />
• An application to the Ministry for Social Affairs;<br />
• The decision is made by a medical expert committee appointed by the Minister of Social Affairs;<br />
• Certification of transsexual identity during at least two years prior to the application;<br />
• A psychiatrist’s decision that excludes the possibility that the wish to undergo gender/sex<br />
change is caused by psychiatric disorder;<br />
• Compatibility of chromosomatic and gonad gender/sex certified by genetic research;<br />
• At least two years of treatment must pass from the beginning of medical treatment. At least one year must pass from the positive response from the Minister for Social Affairs to have the right to surgically change gender. If the Person decides otherwise during that year they are not obliged to go ahead with the change of gender.","May 7, 1999"
