location,date,daily_confirmed_by_confirmation,7day_confirmed_by_confirmation,total_confirmed_by_confirmation,daily_confirmed_by_entry,7day_confirmed_by_entry,total_confirmed_by_entry,daily_all_by_entry,7day_all_by_entry,total_all_by_entry
Germany,2022-05-17,0,0,0,,,,,,
Germany,2022-05-18,0,0,0,0,,0,0,,0
Germany,2022-05-19,1,0.14,1,0,,0,0,,0
Germany,2022-05-20,1,0.29,2,1,,1,1,,1
Germany,2022-05-21,2,0.57,4,2,,3,2,,3
Germany,2022-05-22,0,0.57,4,0,,3,0,,3
Germany,2022-05-23,2,0.86,6,3,,6,3,,6
Israel,2022-05-06,0,,0,,,,,,
Israel,2022-05-07,0,,0,,,,,,
Israel,2022-05-08,0,,0,,,,,,
Israel,2022-05-09,0,,0,,,,,,
Israel,2022-05-10,0,,0,,,,,,
Israel,2022-05-11,0,,0,,,,,,
Israel,2022-05-12,0,0,0,,,,,,
Israel,2022-05-13,0,0,0,,,,,,
Israel,2022-05-14,0,0,0,,,,,,
Israel,2022-05-15,0,0,0,,,,,,
Israel,2022-05-16,0,0,0,,,,,,
Israel,2022-05-17,0,0,0,,,,,,
Israel,2022-05-18,0,0,0,0,,0,0,,0
Israel,2022-05-19,0,0,0,0,,0,0,,0
Israel,2022-05-20,0,0,0,1,,1,1,,1
Israel,2022-05-21,1,0.14,1,0,,1,0,,1
Israel,2022-05-22,0,0.14,1,0,,1,0,,1
Israel,2022-05-23,0,0.14,1,0,,1,0,,1
Italy,2022-05-06,0,,0,,,,,,
Italy,2022-05-07,0,,0,,,,,,
Italy,2022-05-08,0,,0,,,,,,
Italy,2022-05-09,0,,0,,,,,,
Italy,2022-05-10,0,,0,,,,,,
Italy,2022-05-11,0,,0,,,,,,
Italy,2022-05-12,0,0,0,,,,,,
Italy,2022-05-13,0,0,0,,,,,,
Italy,2022-05-14,0,0,0,,,,,,
Italy,2022-05-15,0,0,0,,,,,,
Italy,2022-05-16,0,0,0,,,,,,
Italy,2022-05-17,0,0,0,,,,,,
Italy,2022-05-18,0,0,0,0,,0,0,,0
Italy,2022-05-19,1,0.14,1,3,,3,3,,3
Italy,2022-05-20,2,0.43,3,0,,3,0,,3
Italy,2022-05-21,0,0.43,3,0,,3,0,,3
Italy,2022-05-22,0,0.43,3,0,,3,0,,3
Italy,2022-05-23,1,0.57,4,1,,4,1,,4
Morocco,2022-05-18,,,,,,,0,,0
Morocco,2022-05-19,,,,,,,0,,0
Morocco,2022-05-20,,,,,,,0,,0
Morocco,2022-05-21,,,,,,,0,,0
Morocco,2022-05-22,,,,,,,0,,0
Morocco,2022-05-23,,,,,,,3,,3
Netherlands,2022-05-06,0,,0,,,,,,
Netherlands,2022-05-07,0,,0,,,,,,
Netherlands,2022-05-08,0,,0,,,,,,
Netherlands,2022-05-09,0,,0,,,,,,
Netherlands,2022-05-10,0,,0,,,,,,
Netherlands,2022-05-11,0,,0,,,,,,
Netherlands,2022-05-12,0,0,0,,,,,,
Netherlands,2022-05-13,0,0,0,,,,,,
Netherlands,2022-05-14,0,0,0,,,,,,
Netherlands,2022-05-15,0,0,0,,,,,,
Netherlands,2022-05-16,0,0,0,,,,,,
Netherlands,2022-05-17,0,0,0,,,,,,
Netherlands,2022-05-18,0,0,0,0,,0,0,,0
Netherlands,2022-05-19,0,0,0,0,,0,0,,0
Netherlands,2022-05-20,1,0.14,1,1,,1,1,,1
Netherlands,2022-05-21,1,0.29,2,0,,1,0,,1
Netherlands,2022-05-22,0,0.29,2,1,,2,1,,2
Netherlands,2022-05-23,4,0.86,6,4,,6,4,,6
Portugal,2022-05-06,0,,0,,,,,,
Portugal,2022-05-07,0,,0,,,,,,
Portugal,2022-05-08,0,,0,,,,,,
Portugal,2022-05-09,0,,0,,,,,,
Portugal,2022-05-10,0,,0,,,,,,
Portugal,2022-05-11,0,,0,,,,,,
Portugal,2022-05-12,0,0,0,,,,,,
Portugal,2022-05-13,0,0,0,,,,,,
Portugal,2022-05-14,0,0,0,,,,,,
Portugal,2022-05-15,0,0,0,,,,,,
Portugal,2022-05-16,0,0,0,,,,,,
Portugal,2022-05-17,3,0.43,3,,,,,,
Portugal,2022-05-18,11,2,14,20,,20,20,,20
Portugal,2022-05-19,9,3.29,23,14,,34,14,,34
Portugal,2022-05-20,0,3.29,23,0,,34,0,,34
Portugal,2022-05-21,0,3.29,23,0,,34,0,,34
Portugal,2022-05-22,0,3.29,23,0,,34,0,,34
Portugal,2022-05-23,14,5.29,37,3,,37,3,,37
Spain,2022-05-06,0,,0,,,,,,
Spain,2022-05-07,0,,0,,,,,,
Spain,2022-05-08,0,,0,,,,,,
Spain,2022-05-09,0,,0,,,,,,
Spain,2022-05-10,0,,0,,,,,,
Spain,2022-05-11,0,,0,,,,,,
Spain,2022-05-12,0,0,0,,,,,,
Spain,2022-05-13,0,0,0,,,,,,
Spain,2022-05-14,0,0,0,,,,,,
Spain,2022-05-15,0,0,0,,,,,,
Spain,2022-05-16,0,0,0,,,,,,
Spain,2022-05-17,0,0,0,,,,,,
Spain,2022-05-18,7,1,7,22,,22,23,,23
Spain,2022-05-19,0,1,7,9,,31,9,,32
Spain,2022-05-20,23,4.29,30,9,,40,20,,52
Spain,2022-05-21,10,5.71,40,1,,41,39,,91
Spain,2022-05-22,0,5.71,40,0,,41,1,,92
Spain,2022-05-23,1,5.86,41,0,,41,9,,101
Sweden,2022-05-06,0,,0,,,,,,
Sweden,2022-05-07,0,,0,,,,,,
Sweden,2022-05-08,0,,0,,,,,,
Sweden,2022-05-09,0,,0,,,,,,
Sweden,2022-05-10,0,,0,,,,,,
Sweden,2022-05-11,0,,0,,,,,,
Sweden,2022-05-12,0,0,0,,,,,,
Sweden,2022-05-13,0,0,0,,,,,,
Sweden,2022-05-14,0,0,0,,,,,,
Sweden,2022-05-15,0,0,0,,,,,,
Sweden,2022-05-16,0,0,0,,,,,,
Sweden,2022-05-17,0,0,0,,,,,,
Sweden,2022-05-18,0,0,0,0,,0,0,,0
Sweden,2022-05-19,1,0.14,1,1,,1,1,,1
Sweden,2022-05-20,0,0.14,1,0,,1,0,,1
Sweden,2022-05-21,0,0.14,1,0,,1,0,,1
Sweden,2022-05-22,0,0.14,1,0,,1,0,,1
Sweden,2022-05-23,0,0.14,1,0,,1,0,,1
Switzerland,2022-05-06,0,,0,,,,,,
Switzerland,2022-05-07,0,,0,,,,,,
Switzerland,2022-05-08,0,,0,,,,,,
Switzerland,2022-05-09,0,,0,,,,,,
Switzerland,2022-05-10,0,,0,,,,,,
Switzerland,2022-05-11,0,,0,,,,,,
Switzerland,2022-05-12,0,0,0,,,,,,
Switzerland,2022-05-13,0,0,0,,,,,,
Switzerland,2022-05-14,0,0,0,,,,,,
Switzerland,2022-05-15,0,0,0,,,,,,
Switzerland,2022-05-16,0,0,0,,,,,,
Switzerland,2022-05-17,0,0,0,,,,,,
Switzerland,2022-05-18,0,0,0,0,,0,0,,0
Switzerland,2022-05-19,0,0,0,0,,0,0,,0
Switzerland,2022-05-20,0,0,0,0,,0,0,,0
Switzerland,2022-05-21,1,0.14,1,1,,1,1,,1
Switzerland,2022-05-22,0,0.14,1,0,,1,0,,1
Switzerland,2022-05-23,0,0.14,1,0,,1,0,,1
United Kingdom,2022-05-06,1,,1,,,,,,
United Kingdom,2022-05-07,0,,1,,,,,,
United Kingdom,2022-05-08,0,,1,,,,,,
United Kingdom,2022-05-09,0,,1,,,,,,
United Kingdom,2022-05-10,0,,1,,,,,,
United Kingdom,2022-05-11,0,,1,,,,,,
United Kingdom,2022-05-12,1,0.29,2,,,,,,
United Kingdom,2022-05-13,1,0.29,3,,,,,,
United Kingdom,2022-05-14,0,0.29,3,,,,,,
United Kingdom,2022-05-15,4,0.86,7,,,,,,
United Kingdom,2022-05-16,0,0.86,7,,,,,,
United Kingdom,2022-05-17,0,0.86,7,,,,,,
United Kingdom,2022-05-18,2,1.14,9,9,,9,9,,9
United Kingdom,2022-05-19,0,1,9,0,,9,0,,9
United Kingdom,2022-05-20,11,2.43,20,11,,20,11,,20
United Kingdom,2022-05-21,0,2.43,20,0,,20,0,,20
United Kingdom,2022-05-22,0,1.86,20,0,,20,0,,20
United Kingdom,2022-05-23,36,7,56,36,,56,36,,56
United States,2022-05-06,0,,0,,,,,,
United States,2022-05-07,0,,0,,,,,,
United States,2022-05-08,0,,0,,,,,,
United States,2022-05-09,0,,0,,,,,,
United States,2022-05-10,0,,0,,,,,,
United States,2022-05-11,0,,0,,,,,,
United States,2022-05-12,0,0,0,,,,,,
United States,2022-05-13,0,0,0,,,,,,
United States,2022-05-14,0,0,0,,,,,,
United States,2022-05-15,0,0,0,,,,,,
United States,2022-05-16,0,0,0,,,,,,
United States,2022-05-17,0,0,0,,,,,,
United States,2022-05-18,1,0.14,1,1,,1,1,,1
United States,2022-05-19,0,0.14,1,1,,2,1,,2
United States,2022-05-20,1,0.29,2,0,,2,0,,2
United States,2022-05-21,0,0.29,2,0,,2,0,,2
United States,2022-05-22,0,0.29,2,0,,2,1,,3
United States,2022-05-23,0,0.29,2,0,,2,3,,6
World,2022-05-06,1,,1,,,,,,
World,2022-05-07,0,,1,,,,,,
World,2022-05-08,0,,1,,,,,,
World,2022-05-09,0,,1,,,,,,
World,2022-05-10,0,,1,,,,,,
World,2022-05-11,0,,1,,,,,,
World,2022-05-12,1,0.29,2,,,,,,
World,2022-05-13,1,0.29,3,,,,,,
World,2022-05-14,0,0.29,3,,,,,,
World,2022-05-15,4,0.86,7,,,,,,
World,2022-05-16,0,0.86,7,,,,,,
World,2022-05-17,3,1.29,10,,,,,,
World,2022-05-18,21,4.29,31,52,,52,66,,66
World,2022-05-19,16,6.43,47,36,,88,40,,106
World,2022-05-20,46,12.86,93,26,,114,37,,143
World,2022-05-21,16,15.14,109,4,,118,43,,186
World,2022-05-22,0,14.57,109,3,,121,6,,192
World,2022-05-23,62,23.43,171,50,,171,65,,257
