Country,year,MMR,Live Births,Maternal deaths,Women reproductive age (15-49),MM-rate,,Skilled attendance %,"Source MMR, maternal death and Live birth",Comment,Source women reproductive age,Comments,,,,,,,,
Australia,1938,466.7,120415,562,1831900,30.68,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1939,409.3,122891,503,1850100,27.19,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1940,407.6,126347,515,1870800,27.53,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1941,364.2,134525,490,1888300,25.95,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1942,359.2,136708,491,1901600,25.82,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1943,332.9,149295,497,1913200,25.98,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1944,285.0,153344,437,1922400,22.73,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1945,215.5,160560,346,1931200,17.92,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1946,185.4,176379,327,1935300,16.90,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1947,187.0,182384,341,1935600,17.62,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1948,140.5,177976,250,1944800,12.85,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1949,121.4,181261,220,1975100,11.14,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1950,109.1,190591,208,2016900,10.31,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1951,105.0,193298,203,2054000,9.88,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1952,94.2,201650,190,2083900,9.12,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1953,62.3,202235,126,2107600,5.98,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1954,68.7,202256,139,2134900,6.51,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1955,64.0,207677,133,2167800,6.14,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1956,56.1,212133,119,2205500,5.40,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1957,62.6,220358,138,2248400,6.14,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1958,49.9,222504,111,2284800,4.86,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1959,45.8,226976,104,2332700,4.46,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1960,52.5,230326,121,2378100,5.09,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1961,45.0,239986,108,2423400,4.46,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1962,35.9,237081,85,2482700,3.42,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1963,27.2,235689,64,2533500,2.53,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1964,32.7,229149,75,2584500,2.90,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1965,33.2,222854,74,2640600,2.80,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1966,29.5,223731,66,2710263,2.44,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1967,23.1,229296,53,2770178,1.91,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1968,28.2,240906,68,2838419,2.40,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1969,17.6,250175,44,2914638,1.51,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1970,25.6,257516,66,2984507,2.21,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1971,18.5,276361,51,3124462,1.63,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1972,12.5,264969,33,3181110,1.04,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1973,11.3,247670,28,3235414,0.87,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1974,11.4,245177,28,3302091,0.85,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1975,5.6,233012,13,3361048,0.39,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1976,13.2,227810,30,3411369,0.88,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1977,8.0,226291,18,3475234,0.52,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1978,6.7,224181,15,3538855,0.42,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1979,8.1,223129,18,3602047,0.50,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1980,9.8,225527,22,3667942,0.60,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1981,10.6,235842,25,3740405,0.67,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1982,10.4,239903,25,3827733,0.65,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1983,6.2,242570,15,3900143,0.38,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1984,7.7,234034,18,3971732,0.45,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1985,4.4,247348,11,4052276,0.27,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1986,6.2,243408,15,4143432,0.36,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1987,5.3,243959,13,4241990,0.31,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1988,4.9,246193,12,4338622,0.28,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1989,5.2,250853,13,4431015,0.29,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1990,6.1,262648,16,4509914,0.35,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1991,5.1,257247,13,4569766,0.28,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1992,3.4,264151,9,4622681,0.19,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1993,5.8,260229,15,4661654,0.32,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1994,6.2,258051,16,4696268,0.34,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1995,9.4,256190,24,4737819,0.51,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1996,4.7,253834,12,4791068,0.25,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1997,4.8,251842,12,4811898,0.25,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1998,2.8,249616,7,4831884,0.14,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1999,4.4,248870,11,4859158,0.23,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2000,6.0,249636,15,4890064,0.31,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2001,4.9,246394,12,4928710,0.24,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2002,4.8,250988,12,4955988,0.24,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2003,3.2,251161,8,4988796,0.16,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2004,4.3,254246,11,5014894,0.22,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2005,3.5,259791,9,5051008,0.18,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,2006,3.8,265949,10,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Belgium,1846,,,,1092000,,,,,,"Mitchell, B. International Historical Statistics. Europe 1750-2000. Fifth Edition, Palgrave, Maximillan, 2003",,,,,,,,,
Belgium,1851,660.0,,,,,,,MMR Loundon 1992,,,,,,,,,,,
Belgium,1855,550.0,,,,,,,MMR Loundon 1992,,,,,,,,,,,
Belgium,1856-60,440.0,,,1148000,,,,MMR Loundon 1992,,"Mitchell, B. International Historical Statistics. Europe 1750-2000. Fifth Edition, Palgrave, Maximillan, 2003",,,,,,,,,
Belgium,1864,833.0,157619,1313,,,,,"Vital registration, kindly made available by Professor Godelieve Masuy-Stroobant, Centre de recherches en démographie et sociétés, Université catholique de Louvain, Belgium


",,,,,,,,,,,
Belgium,1865,761.9,158029,1204,,,,,"Vital registration, kindly made available by Professor Godelieve Masuy-Stroobant, Centre de recherches en démographie et sociétés, Université catholique de Louvain, Belgium


",,,,,,,,,,,
Belgium,1866,637.1,159624,1017,1180000,86.19,,,"Vital registration, kindly made available by Professor Godelieve Masuy-Stroobant, Centre de recherches en démographie et sociétés, Université catholique de Louvain, Belgium


",,"Mitchell, B. International Historical Statistics. Europe 1750-2000. Fifth Edition, Palgrave, Maximillan, 2003",,,,,,,,,
Belgium,1867,536.8,158720,852,,,,,"Vital registration, kindly made available by Professor Godelieve Masuy-Stroobant, Centre de recherches en démographie et sociétés, Université catholique de Louvain, Belgium


",,,,,,,,,,,
Belgium,1868,650.6,157706,1026,,,,,"Vital registration, kindly made available by Professor Godelieve Masuy-Stroobant, Centre de recherches en démographie et sociétés, Université catholique de Louvain, Belgium


",,,,,,,,,,,
