cow_name,owid_name,stateabb
Madagascar,Madagascar,MAG
Comoros,Comoros,COM
Mauritius,Mauritius,MAS
Seychelles,Seychelles,SEY
Morocco,Morocco,MOR
Algeria,Algeria,ALG
Tunisia,Tunisia,TUN
Libya,Libya,LIB
Sudan,Sudan,SUD
South Sudan,South Sudan,SSD
Iran,Iran,IRN
Turkey,Turkey,TUR
Iraq,Iraq,IRQ
Egypt,Egypt,EGY
Syria,Syria,SYR
Lebanon,Lebanon,LEB
Jordan,Jordan,JOR
Israel,Israel,ISR
Saudi Arabia,Saudi Arabia,SAU
Yemen Arab Republic,Yemen Arab Republic,YAR
Yemen,Yemen,YEM
Yemen People's Republic,Yemen People's Republic,YPR
Kuwait,Kuwait,KUW
Bahrain,Bahrain,BAH
Qatar,Qatar,QAT
United Arab Emirates,United Arab Emirates,UAE
Oman,Oman,OMA
Afghanistan,Afghanistan,AFG
Turkmenistan,Turkmenistan,TKM
Tajikistan,Tajikistan,TAJ
Kyrgyzstan,Kyrgyzstan,KYR
Uzbekistan,Uzbekistan,UZB
Kazakhstan,Kazakhstan,KZK
China,China,CHN
Mongolia,Mongolia,MON
Taiwan,Taiwan,TAW
Korea,Korea,KOR
North Korea,North Korea,PRK
South Korea,South Korea,ROK
Japan,Japan,JPN
India,India,IND
Bhutan,Bhutan,BHU
Pakistan,Pakistan,PAK
Bangladesh,Bangladesh,BNG
Myanmar,Myanmar,MYA
Sri Lanka,Sri Lanka,SRI
Maldives,Maldives,MAD
Nepal,Nepal,NEP
Thailand,Thailand,THI
Cambodia,Cambodia,CAM
Laos,Laos,LAO
Vietnam,Vietnam,DRV
Republic of Vietnam,Republic of Vietnam,RVN
Malaysia,Malaysia,MAL
Singapore,Singapore,SIN
Brunei,Brunei,BRU
Philippines,Philippines,PHI
Indonesia,Indonesia,INS
East Timor,Timor,ETM
Australia,Australia,AUL
Papua New Guinea,Papua New Guinea,PNG
New Zealand,New Zealand,NEW
Vanuatu,Vanuatu,VAN
Solomon Islands,Solomon Islands,SOL
Kiribati,Kiribati,KIR
Tuvalu,Tuvalu,TUV
Fiji,Fiji,FIJ
Tonga,Tonga,TON
Nauru,Nauru,NAU
Marshall Islands,Marshall Islands,MSI
Palau,Palau,PAL
Federated States of Micronesia,Micronesia (country),FSM
Samoa,Samoa,WSM
