title,ySlugs,Metric Dropdown,Household survey data type Dropdown,tableSlug,subtitle,note,sourceDesc,type,yAxisMin,facet,selectedFacetStrategy,hasMapTab,tab,mapTargetTime,defaultView
Income inequality: Polarization index,polarization,Polarization index,Show data from both income and expenditure surveys,inc_or_cons,"The polarization index, also known as the Wolfson polarization index, measures the extent to which the distribution of income or expenditure is “spread out” and bi-modal. Like the Gini coefficient, the polarization index ranges from 0 (no polarization) to 1 (complete polarization).",This data relates to disposable income or expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Gini coefficient,gini,Gini coefficient,Income surveys only,inc_only,The Gini coefficient is a measure of the inequality of the income distribution in a population. Higher values indicate a higher level of inequality.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income share of the top 10%,decile10_share,Top 10% share,Income surveys only,inc_only,This is the income of the richest decile (tenth of the population) as a share of total income.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P90/P10 ratio,p90_p10_ratio,P90/P10,Income surveys only,inc_only,P90 is the the level of income below which 90% of the population lives. P10 is the level of income below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality that indicates the gap between the richest and poorest tenth of the population.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P90/P50 ratio,p90_p50_ratio,P90/P50,Income surveys only,inc_only,P90 is the the level of income above which 10% of the population lives. P50 is the median – the level of income below which 50% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the top half of the distribution.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P50/P10 ratio,p50_p10_ratio,P90/P50,Income surveys only,inc_only,P50 is the median – the level of income below which 50% of the population lives. P10 is the the level of income below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the bottom half of the distribution.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Palma ratio,palma_ratio,Palma ratio,Income surveys only,inc_only,The Palma ratio is a measure of inequality: it is the share of total income of the top 10% divided by the share of the bottom 40%.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 40% of the median,headcount_ratio_40_median,Share in poverty (< 40% of the median),Income surveys only,inc_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 40% of the median income.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 50% of the median,headcount_ratio_50_median,Share in poverty (< 50% of the median),Income surveys only,inc_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 50% of the median income.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 60% of the median,headcount_ratio_60_median,Share in poverty (< 60% of the median),Income surveys only,inc_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 60% of the median income.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Mean log deviation,mld,Mean log deviation,Income surveys only,inc_only,The mean log deviation (MLD) is a measure of inequality. An MLD of zero indicates perfect equality and it takes on larger positive values as incomes become more unequal.,This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Polarization index,polarization,Polarization index,Income surveys only,inc_only,"The polarization index, also known as the Wolfson polarization index, measures the extent to which the distribution of income is “spread out” and bi-modal. Like the Gini coefficient, the polarization index ranges from 0 (no polarization) to 1 (complete polarization).",This data relates to disposable income per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Gini coefficient,gini,Gini coefficient,Expenditure surveys only,cons_only,The Gini coefficient is a measure of the inequality of the income distribution in a population. Higher values indicate a higher level of inequality.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Expenditure share of the top 10%,decile10_share,Top 10% share,Expenditure surveys only,cons_only,This is the expenditure of the richest decile (tenth of the population) as a share of total expenditure.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P90/P10 ratio,p90_p10_ratio,P90/P10,Expenditure surveys only,cons_only,P90 is the the level of expenditure below which 90% of the population lives. P10 is the level of expenditure below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality that indicates the gap between the richest and poorest tenth of the population.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P90/P50 ratio,p90_p50_ratio,P90/P50,Expenditure surveys only,cons_only,P90 is the the level of expenditure above which 10% of the population lives. P50 is the median – the level of expenditure below which 50% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the top half of the distribution.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: P50/P10 ratio,p50_p10_ratio,P90/P50,Expenditure surveys only,cons_only,P50 is the median – the level of expenditure below which 50% of the population lives. P10 is the the level of expenditure below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the bottom half of the distribution.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Palma ratio,palma_ratio,Palma ratio,Expenditure surveys only,cons_only,The Palma ratio is a measure of inequality: it is the share of total expenditure of the top 10% divided by the share of the bottom 40%.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 40% of the median,headcount_ratio_40_median,Share in poverty (< 40% of the median),Expenditure surveys only,cons_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 40% of the median expenditure.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 50% of the median,headcount_ratio_50_median,Share in poverty (< 50% of the median),Expenditure surveys only,cons_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 50% of the median expenditure.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Relative poverty: Share of people below 60% of the median,headcount_ratio_60_median,Share in poverty (< 60% of the median),Expenditure surveys only,cons_only,Relative poverty is measured in terms of a poverty line that rises and falls over time with average incomes – in this case set at 60% of the median expenditure.,This data is adjusted for inflation and for differences in the cost of living between countries. It is expressed in international-$ at 2017 prices.,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Mean log deviation,mld,Mean log deviation,Expenditure surveys only,cons_only,The mean log deviation (MLD) is a measure of inequality. An MLD of zero indicates perfect equality and it takes on larger positive values as incomes become more unequal.,This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
Income inequality: Polarization index,polarization,Polarization index,Expenditure surveys only,cons_only,"The polarization index, also known as the Wolfson polarization index, measures the extent to which the distribution of expenditure is “spread out” and bi-modal. Like the Gini coefficient, the polarization index ranges from 0 (no polarization) to 1 (complete polarization).",This data relates to disposable expenditure per capita (exact definitions vary).,World Bank Poverty and Inequality Platform,,0.0,,,'true,map,2019.0,
