stateabb	ccode	year	milex	milper	irst	pec	tpop	upop	cinc	version
"USA"	2	1874	12899	44	2439	51736	44040	4862	.1142451	2021
"USA"	2	1875	11720	38	2057	52194	45073	5064	.1069647	2021
"USA"	2	1876	10749	41	1899	51080	46107	5275	.1019168	2021
"USA"	2	1877	9074	34	2100	56754	47141	5495	.1046526	2021
"USA"	2	1878	11367	36	2338	55588	48174	5724	.1083453	2021
"USA"	2	1879	10527	38	2786	67742	49208	5962	.1203331	2021
"USA"	2	1880	11414	38	3896	76969	50262	6211	.1254597	2021
"USA"	2	1881	11973	38	4211	81416	51542	6494	.1264246	2021
"USA"	2	1882	13040	38	4697	91087	52821	6789	.1310108	2021
"USA"	2	1883	11425	37	4669	97750	54100	7099	.1313463	2021
"USA"	2	1884	11438	39	4164	102689	55379	7422	.1313873	2021
"USA"	2	1885	9748	39	4110	103359	56658	7761	.1312613	2021
"USA"	2	1886	10382	39	5774	107964	57938	8114	.1461353	2021
"USA"	2	1887	10765	39	6520	123077	59217	8484	.1510995	2021
"USA"	2	1888	12647	39	6594	139275	60496	8871	.1523269	2021
"USA"	2	1889	13195	39	7726	133959	61775	9275	.1548427	2021
"USA"	2	1890	14788	39	9350	150826	63056	9698	.1653962	2021
"USA"	2	1891	15315	38	8412	162044	64361	10075	.1655897	2021
"USA"	2	1892	15654	39	9304	171105	65666	10467	.1733359	2021
"USA"	2	1893	16964	39	7238	172586	66970	10874	.1657286	2021
"USA"	2	1894	16001	42	6764	161748	68275	11298	.1544223	2021
"USA"	2	1895	15187	42	9598	182744	69580	11737	.168099	2021
"USA"	2	1896	16382	42	8762	183531	70885	12194	.1600112	2021
"USA"	2	1897	30249	44	9808	190740	72189	12669	.16911	2021
"USA"	2	1898	60011	236	11963	207271	73494	13162	.1970619	2021
"USA"	2	1899	38588	100	13839	236406	74799	13674	.1854763	2021
"USA"	2	1900	41481	126	10352	256081	76094	14207	.1879988	2021
"USA"	2	1901	36087	112	13690	280242	77584	14723	.2026186	2021
"USA"	2	1902	39722	111	15187	300106	79163	15258	.2076682	2021
"USA"	2	1903	43814	106	14768	356268	80632	15812	.2104965	2021
"USA"	2	1904	47918	110	14082	353388	82166	16387	.2049416	2021
"USA"	2	1905	45098	108	20345	397156	83822	16982	.2137832	2021
"USA"	2	1906	43602	112	23774	419190	85450	17600	.2182787	2021
"USA"	2	1907	58725	108	23737	487862	87008	18239	.22773	2021
"USA"	2	1908	54189	129	14248	432351	88710	18902	.2031882	2021
"USA"	2	1909	56177	142	24339	478835	90490	19589	.225192	2021
"USA"	2	1910	55880	139	26512	523027	92407	20302	.2264824	2021
"USA"	2	1911	57157	145	24056	521004	93863	21039	.2162054	2021
"USA"	2	1912	58992	153	31753	557076	95335	21804	.2248157	2021
"USA"	2	1913	62825	155	31803	600107	97225	22596	.2199113	2021
"USA"	2	1914	253205	166	23890	556778	99111	23340	.2063641	2021
"USA"	2	1915	257648	174	32667	580731	100546	24008	.2220827	2021
"USA"	2	1916	277421	179	43460	646120	101961	24688	.232936	2021
"USA"	2	1917	658584	644	45784	710959	103268	25310	.2440282	2021
"USA"	2	1918	7014226	2897	45176	743925	103208	26020	.2948715	2021
"USA"	2	1919	11217796	1173	35228	648393	104514	26723	.3812833	2021
"USA"	2	1920	1657118	343	42809	743808	106461	27428	.2895664	2021
"USA"	2	1921	1116342	387	20101	622541	108538	28210	.2532295	2021
"USA"	2	1922	860853	270	36173	641311	110049	29013	.2555951	2021
"USA"	2	1923	678256	247	45665	834889	111947	29840	.2720777	2021
"USA"	2	1924	570142	261	38540	762070	114109	30690	.253591	2021
"USA"	2	1925	589706	252	46122	790029	115829	31565	.2540457	2021
"USA"	2	1926	558004	247	49069	852304	117397	32464	.2632676	2021
"USA"	2	1927	596501	249	45656	842978	119035	33389	.2386266	2021
"USA"	2	1928	678100	251	52371	833446	120509	34340	.2400723	2021
"USA"	2	1929	701300	255	57339	903141	121767	35318	.2397934	2021
"USA"	2	1930	699200	256	41352	814891	123188	36326	.2281101	2021
"USA"	2	1931	698900	253	26363	709367	124149	36360	.2160157	2021
"USA"	2	1932	641600	245	13901	612400	124949	36424	.197177	2021
"USA"	2	1933	570400	244	23605	649968	125690	36518	.2051403	2021
"USA"	2	1934	803100	247	26474	689998	126485	36644	.1974428	2021
"USA"	2	1935	806400	252	34640	721900	127362	36843	.1932461	2021
"USA"	2	1936	932600	291	48534	825460	128181	36995	.2059848	2021
"USA"	2	1937	1032900	312	51380	869666	128961	37229	.2008996	2021
"USA"	2	1938	1131499	323	28805	751346	129969	37463	.1707712	2021
"USA"	2	1939	980000	334	47898	829091	131028	37772	.1819711	2021
"USA"	2	1940	1657000	458	60765	939812	132122	37988	.2019071	2021
"USA"	2	1941	6301000	1801	75150	1031214	133402	38183	.2444945	2021
"USA"	2	1942	26001000	3859	78047	1103469	134860	38377	.2854552	2021
"USA"	2	1943	72109000	9045	80592	1169553	136739	38554	.3456322	2021
"USA"	2	1944	87000000	11452	81322	1247643	138397	38898	.3506417	2021
"USA"	2	1945	90000000	12123	72304	1219068	139928	39100	.3838635	2021
"USA"	2	1946	45133984	3030	60421	1188144	141389	39725	.3639884	2021
"USA"	2	1947	14315999	1583	77015	1315777	144126	40857	.3099419	2021
"USA"	2	1948	10960998	1446	80413	1396394	147208	42019	.2946597	2021
"USA"	2	1949	13503000	1615	70740	1199344	149767	43216	.2731664	2021
"USA"	2	1950	14559000	1460	87848	1241836	152271	43964	.284443	2021
"USA"	2	1951	33398000	3249	95435	1325948	154878	44711	.3194995	2021
"USA"	2	1952	47852000	3636	84520	1309824	157553	45123	.3113674	2021
"USA"	2	1953	49621008	3555	101250	1347597	160184	46581	.3111584	2021
"USA"	2	1954	42786000	3302	80115	1302449	163026	47007	.2809401	2021
"USA"	2	1955	40518000	2935	106173	1415958	165931	47688	.2664225	2021
"USA"	2	1956	41773008	2806	104522	1492506	168903	48389	.2606138	2021
"USA"	2	1957	44548000	2796	102253	1494767	171984	49087	.2550486	2021
"USA"	2	1958	45503008	2411	77342	1437859	174882	49733	.23447	2021
"USA"	2	1959	46614000	2328	84773	1513627	177830	50320	.2289647	2021
"USA"	2	1960	45380000	2306	90067	1421218	180671	50966	.2154438	2021
"USA"	2	1961	47808000	2307	88917	1447002	183691	50941	.2106549	2021
"USA"	2	1962	52381008	2807	89202	1508570	186538	50916	.2099114	2021
"USA"	2	1963	52295008	2700	99120	1589655	189242	50891	.2079665	2021
"USA"	2	1964	51213008	2687	115281	1610682	191889	50866	.2029826	2021
"USA"	2	1965	51827008	2660	119260	1700357	194303	50841	.2015391	2021
"USA"	2	1966	67572000	3090	121655	1784048	196560	50815	.2086695	2021
"USA"	2	1967	75448000	3380	115406	1903194	198712	50790	.2085481	2021
"USA"	2	1968	80732000	3550	119262	2094353	200706	50765	.2034119	2021
"USA"	2	1969	81446000	3460	128152	2198902	202677	53117	.1979508	2021
"USA"	2	1970	77827008	3070	119309	2276904	205052	55468	.1809692	2021
"USA"	2	1971	74862000	2720	109265	2311854	207661	55560	.1699562	2021
"USA"	2	1972	77639000	2323	120875	2396418	209896	55652	.1647432	2021
"USA"	2	1973	78385000	2206	136804	2490304	211909	55743	.1588194	2021
"USA"	2	1974	85906000	2146	132196	2430725	213854	55736	.1526986	2021
"USA"	2	1975	90948000	2098	105897	2393766	215973	55728	.1439478	2021
"USA"	2	1976	91013000	2075	116121	2536257	218035	55721	.1424627	2021
"USA"	2	1977	100925000	2060	113701	2619481	220239	55713	.1418244	2021
"USA"	2	1978	109247000	2060	124314	2612982	222585	56208	.1396744	2021
"USA"	2	1979	122279000	2033	123688	2659868	225055	56702	.1372161	2021
"USA"	2	1980	143981000	2050	101456	2584210	227726	57197	.1331146	2021
"USA"	2	1981	169888000	2101	109614	2502657	229966	57825	.1380075	2021
"USA"	2	1982	196345000	2168	67656	2380353	232188	58453	.1295889	2021
"USA"	2	1983	217198000	2201	76762	2378677	234307	58856	.1329419	2021
"USA"	2	1984	237052000	2222	83940	2467563	236348	59259	.135594	2021
"USA"	2	1985	245154000	2244	80067	2466405	238466	60260	.1373146	2021
"USA"	2	1986	265480000	2269	74032	2468629	240651	61261	.1352873	2021
"USA"	2	1987	273966000	2280	80876	2561765	242804	61975	.1340292	2021
"USA"	2	1988	281935000	2250	90631	2669996	245021	62689	.1344689	2021
"USA"	2	1989	294880000	2240	87722	2745073	247342	63402	.1482387	2021
"USA"	2	1990	289755000	2180	89726	2798225	249907	64116	.1412533	2021
"USA"	2	1991	262389000	2110	79738	2827021	252618	64814	.1371378	2021
"USA"	2	1992	286892000	1920	84322	2856725	255391	65413	.1482449	2021
"USA"	2	1993	297600000	1810	88793	2921265	258132	66072	.1534516	2021
"USA"	2	1994	293214000	1710	91244	2962511	260602	66457	.1456802	2021
"USA"	2	1995	277834000	1620	95191	2996708	262755	66945	.140371	2021
"USA"	2	1996	277254000	1570	95535	3055692	265284	67433	.1384124	2021
"USA"	2	1997	276324000	1530	98485	3114015	267901	68503	.1395529	2021
"USA"	2	1998	279702000	1510	98658	3126886	274028	69572	.1415169	2021
"USA"	2	1999	292147000	1490	97427	3161089	276218	70642	.142508	2021
"USA"	2	2000	303136000	1366	101803	3283713	278357	75342	.1426877	2021
"USA"	2	2001	322365000	1368	90104	3184088	285112	76419	.1414117	2021
"USA"	2	2002	348555000	1414	91587	3227356	290270	157321	.1534744	2021
"USA"	2	2003	404920000	1427	93677	3243291	292883	159669	.1517725	2021
"USA"	2	2004	455908000	1450	99681	3267987	295487	162073	.1514481	2021
"USA"	2	2005	495326000	1474	94897	3267376	298166	164533	.1563021	2021
"USA"	2	2006	521840000	1546	98557	3245355	300943	166465	.1541926	2021
"USA"	2	2007	552568000	1506	98102	3309665	303787	169391	.1497239	2021
"USA"	2	2008	616073000	1498	91350	3258397	306657	172381	.1475153	2021
"USA"	2	2009	662049000	1540	58196	3108786	309492	175133	.1458845	2021
"USA"	2	2010	693600000	1580	80495	3211750	312247	177349	.1475797	2021
"USA"	2	2011	687000000	1564	86398	3205649	314912	180792	.1428589	2021
"USA"	2	2012	655388000	1569	88695	3169126	317505	183712	.1389264	2021
"USA"	2	2013	600400000	1520	86878	3222039	315537	187325	.132642	2021
"USA"	2	2014	581000000	1492	88174	3315793	317719	190421	.129408	2021
"USA"	2	2015	597503000	1433	78845	3317109	319929	194505	.1330383	2021
"USA"	2	2016	604452000	1381	78475	3293117	322180	197817	.1330576	2021
"CAN"	20	1920	10755	4	1118	31979	8556	1598	.0101284	2021
"CAN"	20	1921	10209	4	678	30630	8788	1659	.0105423	2021
"CAN"	20	1922	10028	4	494	26533	8919	1708	.0084077	2021
"CAN"	20	1923	13316	4	899	35626	9010	1760	.0098605	2021
"CAN"	20	1924	12824	4	661	29947	9143	1822	.0088947	2021
"CAN"	20	1925	12984	4	765	29242	9294	1893	.0087039	2021
"CAN"	20	1926	13936	4	789	33207	9451	1971	.00924	2021
"CAN"	20	1927	16745	4	922	36491	9637	2054	.0093703	2021
"CAN"	20	1928	18862	5	1255	37299	9835	2119	.0097022	2021
"CAN"	20	1929	21058	4	1400	40842	10029	2187	.009803	2021
"CAN"	20	1930	22649	5	1026	39101	10208	2256	.0097882	2021
"CAN"	20	1931	18263	6	683	31481	10377	2328	.009185	2021
"CAN"	20	1932	11999	5	345	29101	10510	2361	.008633	2021
"CAN"	20	1933	17149	5	417	29070	10633	2397	.0084307	2021
"CAN"	20	1934	12943	5	770	33577	10741	2426	.0089085	2021
"CAN"	20	1935	24921	4	957	33523	10845	2459	.0087363	2021
"CAN"	20	1936	24762	6	1134	36524	10950	2490	.0086481	2021
"CAN"	20	1937	32419	6	1425	39978	11045	2526	.0089261	2021
"CAN"	20	1938	35282	6	1174	36854	11152	2560	.0087166	2021
"CAN"	20	1939	125700	6	1407	40964	11267	2589	.0090911	2021
"CAN"	20	1940	730100	21	2045	46411	11381	2617	.0120588	2021
"CAN"	20	1941	1038380	280	2460	51156	11507	2645	.0150791	2021
"CAN"	20	1942	2321324	400	2821	55917	11654	2690	.0171436	2021
"CAN"	20	1943	3841192	740	2725	58587	11795	2738	.0185215	2021
"CAN"	20	1944	3622309	728	2736	60382	11946	2790	.0169748	2021
"CAN"	20	1945	2664365	801	2611	56093	12072	2845	.0170419	2021
"CAN"	20	1946	1552759	46	2111	59632	12292	2903	.015644	2021
"CAN"	20	1947	385771	43	2672	62009	12551	2972	.013188	2021
"CAN"	20	1948	195025	40	2903	68228	13167	3041	.0125928	2021
"CAN"	20	1949	370149	47	2892	63490	13475	3113	.0128127	2021
"CAN"	20	1950	447964	45	3070	60887	13737	3186	.0126052	2021
"CAN"	20	1951	1150942	62	3237	64945	14050	3261	.0135349	2021
"CAN"	20	1952	1843656	102	3359	64874	14496	3337	.0142037	2021
"CAN"	20	1953	2028835	104	3734	67118	14886	3415	.0142198	2021
"CAN"	20	1954	1818274	108	2898	67691	15330	3496	.0133411	2021
"CAN"	20	1955	1883021	112	4114	72628	15736	3578	.0131893	2021
"CAN"	20	1956	1889889	116	4809	83921	16123	3664	.013736	2021
"CAN"	20	1957	1905207	121	4598	82785	16677	3750	.0132075	2021
"CAN"	20	1958	1766497	119	3955	84364	17120	3841	.0125974	2021
"CAN"	20	1959	1703318	120	5354	90080	17522	3934	.0128275	2021
"CAN"	20	1960	1735570	121	5270	94926	17909	4049	.0124448	2021
"CAN"	20	1961	1722891	124	5886	99412	18238	4154	.0125685	2021
"CAN"	20	1962	1735210	124	6507	109109	18614	4247	.01263	2021
"CAN"	20	1963	1588421	120	7436	112561	18964	4399	.0124492	2021
"CAN"	20	1964	1677304	120	8282	128155	19325	4554	.0127586	2021
"CAN"	20	1965	1544548	120	9132	135644	19678	4702	.012747	2021
"CAN"	20	1966	1642790	110	9093	141051	20048	4645	.0121847	2021
"CAN"	20	1967	1813063	105	8797	151902	20412	4669	.0120226	2021
"CAN"	20	1968	1782772	105	10161	168715	20729	4692	.0119311	2021
"CAN"	20	1969	1770133	100	9350	172706	21028	4806	.0110994	2021
"CAN"	20	1970	1920602	95	11198	188188	21297	4920	.0113543	2021
"CAN"	20	1971	2110319	85	11040	199928	22962	5035	.0114839	2021
"CAN"	20	1972	2260834	90	11859	221405	22220	5149	.0116423	2021
"CAN"	20	1973	2404759	82	13386	235183	22494	5263	.0115705	2021
"CAN"	20	1974	2926380	82	13623	242091	22808	5377	.0117335	2021
"CAN"	20	1975	3074729	78	13025	243749	23142	5432	.0117008	2021
"CAN"	20	1976	3639959	78	13290	252431	23450	5487	.0116371	2021
"CAN"	20	1977	3877762	78	13581	265585	23726	5543	.01173	2021
"CAN"	20	1978	4016964	79	14898	269236	23964	5598	.0116502	2021
"CAN"	20	1979	4119005	79	16078	288132	24202	5653	.0117834	2021
"CAN"	20	1980	4387240	82	15901	286861	24516	5713	.0117607	2021
"CAN"	20	1981	5246444	81	14811	278108	24820	6604	.0117137	2021
"CAN"	20	1982	6182339	81	11871	259635	25117	6989	.0111107	2021
"CAN"	20	1983	6562003	81	12832	257445	25367	7374	.0111993	2021
"CAN"	20	1984	7195604	82	14699	273560	25608	7759	.0116212	2021
"CAN"	20	1985	6809000	83	13459	270146	25843	8144	.0111225	2021
"CAN"	20	1986	7180000	85	14081	260704	26101	8530	.0110701	2021
"CAN"	20	1987	7960000	86	14737	275213	26450	8915	.0112496	2021
"CAN"	20	1988	8830000	88	15193	289860	26798	9300	.0113491	2021
"CAN"	20	1989	9480000	88	15458	300105	27286	9685	.0119699	2021
"CAN"	20	1990	10280000	87	12281	289980	27701	10070	.0110157	2021
"CAN"	20	1991	11420000	86	12987	285843	28031	10455	.0117317	2021
"CAN"	20	1992	10310000	82	13924	292070	28377	10686	.0120528	2021
"CAN"	20	1993	9600000	76	14387	301518	28703	10918	.0120166	2021
"CAN"	20	1994	9695000	75	13897	307868	29036	11149	.0116992	2021
"CAN"	20	1995	9126000	70	14415	313414	29354	11381	.011477	2021
"CAN"	20	1996	8624000	66	14735	323697	29672	11612	.0113516	2021
"CAN"	20	1997	7801000	61	15553	332197	30004	11751	.0112028	2021
"CAN"	20	1998	7677000	60	15930	332946	30563	11892	.0113591	2021
"CAN"	20	1999	8395000	60	16235	341239	30857	12035	.0114923	2021
"CAN"	20	2000	8320000	59	16595	356625	31147	12178	.0112925	2021
"CAN"	20	2001	7745000	57	15276	355214	31021	12323	.010798	2021
"CAN"	20	2002	8522000	52	16002	356382	31284	17884	.0115449	2021
"CAN"	20	2003	10102000	52	15929	374595	31592	18134	.0113609	2021
"CAN"	20	2004	11501000	57	16305	376103	31914	18389	.011103	2021
"CAN"	20	2005	13224000	62	15327	370302	32253	18647	.0109195	2021
"CAN"	20	2006	15103000	62	15493	373891	32611	18911	.0108105	2021
"CAN"	20	2007	18491000	63	15572	374992	32986	19188	.0108366	2021
"CAN"	20	2008	19836000	64	14845	363465	33370	19471	.0104531	2021
"CAN"	20	2009	19575000	64	9286	344629	33753	19757	.0096003	2021
"CAN"	20	2010	20240000	66	13013	344485	34126	20049	.009658	2021
"CAN"	20	2011	20081000	66	12967	346960	34487	20345	.0093721	2021
"CAN"	20	2012	18445000	66	13507	355887	34838	20647	.0092022	2021
"CAN"	20	2013	16389000	66	12417	354730	35255	20977	.008734	2021
"CAN"	20	2014	15925000	66	12730	367369	35605	21246	.0087198	2021
"CAN"	20	2015	14007000	66	12473	370176	35950	21520	.0085933	2021
"CAN"	20	2016	13162000	66	12646	358887	36290	21799	.0084071	2021
"BHM"	31	1973	0	0	0	19010	181	0	.0003565	2021
"BHM"	31	1974	0	0	0	15960	185	0	.0002993	2021
"BHM"	31	1975	0	0	0	15446	189	0	.0002885	2021
"BHM"	31	1976	5500	0	0	13080	193	0	.0002348	2021
"BHM"	31	1977	4800	0	0	20516	197	0	.0003502	2021
"BHM"	31	1978	4900	0	0	13337	201	0	.000225	2021
"BHM"	31	1979	2700	0	0	12245	206	0	.0001997	2021
"BHM"	31	1980	5000	0	0	14391	210	135	.0002577	2021
"BHM"	31	1981	6600	0	0	11266	214	139	.0002122	2021
"BHM"	31	1982	9000	0	0	12330	218	143	.00023	2021
"BHM"	31	1983	8000	0	0	11071	223	146	.0002066	2021
"BHM"	31	1984	8600	0	0	8535	227	150	.0001619	2021
"BHM"	31	1985	9600	1	0	1361	232	154	.0000592	2021
"BHM"	31	1986	11100	0	0	111	236	157	.0000349	2021
"BHM"	31	1987	14337	0	0	111	241	159	.0000349	2021
"BHM"	31	1988	77700	0	0	112	246	163	.000046	2021
"BHM"	31	1989	66500	2	0	114	251	165	.0000584	2021
"BHM"	31	1990	65700	1	0	117	255	172	.0000511	2021
"BHM"	31	1991	48000	0	0	139	260	177	.0000432	2021
"BHM"	31	1992	17800	1	0	143	264	182	.0000444	2021
"BHM"	31	1993	-9	1	0	150	269	187	.0000479	2021
"BHM"	31	1994	20000	0	0	157	274	192	.0000365	2021
"BHM"	31	1995	19000	0	0	160	279	195	.0000355	2021
"BHM"	31	1996	22000	0	0	165	284	199	.0000352	2021
"BHM"	31	1997	22000	0	0	174	289	203	.0000347	2021
"BHM"	31	1998	26000	0	0	188	296	207	.0000355	2021
"BHM"	31	1999	26000	1	0	197	301	211	.0000428	2021
"BHM"	31	2000	30000	1	0	209	307	214	.0000432	2021
"BHM"	31	2001	29000	1	0	218	308	217	.0000431	2021
"BHM"	31	2002	28000	1	0	236	309	0	.0000242	2021
"BHM"	31	2003	33000	1	0	256	316	0	.0000246	2021
"BHM"	31	2004	34000	1	0	253	322	0	.0000242	2021
"BHM"	31	2005	36000	1	0	266	329	0	.0000248	2021
"BHM"	31	2006	48000	1	0	271	336	0	.0000263	2021
"BHM"	31	2007	58000	1	0	286	342	0	.0000271	2021
"BHM"	31	2008	49000	1	0	287	348	0	.0000252	2021
"BHM"	31	2009	49000	1	0	273	354	0	.0000248	2021
"BHM"	31	2010	47000	1	0	257	360	0	.000024	2021
"BHM"	31	2011	50000	1	0	263	366	0	.0000243	2021
"BHM"	31	2012	55000	1	0	244	372	0	.0000247	2021
"BHM"	31	2013	64000	1	0	242	377	0	.0000258	2021
"BHM"	31	2014	87000	1	0	247	382	0	.0000281	2021
"BHM"	31	2015	102000	1	0	256	387	0	.0000304	2021
"BHM"	31	2016	121000	1	0	252	391	0	.0000325	2021
"CUB"	40	1902	-9	3	0	5	1760	262	.0011215	2021
"CUB"	40	1903	-9	3	0	5	1840	266	.00112	2021
"CUB"	40	1904	-9	4	0	5	1880	271	.0011528	2021
"CUB"	40	1905	-9	4	0	6	1930	275	.0011217	2021
"CUB"	40	1906	6161	4	0	5	1980	279	.0034079	2021
"CUB"	40	1909	-9	5	0	11	2150	294	.0011669	2021
"CUB"	40	1910	-9	5	0	12	2220	301	.0011721	2021
"CUB"	40	1911	-9	5	0	23	2290	309	.0011661	2021
"CUB"	40	1912	-9	5	0	16	2360	316	.0011764	2021
"CUB"	40	1913	7293	11	0	8	2410	324	.0031744	2021
"CUB"	40	1914	-9	13	0	8	2510	330	.0014209	2021
"CUB"	40	1915	-9	15	0	13	2590	336	.0011778	2021
"CUB"	40	1916	-9	18	0	20	2660	341	.0012201	2021
"CUB"	40	1917	-9	19	0	14	2750	348	.0012402	2021
"CUB"	40	1918	-9	19	0	21	2830	354	.0012452	2021
"CUB"	40	1919	14374	18	0	19	2910	361	.0013536	2021
"CUB"	40	1920	16979	18	0	21	3000	378	.0016701	2021
"CUB"	40	1921	17444	18	0	23	3080	393	.0017549	2021
"CUB"	40	1922	14133	12	0	10	3180	418	.001655	2021
"CUB"	40	1923	9506	12	0	15	3260	437	.0015931	2021
"CUB"	40	1924	9516	12	0	13	3350	459	.001783	2021
"CUB"	40	1925	12043	13	0	26	3430	485	.0018452	2021
"CUB"	40	1926	12471	13	0	30	3520	511	.0018764	2021
"CUB"	40	1927	12313	13	0	30	3610	548	.0018457	2021
"CUB"	40	1928	12846	13	0	29	3510	581	.0017728	2021
"CUB"	40	1929	12734	13	0	32	3580	644	.0017985	2021
"CUB"	40	1930	11988	13	0	33	3650	691	.0017736	2021
"CUB"	40	1931	10100	13	0	29	3960	740	.0017968	2021
"CUB"	40	1932	9795	13	0	26	3960	802	.001892	2021
"CUB"	40	1933	7894	13	0	26	3960	867	.0018172	2021
"CUB"	40	1934	12195	13	0	29	4040	901	.0018244	2021
"CUB"	40	1935	14488	16	0	31	4070	922	.0017698	2021
"CUB"	40	1936	18385	16	0	34	4110	944	.0018335	2021
"CUB"	40	1937	18485	19	0	38	4170	966	.0018041	2021
"CUB"	40	1938	18385	19	0	40	4230	983	.0017455	2021
"CUB"	40	1939	18477	19	0	42	4250	1006	.0015868	2021
"CUB"	40	1940	17416	19	0	44	4290	1042	.0014569	2021
"CUB"	40	1941	-9	19	0	46	4330	1088	.0017546	2021
"CUB"	40	1942	15794	20	0	47	4370	1116	.0014924	2021
"CUB"	40	1943	-9	20	0	49	4780	1148	.0018267	2021
"CUB"	40	1944	-9	20	0	56	4850	1173	.0017596	2021
"CUB"	40	1945	-9	21	0	74	4930	1199	.0017085	2021
"CUB"	40	1946	-9	18	0	81	5040	1224	.00215	2021
"CUB"	40	1947	-9	18	0	95	5150	1261	.0018982	2021
"CUB"	40	1948	39943	18	0	97	5287	1298	.0017359	2021
"CUB"	40	1949	-9	19	0	98	5399	1337	.0017947	2021
"CUB"	40	1950	39175	20	0	431	5858	1372	.0016774	2021
"CUB"	40	1951	-9	20	0	612	5638	1395	.0017869	2021
"CUB"	40	1952	56000	20	0	643	5759	1416	.0014931	2021
"CUB"	40	1953	53000	21	0	712	6129	1440	.0014937	2021
"CUB"	40	1954	-9	21	0	706	6254	1463	.0016421	2021
"CUB"	40	1955	54000	13	0	802	6426	1488	.0013484	2021
"CUB"	40	1956	51000	13	3	884	6513	1509	.0013235	2021
"CUB"	40	1957	56100	19	12	3224	6641	1538	.0014732	2021
