stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version
USA,2,1909,56177,142,24339,478835,90490,19589,.22519203,2021
USA,2,1910,55880,139,26512,523027,92407,20302,.22648241,2021
USA,2,1911,57157,145,24056,521004,93863,21039,.21620536,2021
USA,2,1912,58992,153,31753,557076,95335,21804,.22481573,2021
USA,2,1913,62825,155,31803,600107,97225,22596,.21991131,2021
USA,2,1914,253205,166,23890,556778,99111,23340,.20636405,2021
USA,2,1915,257648,174,32667,580731,100546,24008,.2220827,2021
USA,2,1916,277421,179,43460,646120,101961,24688,.23293602,2021
USA,2,1917,658584,644,45784,710959,103268,25310,.24402818,2021
USA,2,1918,7014226,2897,45176,743925,103208,26020,.29487148,2021
USA,2,1919,11217796,1173,35228,648393,104514,26723,.38128334,2021
USA,2,1920,1657118,343,42809,743808,106461,27428,.28956637,2021
USA,2,1921,1116342,387,20101,622541,108538,28210,.2532295,2021
USA,2,1922,860853,270,36173,641311,110049,29013,.25559509,2021
USA,2,1923,678256,247,45665,834889,111947,29840,.27207768,2021
USA,2,1924,570142,261,38540,762070,114109,30690,.25359103,2021
USA,2,1925,589706,252,46122,790029,115829,31565,.25404567,2021
USA,2,1926,558004,247,49069,852304,117397,32464,.26326758,2021
USA,2,1927,596501,249,45656,842978,119035,33389,.23862661,2021
USA,2,1928,678100,251,52371,833446,120509,34340,.2400723,2021
USA,2,1929,701300,255,57339,903141,121767,35318,.23979345,2021
USA,2,1930,699200,256,41352,814891,123188,36326,.22811012,2021
USA,2,1931,698900,253,26363,709367,124149,36360,.21601571,2021
USA,2,1932,641600,245,13901,612400,124949,36424,.19717696,2021
USA,2,1933,570400,244,23605,649968,125690,36518,.20514032,2021
USA,2,1934,803100,247,26474,689998,126485,36644,.19744284,2021
USA,2,1935,806400,252,34640,721900,127362,36843,.19324611,2021
USA,2,1936,932600,291,48534,825460,128181,36995,.20598476,2021
USA,2,1937,1032900,312,51380,869666,128961,37229,.20089963,2021
USA,2,1938,1131499,323,28805,751346,129969,37463,.1707712,2021
USA,2,1939,980000,334,47898,829091,131028,37772,.18197109,2021
USA,2,1940,1657000,458,60765,939812,132122,37988,.20190711,2021
USA,2,1941,6301000,1801,75150,1031214,133402,38183,.24449451,2021
USA,2,1942,26001000,3859,78047,1103469,134860,38377,.2854552,2021
USA,2,1943,72109000,9045,80592,1169553,136739,38554,.3456322,2021
USA,2,1944,87000000,11452,81322,1247643,138397,38898,.3506417,2021
USA,2,1945,90000000,12123,72304,1219068,139928,39100,.38386354,2021
USA,2,1946,45133984,3030,60421,1188144,141389,39725,.36398837,2021
USA,2,1947,14315999,1583,77015,1315777,144126,40857,.30994186,2021
USA,2,1948,10960998,1446,80413,1396394,147208,42019,.2946597,2021
USA,2,1949,13503000,1615,70740,1199344,149767,43216,.27316636,2021
USA,2,1950,14559000,1460,87848,1241836,152271,43964,.28444302,2021
USA,2,1951,33398000,3249,95435,1325948,154878,44711,.31949946,2021
USA,2,1952,47852000,3636,84520,1309824,157553,45123,.31136742,2021
USA,2,1953,49621008,3555,101250,1347597,160184,46581,.31115836,2021
USA,2,1954,42786000,3302,80115,1302449,163026,47007,.28094009,2021
USA,2,1955,40518000,2935,106173,1415958,165931,47688,.26642248,2021
USA,2,1956,41773008,2806,104522,1492506,168903,48389,.2606138,2021
USA,2,1957,44548000,2796,102253,1494767,171984,49087,.2550486,2021
USA,2,1958,45503008,2411,77342,1437859,174882,49733,.23446997,2021
USA,2,1959,46614000,2328,84773,1513627,177830,50320,.22896473,2021
USA,2,1960,45380000,2306,90067,1421218,180671,50966,.21544383,2021
USA,2,1961,47808000,2307,88917,1447002,183691,50941,.21065485,2021
USA,2,1962,52381008,2807,89202,1508570,186538,50916,.20991142,2021
USA,2,1963,52295008,2700,99120,1589655,189242,50891,.20796648,2021
USA,2,1964,51213008,2687,115281,1610682,191889,50866,.20298257,2021
USA,2,1965,51827008,2660,119260,1700357,194303,50841,.2015391,2021
USA,2,1966,67572000,3090,121655,1784048,196560,50815,.20866945,2021
USA,2,1967,75448000,3380,115406,1903194,198712,50790,.20854811,2021
USA,2,1968,80732000,3550,119262,2094353,200706,50765,.20341188,2021
USA,2,1969,81446000,3460,128152,2198902,202677,53117,.19795081,2021
USA,2,1970,77827008,3070,119309,2276904,205052,55468,.18096918,2021
USA,2,1971,74862000,2720,109265,2311854,207661,55560,.16995624,2021
USA,2,1972,77639000,2323,120875,2396418,209896,55652,.16474316,2021
USA,2,1973,78385000,2206,136804,2490304,211909,55743,.15881944,2021
USA,2,1974,85906000,2146,132196,2430725,213854,55736,.15269861,2021
USA,2,1975,90948000,2098,105897,2393766,215973,55728,.14394777,2021
USA,2,1976,91013000,2075,116121,2536257,218035,55721,.14246269,2021
USA,2,1977,100925000,2060,113701,2619481,220239,55713,.14182441,2021
USA,2,1978,109247000,2060,124314,2612982,222585,56208,.13967438,2021
USA,2,1979,122279000,2033,123688,2659868,225055,56702,.13721611,2021
USA,2,1980,143981000,2050,101456,2584210,227726,57197,.13311459,2021
USA,2,1981,169888000,2101,109614,2502657,229966,57825,.13800748,2021
USA,2,1982,196345000,2168,67656,2380353,232188,58453,.1295889,2021
USA,2,1983,217198000,2201,76762,2378677,234307,58856,.1329419,2021
USA,2,1984,237052000,2222,83940,2467563,236348,59259,.13559404,2021
USA,2,1985,245154000,2244,80067,2466405,238466,60260,.13731457,2021
USA,2,1986,265480000,2269,74032,2468629,240651,61261,.13528731,2021
USA,2,1987,273966000,2280,80876,2561765,242804,61975,.13402919,2021
USA,2,1988,281935000,2250,90631,2669996,245021,62689,.13446887,2021
USA,2,1989,294880000,2240,87722,2745073,247342,63402,.14823866,2021
USA,2,1990,289755000,2180,89726,2798225,249907,64116,.14125326,2021
USA,2,1991,262389000,2110,79738,2827021,252618,64814,.13713777,2021
USA,2,1992,286892000,1920,84322,2856725,255391,65413,.14824486,2021
USA,2,1993,297600000,1810,88793,2921265,258132,66072,.15345162,2021
USA,2,1994,293214000,1710,91244,2962511,260602,66457,.14568017,2021
USA,2,1995,277834000,1620,95191,2996708,262755,66945,.14037095,2021
USA,2,1996,277254000,1570,95535,3055692,265284,67433,.13841243,2021
USA,2,1997,276324000,1530,98485,3114015,267901,68503,.13955292,2021
USA,2,1998,279702000,1510,98658,3126886,274028,69572,.14151686,2021
USA,2,1999,292147000,1490,97427,3161089,276218,70642,.14250799,2021
USA,2,2000,303136000,1366,101803,3283713,278357,75342,.14268766,2021
USA,2,2001,322365000,1368,90104,3184088,285112,76419,.14141168,2021
USA,2,2002,348555000,1414,91587,3227356,290270,157321,.15347439,2021
USA,2,2003,404920000,1427,93677,3243291,292883,159669,.15177245,2021
USA,2,2004,455908000,1450,99681,3267987,295487,162073,.1514481,2021
USA,2,2005,495326000,1474,94897,3267376,298166,164533,.15630208,2021
USA,2,2006,521840000,1546,98557,3245355,300943,166465,.15419258,2021
USA,2,2007,552568000,1506,98102,3309665,303787,169391,.14972392,2021
USA,2,2008,616073000,1498,91350,3258397,306657,172381,.14751531,2021
USA,2,2009,662049000,1540,58196,3108786,309492,175133,.14588451,2021
USA,2,2010,693600000,1580,80495,3211750,312247,177349,.14757971,2021
USA,2,2011,687000000,1564,86398,3205649,314912,180792,.14285889,2021
USA,2,2012,655388000,1569,88695,3169126,317505,183712,.13892639,2021
USA,2,2013,600400000,1520,86878,3222039,315537,187325,.13264199,2021
USA,2,2014,581000000,1492,88174,3315793,317719,190421,.12940805,2021
USA,2,2015,597503000,1433,78845,3317109,319929,194505,.13303833,2021
USA,2,2016,604452000,1381,78475,3293117,322180,197817,.13305758,2021
CAN,20,1920,10755,4,1118,31979,8556,1598,.01012836,2021
CAN,20,1921,10209,4,678,30630,8788,1659,.010542275,2021
CAN,20,1922,10028,4,494,26533,8919,1708,.0084077036,2021
CAN,20,1923,13316,4,899,35626,9010,1760,.0098605091,2021
CAN,20,1924,12824,4,661,29947,9143,1822,.0088946531,2021
CAN,20,1925,12984,4,765,29242,9294,1893,.0087038754,2021
CAN,20,1926,13936,4,789,33207,9451,1971,.0092399791,2021
CAN,20,1927,16745,4,922,36491,9637,2054,.0093703177,2021
CAN,20,1928,18862,5,1255,37299,9835,2119,.0097021777,2021
CAN,20,1929,21058,4,1400,40842,10029,2187,.0098029692,2021
CAN,20,1930,22649,5,1026,39101,10208,2256,.0097882254,2021
CAN,20,1931,18263,6,683,31481,10377,2328,.0091850217,2021
CAN,20,1932,11999,5,345,29101,10510,2361,.0086330045,2021
CAN,20,1933,17149,5,417,29070,10633,2397,.0084307082,2021
CAN,20,1934,12943,5,770,33577,10741,2426,.0089084785,2021
CAN,20,1935,24921,4,957,33523,10845,2459,.0087363021,2021
CAN,20,1936,24762,6,1134,36524,10950,2490,.0086480891,2021
CAN,20,1937,32419,6,1425,39978,11045,2526,.0089261318,2021
CAN,20,1938,35282,6,1174,36854,11152,2560,.0087165888,2021
CAN,20,1939,125700,6,1407,40964,11267,2589,.0090911472,2021
CAN,20,1940,730100,21,2045,46411,11381,2617,.012058837,2021
CAN,20,1941,1038380,280,2460,51156,11507,2645,.01507905,2021
CAN,20,1942,2321324,400,2821,55917,11654,2690,.017143585,2021
CAN,20,1943,3841192,740,2725,58587,11795,2738,.018521491,2021
CAN,20,1944,3622309,728,2736,60382,11946,2790,.01697485,2021
CAN,20,1945,2664365,801,2611,56093,12072,2845,.017041938,2021
CAN,20,1946,1552759,46,2111,59632,12292,2903,.015643977,2021
CAN,20,1947,385771,43,2672,62009,12551,2972,.013187969,2021
CAN,20,1948,195025,40,2903,68228,13167,3041,.012592783,2021
CAN,20,1949,370149,47,2892,63490,13475,3113,.012812718,2021
CAN,20,1950,447964,45,3070,60887,13737,3186,.012605249,2021
CAN,20,1951,1150942,62,3237,64945,14050,3261,.013534874,2021
CAN,20,1952,1843656,102,3359,64874,14496,3337,.014203724,2021
CAN,20,1953,2028835,104,3734,67118,14886,3415,.014219755,2021
CAN,20,1954,1818274,108,2898,67691,15330,3496,.01334111,2021
CAN,20,1955,1883021,112,4114,72628,15736,3578,.013189279,2021
CAN,20,1956,1889889,116,4809,83921,16123,3664,.013735953,2021
CAN,20,1957,1905207,121,4598,82785,16677,3750,.013207524,2021
CAN,20,1958,1766497,119,3955,84364,17120,3841,.012597365,2021
CAN,20,1959,1703318,120,5354,90080,17522,3934,.012827507,2021
CAN,20,1960,1735570,121,5270,94926,17909,4049,.012444773,2021
CAN,20,1961,1722891,124,5886,99412,18238,4154,.012568495,2021
CAN,20,1962,1735210,124,6507,109109,18614,4247,.012630004,2021
CAN,20,1963,1588421,120,7436,112561,18964,4399,.012449234,2021
CAN,20,1964,1677304,120,8282,128155,19325,4554,.012758554,2021
CAN,20,1965,1544548,120,9132,135644,19678,4702,.012746997,2021
CAN,20,1966,1642790,110,9093,141051,20048,4645,.012184688,2021
CAN,20,1967,1813063,105,8797,151902,20412,4669,.012022597,2021
CAN,20,1968,1782772,105,10161,168715,20729,4692,.011931072,2021
CAN,20,1969,1770133,100,9350,172706,21028,4806,.011099377,2021
CAN,20,1970,1920602,95,11198,188188,21297,4920,.011354282,2021
CAN,20,1971,2110319,85,11040,199928,22962,5035,.011483858,2021
CAN,20,1972,2260834,90,11859,221405,22220,5149,.011642309,2021
CAN,20,1973,2404759,82,13386,235183,22494,5263,.011570494,2021
CAN,20,1974,2926380,82,13623,242091,22808,5377,.011733489,2021
CAN,20,1975,3074729,78,13025,243749,23142,5432,.011700832,2021
CAN,20,1976,3639959,78,13290,252431,23450,5487,.011637148,2021
CAN,20,1977,3877762,78,13581,265585,23726,5543,.011730049,2021
CAN,20,1978,4016964,79,14898,269236,23964,5598,.011650193,2021
CAN,20,1979,4119005,79,16078,288132,24202,5653,.011783425,2021
CAN,20,1980,4387240,82,15901,286861,24516,5713,.011760736,2021
CAN,20,1981,5246444,81,14811,278108,24820,6604,.011713711,2021
CAN,20,1982,6182339,81,11871,259635,25117,6989,.011110692,2021
CAN,20,1983,6562003,81,12832,257445,25367,7374,.011199301,2021
CAN,20,1984,7195604,82,14699,273560,25608,7759,.011621215,2021
CAN,20,1985,6809000,83,13459,270146,25843,8144,.011122531,2021
CAN,20,1986,7180000,85,14081,260704,26101,8530,.011070146,2021
CAN,20,1987,7960000,86,14737,275213,26450,8915,.011249576,2021
CAN,20,1988,8830000,88,15193,289860,26798,9300,.011349097,2021
CAN,20,1989,9480000,88,15458,300105,27286,9685,.011969931,2021
CAN,20,1990,10280000,87,12281,289980,27701,10070,.011015653,2021
CAN,20,1991,11420000,86,12987,285843,28031,10455,.011731687,2021
CAN,20,1992,10310000,82,13924,292070,28377,10686,.012052817,2021
CAN,20,1993,9600000,76,14387,301518,28703,10918,.012016573,2021
CAN,20,1994,9695000,75,13897,307868,29036,11149,.01169921,2021
CAN,20,1995,9126000,70,14415,313414,29354,11381,.011476978,2021
CAN,20,1996,8624000,66,14735,323697,29672,11612,.01135161,2021
CAN,20,1997,7801000,61,15553,332197,30004,11751,.011202842,2021
CAN,20,1998,7677000,60,15930,332946,30563,11892,.011359061,2021
CAN,20,1999,8395000,60,16235,341239,30857,12035,.011492347,2021
CAN,20,2000,8320000,59,16595,356625,31147,12178,.011292482,2021
CAN,20,2001,7745000,57,15276,355214,31021,12323,.010798017,2021
CAN,20,2002,8522000,52,16002,356382,31284,17884,.0115449,2021
CAN,20,2003,10102000,52,15929,374595,31592,18134,.011360924,2021
CAN,20,2004,11501000,57,16305,376103,31914,18389,.01110299,2021
CAN,20,2005,13224000,62,15327,370302,32253,18647,.010919506,2021
CAN,20,2006,15103000,62,15493,373891,32611,18911,.01081054,2021
CAN,20,2007,18491000,63,15572,374992,32986,19188,.010836622,2021
CAN,20,2008,19836000,64,14845,363465,33370,19471,.010453145,2021
CAN,20,2009,19575000,64,9286,344629,33753,19757,.0096003301,2021
CAN,20,2010,20240000,66,13013,344485,34126,20049,.00965802,2021
CAN,20,2011,20081000,66,12967,346960,34487,20345,.0093720779,2021
CAN,20,2012,18445000,66,13507,355887,34838,20647,.0092022391,2021
CAN,20,2013,16389000,66,12417,354730,35255,20977,.0087339561,2021
CAN,20,2014,15925000,66,12730,367369,35605,21246,.0087198094,2021
CAN,20,2015,14007000,66,12473,370176,35950,21520,.0085933199,2021
CAN,20,2016,13162000,66,12646,358887,36290,21799,.0084070936,2021
BHM,31,1973,0,0,0,19010,181,0,.00035652413,2021
BHM,31,1974,0,0,0,15960,185,0,.00029933747,2021
BHM,31,1975,0,0,0,15446,189,0,.00028854384,2021
BHM,31,1976,5500,0,0,13080,193,0,.00023482335,2021
BHM,31,1977,4800,0,0,20516,197,0,.00035021652,2021
BHM,31,1978,4900,0,0,13337,201,0,.00022499902,2021
BHM,31,1979,2700,0,0,12245,206,0,.00019967771,2021
BHM,31,1980,5000,0,0,14391,210,135,.00025767231,2021
BHM,31,1981,6600,0,0,11266,214,139,.00021216812,2021
BHM,31,1982,9000,0,0,12330,218,143,.00022998851,2021
BHM,31,1983,8000,0,0,11071,223,146,.00020664366,2021
BHM,31,1984,8600,0,0,8535,227,150,.0001618642,2021
BHM,31,1985,9600,1,0,1361,232,154,.000059248319,2021
BHM,31,1986,11100,0,0,111,236,157,.000034925233,2021
BHM,31,1987,14337,0,0,111,241,159,.000034910689,2021
BHM,31,1988,77700,0,0,112,246,163,.000046035984,2021
BHM,31,1989,66500,2,0,114,251,165,.000058428974,2021
BHM,31,1990,65700,1,0,117,255,172,.000051120052,2021
BHM,31,1991,48000,0,0,139,260,177,.000043180651,2021
BHM,31,1992,17800,1,0,143,264,182,.000044400906,2021
BHM,31,1993,-9,1,0,150,269,187,.000047885838,2021
BHM,31,1994,20000,0,0,157,274,192,.000036486003,2021
BHM,31,1995,19000,0,0,160,279,195,.000035470039,2021
BHM,31,1996,22000,0,0,165,284,199,.000035161273,2021
BHM,31,1997,22000,0,0,174,289,203,.000034726723,2021
BHM,31,1998,26000,0,0,188,296,207,.000035477391,2021
BHM,31,1999,26000,1,0,197,301,211,.000042787669,2021
BHM,31,2000,30000,1,0,209,307,214,.000043155731,2021
BHM,31,2001,29000,1,0,218,308,217,.000043112937,2021
BHM,31,2002,28000,1,0,236,309,0,.000024223926,2021
BHM,31,2003,33000,1,0,256,316,0,.00002455713,2021
BHM,31,2004,34000,1,0,253,322,0,.000024156881,2021
BHM,31,2005,36000,1,0,266,329,0,.000024762599,2021
BHM,31,2006,48000,1,0,271,336,0,.000026254755,2021
BHM,31,2007,58000,1,0,286,342,0,.000027115228,2021
BHM,31,2008,49000,1,0,287,348,0,.000025164903,2021
BHM,31,2009,49000,1,0,273,354,0,.000024783076,2021
BHM,31,2010,47000,1,0,257,360,0,.000024044855,2021
BHM,31,2011,50000,1,0,263,366,0,.000024342586,2021
BHM,31,2012,55000,1,0,244,372,0,.00002473381,2021
BHM,31,2013,64000,1,0,242,377,0,.000025753778,2021
BHM,31,2014,87000,1,0,247,382,0,.000028062817,2021
BHM,31,2015,102000,1,0,256,387,0,.000030364945,2021
BHM,31,2016,121000,1,0,252,391,0,.000032538159,2021
CUB,40,1902,-9,3,0,5,1760,262,.0011214954,2021
CUB,40,1903,-9,3,0,5,1840,266,.0011200034,2021
CUB,40,1904,-9,4,0,5,1880,271,.0011527566,2021
CUB,40,1905,-9,4,0,6,1930,275,.0011217024,2021
CUB,40,1906,6161,4,0,5,1980,279,.0034079426,2021
CUB,40,1909,-9,5,0,11,2150,294,.0011668679,2021
CUB,40,1910,-9,5,0,12,2220,301,.0011720996,2021
CUB,40,1911,-9,5,0,23,2290,309,.0011660646,2021
CUB,40,1912,-9,5,0,16,2360,316,.0011763652,2021
CUB,40,1913,7293,11,0,8,2410,324,.0031744451,2021
CUB,40,1914,-9,13,0,8,2510,330,.0014208881,2021
CUB,40,1915,-9,15,0,13,2590,336,.0011777733,2021
CUB,40,1916,-9,18,0,20,2660,341,.0012201079,2021
CUB,40,1917,-9,19,0,14,2750,348,.0012402491,2021
CUB,40,1918,-9,19,0,21,2830,354,.0012452207,2021
CUB,40,1919,14374,18,0,19,2910,361,.001353588,2021
CUB,40,1920,16979,18,0,21,3000,378,.0016700639,2021
CUB,40,1921,17444,18,0,23,3080,393,.0017549171,2021
CUB,40,1922,14133,12,0,10,3180,418,.0016550444,2021
CUB,40,1923,9506,12,0,15,3260,437,.0015931007,2021
CUB,40,1924,9516,12,0,13,3350,459,.0017829695,2021
CUB,40,1925,12043,13,0,26,3430,485,.0018451679,2021
CUB,40,1926,12471,13,0,30,3520,511,.001876415,2021
CUB,40,1927,12313,13,0,30,3610,548,.0018457342,2021
CUB,40,1928,12846,13,0,29,3510,581,.0017728058,2021
CUB,40,1929,12734,13,0,32,3580,644,.001798469,2021
CUB,40,1930,11988,13,0,33,3650,691,.0017735991,2021
CUB,40,1931,10100,13,0,29,3960,740,.0017968075,2021
CUB,40,1932,9795,13,0,26,3960,802,.0018920132,2021
CUB,40,1933,7894,13,0,26,3960,867,.0018172119,2021
CUB,40,1934,12195,13,0,29,4040,901,.0018243855,2021
CUB,40,1935,14488,16,0,31,4070,922,.0017697593,2021
CUB,40,1936,18385,16,0,34,4110,944,.0018334549,2021
CUB,40,1937,18485,19,0,38,4170,966,.0018040766,2021
CUB,40,1938,18385,19,0,40,4230,983,.0017454737,2021
CUB,40,1939,18477,19,0,42,4250,1006,.0015867949,2021
CUB,40,1940,17416,19,0,44,4290,1042,.0014569231,2021
CUB,40,1941,-9,19,0,46,4330,1088,.0017546256,2021
CUB,40,1942,15794,20,0,47,4370,1116,.0014924143,2021
CUB,40,1943,-9,20,0,49,4780,1148,.001826723,2021
CUB,40,1944,-9,20,0,56,4850,1173,.0017596111,2021
CUB,40,1945,-9,21,0,74,4930,1199,.0017084641,2021
CUB,40,1946,-9,18,0,81,5040,1224,.002149998,2021
CUB,40,1947,-9,18,0,95,5150,1261,.001898205,2021
CUB,40,1948,39943,18,0,97,5287,1298,.0017359498,2021
CUB,40,1949,-9,19,0,98,5399,1337,.0017946942,2021
CUB,40,1950,39175,20,0,431,5858,1372,.0016774255,2021
CUB,40,1951,-9,20,0,612,5638,1395,.0017868951,2021
CUB,40,1952,56000,20,0,643,5759,1416,.0014931128,2021
CUB,40,1953,53000,21,0,712,6129,1440,.001493723,2021
CUB,40,1954,-9,21,0,706,6254,1463,.0016421061,2021
CUB,40,1955,54000,13,0,802,6426,1488,.0013483645,2021
CUB,40,1956,51000,13,3,884,6513,1509,.0013234533,2021
CUB,40,1957,56100,19,12,3224,6641,1538,.0014732383,2021
CUB,40,1958,-9,19,20,5496,6763,1568,.0017592495,2021
CUB,40,1959,-9,19,29,5298,6901,1599,.0017134912,2021
CUB,40,1960,175000,46,37,4748,7029,1609,.0018324672,2021
CUB,40,1961,175000,270,46,4431,7134,1620,.0037443023,2021
CUB,40,1962,200000,270,54,5378,7254,1630,.0036521628,2021
CUB,40,1963,200000,80,63,5412,7415,1641,.0019923216,2021
CUB,40,1964,200000,110,52,5023,7612,1651,.0021613606,2021
CUB,40,1965,140000,110,36,5189,7809,1661,.0021012598,2021
CUB,40,1966,230000,110,67,5347,7985,1672,.0020862762,2021
CUB,40,1967,170000,110,120,5544,8139,1710,.0019963172,2021
CUB,40,1968,213000,110,120,10742,8284,1747,.002098043,2021
CUB,40,1969,186000,140,119,11264,8421,1785,.0022413344,2021
CUB,40,1970,228000,140,140,13767,8546,1822,.0022710396,2021
CUB,40,1971,290000,140,111,12499,8678,1855,.0022520199,2021
CUB,40,1972,267000,140,187,12042,8041,1889,.002161426,2021
CUB,40,1973,270000,140,221,13596,9011,1922,.0021845661,2021
CUB,40,1974,282000,140,250,14384,9162,1956,.0021379085,2021
CUB,40,1975,326000,120,298,15473,9299,1989,.0020483625,2021
CUB,40,1976,-9,125,250,15497,9430,2216,.0023364043,2021
