"country","year","HO_rate"
"French Guiana",1961,38.3
"Germany",1961,29.1
"Hong Kong",1961,20.1
"Ireland",1961,59.8
"Italy",1961,45.8
"Jordan",1961,48.5
"New Zealand",1961,68.7
"Scotland",1961,26
"United Kingdom",1961,43
"Venezuela",1961,68.7
"Yugoslavia",1961,77.5
"Ecuador",1962,60.8
"France",1962,41.3
"Mauritius",1962,48.5
"Paraguay",1962,69.2
"Peru",1962,56
"Vietnam",1962,68.4
"Costa Rica",1963,56.3
"Hungary",1963,64.7
"Japan",1963,64.3
"Nicaragua",1963,66.1
"Thailand",1963,85.9
"Uruguay",1963,40.1
"Colombia",1964,61.3
"Guatemala",1964,69.3
"Netherlands",1964,34
"Armenia",1965,46.4
"Azerbaijan",1965,33.8
"Belarus",1965,41.7
"Bulgaria",1965,71
"Denmark",1965,44.4
"Estonia",1965,26.5
"Georgia",1965,50.9
"Germany",1965,31.3
"Greenland",1965,65.9
"Kazakhstan",1965,42.1
"Kyrgyzstan",1965,51.3
"Latvia",1965,24.1
"Lithuania",1965,33.3
"Moldova",1965,48.9
"Russia",1965,34.9
"Sudan",1965,59.2
"Tajikistan",1965,42.7
"Turkmenistan",1965,38.1
"Ukraine",1965,46.5
"United States",1965,63.025
"Uzbekistan",1965,54.4
"Armenia",1966,44.9
"Australia",1966,71.4
"Azerbaijan",1966,33.3
"Belarus",1966,40.2
"Estonia",1966,26.4
"Georgia",1966,50.4
"Iran",1966,71.6
"Israel",1966,58.1
"Kazakhstan",1966,40.6
"Kyrgyzstan",1966,51.2
"Latvia",1966,23.9
"Lithuania",1966,32.2
"Moldova",1966,47.9
"New Zealand",1966,68.7
"Russia",1966,33.8
"Scotland",1966,27.4
"Singapore",1966,22
"Tajikistan",1966,42.5
"Tunisia",1966,70.7
"Turkmenistan",1966,36.4
"Ukraine",1966,45.6
"United States",1966,63.45
"Uzbekistan",1966,51.2
"Armenia",1967,42.4
"Azerbaijan",1967,32.9
"Belarus",1967,38.9
"Canada",1967,65.4
"Estonia",1967,25.7
"French Guiana",1967,43.5
"Georgia",1967,49.8
"Kazakhstan",1967,39
"Kyrgyzstan",1967,47.7
"Latvia",1967,23.2
"Lithuania",1967,31.2
"Martinique",1967,61.2
"Moldova",1967,46.5
"Philippines",1967,89.4
"Reunion",1967,62.8
"Russia",1967,32.9
"Tajikistan",1967,40
"Turkmenistan",1967,35.5
"Ukraine",1967,44.9
"United States",1967,63.625
"Uzbekistan",1967,48.1
"Democratic Republic of Congo",1967,47.4
"Armenia",1968,40.8
"Azerbaijan",1968,32.5
"Belarus",1968,37.5
"Estonia",1968,24.8
"France",1968,43.9
"Georgia",1968,49
"Germany",1968,34.3
"Japan",1968,60.3
"Kazakhstan",1968,37.7
"Kyrgyzstan",1968,46.2
"Latvia",1968,23
"Lithuania",1968,30.2
"Moldova",1968,44.9
"Russia",1968,32
"Tajikistan",1968,38.2
"Turkmenistan",1968,35.1
"Ukraine",1968,44.2
"United States",1968,63.85
"Uzbekistan",1968,46
"Armenia",1969,39.6
"Azerbaijan",1969,32.1
"Belarus",1969,35.9
"Brazil",1969,57.8
"Costa Rica",1969,46.8
"Estonia",1969,24.6
"Georgia",1969,48.3
"Israel",1969,62.2
"Kazakhstan",1969,36.2
"Kyrgyzstan",1969,45.3
"Latvia",1969,22.7
"Lithuania",1969,29.5
"Moldova",1969,43.2
"Russia",1969,31
"Tajikistan",1969,38.3
"Turkmenistan",1969,33.3
"Ukraine",1969,43.2
"United States",1969,64.325
"Uzbekistan",1969,44.5
"Argentina",1970,58.7
"Armenia",1970,36.7
"Azerbaijan",1970,31.1
"Belarus",1970,34.5
"Belgium",1970,49.7
"Brazil",1970,60.4
"Chile",1970,53.9430643432713
"Czechoslovakia",1970,50.2
"Denmark",1970,45.7
"Estonia",1970,24.4
"Finland",1970,60
"Georgia",1970,47.3
"Hungary",1970,62.9
"Kazakhstan",1970,34.8
"Kyrgyzstan",1970,44.4
"Latvia",1970,22
"Lithuania",1970,28.3
"Luxembourg",1970,55.9
"Mexico",1970,66
"Moldova",1970,41.5
"Norway",1970,66
"Philippines",1970,87.7201294927811
"Russia",1970,29.9
"Sweden",1970,47
"Switzerland",1970,28.5
"Tajikistan",1970,36.7
"Turkmenistan",1970,32.7
"Ukraine",1970,42
"United States",1970,64.175
"Uzbekistan",1970,43
"Armenia",1971,35.7
"Australia",1971,68.8
"Austria",1971,41.16
"Azerbaijan",1971,30.8
"Belarus",1971,33
"Brunei",1971,50.3253981846207
"Canada",1971,60.3
"East Germany",1971,39.2
"Estonia",1971,23.4
"Georgia",1971,46.5
"Hong Kong",1971,18.1
"India",1971,84.6
"Ireland",1971,68.8
"Israel",1971,64.6
"Italy",1971,50.8
"Kazakhstan",1971,34.1
"Kyrgyzstan",1971,42.3
"Latvia",1971,21.9
"Lithuania",1971,27.3
"Moldova",1971,40.3
"Netherlands",1971,35
"New Zealand",1971,67.6
"Russia",1971,29
"Scotland",1971,29.3
"Tajikistan",1971,35
"Turkmenistan",1971,31.8
"United Kingdom",1971,51
"Ukraine",1971,41.3
"United States",1971,64.25
"Uzbekistan",1971,41
"Venezuela",1971,70.8635900916186
"Armenia",1972,34.8
"Azerbaijan",1972,30.6
"Belarus",1972,31.5
"Estonia",1972,23.3
"Georgia",1972,45.9
"Germany",1972,33.5
"Kazakhstan",1972,33.1
"Kyrgyzstan",1972,41.3
"Latvia",1972,21.2
"Lithuania",1972,26.7
"Moldova",1972,38.9
"Russia",1972,28.2
"Tajikistan",1972,34.6
"Turkmenistan",1972,31.3
"Ukraine",1972,40.5
"United States",1972,64.375
"Uzbekistan",1972,39.7
"Armenia",1973,33.5
"Azerbaijan",1973,30.5
"Bangladesh",1973,92.4324821982547
"Belarus",1973,30.2
"Estonia",1973,23.2
"Georgia",1973,44.8
"Japan",1973,59.2
"Kazakhstan",1973,31.8
"Kyrgyzstan",1973,40.7
"Latvia",1973,20.5
"Lithuania",1973,25.8
"Moldova",1973,38.3
"Russia",1973,27.3
"Tajikistan",1973,33
"Turkmenistan",1973,30.8
"Ukraine",1973,39.7
"United States",1973,64.525
"Uzbekistan",1973,39
"Armenia",1974,31.8
"Austria",1974,44.5604567495698
"Azerbaijan",1974,29.8
"Belarus",1974,29.1
"Ecuador",1974,63.3061125349683
"Estonia",1974,22.5
"Georgia",1974,43.9
"Greece",1974,73.1
"Guadeloupe",1974,64.6093912862206
"Kazakhstan",1974,31
"Kyrgyzstan",1974,39.3
"Latvia",1974,20.3
"Lithuania",1974,25.4
"Martinique",1974,59.6059630918763
"Moldova",1974,36.5
"Russia",1974,26.6
"Tajikistan",1974,31.9
"Turkmenistan",1974,30.3
"Ukraine",1974,39
"United States",1974,64.65
"Uzbekistan",1974,37
"Armenia",1975,30.5
"Austria",1975,45.7909986478656
"Azerbaijan",1975,29.5
"Belarus",1975,28.1
"Bulgaria",1975,77.3296677194375
"Estonia",1975,22.1
"France",1975,46.6
"Georgia",1975,42.9
"Ghana",1975,47.6885644768856
"Kazakhstan",1975,30
"Kyrgyzstan",1975,39.3
"Latvia",1975,20.4
"Lithuania",1975,24.7
"Moldova",1975,36.1
"Russia",1975,25.8
"Tajikistan",1975,31.1
"Tunisia",1975,73.8558142759515
"Turkey",1975,80.6891652780771
"Turkmenistan",1975,29
"Ukraine",1975,38.4
"Uruguay",1975,51.1049073569448
"United States",1975,64.6
"Uzbekistan",1975,36.1
"Armenia",1976,29.2
"Australia",1976,68.3
"Austria",1976,46.9474571724217
"Azerbaijan",1976,29
"Belarus",1976,27.4
"Bolivia",1976,69.635170038743
"Brazil",1976,67.8343379297058
"Cameroon",1976,83.3923600326696
"Canada",1976,61.8
"Estonia",1976,22
"Georgia",1976,42.2
"Greenland",1976,36.1024254204344
"Iran",1976,70.2018223693664
"Kazakhstan",1976,29
"Kyrgyzstan",1976,38.9
"Latvia",1976,19.9
"Lithuania",1976,24.4
"Moldova",1976,35.2
"New Zealand",1976,69.4
"Russia",1976,25.2
"Tajikistan",1976,30
"Thailand",1976,88.5885133303998
"Turkmenistan",1976,28.7
"Ukraine",1976,37.8
"United States",1976,64.725
"Uzbekistan",1976,35.6
"Armenia",1977,28.1
"Austria",1977,47.9684703552797
"Azerbaijan",1977,28.8
"Belarus",1977,26.2
"Estonia",1977,21.8
"Georgia",1977,41.2
"Kazakhstan",1977,28.1
"Kyrgyzstan",1977,38.5
"Latvia",1977,19.8
"Lithuania",1977,23.8
"Moldova",1977,34.3
"Netherlands",1977,41
"Russia",1977,24.5
"Tajikistan",1977,30.3
"Turkmenistan",1977,27.8
"Ukraine",1977,37.1
"United States",1977,64.8
"Uzbekistan",1977,35
"Armenia",1978,27.1
"Austria",1978,48.1199863133483
"Azerbaijan",1978,28.3
"Belarus",1978,25.5
"Estonia",1978,21.1
"France",1978,47.2
"Georgia",1978,40.5
"Germany",1978,37.5
"Israel",1978,70.6241956241956
"Japan",1978,60.4
"Kazakhstan",1978,27.2
"Kyrgyzstan",1978,37.8
"Latvia",1978,19.3
"Lithuania",1978,23.4
"Moldova",1978,33.5
"Poland",1978,36.257627264953
"Russia",1978,24
"Tajikistan",1978,28.6
"Turkmenistan",1978,27.5
"Ukraine",1978,36.6
"United States",1978,64.95
"Uzbekistan",1978,35
"Afghanistan",1979,55.2287771342796
"Armenia",1979,26.5
"Austria",1979,48.9673727689568
"Azerbaijan",1979,27.8
"Belarus",1979,24.6
"Estonia",1979,21.1
"Georgia",1979,39.7
"Kazakhstan",1979,26.4
"Kyrgyzstan",1979,37
"Latvia",1979,19.1
"Lithuania",1979,23.3
"Moldova",1979,32.7
"Pakistan",1979,78.3842779842589
"Russia",1979,23.4
"Tajikistan",1979,28.2
"Turkmenistan",1979,27.7
"Ukraine",1979,36.1
"United States",1979,65.225
"Uzbekistan",1979,34.5
"Argentina",1980,69.0673173922638
"Armenia",1980,33.7
"Austria",1980,49.1506228765572
"Azerbaijan",1980,36.6
"Belarus",1980,23.9
"Bermuda",1980,39.611903084178
"China",1980,20
"Czechoslovakia",1980,44.7019048312072
"Estonia",1980,20.4
"Finland",1980,63
"Georgia",1980,43.1
"Germany",1980,39.3
"Hungary",1980,68.5511362337871
"Kazakhstan",1980,28.8
"Kyrgyzstan",1980,45.5
"Latvia",1980,16.9
"Lithuania",1980,23.2
"Mexico",1980,66.7934546024864
"Moldova",1980,32
"Norway",1980,74
"Puerto Rico",1980,73.3625908583296
"Russia",1980,24.8
"Singapore",1980,58.8
"South Korea",1980,58.3353284118307
"Sweden",1980,55
"Switzerland",1980,29.4820686231929
"Tajikistan",1980,32.3
"Turkmenistan",1980,29.7
"Ukraine",1980,35.7
"United States",1980,65.575
"Uzbekistan",1980,39.5
"Armenia",1981,33.3
"Australia",1981,70.1
"Austria",1981,49.8705046618322
"Azerbaijan",1981,37.6
"Belarus",1981,23.3
"Belgium",1981,59
"Canada",1981,62.1
"Denmark",1981,62.8113405764693
"East Germany",1981,37.6
"Estonia",1981,19.5
"Georgia",1981,42.7
"Greece",1981,74.7
"Guatemala",1981,60.1689066299498
"Hong Kong",1981,27.9
"India",1981,83.5220963103568
"Ireland",1981,74.4
"Italy",1981,58.9
"Kazakhstan",1981,28.1
"Kyrgyzstan",1981,43.4
"Latvia",1981,17
"Lithuania",1981,22.9
"Luxembourg",1981,60
"Moldova",1981,30.4
"New Zealand",1981,70.9
"Russia",1981,24.4
"Spain",1981,73
"Sri Lanka",1981,69.428463907383
"Tajikistan",1981,32
"Turkmenistan",1981,30
"United Kingdom",1981,57.2
"Ukraine",1981,35.3
"United States",1981,65.425
"Uzbekistan",1981,40
"Yugoslavia",1981,68.7459833829634
"Austria",1982,50.0614044881099
"Chile",1982,63.1456790043066
"Cyprus",1982,59.9593187616355
"Denmark",1982,62.7654326945517
"France",1982,50.5
"Germany",1982,40.4
"Netherlands",1982,42
"Paraguay",1982,80.5264036369205
"United States",1982,64.775
"Austria",1983,50.2811482687186
"Denmark",1983,63.0145073491748
"Gambia",1983,63.8554069433057
"Japan",1983,62.3
"United States",1983,64.65
"Austria",1984,48.8846097950879
"Denmark",1984,63.3321995908256
"France",1984,50.7
"Germany",1984,40.1
"United States",1984,64.475
"Austria",1985,49.4929950911892
"Bulgaria",1985,84
"Colombia",1985,67.6000085244809
"Denmark",1985,63.6011488519889
"Germany",1985,39.9
"Morocco",1985,69.3
"Russia",1985,22.8035923467396
"Turkey",1985,77.4277395992484
"Ukraine",1985,32.9258675078864
"United States",1985,63.9
"Australia",1986,70.4
"Austria",1986,50.0533238535371
"Azerbaijan",1986,35.8
"Belarus",1986,21
"Canada",1986,62.1
"Denmark",1986,63.6785578350961
"Georgia",1986,41
"Germany",1986,39.7
"Haiti",1986,73.1819993540274
"Kazakhstan",1986,26.1
"Kyrgyzstan",1986,40.8
"Latvia",1986,15.7
"Lithuania",1986,21.4
"Moldova",1986,27.5
"Netherlands",1986,43
"New Zealand",1986,72.9
"Qatar",1986,21.941224916136
"Tajikistan",1986,31.6
"United States",1986,63.775
"Uzbekistan",1986,40.7
"Austria",1987,50.1241575026605
"Denmark",1987,63.7728848143901
"Germany",1987,39.5
"Iraq",1987,65.3289751289678
"Mali",1987,84.18999192862
"United States",1987,63.975
"Austria",1988,50.6142506142506
"Czechoslovakia",1988,41
"Denmark",1988,63.6511111281506
"France",1988,53.6
"Germany",1988,39.7
"Greece",1988,76.8
"Honduras",1988,68.7136172566248
"Japan",1988,61.3
"Poland",1988,35.2530508637028
"United States",1988,63.8
"Austria",1989,50.9919944309085
"Cayman Islands",1989,53.086876155268
"Denmark",1989,63.422831803748
"Germany",1989,40.1
"Russia",1989,27.9862950636211
"Tunisia",1989,80.1503305626423
"United States",1989,63.9
"Albania",1990,64.5
"Austria",1990,50.8039685254875
"Brazil",1990,66.9
"Bulgaria",1990,91.7
"Croatia",1990,67.5
"Czechoslovakia",1990,40.5
"Denmark",1990,62.754274116903
"East Germany",1990,25.9
"Estonia",1990,35
"Finland",1990,72
"France",1990,54.2
"French Guiana",1990,41.2858645035301
"Germany",1990,37.7
"Guadeloupe",1990,62.5624566581909
"Hungary",1990,74
"Iceland",1990,89
"Japan",1990,61.1922139943476
"Latvia",1990,36
"Lithuania",1990,39.2
"Luxembourg",1990,64
"Martinique",1990,60.8817676653901
"Mauritius",1990,75.9392171781216
"Mexico",1990,77.0660783914135
"Netherlands",1990,45
"Norway",1990,78
"Panama",1990,65.9198833553318
"Peru",1990,69.5923742018855
"Poland",1990,43
"Reunion",1990,56.2827440720164
"Romania",1990,67.3
"Russia",1990,26
"Serbia",1990,64
"Singapore",1990,87.5
"Slovakia",1990,50.2
"Slovenia",1990,68
"Sweden",1990,59
"Switzerland",1990,31.3
"United States",1990,63.95
"Argentina",1991,66.5561367567361
"Aruba",1991,64.669163545568
"Australia",1991,68.9
"Austria",1991,50.6550218340611
"Belgium",1991,67
"Bermuda",1991,43.2527990571597
"Canada",1991,62.6
"Denmark",1991,62.2338761201521
"East Germany",1991,26.2
"Germany",1991,37.9
"Hong Kong",1991,42.6
"Ireland",1991,79.3
"Italy",1991,68
"Macao",1991,65.8932690723348
"New Zealand",1991,72.4
"Spain",1991,78
"United Kingdom",1991,67.6
"Ukraine",1991,52.7
"United States",1991,64.05
"Austria",1992,50.8801062769844
"Denmark",1992,62.0165545963604
"East Germany",1992,25.6
"France",1992,53.8
"Germany",1992,38.4
"South Korea",1992,50.8710530443525
"United States",1992,64.15
"Austria",1993,51.0372077708265
"Brazil",1993,70.7
"Denmark",1993,60.9552563962266
"East Germany",1993,26.6
"Germany",1993,38.9
"Scotland",1993,55.4947560419517
"United States",1993,64.475
"Austria",1994,49.3101182654402
"Denmark",1994,60.7458683669407
"East Germany",1994,26.2
"Germany",1994,39.3
"Guatemala",1994,75.8979484528116
"Netherlands",1994,48
"Scotland",1994,56.9230769230769
"United States",1994,63.975
"Austria",1995,50.1462463438414
"Denmark",1995,60.5799560964026
"East Germany",1995,27.4
"Germany",1995,39.7
"Malta",1995,71.7264121728505
"Netherlands",1995,48
"Scotland",1995,57.9820627802691
"Spain",1995,80
"United States",1995,64.75
"Australia",1996,69
"Austria",1996,50.9494689411007
"Brazil",1996,73.4
"Canada",1996,63.6
"Denmark",1996,60.3900392444668
"East Germany",1996,27
"France",1996,54.3
"Germany",1996,40.1
"Netherlands",1996,49
"New Zealand",1996,67.9
"Scotland",1996,59.0302491103203
"Uruguay",1996,61.7874369740536
"United States",1996,65.375
"Austria",1997,51.5035188739603
"Denmark",1997,60.3133052531278
"East Germany",1997,28
"Germany",1997,40.5
"Netherlands",1997,50
"Scotland",1997,60.2824360105914
"United States",1997,65.7
"Austria",1998,51.9517613456046
"China",1998,20
"Denmark",1998,61.4476154144435
"East Germany",1998,30.9
"France",1998,54.3
"Germany",1998,40.9
"Netherlands",1998,51
"Scotland",1998,61.3228208497591
"United States",1998,66.275
"Austria",1999,52.5689223057644
"Brazil",1999,74.1
"Denmark",1999,61.5948821500796
"East Germany",1999,31.1
"Germany",1999,41.3
"Indonesia",1999,84.98
"Kenya",1999,71.5482073052636
"Netherlands",1999,52
"Saint Pierre and Miquelon",1999,78.8405797101449
"Scotland",1999,62.3100303951368
"United States",1999,66.8
"Austria",2000,52.4651162790698
"Costa Rica",2000,71.6093100635205
"Denmark",2000,61.6335995584958
"East Germany",2000,32.1
"Finland",2000,65
"Germany",2000,41.7
"Greenland",2000,24.8158923538503
"Indonesia",2000,84.68
"Mexico",2000,75.3300869189736
"Panama",2000,68.299879166129
"Scotland",2000,63.3936261843239
"Singapore",2000,92
"Sweden",2000,59
"Switzerland",2000,34.6
"Turkey",2000,68.2865195324276
"United States",2000,67.375
"Albania",2001,94
"Antigua and Barbuda",2001,66.9667759455889
"Argentina",2001,74.9235453970145
"Australia",2001,69.5
"Austria",2001,52.6977314530963
"Belgium",2001,66.3534273214608
"Bolivia",2001,66.8175853847846
"Botswana",2001,69.2776978843902
"Brazil",2001,73.2
"Bulgaria",2001,96.5
"Canada",2001,65.8
"Croatia",2001,82.9
"Denmark",2001,61.5507217151548
"East Germany",2001,33.2
"Ecuador",2001,67.2553026370387
"France",2001,55.7
"Germany",2001,42.1
"Greece",2001,71.7191828821807
"Greenland",2001,25.1307012799712
"Honduras",2001,76.8561562015245
"Hungary",2001,91
"Indonesia",2001,80.71
"Latvia",2001,82
"Lithuania",2001,94.5
"Luxembourg",2001,66.5931969782441
"New Zealand",2001,64.6
"Norway",2001,76.65767037
"Portugal",2001,74.8058910786764
"Romania",2001,96.2
"Russia",2001,66
"Scotland",2001,59.5759662113021
"Serbia",2001,81.6
"Slovakia",2001,73.8
"Slovenia",2001,82
"Spain",2001,82.1557352280783
"United Kingdom",2001,70.4
"Ukraine",2001,80
"United States",2001,67.825
"Venezuela",2001,77.9168714677749
"Austria",2002,52.8072837632777
"Brazil",2002,73.5
"Chile",2002,72.5025439498103
"Denmark",2002,61.3387056210114
"East Germany",2002,32.4
"Finland",2002,64
"Germany",2002,42.6
"Greenland",2002,25.1521120595316
"Indonesia",2002,82.47
"Ireland",2002,77.4
"Italy",2002,71.1
"Paraguay",2002,78.131702496801
"Poland",2002,67.4315505213412
"Rwanda",2002,93.5806116445301
"Scotland",2002,60.1840711732746
"South Africa",2002,68.4
"Uganda",2002,85.4409859478556
"United States",2002,67.925
"Zimbabwe",2002,77.7399457210824
"Austria",2003,52.8307599152286
"Brazil",2003,73.6
"Denmark",2003,61.2039285672147
"East Germany",2003,33
"Germany",2003,42.3
"Greenland",2003,25.5306219888016
"Haiti",2003,58.203226985536
"Indonesia",2003,83.66
"Montenegro",2003,92.2105421472164
"Netherlands",2003,55
"Scotland",2003,61.1997010980264
"South Africa",2003,69.8
"United Kingdom",2003,70.9
"United States",2003,68.25
"Austria",2004,50.2622377622378
"Brazil",2004,73.6
"Denmark",2004,61.1677768059387
"East Germany",2004,32.1
"Germany",2004,42.1
"Greenland",2004,25.6467554791577
"Indonesia",2004,82.38
"Israel",2004,70.57586790421
"Scotland",2004,62.1377297951574
"South Africa",2004,66.4
"Timor",2004,95.1718796483417
"United States",2004,69
"Austria",2005,50.8776978417266
"Brazil",2005,73.3
"Bulgaria",2005,85.4
"Colombia",2005,54.4244723178227
"Czechia",2005,73.5
"Denmark",2005,60.0825606401712
"East Germany",2005,32.5
"Finland",2005,64.0449475200658
"Germany",2005,41.8
"Greenland",2005,25.992566311877
"Hungary",2005,88.1
"Indonesia",2005,81.95
"Lithuania",2005,88.3
"Luxembourg",2005,88.3
"Malta",2005,79.3083684975964
"Netherlands",2005,56
"Nicaragua",2005,84.3804430613666
"Scotland",2005,62.1079460029728
"Slovakia",2005,82.1
"Slovenia",2005,83.2
"South Africa",2005,68.9
"United Kingdom",2005,70.7
"United States",2005,68.875
"Australia",2006,69.8
"Austria",2006,51.2382578992314
"Brazil",2006,73.2
"Bulgaria",2006,85.4
"Canada",2006,68.4
"Czechia",2006,74.1
"Denmark",2006,60.0039467544251
"East Germany",2006,32.6
"Estonia",2006,87.8
"Finland",2006,65.1487921311454
"Germany",2006,41.6
"Greenland",2006,26.3274706867672
"Hungary",2006,87.6
"Indonesia",2006,81.24
"Ireland",2006,74.5665424311732
"Lithuania",2006,91.8
"Luxembourg",2006,91.8
"Malawi",2006,86.2860977616141
"Malaysia",2006,67
"New Zealand",2006,62.7
"Nigeria",2006,77.2768816351052
"Scotland",2006,62.3057448574101
"Slovakia",2006,88.9
"Slovenia",2006,84.5
"South Africa",2006,69.7
"Tonga",2006,95.5217042721338
"Turkey",2006,60.7
"United States",2006,68.775
"Austria",2007,51.680316294832
"Brazil",2007,73.8
"Bulgaria",2007,87.6
"Czechia",2007,74.5
"Denmark",2007,59.5606830193232
"East Germany",2007,33.2
"Estonia",2007,86.8
"Finland",2007,65.3254081861333
"France",2007,57.2
"Germany",2007,42.5
"Greenland",2007,26.3797903701277
"Hungary",2007,88.5
"Indonesia",2007,79.06
"Latvia",2007,86
"Lithuania",2007,89.4
"Luxembourg",2007,89.4
"Mayotte",2007,85.4934627661901
"Peru",2007,70.8437842912903
"Poland",2007,62.5
"Romania",2007,95.5
"Saudi Arabia",2007,62
"Scotland",2007,62.4567124970385
"Slovakia",2007,89.1
"Slovenia",2007,81.3
"South Africa",2007,67.3
"Eswatini",2007,81.6164377105964
"Turkey",2007,60.8
"United Kingdom",2007,69.6
"United States",2007,68.15
"Austria",2008,50.7985430092463
"Brazil",2008,74.2
"Bulgaria",2008,87.1
"Cambodia",2008,95.9500460847157
"Czechia",2008,75.8
"Denmark",2008,60.4064470143605
"East Germany",2008,34.1
"Estonia",2008,88.9
"Finland",2008,65.5667994488127
"Germany",2008,43.6
"Greenland",2008,29.8869071565867
"Hungary",2008,89
"Indonesia",2008,79.25
"Israel",2008,66.4
"Latvia",2008,86
"Lithuania",2008,92.2
"Luxembourg",2008,92.2
"Namibia",2008,68.8
"Poland",2008,66
"Romania",2008,96.3
"Saint Helena",2008,74.8895899053628
"Scotland",2008,61.9216892330079
"Slovakia",2008,89.3
"Slovenia",2008,81.3
"South Africa",2008,73.8
"Turkey",2008,60.9
"United States",2008,67.825
"Austria",2009,50.8479288295802
"Brazil",2009,73.5
"Bulgaria",2009,86.8
"Czechia",2009,76.6
"Denmark",2009,60.3235556218914
"East Germany",2009,35.2
"Estonia",2009,87.1
"Finland",2009,65.6747277838621
"Germany",2009,44.6
"Greenland",2009,30.6179652257697
"Guinea-Bissau",2009,78.8016997167139
"Hungary",2009,89.8
"Indonesia",2009,79.36
"Italy",2009,74.3
"Latvia",2009,87.2
"Lithuania",2009,91.5
"Luxembourg",2009,91.5
"Poland",2009,68.7
"Romania",2009,96.7
"Scotland",2009,62.248171561412
"Slovakia",2009,89.5
"Slovenia",2009,81.3
"South Africa",2009,66.4
"Turkey",2009,60.8
"United States",2009,67.375
"Vanuatu",2009,81.15
"Argentina",2010,72.1340489291737
"Austria",2010,50.1655629139073
"Bahamas",2010,65.1183837912008
"Bulgaria",2010,86.9
"Czechia",2010,78.7
"Denmark",2010,59.4764358664772
"Dominican Republic",2010,67.163738936571
"East Germany",2010,35.9
"Ecuador",2010,63.9817685015384
"Estonia",2010,85.5
"Finland",2010,65.4848638083681
"France",2010,57.5
"Germany",2010,45.6
"Greenland",2010,31.0358255451713
"Guam",2010,50.3021938799791
"Hungary",2010,89.7
"Iceland",2010,80
"Indonesia",2010,78
"Italy",2010,73.6
