---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1951,female,1-4,000*-999*,222.53
1952,female,1-4,000*-999*,218.53
1953,female,1-4,000*-999*,176.37
1954,female,1-4,000*-999*,169.97
1955,female,1-4,000*-999*,170.28
1956,female,1-4,000*-999*,139.21
1957,female,1-4,000*-999*,147.5
1958,female,1-4,000*-999*,131.69
1959,female,1-4,000*-999*,128.05
1960,female,1-4,000*-999*,106.1
1961,female,1-4,000*-999*,104.96
1962,female,1-4,000*-999*,107.83
1963,female,1-4,000*-999*,96.4
1964,female,1-4,000*-999*,92.85
1965,female,1-4,000*-999*,80.74
1966,female,1-4,000*-999*,78.59
1967,female,1-4,000*-999*,76.25
1968,female,1-4,000*-999*,77.73
1969,female,1-4,000*-999*,75.15
1970,female,1-4,000*-999*,68.7
1971,female,1-4,000*-999*,73.07
1972,female,1-4,000*-999*,63.96
1973,female,1-4,000*-999*,66.92
1974,female,1-4,000*-999*,63.8
1975,female,1-4,000*-999*,59.4
1976,female,1-4,000*-999*,55.87
1977,female,1-4,000*-999*,56.67
1978,female,1-4,000*-999*,51.53
1979,female,1-4,000*-999*,46.07
1980,female,1-4,000*-999*,52.33
1981,female,1-4,000*-999*,51.46
1982,female,1-4,000*-999*,46.05
1983,female,1-4,000*-999*,49.9
1984,female,1-4,000*-999*,40.92
1985,female,1-4,000*-999*,41.23
1986,female,1-4,000*-999*,40.09
1987,female,1-4,000*-999*,36.68
1988,female,1-4,000*-999*,37.17
1989,female,1-4,000*-999*,36.61
1990,female,1-4,000*-999*,31.68
1991,female,1-4,000*-999*,35.86
1992,female,1-4,000*-999*,28.32
1993,female,1-4,000*-999*,28.7
1994,female,1-4,000*-999*,25.33
1995,female,1-4,000*-999*,27.68
1996,female,1-4,000*-999*,23.42
1997,female,1-4,000*-999*,25.4
1998,female,1-4,000*-999*,19.53
1999,female,1-4,000*-999*,21.52
1925,female,5-9,000*-999*,277.08
1926,female,5-9,000*-999*,280.59
1927,female,5-9,000*-999*,258.84
1928,female,5-9,000*-999*,254.42
1929,female,5-9,000*-999*,261.69
1930,female,5-9,000*-999*,225.73
1931,female,5-9,000*-999*,220.64
1932,female,5-9,000*-999*,213.41
1933,female,5-9,000*-999*,206.49
1934,female,5-9,000*-999*,198.78
1935,female,5-9,000*-999*,180.6
1936,female,5-9,000*-999*,172.25
1937,female,5-9,000*-999*,167.86
1938,female,5-9,000*-999*,166.12
1939,female,5-9,000*-999*,149.82
1940,female,5-9,000*-999*,199.92
1941,female,5-9,000*-999*,169.93
1942,female,5-9,000*-999*,163.17
1943,female,5-9,000*-999*,180.85
1944,female,5-9,000*-999*,217.75
1945,female,5-9,000*-999*,178.74
1946,female,5-9,000*-999*,128.29
1947,female,5-9,000*-999*,96.1
1948,female,5-9,000*-999*,75.48
1949,female,5-9,000*-999*,75.58
1950,female,5-9,000*-999*,58.3
1951,female,5-9,000*-999*,55.35
1952,female,5-9,000*-999*,47.65
1953,female,5-9,000*-999*,46.86
1954,female,5-9,000*-999*,41.29
1955,female,5-9,000*-999*,38.61
1956,female,5-9,000*-999*,39
1957,female,5-9,000*-999*,39.48
1958,female,5-9,000*-999*,35.67
1959,female,5-9,000*-999*,41.69
1960,female,5-9,000*-999*,34.29
1961,female,5-9,000*-999*,33.3
1962,female,5-9,000*-999*,33.93
1963,female,5-9,000*-999*,35.42
1964,female,5-9,000*-999*,32.6
1965,female,5-9,000*-999*,31.08
1966,female,5-9,000*-999*,33.49
1967,female,5-9,000*-999*,30.81
1968,female,5-9,000*-999*,32.58
1969,female,5-9,000*-999*,34.01
1970,female,5-9,000*-999*,33.26
1971,female,5-9,000*-999*,33.5
1972,female,5-9,000*-999*,34.33
1973,female,5-9,000*-999*,33.64
1974,female,5-9,000*-999*,30.95
1975,female,5-9,000*-999*,27.78
1976,female,5-9,000*-999*,29
1977,female,5-9,000*-999*,27.68
1978,female,5-9,000*-999*,28.14
1979,female,5-9,000*-999*,27.54
1980,female,5-9,000*-999*,25.48
1981,female,5-9,000*-999*,26.46
1982,female,5-9,000*-999*,25.05
1983,female,5-9,000*-999*,23.66
1984,female,5-9,000*-999*,21.09
1985,female,5-9,000*-999*,20.86
1986,female,5-9,000*-999*,20.4
1987,female,5-9,000*-999*,20.85
1988,female,5-9,000*-999*,17.34
1989,female,5-9,000*-999*,17.98
1990,female,5-9,000*-999*,16.48
1991,female,5-9,000*-999*,17.09
1992,female,5-9,000*-999*,16.44
1993,female,5-9,000*-999*,16.01
1994,female,5-9,000*-999*,14.55
1995,female,5-9,000*-999*,13.37
1996,female,5-9,000*-999*,12.78
1997,female,5-9,000*-999*,11.3
1998,female,5-9,000*-999*,12.93
1999,female,5-9,000*-999*,11.89
1925,female,10-14,000*-999*,206.32
1926,female,10-14,000*-999*,213.58
1927,female,10-14,000*-999*,205.55
1928,female,10-14,000*-999*,205.75
1929,female,10-14,000*-999*,196.86
1930,female,10-14,000*-999*,174.99
1931,female,10-14,000*-999*,175.1
1932,female,10-14,000*-999*,167.16
1933,female,10-14,000*-999*,156.19
1934,female,10-14,000*-999*,153.17
1935,female,10-14,000*-999*,146.31
1936,female,10-14,000*-999*,138.19
1937,female,10-14,000*-999*,133.16
1938,female,10-14,000*-999*,129.62
1939,female,10-14,000*-999*,117.33
1940,female,10-14,000*-999*,154.14
1941,female,10-14,000*-999*,132.75
1942,female,10-14,000*-999*,129.76
1943,female,10-14,000*-999*,138.15
1944,female,10-14,000*-999*,193.56
1945,female,10-14,000*-999*,121.01
1946,female,10-14,000*-999*,93.81
1947,female,10-14,000*-999*,72.33
1948,female,10-14,000*-999*,54.69
1949,female,10-14,000*-999*,61.13
1950,female,10-14,000*-999*,51.33
1951,female,10-14,000*-999*,48.4
1952,female,10-14,000*-999*,38.56
1953,female,10-14,000*-999*,36.37
1954,female,10-14,000*-999*,32.97
1955,female,10-14,000*-999*,28.55
1956,female,10-14,000*-999*,29.98
1957,female,10-14,000*-999*,32.63
1958,female,10-14,000*-999*,28.04
1959,female,10-14,000*-999*,29.37
1960,female,10-14,000*-999*,26.14
1961,female,10-14,000*-999*,26.35
1962,female,10-14,000*-999*,26.78
1963,female,10-14,000*-999*,25.25
1964,female,10-14,000*-999*,24.57
1965,female,10-14,000*-999*,26.13
1966,female,10-14,000*-999*,23.96
1967,female,10-14,000*-999*,26.47
1968,female,10-14,000*-999*,27.3
1969,female,10-14,000*-999*,30.51
1970,female,10-14,000*-999*,25.99
1971,female,10-14,000*-999*,28.2
1972,female,10-14,000*-999*,27.74
1973,female,10-14,000*-999*,26.05
1974,female,10-14,000*-999*,24.53
1975,female,10-14,000*-999*,23.4
1976,female,10-14,000*-999*,23.42
1977,female,10-14,000*-999*,23.78
1978,female,10-14,000*-999*,22.02
1979,female,10-14,000*-999*,21.93
1980,female,10-14,000*-999*,22.56
1981,female,10-14,000*-999*,22.57
1982,female,10-14,000*-999*,21.76
1983,female,10-14,000*-999*,21.44
1984,female,10-14,000*-999*,20.42
1985,female,10-14,000*-999*,18.58
1986,female,10-14,000*-999*,18.02
1987,female,10-14,000*-999*,16.97
1988,female,10-14,000*-999*,16.89
1989,female,10-14,000*-999*,19.36
1990,female,10-14,000*-999*,15.45
1991,female,10-14,000*-999*,15.86
1992,female,10-14,000*-999*,14.7
1993,female,10-14,000*-999*,13.87
1994,female,10-14,000*-999*,15.54
1995,female,10-14,000*-999*,14.6
1996,female,10-14,000*-999*,12.3
1997,female,10-14,000*-999*,12.94
1998,female,10-14,000*-999*,12.41
1999,female,10-14,000*-999*,12.7
1925,female,15-19,000*-999*,431.47
1926,female,15-19,000*-999*,443.79
1927,female,15-19,000*-999*,406.89
1928,female,15-19,000*-999*,413.27
1929,female,15-19,000*-999*,397.64
1930,female,15-19,000*-999*,363.92
1931,female,15-19,000*-999*,366.66
1932,female,15-19,000*-999*,345.98
1933,female,15-19,000*-999*,331.75
1934,female,15-19,000*-999*,280.54
1935,female,15-19,000*-999*,265.64
1936,female,15-19,000*-999*,245.95
1937,female,15-19,000*-999*,252.08
1938,female,15-19,000*-999*,233.24
1939,female,15-19,000*-999*,222.66
1940,female,15-19,000*-999*,264.79
1941,female,15-19,000*-999*,243.16
1942,female,15-19,000*-999*,241.62
1943,female,15-19,000*-999*,236.42
1944,female,15-19,000*-999*,320.29
1945,female,15-19,000*-999*,202.41
1946,female,15-19,000*-999*,157.68
1947,female,15-19,000*-999*,133.87
1948,female,15-19,000*-999*,108.26
1949,female,15-19,000*-999*,102.71
1950,female,15-19,000*-999*,83.73
1951,female,15-19,000*-999*,77.54
1952,female,15-19,000*-999*,65.68
1953,female,15-19,000*-999*,57.81
1954,female,15-19,000*-999*,55.1
1955,female,15-19,000*-999*,49.45
1956,female,15-19,000*-999*,49.32
1957,female,15-19,000*-999*,52.75
1958,female,15-19,000*-999*,45.05
1959,female,15-19,000*-999*,43.28
1960,female,15-19,000*-999*,43.39
1961,female,15-19,000*-999*,42.77
1962,female,15-19,000*-999*,46.51
1963,female,15-19,000*-999*,44.55
1964,female,15-19,000*-999*,44.32
1965,female,15-19,000*-999*,45.18
1966,female,15-19,000*-999*,43.5
1967,female,15-19,000*-999*,49.04
1968,female,15-19,000*-999*,50.81
1969,female,15-19,000*-999*,51.73
1970,female,15-19,000*-999*,52.75
1971,female,15-19,000*-999*,52.76
1972,female,15-19,000*-999*,55.36
1973,female,15-19,000*-999*,54.37
1974,female,15-19,000*-999*,52.74
1975,female,15-19,000*-999*,49.77
1976,female,15-19,000*-999*,51.79
1977,female,15-19,000*-999*,49.82
1978,female,15-19,000*-999*,47.76
1979,female,15-19,000*-999*,49.48
1980,female,15-19,000*-999*,48.68
1981,female,15-19,000*-999*,49.59
1982,female,15-19,000*-999*,44.9
1983,female,15-19,000*-999*,42.89
1984,female,15-19,000*-999*,42.26
1985,female,15-19,000*-999*,39.42
1986,female,15-19,000*-999*,39.31
1987,female,15-19,000*-999*,33.36
1988,female,15-19,000*-999*,33.83
1989,female,15-19,000*-999*,32.6
1990,female,15-19,000*-999*,33.2
1991,female,15-19,000*-999*,31.52
1992,female,15-19,000*-999*,30.83
1993,female,15-19,000*-999*,32.19
1994,female,15-19,000*-999*,26.73
1995,female,15-19,000*-999*,28.62
1996,female,15-19,000*-999*,26.88
1997,female,15-19,000*-999*,27.19
1998,female,15-19,000*-999*,25.79
1999,female,15-19,000*-999*,25.89
1925,female,20-24,000*-999*,565.79
1926,female,20-24,000*-999*,579.98
1927,female,20-24,000*-999*,555.39
1928,female,20-24,000*-999*,539.36
1929,female,20-24,000*-999*,547.47
1930,female,20-24,000*-999*,492.66
1931,female,20-24,000*-999*,493.71
1932,female,20-24,000*-999*,453.13
1933,female,20-24,000*-999*,422.99
1934,female,20-24,000*-999*,408.98
1935,female,20-24,000*-999*,404.78
1936,female,20-24,000*-999*,386.36
1937,female,20-24,000*-999*,392.69
1938,female,20-24,000*-999*,399.32
1939,female,20-24,000*-999*,380.4
1940,female,20-24,000*-999*,397.91
1941,female,20-24,000*-999*,349.86
1942,female,20-24,000*-999*,347.73
1943,female,20-24,000*-999*,345.71
1944,female,20-24,000*-999*,447.55
1945,female,20-24,000*-999*,304.37
1946,female,20-24,000*-999*,239.99
1947,female,20-24,000*-999*,209.47
1948,female,20-24,000*-999*,171.25
1949,female,20-24,000*-999*,147.27
1950,female,20-24,000*-999*,130.67
1951,female,20-24,000*-999*,122.16
1952,female,20-24,000*-999*,98.33
1953,female,20-24,000*-999*,92.62
1954,female,20-24,000*-999*,82.46
1955,female,20-24,000*-999*,75.33
1956,female,20-24,000*-999*,69.46
1957,female,20-24,000*-999*,70.79
1958,female,20-24,000*-999*,64.87
1959,female,20-24,000*-999*,72.16
1960,female,20-24,000*-999*,68.69
1961,female,20-24,000*-999*,60.55
1962,female,20-24,000*-999*,63.4
1963,female,20-24,000*-999*,68.68
1964,female,20-24,000*-999*,63.91
1965,female,20-24,000*-999*,67.15
1966,female,20-24,000*-999*,64.6
1967,female,20-24,000*-999*,70.02
1968,female,20-24,000*-999*,65.2
1969,female,20-24,000*-999*,65.73
1970,female,20-24,000*-999*,61.65
1971,female,20-24,000*-999*,65.01
1972,female,20-24,000*-999*,66.65
1973,female,20-24,000*-999*,68.06
1974,female,20-24,000*-999*,59.42
1975,female,20-24,000*-999*,60.51
1976,female,20-24,000*-999*,59.48
1977,female,20-24,000*-999*,62.89
1978,female,20-24,000*-999*,57.43
1979,female,20-24,000*-999*,57.93
1980,female,20-24,000*-999*,59.28
1981,female,20-24,000*-999*,55.53
1982,female,20-24,000*-999*,55.85
1983,female,20-24,000*-999*,57.46
1984,female,20-24,000*-999*,54.27
1985,female,20-24,000*-999*,53.7
1986,female,20-24,000*-999*,50.69
1987,female,20-24,000*-999*,46.97
1988,female,20-24,000*-999*,46.13
1989,female,20-24,000*-999*,47.91
1990,female,20-24,000*-999*,42.9
1991,female,20-24,000*-999*,45.55
1992,female,20-24,000*-999*,43.55
1993,female,20-24,000*-999*,45.15
1994,female,20-24,000*-999*,41.95
1995,female,20-24,000*-999*,44.4
1996,female,20-24,000*-999*,40.5
1997,female,20-24,000*-999*,36.9
1998,female,20-24,000*-999*,39.54
1999,female,20-24,000*-999*,38.06
1925,female,25-29,000*-999*,558.09
1926,female,25-29,000*-999*,560.87
1927,female,25-29,000*-999*,531.68
1928,female,25-29,000*-999*,528.63
1929,female,25-29,000*-999*,538.58
1930,female,25-29,000*-999*,489.42
1931,female,25-29,000*-999*,489.3
1932,female,25-29,000*-999*,453.01
1933,female,25-29,000*-999*,442.33
1934,female,25-29,000*-999*,420.06
1935,female,25-29,000*-999*,422.27
1936,female,25-29,000*-999*,388.8
1937,female,25-29,000*-999*,408.51
1938,female,25-29,000*-999*,394.87
1939,female,25-29,000*-999*,368.63
1940,female,25-29,000*-999*,417.56
1941,female,25-29,000*-999*,383.33
1942,female,25-29,000*-999*,382.26
1943,female,25-29,000*-999*,398.35
1944,female,25-29,000*-999*,504.61
1945,female,25-29,000*-999*,348.47
1946,female,25-29,000*-999*,281
1947,female,25-29,000*-999*,237.99
1948,female,25-29,000*-999*,203.58
1949,female,25-29,000*-999*,187.53
1950,female,25-29,000*-999*,160.58
1951,female,25-29,000*-999*,160.83
1952,female,25-29,000*-999*,127.84
1953,female,25-29,000*-999*,121.43
1954,female,25-29,000*-999*,108.75
1955,female,25-29,000*-999*,104.48
1956,female,25-29,000*-999*,97.14
1957,female,25-29,000*-999*,95.24
1958,female,25-29,000*-999*,83.62
1959,female,25-29,000*-999*,82.82
1960,female,25-29,000*-999*,82.47
1961,female,25-29,000*-999*,78.77
1962,female,25-29,000*-999*,75.9
1963,female,25-29,000*-999*,81.25
1964,female,25-29,000*-999*,68.37
1965,female,25-29,000*-999*,74.37
1966,female,25-29,000*-999*,73.56
1967,female,25-29,000*-999*,74.61
1968,female,25-29,000*-999*,69.54
1969,female,25-29,000*-999*,71.51
1970,female,25-29,000*-999*,68.48
1971,female,25-29,000*-999*,66.77
1972,female,25-29,000*-999*,68.06
1973,female,25-29,000*-999*,63.37
1974,female,25-29,000*-999*,62.07
1975,female,25-29,000*-999*,63.17
1976,female,25-29,000*-999*,63.25
1977,female,25-29,000*-999*,65.06
1978,female,25-29,000*-999*,58.83
1979,female,25-29,000*-999*,58.34
1980,female,25-29,000*-999*,59.81
1981,female,25-29,000*-999*,58.88
1982,female,25-29,000*-999*,60.39
1983,female,25-29,000*-999*,63.63
1984,female,25-29,000*-999*,58.83
1985,female,25-29,000*-999*,57.33
1986,female,25-29,000*-999*,55.94
1987,female,25-29,000*-999*,51.88
1988,female,25-29,000*-999*,55.17
1989,female,25-29,000*-999*,53.85
1990,female,25-29,000*-999*,54.6
1991,female,25-29,000*-999*,57.36
1992,female,25-29,000*-999*,56.28
1993,female,25-29,000*-999*,56.13
1994,female,25-29,000*-999*,53.66
1995,female,25-29,000*-999*,52.98
1996,female,25-29,000*-999*,48.8
1997,female,25-29,000*-999*,40.6
1998,female,25-29,000*-999*,42.22
1999,female,25-29,000*-999*,40.39
1925,female,30-34,000*-999*,560.78
1926,female,30-34,000*-999*,565.18
1927,female,30-34,000*-999*,536.33
1928,female,30-34,000*-999*,518.3
1929,female,30-34,000*-999*,524.67
1930,female,30-34,000*-999*,484.25
1931,female,30-34,000*-999*,488.43
1932,female,30-34,000*-999*,461.07
1933,female,30-34,000*-999*,452.45
1934,female,30-34,000*-999*,427.84
1935,female,30-34,000*-999*,434.87
1936,female,30-34,000*-999*,408.52
1937,female,30-34,000*-999*,398.74
1938,female,30-34,000*-999*,403.64
1939,female,30-34,000*-999*,379.54
1940,female,30-34,000*-999*,444.26
1941,female,30-34,000*-999*,397.77
1942,female,30-34,000*-999*,397.93
1943,female,30-34,000*-999*,392.19
1944,female,30-34,000*-999*,496.02
1945,female,30-34,000*-999*,359.49
1946,female,30-34,000*-999*,293.71
1947,female,30-34,000*-999*,261.76
1948,female,30-34,000*-999*,236.5
1949,female,30-34,000*-999*,224.15
1950,female,30-34,000*-999*,196.29
1951,female,30-34,000*-999*,194.2
1952,female,30-34,000*-999*,163.91
1953,female,30-34,000*-999*,160.11
1954,female,30-34,000*-999*,148.15
1955,female,30-34,000*-999*,136.29
1956,female,30-34,000*-999*,136.2
1957,female,30-34,000*-999*,126.63
1958,female,30-34,000*-999*,113.48
1959,female,30-34,000*-999*,111.05
1960,female,30-34,000*-999*,108.56
1961,female,30-34,000*-999*,108.45
1962,female,30-34,000*-999*,109.75
1963,female,30-34,000*-999*,106.05
1964,female,30-34,000*-999*,97.93
1965,female,30-34,000*-999*,101.29
1966,female,30-34,000*-999*,95.58
1967,female,30-34,000*-999*,98.46
1968,female,30-34,000*-999*,86.93
1969,female,30-34,000*-999*,90.63
1970,female,30-34,000*-999*,91.71
1971,female,30-34,000*-999*,89.08
1972,female,30-34,000*-999*,91.97
1973,female,30-34,000*-999*,85.72
1974,female,30-34,000*-999*,90.31
1975,female,30-34,000*-999*,83.03
1976,female,30-34,000*-999*,75.35
1977,female,30-34,000*-999*,74.8
1978,female,30-34,000*-999*,76.33
1979,female,30-34,000*-999*,74.03
1980,female,30-34,000*-999*,76.19
1981,female,30-34,000*-999*,74.83
1982,female,30-34,000*-999*,74.42
1983,female,30-34,000*-999*,75.63
1984,female,30-34,000*-999*,76.28
1985,female,30-34,000*-999*,73.05
1986,female,30-34,000*-999*,69
1987,female,30-34,000*-999*,68.8
1988,female,30-34,000*-999*,66.32
1989,female,30-34,000*-999*,69.03
1990,female,30-34,000*-999*,66.64
1991,female,30-34,000*-999*,68.71
1992,female,30-34,000*-999*,74.45
1993,female,30-34,000*-999*,73.45
1994,female,30-34,000*-999*,71.62
1995,female,30-34,000*-999*,73.73
1996,female,30-34,000*-999*,70.53
1997,female,30-34,000*-999*,60.33
1998,female,30-34,000*-999*,57.02
1999,female,30-34,000*-999*,55.57
1925,female,35-39,000*-999*,594.62
1926,female,35-39,000*-999*,604.41
1927,female,35-39,000*-999*,565.56
1928,female,35-39,000*-999*,550.42
1929,female,35-39,000*-999*,585.4
1930,female,35-39,000*-999*,536.13
1931,female,35-39,000*-999*,532.73
1932,female,35-39,000*-999*,513.66
1933,female,35-39,000*-999*,501.91
1934,female,35-39,000*-999*,481.34
1935,female,35-39,000*-999*,496.27
1936,female,35-39,000*-999*,461.85
1937,female,35-39,000*-999*,454.09
1938,female,35-39,000*-999*,444.77
1939,female,35-39,000*-999*,425.82
1940,female,35-39,000*-999*,500.8
1941,female,35-39,000*-999*,451.29
1942,female,35-39,000*-999*,425.44
1943,female,35-39,000*-999*,417.83
1944,female,35-39,000*-999*,511.75
1945,female,35-39,000*-999*,389.4
1946,female,35-39,000*-999*,324.73
1947,female,35-39,000*-999*,282.82
1948,female,35-39,000*-999*,261.82
1949,female,35-39,000*-999*,260.89
1950,female,35-39,000*-999*,251.74
1951,female,35-39,000*-999*,249.89
1952,female,35-39,000*-999*,222.58
1953,female,35-39,000*-999*,229.53
1954,female,35-39,000*-999*,207.94
1955,female,35-39,000*-999*,193.01
1956,female,35-39,000*-999*,195.84
1957,female,35-39,000*-999*,182
1958,female,35-39,000*-999*,158.76
1959,female,35-39,000*-999*,161.35
1960,female,35-39,000*-999*,160.73
1961,female,35-39,000*-999*,152.15
