country_name,year,regime_bti,state_basic_bti,electfreefair_bti,effective_power_bti,freeassoc_bti,freeexpr_bti,sep_power_bti,civ_rights_bti,democracy_bti,state_bti,political_participation_bti,rule_of_law_bti,stability_dem_inst_bti,pol_soc_integr_bti
Belarus,2009,2,9,2,2,4,3,2,2,4.083333492279053,9,2.75,3,2,3.6666667
Belarus,2011,1,8.5,2,2,3,3,2,2,3.933333396911621,8.5,2.5,3,2,3.6666667
Belarus,2013,1,8.5,2,2,3,3,2,2,3.933333396911621,8.5,2.5,3,2,3.6666667
Belarus,2015,1,8.5,2,2,3,3,2,3,3.933333396911621,8.5,2.5,3,2,3.6666667
Belarus,2017,2,8.5,3,3,3,3,3,4,4.333333492279053,8.5,3,4,2.5,3.6666667
Belarus,2019,2,9,3,3,3,3,3,4,4.383333333333334,8.75,3,4,2.5,3.666666666666667
Belarus,2021,1,8.5,2,2,3,2,2,2,3.966666666666666,8.5,2.25,2.75,2,4.333333333333333
Benin,2005,4,7,9,8,10,9,8,7,7.599999904632568,8,9,7,8,6
Benin,2007,4,7,9,8,10,8,8,8,7.900000095367432,8.25,8.75,7.25,8.5,6.75
Benin,2009,4,7,9,9,10,7,7,8,7.699999809265137,8,8.75,6.75,8.5,6.5
Benin,2011,4,7.5,9,9,10,8,7,8,7.699999809265137,8.25,9,6.25,8,7
Benin,2013,4,7.5,8,9,9,7,7,8,7.550000190734863,8.5,8.25,6.5,7.5,7
Benin,2015,4,7.5,8,9,9,7,7,8,7.550000190734863,8.25,8.25,6.25,8,7
Benin,2017,4,7.5,9,9,9,8,8,8,7.849999904632568,8.25,8.75,6.5,9,6.75
Benin,2019,4,7.5,9,9,8,7,7,8,7.75,8.25,8.25,6.5,9,6.75
Benin,2021,4,7.5,6,9,6,7,5,7,6.9,8.25,7,5.75,6.5,7
Bhutan,2007,1,6.5,4,1,2,4,3,5,3.75,6.5,2.75,5,1.5,3
Bhutan,2009,2,7,7,2,5,6,4,6,4.650000095367432,6.75,5,5.5,2,4
Bhutan,2011,2,7,7,2,5,6,5,6,4.800000190734863,6.75,5,6.25,2,4
Bhutan,2013,4,7.5,8,7,6,7,7,6,6.400000095367432,7,7,7,7,4
Bhutan,2015,4,7.5,8,7,6,7,7,7,6.5,7.25,7,7.25,7,4
Bhutan,2017,4,7.5,8,7,6,7,7,7,6.566666603088379,7.25,7,7.25,7,4.3333333
Bhutan,2019,4,7.5,8,7,6,7,7,7,6.85,7.25,7,7.25,8,4.75
Bhutan,2021,4,8,8,7,6,7,8,7,7.05,7.5,7,7.5,8,5.25
Bolivia,2005,4,6.5,9,7,8,8,7,6,6.75,8,8,6,6.5,5.25
Bolivia,2007,4,6.5,9,7,8,7,6,6,6.400000095367432,7.5,7.75,5.75,6,5
Bolivia,2009,4,6.5,9,7,8,7,6,6,6.5,7.75,7.75,5.5,6,5.5
Bolivia,2011,4,7,9,8,9,7,6,6,6.849999904632568,8.25,8.25,5.5,6.5,5.75
Bolivia,2013,4,7,9,8,9,8,7,6,7.099999904632568,8.25,8.5,6,6.5,6.25
Bolivia,2015,4,7.5,9,9,8,8,7,6,7.300000190734863,8.5,8.5,6,7,6.5
Bolivia,2017,4,7.5,9,9,7,8,7,6,7.199999809265137,8.5,8.25,5.75,7,6.5
Bolivia,2019,4,7.5,9,9,7,7,5,6,6.8,8.5,8,5.25,6,6.25
Bolivia,2021,4,7.5,9,9,8,8,6,6,7.05,8.5,8.5,5.5,6.5,6.25
Bosnia and Herzegovina,2005,4,7.5,9,8,9,8,7,6,6.800000190734863,7,8.5,6.5,7,5
Bosnia and Herzegovina,2007,4,7.5,9,8,9,8,8,7,6.699999809265137,7,8.5,6.75,6,5.25
Bosnia and Herzegovina,2009,4,8,9,8,9,6,8,7,6.5,7,8,6.75,5.5,5.25
Bosnia and Herzegovina,2011,4,8,8,8,8,6,8,7,6.400000095367432,6.75,7.5,6.75,5.5,5.5
Bosnia and Herzegovina,2013,4,8,8,8,8,6,8,7,6.349999904632568,6.75,7.5,6.5,5,6
Bosnia and Herzegovina,2015,4,8,7,7,8,6,8,7,6.300000190734863,7,7,6.5,5,6
Bosnia and Herzegovina,2017,4,8,7,7,8,6,8,7,6.099999904632568,7,7,6.5,4,6
Bosnia and Herzegovina,2019,3,7.5,6,6,7,6,7,7,5.75,6.75,6.25,6,4,5.75
Bosnia and Herzegovina,2021,3,7.5,6,5,7,6,7,7,5.6,6.75,6,6,4,5.25
Botswana,2005,5,9,9,10,9,8,7,8,8.449999809265137,9,9,8,9,7.25
Botswana,2007,5,9,9,10,9,8,8,8,8.449999809265137,9,9,8.25,8.5,7.5
Botswana,2009,5,8.5,9,10,9,7,8,7,8.399999618530273,8.75,8.75,8,9,7.5
Botswana,2011,5,9,9,10,9,7,7,8,8.350000381469727,9.25,8.75,8,8.5,7.25
Botswana,2013,5,9,8,10,9,8,7,8,8.350000381469727,9.25,8.75,7.75,9,7
Botswana,2015,5,9,8,10,8,7,7,8,8.25,9.25,8.25,7.75,9,7
Botswana,2017,5,9,8,10,8,7,7,8,8.199999809265137,9,8.25,7.75,9,7
Botswana,2019,5,9,8,10,8,7,8,8,8.35,9.25,8.25,8,9,7.25
Botswana,2021,5,8.5,8,10,8,7,8,8,8.25,9,8.25,8,9,7
Brazil,2005,4,7.5,10,9,9,8,9,7,7.900000095367432,8.5,9,7,8.5,6.5
Brazil,2007,4,7.5,10,9,9,8,9,7,7.949999809265137,8.5,9,7.5,8,6.75
Brazil,2009,5,7.5,10,9,9,8,9,7,8.199999809265137,8.5,9,7.75,8.5,7.25
Brazil,2011,5,7.5,10,9,9,8,9,7,8.149999618530273,8.5,9,7.5,8.5,7.25
Brazil,2013,5,7.5,10,9,9,8,9,7,8.149999618530273,8.25,9,7.75,8.5,7.25
Brazil,2015,5,7.5,10,9,9,8,9,7,8.050000190734863,8.25,9,7.75,8.5,6.75
Brazil,2017,4,7.5,9,9,9,8,9,7,7.650000095367432,8.25,8.75,7.75,7.5,6
Brazil,2019,4,7.5,9,9,8,7,9,6,7.4,8,8.25,7.5,7.5,5.75
Brazil,2021,4,7,9,9,8,6,9,5,7.05,7.75,8,7,6.5,6
Bulgaria,2005,5,9.5,10,9,10,8,9,8,8.449999809265137,9.25,9.25,7.75,9,7
Bulgaria,2007,5,10,10,9,10,8,9,9,8.699999809265137,9.5,9.25,8.5,9,7.25
Bulgaria,2009,5,9.5,10,9,10,8,9,9,8.75,9.75,9.25,8.25,9,7.5
Bulgaria,2011,5,10,9,9,10,8,9,9,8.649999618530273,10,9,8.5,8.5,7.25
Bulgaria,2013,5,10,8,9,10,7,8,8,8.350000381469727,9.75,8.5,8,8.5,7
Bulgaria,2015,5,9.5,8,9,10,7,8,8,8.149999618530273,9.5,8.5,7.75,8,7
Bulgaria,2017,5,9.5,8,8,10,7,8,8,8.100000381469727,9.5,8.25,7.75,8,7
Bulgaria,2019,4,9.5,8,8,10,6,8,7,7.95,9.25,8,7.5,8,7
Bulgaria,2021,4,9,8,8,8,6,7,7,7.35,9,7.5,6.75,7,6.5
Burkina Faso,2005,2,7.5,7,3,6,6,5,3,5.266666889190674,8.5,5.5,4,3,5.3333333
Burkina Faso,2007,4,7.5,7,7,6,6,5,5,6.25,8.5,6.5,4.5,5.5,6.25
Burkina Faso,2009,2,7,6,3,6,7,3,6,5.166666507720947,8,5.5,4,3,5.3333333
Burkina Faso,2011,2,7,6,3,6,7,3,6,5.166666507720947,8,5.5,4,3,5.3333333
Burkina Faso,2013,2,6.5,6,3,6,7,3,6,5.233333110809326,7.75,5.5,4.25,3,5.6666667
Burkina Faso,2015,2,6,2,1,6,7,3,5,4.733333110809326,7.5,4,4,2.5,5.6666667
Burkina Faso,2017,4,6,7,7,7,7,4,6,6.400000095367432,7.5,7,4.75,6,6.75
Burkina Faso,2019,4,5.5,7,7,6,7,4,5,6.2,7.25,6.75,4.25,6,6.75
Burkina Faso,2021,3,4.5,7,7,6,6,4,4,5.85,6.5,6.5,4,6,6.25
Burundi,2005,1,5.5,1,1,7,5,3,3,3.633333444595337,6.5,3.5,3.5,2,2.6666667
Burundi,2007,3,6.5,8,7,7,6,5,6,5.800000190734863,7.25,7,5,5,4.75
Burundi,2009,3,5.5,8,6,5,5,5,4,5.333333492279053,6.75,6,4.25,5,4.6666667
Burundi,2011,3,6.5,6,6,6,4,5,4,5.150000095367432,7.5,5.5,4.25,4.5,4
Burundi,2013,2,7,7,3,5,4,5,3,4.716666698455811,7.5,4.75,4,3,4.3333333
Burundi,2015,2,7,6,3,5,4,4,3,4.616666793823242,7.75,4.5,3.5,3,4.3333333
Burundi,2017,1,6,3,3,3,3,3,3,3.799999952316284,7,3,3,2,4
Burundi,2019,1,6.5,3,3,2,3,3,2,3.7,7.25,2.75,2.5,2,4
Burundi,2021,1,5.5,3,3,2,3,3,2,3.55,6.5,2.75,2.5,2,4
Cambodia,2005,2,6,5,3,5,5,2,4,4,7.5,4.5,3,2,3
Cambodia,2007,2,6.5,5,2,5,5,3,4,4.133333206176758,7.75,4.25,3,2,3.6666667
Cambodia,2009,2,6.5,5,2,4,5,3,4,4.099999904632568,7.5,4,3,2,4
Cambodia,2011,1,6.5,4,2,3,4,2,4,3.816666603088379,7.75,3.25,2.75,2,3.3333333
Cambodia,2013,1,6.5,4,2,3,4,2,3,3.766666650772095,7.75,3.25,2.5,2,3.3333333
Cambodia,2015,1,6.5,3,2,3,4,2,3,3.733333349227905,7.75,3,2.25,2,3.6666667
Cambodia,2017,1,6.5,3,2,3,3,2,2,3.566666603088379,7.75,2.75,2,2,3.3333333
Cambodia,2019,1,7,2,1,2,2,2,2,3.283333333333334,8,1.75,2,2,2.666666666666667
Cambodia,2021,1,7,2,1,2,2,1,2,3.083333333333333,7.75,1.75,1.75,1.5,2.666666666666667
Cameroon,2005,2,5.5,3,3,5,3,4,4,4.083333492279053,6.5,3.5,3.75,2,4.6666667
Cameroon,2007,2,6,3,2,5,4,4,4,4.133333206176758,6.5,3.5,4,2,4.6666667
Cameroon,2009,2,6,3,2,5,4,4,3,4.016666889190674,6.5,3.5,3.75,2,4.3333333
Cameroon,2011,2,6,3,2,5,4,4,3,4.016666889190674,6.5,3.5,3.75,2,4.3333333
Cameroon,2013,2,6,3,2,5,4,4,4,4.083333492279053,6.25,3.5,4,2,4.6666667
Cameroon,2015,1,5.5,3,2,5,3,3,4,3.799999952316284,6,3.25,3.75,2,4
Cameroon,2017,1,6,3,2,5,3,3,4,3.916666746139526,6.25,3.25,3.75,2,4.3333333
Cameroon,2019,1,5.5,3,2,4,2,3,3,3.55,5.75,2.75,3.25,2,4
Cameroon,2021,1,5,4,2,4,2,3,3,3.616666666666666,5.5,3,3.25,2,4.333333333333333
Central African Republic,2005,1,1.5,1,1,6,5,4,3,3.216666698455811,4,3.25,3,2.5,3.3333333
Central African Republic,2007,1,1.5,6,3,6,6,6,4,3.933333396911621,4,5.25,3.75,3,3.6666667
Central African Republic,2009,1,1.5,6,3,6,5,5,3,3.583333253860474,3.75,5,3.5,2,3.6666667
Central African Republic,2011,1,2.5,4,2,7,5,5,3,3.783333301544189,4.75,4.5,3.5,2.5,3.6666667
Central African Republic,2013,1,1,3,2,5,6,4,3,3.316666603088379,3.5,4,3.25,2.5,3.3333333
Central African Republic,2015,1,1.5,1,1,6,7,5,3,3.200000047683716,3.25,3.75,3.5,2.5,3
Central African Republic,2017,1,1.5,6,3,6,6,5,3,3.599999904632568,3.5,5.25,3.75,2.5,3
Central African Republic,2019,1,1.5,6,4,6,6,4,3,3.55,3.5,5.5,3.25,2.5,3
Central African Republic,2021,1,1.5,5,2,6,5,4,3,3.4,3.5,4.5,3.5,2.5,3
Chad,2005,1,3.5,3,2,6,4,2,3,3.533333301544189,5.5,3.75,2.75,2,3.6666667
Chad,2007,1,2.5,3,1,4,2,1,2,2.833333253860474,5.25,2.5,1.75,2,2.6666667
Chad,2009,1,3,3,1,3,2,1,2,2.833333253860474,5.5,2.25,1.75,2,2.6666667
Chad,2011,1,4,3,1,4,3,2,2,3.133333444595337,6,2.75,2.25,2,2.6666667
Chad,2013,1,5,4,2,4,2,2,2,3.450000047683716,6.5,3,2.25,2.5,3
Chad,2015,1,5,4,2,4,3,2,2,3.5,6.5,3.25,2.25,2.5,3
Chad,2017,1,5,3,2,4,3,2,2,3.450000047683716,6.5,3,2.25,2.5,3
Chad,2019,1,4.5,3,2,3,3,1,2,2.933333333333333,6,2.75,1.75,1.5,2.666666666666667
Chad,2021,1,4.5,3,2,2,2,2,3,3,6,2.25,2.25,1.5,3
Chile,2005,5,10,8,8,10,10,10,9,9.100000381469727,9.75,9,9.25,9.5,8
Chile,2007,5,10,9,9,10,10,10,9,9.300000190734863,9.75,9.5,9.25,10,8
Chile,2009,5,10,10,9,10,10,10,9,9.300000190734863,9.75,9.75,9.25,10,7.75
Chile,2011,5,10,10,9,9,10,10,9,9.199999809265137,9.75,9.5,9.25,10,7.5
Chile,2013,5,10,9,9,9,9,10,9,9.100000381469727,9.75,9,9.25,10,7.5
Chile,2015,5,10,9,9,10,9,10,9,9.149999618530273,9.75,9.25,9.25,10,7.5
Chile,2017,5,9.5,9,9,10,10,10,9,9.199999809265137,9.75,9.5,9.5,10,7.25
Chile,2019,5,9.5,10,10,10,10,10,9,9.300000000000001,9.75,10,9.5,10,7.25
Chile,2021,5,9.5,10,10,9,10,10,8,9.199999999999999,9.75,9.75,9.5,10,7
China,2005,1,8.5,1,1,2,2,1,3,3.049999952316284,8.5,1.5,2.25,1,2
China,2007,1,8.5,2,2,2,2,1,2,3.150000095367432,8.75,2,2,1,2
China,2009,1,8.5,2,2,2,2,2,2,3.366666555404663,8.75,2,2.25,1.5,2.3333333
China,2011,1,8.5,1,2,2,2,2,2,3.316666603088379,8.75,1.75,2.25,1.5,2.3333333
China,2013,1,8.5,1,2,2,2,1,2,3.333333253860474,8.75,1.75,2,1.5,2.6666667
China,2015,1,8.5,1,2,2,2,1,2,3.283333301544189,8.75,1.75,2.25,1,2.6666667
China,2017,1,8.5,1,2,2,2,1,2,3.283333301544189,8.75,1.75,2.25,1,2.6666667
China,2019,1,8.5,1,2,2,2,1,2,3.333333333333333,8.75,1.75,2.5,1,2.666666666666667
China,2021,1,8.5,1,2,2,1,1,2,3.233333333333333,8.5,1.5,2.5,1,2.666666666666667
Colombia,2005,3,3.5,7,7,6,5,6,4,5.849999904632568,6.25,6.25,5.25,6.5,5
Colombia,2007,3,4.5,6,6,6,6,6,5,5.75,6.25,6,5.25,6,5.25
Colombia,2009,3,5.5,6,6,7,6,5,5,5.949999809265137,6.75,6.25,5.25,6,5.5
Colombia,2011,4,6,6,6,7,6,6,5,6.050000190734863,7,6.25,5.5,6,5.5
Colombia,2013,4,6,6,6,7,6,7,6,6.550000190734863,7.25,6.25,6.5,7,5.75
Colombia,2015,4,6,7,6,7,7,7,6,6.650000095367432,7.25,6.75,6.5,7,5.75
Colombia,2017,4,6.5,7,7,7,7,7,6,6.75,7.25,7,6.5,7.5,5.5
Colombia,2019,4,6.5,7,7,7,7,7,6,6.7,7.25,7,6.25,7.5,5.5
Colombia,2021,4,6,7,7,6,7,6,5,6.4,7,6.75,5.75,7,5.5
Congo,2007,1,5,3,2,4,5,3,3,3.633333444595337,6,3.5,3,2,3.6666667
Congo,2009,1,5,3,2,4,4,3,3,3.533333301544189,5.75,3.25,3,2,3.6666667
Congo,2011,1,5.5,3,2,4,4,3,3,3.566666603088379,6.25,3.25,3,2,3.3333333
Congo,2013,1,6,3,2,4,4,3,3,3.666666746139526,6.75,3.25,3,2,3.3333333
Congo,2015,1,5.5,3,2,3,3,3,3,3.450000047683716,6.5,2.75,3,2,3
Congo,2017,1,5,2,2,3,3,2,2,3.25,6.25,2.5,2.5,2,3
Congo,2019,1,5,2,2,3,3,2,2,3.3,6.5,2.5,2.5,2,3
Congo,2021,1,5.5,2,2,3,3,2,2,3.35,6.75,2.5,2.5,2,3
Costa Rica,2005,5,9,10,10,10,10,10,10,9.399999618530273,9.5,10,9.25,9.5,8.75
Costa Rica,2007,5,9.5,10,10,10,10,10,10,9.5,9.75,10,9.5,9.5,8.75
Costa Rica,2009,5,10,10,10,9,10,10,10,9.399999618530273,10,9.75,9.5,9,8.75
Costa Rica,2011,5,10,10,10,9,10,10,10,9.399999618530273,10,9.75,9.5,9,8.75
Costa Rica,2013,5,10,10,10,9,10,10,10,9.300000190734863,10,9.75,9.25,9,8.5
Costa Rica,2015,5,10,10,10,10,10,10,9,9.199999809265137,9.75,10,9,9,8.25
Costa Rica,2017,5,9,10,10,10,10,10,9,9.050000190734863,9.25,10,9.5,8.5,8
Costa Rica,2019,5,9,10,10,10,10,10,9,9.050000000000001,9.25,10,9.5,9,7.5
Costa Rica,2021,5,9,10,10,10,10,10,9,9.1,9.25,10,9.5,9,7.75
Cote d'Ivoire,2005,1,2.5,4,2,4,3,3,3,2.849999904632568,3.75,3.25,2.75,1.5,3
Cote d'Ivoire,2007,1,2.5,3,2,4,4,2,3,2.900000095367432,3.75,3.25,2.5,2,3
Cote d'Ivoire,2009,1,4,2,2,5,5,2,3,3.200000047683716,4.75,3.5,2.75,2,3
Cote d'Ivoire,2011,1,3.5,4,2,6,3,2,2,2.983333349227905,4,3.75,2.5,2,2.6666667
Cote d'Ivoire,2013,3,6,6,6,7,5,4,4,4.883333206176758,6.25,6,3.5,5,3.6666667
Cote d'Ivoire,2015,3,7,7,7,8,6,4,4,5.5,7,7,3.5,5.5,4.5
Cote d'Ivoire,2017,3,7,7,6,8,7,4,5,5.800000190734863,7.25,7,3.75,6,5
Cote d'Ivoire,2019,3,7,6,7,8,7,4,5,5.8,7.25,7,3.75,6,5
Cote d'Ivoire,2021,2,7.5,5,3,7,6,4,5,4.833333333333334,7.5,5.25,3.75,3,4.666666666666667
Croatia,2005,5,10,10,10,10,10,9,9,9.100000381469727,9.5,10,8.25,9.5,8.25
Croatia,2007,5,10,10,10,10,8,9,9,8.850000381469727,9.5,9.5,8,9,8.25
Croatia,2009,5,9.5,10,9,10,7,9,8,8.5,9.25,9,7.75,8.5,8
Croatia,2011,5,10,9,9,10,7,9,8,8.399999618530273,9.25,8.75,7.75,8.5,7.75
Croatia,2013,5,10,9,9,10,7,9,8,8.449999809265137,9.5,8.75,8.25,8.5,7.25
Croatia,2015,5,10,9,9,10,7,9,8,8.399999618530273,9.5,8.75,8,8.5,7.25
Croatia,2017,5,10,9,9,10,7,9,8,8.350000381469727,9.25,8.75,8,8.5,7.25
Croatia,2019,5,10,9,9,10,6,8,8,8.15,9.25,8.5,7.25,8.5,7.25
Croatia,2021,5,9.5,9,9,10,6,8,8,8.300000000000001,9.25,8.5,7.25,9,7.5
Cuba,2005,1,10,1,1,2,2,1,2,3.366666555404663,9.75,1.5,2.25,1,2.3333333
Cuba,2007,1,10,1,1,2,2,1,3,3.416666746139526,9.75,1.5,2.5,1,2.3333333
Cuba,2009,1,10,1,1,2,2,1,3,3.466666698455811,9.75,1.5,2.75,1,2.3333333
Cuba,2011,1,9.5,1,1,2,2,1,3,3.416666746139526,9.5,1.5,2.75,1,2.3333333
Cuba,2013,1,9.5,1,1,3,3,1,4,3.616666555404663,9.75,2,3,1,2.3333333
Cuba,2015,1,9.5,1,1,3,3,2,4,3.683333396911621,9.5,2,3.25,1,2.6666667
Cuba,2017,1,9,1,1,2,3,2,4,3.583333253860474,9.25,1.75,3.25,1,2.6666667
