country,year,region,PIP: Top 1pc share – all observations,WID: Top 1pc share – pretax – all observations,PIP: Top 1pc share – only matching observations,WID: Top 1pc share – pretax – only matching observations
Egypt,2015,MENA,7.44891267285782,20.21,7.44891267285782,20.21
El Salvador,1991,LAC,12.622381010509228,,,
El Salvador,2015,LAC,7.9857241473478195,,,
Estonia,1993,EE & CA,8.2783121962653,,,
Estonia,2015,EE & CA,3.86342739682578,,,
Eswatini,1994,SS Africa,21.63464041434185,31.61,21.63464041434185,31.61
Eswatini,2016,SS Africa,10.474152443944169,19.33,10.474152443944169,19.33
Ethiopia,1995,SS Africa,15.76973899466126,29.69,15.76973899466126,29.69
Ethiopia,2015,SS Africa,6.4449523183183794,13.82,6.4449523183183794,13.82
Finland,1991,W. Europe,3.1601657492849897,,3.1601657492849897,
Finland,1993,W. Europe,,4.84,,4.84
Finland,2015,W. Europe,4.35935493040205,9.56,4.35935493040205,9.56
France,1993,W. Europe,,8.709999999999999,,
France,2015,W. Europe,,10.05,,
Gambia,1992,SS Africa,,18.56,,
Gambia,2015,SS Africa,,13.61,,
Georgia,1996,EE & CA,5.2652167748417895,,,
Georgia,2015,EE & CA,5.82590559411001,,,
Germany,1993,W. Europe,4.05080791468977,9.21,4.05080791468977,9.21
Germany,2015,W. Europe,5.73479744602946,13.26,5.73479744602946,13.26
Ghana,1991,SS Africa,6.584453328345511,13.79,6.584453328345511,13.79
Ghana,2016,SS Africa,7.52746556450494,15.23,7.52746556450494,15.23
Greece,1993,W. Europe,,9.41,,9.41
Greece,1995,W. Europe,5.5303678137607,,5.5303678137607,
Greece,2015,W. Europe,5.9385405228478,12.29,5.9385405228478,12.29
Guinea,1991,SS Africa,,14.73,,14.73
Guinea,1994,SS Africa,9.59851622602166,,9.59851622602166,
Guinea,2012,SS Africa,,12.53,,12.53
Guinea,2018,SS Africa,3.80090952229662,,3.80090952229662,
Guinea-Bissau,1993,SS Africa,9.92471537934444,,,
Guinea-Bissau,2018,SS Africa,5.86722837660881,,,
Honduras,1993,LAC,14.19026013787793,,,
Honduras,2015,LAC,7.98679259780534,,,
Hong Kong,1991,East Asia,,16.669999999999998,,
Hong Kong,2016,East Asia,,17.849999999999998,,
Hungary,1993,EE & CA,6.003785966989629,7.01,6.003785966989629,7.01
Hungary,2015,EE & CA,4.58664937592698,11.64,4.58664937592698,11.64
Iceland,1993,W. Europe,,7.71,,
Iceland,2015,W. Europe,,8.459999999999999,,
India,1993,S & SE Asia,,12.79,,
India,2013,S & SE Asia,,22.0,,
Indonesia,1993,S & SE Asia,,17.66,,
Indonesia,2015,S & SE Asia,,18.08,,
Iran,1994,MENA,7.922186623630701,20.08,7.922186623630701,20.08
Iran,2015,MENA,6.72397624830402,16.8,6.72397624830402,16.8
Ireland,1993,W. Europe,,9.51,,9.51
Ireland,1994,W. Europe,7.03250517697014,,7.03250517697014,
Ireland,2015,W. Europe,5.47206440997669,11.81,5.47206440997669,11.81
Israel,1992,MENA,5.54141285719014,17.69,5.54141285719014,17.69
Israel,2015,MENA,5.8642702669857005,16.45,5.8642702669857005,16.45
Italy,1993,W. Europe,5.4261178365959,7.960000000000001,5.4261178365959,7.960000000000001
Italy,2014,W. Europe,,11.23,,11.23
Italy,2015,W. Europe,5.16312330825909,,5.16312330825909,
Japan,1993,East Asia,,10.19,,
Japan,2015,East Asia,,12.96,,
Jordan,1992,MENA,,22.12,,
Jordan,2013,MENA,,17.05,,
Kazakhstan,1993,EE & CA,,10.64,,10.64
Kazakhstan,1996,EE & CA,4.64729435477454,,4.64729435477454,
Kazakhstan,2015,EE & CA,4.52427448683817,12.71,4.52427448683817,12.71
Kenya,1992,SS Africa,21.36657477348837,32.58,21.36657477348837,32.58
Kenya,2015,SS Africa,7.3686115773003795,15.19,7.3686115773003795,15.19
Laos,1992,S & SE Asia,6.18954412913702,17.06,6.18954412913702,17.06
Laos,2018,S & SE Asia,7.82689225838266,19.71,7.82689225838266,19.71
Latvia,1993,EE & CA,3.2156231115909497,,3.2156231115909497,
Latvia,1994,EE & CA,,8.23,,8.23
Latvia,2015,EE & CA,5.14642717425388,10.1,5.14642717425388,10.1
Lesotho,1993,SS Africa,,22.7,,22.7
Lesotho,1994,SS Africa,12.85191456565684,,12.85191456565684,
Lesotho,2017,SS Africa,7.15227197213916,14.46,7.15227197213916,14.46
Lithuania,1993,EE & CA,7.8924988394359,,7.8924988394359,
Lithuania,1994,EE & CA,,9.33,,9.33
Lithuania,2015,EE & CA,5.69278048651638,11.25,5.69278048651638,11.25
Luxembourg,1994,W. Europe,3.7391869621613,13.47,3.7391869621613,13.47
Luxembourg,2015,W. Europe,5.24458893113911,10.62,5.24458893113911,10.62
Madagascar,1993,SS Africa,14.45027700312184,,,
Madagascar,2012,SS Africa,7.47297719880591,,,
Malaysia,1992,S & SE Asia,9.47180938696437,19.18,9.47180938696437,19.18
Malaysia,2015,S & SE Asia,7.34902280380898,14.87,7.34902280380898,14.87
Mali,1994,SS Africa,11.522903871379429,,,
Mali,2018,SS Africa,5.5768534773679805,,,
Malta,1993,W. Europe,,8.16,,
Malta,2015,W. Europe,,10.63,,
Mauritania,1993,SS Africa,18.32834391780359,32.16,18.32834391780359,32.16
Mauritania,2014,SS Africa,4.8346380793947,10.75,4.8346380793947,10.75
Mexico,1992,LAC,13.138144137638871,,13.138144137638871,
Mexico,1993,LAC,,12.03,,12.03
Mexico,2015,LAC,,26.78,,26.78
Mexico,2016,LAC,10.51941820706171,,10.51941820706171,
Moldova,1993,EE & CA,,9.03,,
Moldova,2015,EE & CA,,11.34,,
Mongolia,1995,East Asia,3.71947920211894,14.84,3.71947920211894,14.84
Mongolia,2015,East Asia,,16.73,,16.73
Mongolia,2016,East Asia,5.44255690499466,,5.44255690499466,
Morocco,1990,MENA,6.99296976456195,,,
Morocco,2013,MENA,7.32185715783515,,,
Mozambique,1996,SS Africa,13.39143553944708,24.08,13.39143553944708,24.08
Mozambique,2014,SS Africa,17.71110380791014,31.11,17.71110380791014,31.11
Namibia,1993,SS Africa,30.18609216643771,,,
Namibia,2015,SS Africa,12.21702981195066,,,
Netherlands,1993,W. Europe,3.5953619682251,5.75,3.5953619682251,5.75
Netherlands,2015,W. Europe,4.821993832636591,6.88,4.821993832636591,6.88
New Zealand,1993,W. Offshoots,,9.86,,
New Zealand,2015,W. Offshoots,,10.96,,
Nicaragua,1993,LAC,13.037916479909631,,,
Nicaragua,2014,LAC,11.35038819394791,,,
Niger,1992,SS Africa,8.33513717430753,15.5,8.33513717430753,15.5
Niger,2014,SS Africa,5.29797778705472,11.6,5.29797778705472,11.6
Nigeria,1992,SS Africa,5.4664182662678,11.26,5.4664182662678,11.26
Nigeria,2015,SS Africa,4.7340838136591294,,4.7340838136591294,
Nigeria,2018,SS Africa,,11.59,,11.59
North Macedonia,1996,EE & CA,,10.22,,
North Macedonia,2015,EE & CA,,8.32,,
Norway,1991,W. Europe,4.048187691948979,,4.048187691948979,
Norway,1993,W. Europe,,8.12,,8.12
Norway,2015,W. Europe,4.88219694057665,9.97,4.88219694057665,9.97
Pakistan,1990,S & SE Asia,6.00790594362671,15.09,6.00790594362671,15.09
Pakistan,2015,S & SE Asia,6.46781277927177,17.26,6.46781277927177,17.26
Panama,1991,LAC,10.76580463045717,,,
Panama,2015,LAC,10.01400562743126,,,
Paraguay,1995,LAC,14.431085278780731,,,
Paraguay,2015,LAC,9.99256005980588,,,
Peru,1994,LAC,8.24656508199689,,,
Peru,2015,LAC,7.68391577800198,,,
Philippines,1994,S & SE Asia,7.4457623715316,19.33,7.4457623715316,19.33
Philippines,2015,S & SE Asia,8.2202103186886,17.2,8.2202103186886,17.2
Poland,1992,EE & CA,4.49616124919741,,4.49616124919741,
Poland,1993,EE & CA,,8.21,,8.21
Poland,2015,EE & CA,4.99552314630003,14.93,4.99552314630003,14.93
Portugal,1993,W. Europe,,9.59,,
Portugal,2015,W. Europe,,10.86,,
Romania,1992,EE & CA,2.67904280016707,,2.67904280016707,
Romania,1993,EE & CA,,8.42,,8.42
Romania,2015,EE & CA,4.13811869133029,16.689999999999998,4.13811869133029,16.689999999999998
Russia,1993,EE & CA,13.87027925333387,11.11,13.87027925333387,11.11
Russia,2015,EE & CA,5.82728351784613,18.6,5.82728351784613,18.6
Saint Lucia,1995,LAC,7.570182179682609,,,
Saint Lucia,2016,LAC,11.85785268396935,,,
Saudi Arabia,1993,MENA,,21.03,,
Saudi Arabia,2015,MENA,,21.15,,
Senegal,1994,SS Africa,11.51613409203768,,,
Senegal,2018,SS Africa,6.96174186352676,,,
Singapore,1993,S & SE Asia,,10.72,,
Singapore,2013,S & SE Asia,,13.76,,
Slovakia,1992,EE & CA,3.41869080205234,,,
Slovakia,2015,EE & CA,4.22131002162178,,,
Slovenia,1993,EE & CA,5.49983541363984,5.680000000000001,5.49983541363984,5.680000000000001
Slovenia,2015,EE & CA,3.93209193908834,7.109999999999999,3.93209193908834,7.109999999999999
South Africa,1993,SS Africa,10.07059665174756,,,
South Africa,2014,SS Africa,12.64004312432491,,,
South Korea,1993,East Asia,,8.450000000000001,,
South Korea,2015,East Asia,,11.76,,
Spain,1993,W. Europe,,10.99,,10.99
Spain,1995,W. Europe,5.32141184995389,,5.32141184995389,
Spain,2015,W. Europe,5.00255945464177,12.64,5.00255945464177,12.64
Sri Lanka,1995,S & SE Asia,6.461590491482911,16.16,6.461590491482911,16.16
Sri Lanka,2016,S & SE Asia,8.98301149318763,20.47,8.98301149318763,20.47
Sweden,1992,W. Europe,3.28025513656333,,3.28025513656333,
Sweden,1993,W. Europe,,8.61,,8.61
Sweden,2015,W. Europe,5.14789308193197,10.58,5.14789308193197,10.58
Switzerland,1992,W. Europe,6.526672921339979,,6.526672921339979,
Switzerland,1993,W. Europe,,9.73,,9.73
Switzerland,2015,W. Europe,5.54668310072538,11.54,5.54668310072538,11.54
Taiwan,1991,East Asia,4.85801755382584,,4.85801755382584,
Taiwan,1993,East Asia,,10.78,,10.78
Taiwan,2015,East Asia,,18.33,,18.33
Taiwan,2016,East Asia,5.03683658165332,,5.03683658165332,
Tanzania,1991,SS Africa,5.40701271390843,11.55,5.40701271390843,11.55
Tanzania,2014,SS Africa,,17.28,,17.28
Tanzania,2018,SS Africa,8.94182295112139,,8.94182295112139,
Thailand,1992,S & SE Asia,10.17194411129294,,10.17194411129294,
Thailand,1993,S & SE Asia,,23.73,,23.73
Thailand,2015,S & SE Asia,6.24172331628233,19.19,6.24172331628233,19.19
Tunisia,1995,MENA,6.52038765948883,17.0,6.52038765948883,17.0
Tunisia,2015,MENA,4.92343053657992,10.91,4.92343053657992,10.91
Turkey,1993,MENA,,22.32,,22.32
Turkey,1994,MENA,7.45469747155338,,7.45469747155338,
Turkey,2015,MENA,8.33377659698089,20.91,8.33377659698089,20.91
Uganda,1992,SS Africa,10.06387138651147,,10.06387138651147,
Uganda,1996,SS Africa,,15.35,,15.35
Uganda,2016,SS Africa,8.48141552757223,17.05,8.48141552757223,17.05
Ukraine,1993,EE & CA,4.3500274770464,14.09,4.3500274770464,14.09
Ukraine,2015,EE & CA,3.859752118697181,9.22,3.859752118697181,9.22
United Kingdom,1993,W. Europe,,9.72,,9.72
United Kingdom,1994,W. Europe,6.54674551437059,,6.54674551437059,
United Kingdom,2015,W. Europe,5.70005781383073,12.3,5.70005781383073,12.3
United States,1993,W. Offshoots,7.499971209082509,14.14,7.499971209082509,14.14
United States,2015,W. Offshoots,6.82216668551578,18.89,6.82216668551578,18.89
Uruguay,1992,LAC,6.93053572219042,,,
Uruguay,2015,LAC,6.21397714444346,,,
Vietnam,1992,S & SE Asia,5.90195374217885,16.42,5.90195374217885,16.42
Vietnam,2016,S & SE Asia,5.7978954566280505,16.509999999999998,5.7978954566280505,16.509999999999998
Zambia,1993,SS Africa,8.79515748621875,19.54,8.79515748621875,19.54
Zambia,2015,SS Africa,12.89354280774792,23.17,12.89354280774792,23.17
Zimbabwe,1991,SS Africa,,17.41,,
Zimbabwe,2017,SS Africa,,17.48,,
