country,year,region,PIP: Top 1pc share – all observations,WID: Top 1pc share – pretax – all observations,PIP: Top 1pc share – only matching observations,WID: Top 1pc share – pretax – only matching observations
Italy,2014,W. Europe,,11.23,,
Japan,1980,East Asia,,10.67,,
Japan,2018,East Asia,,12.86,,
Luxembourg,1985,W. Europe,3.4890480374472803,13.03,3.4890480374472803,13.03
Luxembourg,2017,W. Europe,,13.750000000000002,,13.750000000000002
Luxembourg,2018,W. Europe,6.27200855240346,,6.27200855240346,
Malaysia,1984,S & SE Asia,12.12486071874516,20.13,12.12486071874516,20.13
Malaysia,2015,S & SE Asia,7.34902280380898,14.87,7.34902280380898,14.87
Malta,1980,W. Europe,,8.16,,
Malta,2017,W. Europe,,10.83,,
Mexico,1980,LAC,,12.03,,12.03
Mexico,1984,LAC,9.97697718710502,,9.97697718710502,
Mexico,2018,LAC,11.01579904749952,29.54,11.01579904749952,29.54
Montenegro,1980,EE & CA,,7.26,,
Montenegro,2017,EE & CA,,9.07,,
Morocco,1984,MENA,10.78174273894038,15.52,10.78174273894038,15.52
Morocco,2013,MENA,7.32185715783515,15.14,7.32185715783515,15.14
Netherlands,1980,W. Europe,,6.25,,6.25
Netherlands,1983,W. Europe,4.003316772013,,4.003316772013,
Netherlands,2017,W. Europe,,7.049999999999999,,7.049999999999999
Netherlands,2018,W. Europe,4.87385249840586,,4.87385249840586,
New Zealand,1980,W. Offshoots,,6.16,,
New Zealand,2018,W. Offshoots,,11.94,,
Nigeria,1985,SS Africa,4.29010921999972,12.02,4.29010921999972,12.02
Nigeria,2018,SS Africa,5.31173133394679,11.59,5.31173133394679,11.59
North Macedonia,1980,EE & CA,,6.93,,
North Macedonia,2017,EE & CA,,9.41,,
Norway,1979,W. Europe,3.69832178552292,,3.69832178552292,
Norway,1980,W. Europe,,7.6,,7.6
Norway,2017,W. Europe,,10.18,,10.18
Norway,2018,W. Europe,4.51854516055843,,4.51854516055843,
Panama,1979,LAC,6.94025508256532,,,
Panama,2018,LAC,9.53241014458162,,,
Peru,1985,LAC,9.05546392456599,,,
Peru,2018,LAC,6.905406820336991,,,
Philippines,1985,S & SE Asia,8.130488994353879,19.57,8.130488994353879,19.57
Philippines,2018,S & SE Asia,8.031973900436599,16.619999999999997,8.031973900436599,16.619999999999997
Poland,1980,EE & CA,,4.34,,4.34
Poland,1985,EE & CA,3.09580252022725,,3.09580252022725,
Poland,2018,EE & CA,5.2060011207532,14.66,5.2060011207532,14.66
Portugal,1980,W. Europe,,6.890000000000001,,
Portugal,2017,W. Europe,,11.65,,
Romania,1980,EE & CA,,5.65,,
Romania,2018,EE & CA,,13.93,,
Russia,1980,EE & CA,,3.56,,
Russia,2017,EE & CA,,20.0,,
Rwanda,1984,SS Africa,,10.47,,
Rwanda,2016,SS Africa,,19.89,,
Saudi Arabia,1980,MENA,,21.03,,
Saudi Arabia,2018,MENA,,20.98,,
Serbia,1984,EE & CA,,9.36,,
Serbia,2018,EE & CA,,11.63,,
Singapore,1980,S & SE Asia,,10.64,,
Singapore,2013,S & SE Asia,,13.76,,
Slovakia,1980,EE & CA,,4.24,,
Slovakia,2018,EE & CA,,7.86,,
South Korea,1980,East Asia,,8.450000000000001,,
South Korea,2016,East Asia,,11.76,,
Spain,1980,W. Europe,5.50879476643976,11.36,5.50879476643976,11.36
Spain,2017,W. Europe,,12.71,,12.71
Spain,2018,W. Europe,4.80404398594437,,4.80404398594437,
Sri Lanka,1985,S & SE Asia,5.38794376407252,14.77,5.38794376407252,14.77
Sri Lanka,2016,S & SE Asia,8.98301149318763,20.47,8.98301149318763,20.47
Sweden,1980,W. Europe,,7.199999999999999,,7.199999999999999
Sweden,1981,W. Europe,2.558323852999,,2.558323852999,
Sweden,2017,W. Europe,,10.02,,10.02
Sweden,2018,W. Europe,5.36803838744601,,5.36803838744601,
Switzerland,1980,W. Europe,,10.07,,10.07
Switzerland,1982,W. Europe,8.12854712263462,,8.12854712263462,
Switzerland,2017,W. Europe,,10.93,,10.93
Switzerland,2018,W. Europe,6.21166901482185,,6.21166901482185,
Taiwan,1980,East Asia,,9.96,,9.96
Taiwan,1981,East Asia,4.3963355316876,,4.3963355316876,
Taiwan,2016,East Asia,5.03683658165332,,5.03683658165332,
Taiwan,2017,East Asia,,19.33,,19.33
Thailand,1981,S & SE Asia,8.75250432572294,22.99,8.75250432572294,22.99
Thailand,2018,S & SE Asia,5.594042485976989,17.79,5.594042485976989,17.79
Tunisia,1985,MENA,9.09479592025975,18.08,9.09479592025975,18.08
Tunisia,2015,MENA,4.92343053657992,10.91,4.92343053657992,10.91
Turkey,1980,MENA,,27.92,,
Turkey,2018,MENA,,20.380000000000003,,
United Kingdom,1979,W. Europe,3.53749007768277,,3.53749007768277,
United Kingdom,1980,W. Europe,,6.78,,6.78
United Kingdom,2017,W. Europe,5.95397434561523,13.44,5.95397434561523,13.44
United States,1979,W. Offshoots,4.96346354586161,,4.96346354586161,
United States,1980,W. Offshoots,,10.43,,10.43
United States,2018,W. Offshoots,7.19488271020322,19.25,7.19488271020322,19.25
