"","varname","description"
"44","total_shortfall_365","The total shortfall from a poverty line of $3.65 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"45","total_shortfall_685","The total shortfall from a poverty line of $6.85 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"46","total_shortfall_1000","The total shortfall from a poverty line of $10 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"47","total_shortfall_2000","The total shortfall from a poverty line of $20 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"48","total_shortfall_2435","The total shortfall from a poverty line of $24.35 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"49","total_shortfall_3000","The total shortfall from a poverty line of $30 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"50","total_shortfall_4000","The total shortfall from a poverty line of $40 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"51","total_shortfall_40_median","The total shortfall from a poverty line of $1 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"52","total_shortfall_40_median","The total shortfall from a poverty line of $2.15 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"53","total_shortfall_40_median","The total shortfall from a poverty line of $3.65 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"54","total_shortfall_40_median","The total shortfall from a poverty line of $6.85 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"55","total_shortfall_40_median","The total shortfall from a poverty line of $10 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"56","total_shortfall_40_median","The total shortfall from a poverty line of $20 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"57","total_shortfall_40_median","The total shortfall from a poverty line of $24.35 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"58","total_shortfall_40_median","The total shortfall from a poverty line of $30 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"59","total_shortfall_40_median","The total shortfall from a poverty line of $40 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"60","total_shortfall_50_median","The total shortfall from a poverty line of $1 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"61","total_shortfall_50_median","The total shortfall from a poverty line of $2.15 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"62","total_shortfall_50_median","The total shortfall from a poverty line of $3.65 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"63","total_shortfall_50_median","The total shortfall from a poverty line of $6.85 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"64","total_shortfall_50_median","The total shortfall from a poverty line of $10 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"65","total_shortfall_50_median","The total shortfall from a poverty line of $20 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"66","total_shortfall_50_median","The total shortfall from a poverty line of $24.35 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"67","total_shortfall_50_median","The total shortfall from a poverty line of $30 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"68","total_shortfall_50_median","The total shortfall from a poverty line of $40 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"69","total_shortfall_60_median","The total shortfall from a poverty line of $1 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"70","total_shortfall_60_median","The total shortfall from a poverty line of $2.15 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"71","total_shortfall_60_median","The total shortfall from a poverty line of $3.65 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"72","total_shortfall_60_median","The total shortfall from a poverty line of $6.85 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"73","total_shortfall_60_median","The total shortfall from a poverty line of $10 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"74","total_shortfall_60_median","The total shortfall from a poverty line of $20 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"75","total_shortfall_60_median","The total shortfall from a poverty line of $24.35 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"76","total_shortfall_60_median","The total shortfall from a poverty line of $30 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"77","total_shortfall_60_median","The total shortfall from a poverty line of $40 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"78","income_gap_ratio_100","The average shortfall from a poverty line of $1 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"79","income_gap_ratio_215","The average shortfall from a poverty line of $2.15 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"80","income_gap_ratio_365","The average shortfall from a poverty line of $3.65 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"81","income_gap_ratio_685","The average shortfall from a poverty line of $6.85 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"82","income_gap_ratio_1000","The average shortfall from a poverty line of $10 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"83","income_gap_ratio_2000","The average shortfall from a poverty line of $20 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"84","income_gap_ratio_2435","The average shortfall from a poverty line of $24.35 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"85","income_gap_ratio_3000","The average shortfall from a poverty line of $30 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"86","income_gap_ratio_4000","The average shortfall from a poverty line of $40 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"87","income_gap_ratio_40_median","The average shortfall from a poverty line of $1 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"88","income_gap_ratio_40_median","The average shortfall from a poverty line of $2.15 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"89","income_gap_ratio_40_median","The average shortfall from a poverty line of $3.65 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"90","income_gap_ratio_40_median","The average shortfall from a poverty line of $6.85 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"91","income_gap_ratio_40_median","The average shortfall from a poverty line of $10 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"92","income_gap_ratio_40_median","The average shortfall from a poverty line of $20 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"93","income_gap_ratio_40_median","The average shortfall from a poverty line of $24.35 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"94","income_gap_ratio_40_median","The average shortfall from a poverty line of $30 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"95","income_gap_ratio_40_median","The average shortfall from a poverty line of $40 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"96","income_gap_ratio_50_median","The average shortfall from a poverty line of $1 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"97","income_gap_ratio_50_median","The average shortfall from a poverty line of $2.15 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"98","income_gap_ratio_50_median","The average shortfall from a poverty line of $3.65 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"99","income_gap_ratio_50_median","The average shortfall from a poverty line of $6.85 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"100","income_gap_ratio_50_median","The average shortfall from a poverty line of $10 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"101","income_gap_ratio_50_median","The average shortfall from a poverty line of $20 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"102","income_gap_ratio_50_median","The average shortfall from a poverty line of $24.35 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"103","income_gap_ratio_50_median","The average shortfall from a poverty line of $30 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"104","income_gap_ratio_50_median","The average shortfall from a poverty line of $40 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"105","income_gap_ratio_60_median","The average shortfall from a poverty line of $1 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"106","income_gap_ratio_60_median","The average shortfall from a poverty line of $2.15 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"107","income_gap_ratio_60_median","The average shortfall from a poverty line of $3.65 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"108","income_gap_ratio_60_median","The average shortfall from a poverty line of $6.85 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"109","income_gap_ratio_60_median","The average shortfall from a poverty line of $10 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"110","income_gap_ratio_60_median","The average shortfall from a poverty line of $20 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"111","income_gap_ratio_60_median","The average shortfall from a poverty line of $24.35 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"112","income_gap_ratio_60_median","The average shortfall from a poverty line of $30 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"113","income_gap_ratio_60_median","The average shortfall from a poverty line of $40 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
"114","poverty_gap_index_100","The poverty gap index calculated at a poverty line of $1 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"115","poverty_gap_index_215","The poverty gap index calculated at a poverty line of $2.15 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"116","poverty_gap_index_365","The poverty gap index calculated at a poverty line of $3.65 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"117","poverty_gap_index_685","The poverty gap index calculated at a poverty line of $6.85 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"118","poverty_gap_index_1000","The poverty gap index calculated at a poverty line of $10 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"119","poverty_gap_index_2000","The poverty gap index calculated at a poverty line of $20 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"120","poverty_gap_index_2435","The poverty gap index calculated at a poverty line of $24.35 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"121","poverty_gap_index_3000","The poverty gap index calculated at a poverty line of $30 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
"122","poverty_gap_index_4000","The poverty gap index calculated at a poverty line of $40 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
