Entity,Year,Number of people living in extreme poverty - by world region
South Asia,1991,679029764.0
South Asia,1992,673634565.0
South Asia,1993,676478335.0
South Asia,1994,682836493.0
South Asia,1995,674160878.0
South Asia,1996,670151520.0
South Asia,1997,679827648.0
South Asia,1998,688697808.0
South Asia,1999,692241015.0
South Asia,2000,701604558.0
South Asia,2001,707946992.0
South Asia,2002,717954833.0
South Asia,2003,712561742.0
South Asia,2004,695870267.0
South Asia,2005,680648199.0
South Asia,2006,668365780.0
South Asia,2007,649145303.0
South Asia,2008,638365338.0
South Asia,2009,625893077.0
South Asia,2010,581511280.0
South Asia,2011,503048961.0
South Asia,2012,472470297.0
South Asia,2013,461712656.0
South Asia,2014,449277256.0
South Asia,2015,430337806.0
South Asia,2016,415266162.0
South Asia,2017,352022428.0
South Asia,2018,285359889.0
South Asia,2019,249092630.0
Sub-Saharan Africa,1990,307833436.0
Sub-Saharan Africa,1991,325065730.0
Sub-Saharan Africa,1992,341406208.0
Sub-Saharan Africa,1993,358659939.0
Sub-Saharan Africa,1994,370984430.0
Sub-Saharan Africa,1995,377401226.0
Sub-Saharan Africa,1996,382255586.0
Sub-Saharan Africa,1997,391501643.0
Sub-Saharan Africa,1998,401912930.0
Sub-Saharan Africa,1999,412538214.0
Sub-Saharan Africa,2000,421300565.0
Sub-Saharan Africa,2001,428560291.0
Sub-Saharan Africa,2002,435345037.0
Sub-Saharan Africa,2003,441076667.0
Sub-Saharan Africa,2004,433967651.0
Sub-Saharan Africa,2005,433729664.0
Sub-Saharan Africa,2006,435847296.0
Sub-Saharan Africa,2007,439786855.0
Sub-Saharan Africa,2008,442207575.0
Sub-Saharan Africa,2009,451552242.0
Sub-Saharan Africa,2010,449219260.0
Sub-Saharan Africa,2011,452275022.0
Sub-Saharan Africa,2012,458620383.0
Sub-Saharan Africa,2013,461594844.0
Sub-Saharan Africa,2014,462811411.0
Sub-Saharan Africa,2015,475266088.0
Sub-Saharan Africa,2016,483151238.0
Sub-Saharan Africa,2017,487012978.0
Sub-Saharan Africa,2018,489093557.0
Sub-Saharan Africa,2019,494391876.0
China,1990,816905682.0
China,1991,801799933.0
China,1992,772504516.0
China,1993,738952525.0
China,1994,682334357.0
China,1995,642541897.0
China,1996,586134479.0
China,1997,585544946.0
China,1998,583112919.0
China,1999,575830190.0
China,2000,528901194.0
China,2001,502762184.0
China,2002,467384386.0
China,2003,419812468.0
China,2004,360723097.0
China,2005,288350575.0
China,2006,271968672.0
China,2007,250752594.0
China,2008,237894629.0
China,2009,213659179.0
China,2010,185971523.0
China,2011,137532709.0
China,2012,115009456.0
China,2013,39302677.0
China,2014,28523017.0
China,2015,16139948.0
China,2016,11564023.0
China,2017,9434420.0
China,2018,6001216.0
China,2019,2005031.0
India,1990,428636126.0
India,1991,434657409.0
India,1992,440737935.0
India,1993,444727492.0
India,1994,448025831.0
India,1995,450012648.0
India,1996,447498232.0
India,1997,452720395.0
India,1998,453387875.0
India,1999,452419848.0
India,2000,456552792.0
India,2001,456601384.0
India,2002,461061182.0
India,2003,461048551.0
India,2004,458834919.0
India,2005,448176204.0
India,2006,439987468.0
India,2007,427271749.0
India,2008,416768298.0
India,2009,410394883.0
India,2010,372711356.0
India,2011,304904091.0
India,2012,282068917.0
India,2013,275484839.0
India,2014,265596608.0
India,2015,250557531.0
India,2016,241443120.0
India,2017,195184677.0
India,2018,155565870.0
India,2019,129454236.0
East Asia and Pacific excluding China,1990,272662948.0
East Asia and Pacific excluding China,1991,273760935.0
East Asia and Pacific excluding China,1992,275633560.0
East Asia and Pacific excluding China,1993,274483296.0
East Asia and Pacific excluding China,1994,268945750.0
East Asia and Pacific excluding China,1995,248371060.0
East Asia and Pacific excluding China,1996,247862314.0
East Asia and Pacific excluding China,1997,253538494.0
East Asia and Pacific excluding China,1998,282747603.0
East Asia and Pacific excluding China,1999,237059307.0
East Asia and Pacific excluding China,2000,232216813.0
East Asia and Pacific excluding China,2001,222886574.0
East Asia and Pacific excluding China,2002,189146124.0
East Asia and Pacific excluding China,2003,178549711.0
East Asia and Pacific excluding China,2004,170471636.0
East Asia and Pacific excluding China,2005,157263095.0
East Asia and Pacific excluding China,2006,164959503.0
East Asia and Pacific excluding China,2007,140406440.0
East Asia and Pacific excluding China,2008,133307283.0
East Asia and Pacific excluding China,2009,118730846.0
East Asia and Pacific excluding China,2010,99908204.0
East Asia and Pacific excluding China,2011,90586878.0
East Asia and Pacific excluding China,2012,81847955.0
East Asia and Pacific excluding China,2013,68412853.0
East Asia and Pacific excluding China,2014,59480305.0
East Asia and Pacific excluding China,2015,51866649.0
East Asia and Pacific excluding China,2016,46365109.0
East Asia and Pacific excluding China,2017,40820611.0
East Asia and Pacific excluding China,2018,34805369.0
East Asia and Pacific excluding China,2019,29658459.0
South Asia excluding India,1990,241861126.0
South Asia excluding India,1991,244372355.0
South Asia excluding India,1992,232896630.0
South Asia excluding India,1993,231750843.0
South Asia excluding India,1994,234810662.0
South Asia excluding India,1995,224148230.0
South Asia excluding India,1996,222653288.0
South Asia excluding India,1997,227107253.0
South Asia excluding India,1998,235309933.0
South Asia excluding India,1999,239821167.0
South Asia excluding India,2000,245051766.0
South Asia excluding India,2001,251345608.0
South Asia excluding India,2002,256893651.0
South Asia excluding India,2003,251513191.0
South Asia excluding India,2004,237035348.0
South Asia excluding India,2005,232471995.0
South Asia excluding India,2006,228378312.0
South Asia excluding India,2007,221873554.0
South Asia excluding India,2008,221597040.0
South Asia excluding India,2009,215498194.0
South Asia excluding India,2010,208799924.0
South Asia excluding India,2011,198144870.0
South Asia excluding India,2012,190401380.0
South Asia excluding India,2013,186227817.0
South Asia excluding India,2014,183680648.0
South Asia excluding India,2015,179780275.0
South Asia excluding India,2016,173823042.0
South Asia excluding India,2017,156837751.0
South Asia excluding India,2018,129794019.0
South Asia excluding India,2019,119638394.0
