"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"3 years"	"3"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	50	9561329	0.5
	"3 years"	"3"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	59	9995003	0.6
	"3 years"	"3"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	73	9561329	0.8
	"3 years"	"3"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	80	9995003	0.8
	"3 years"	"3"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	14	9561329	Unreliable
	"3 years"	"3"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	20	9995003	0.2
	"4 years"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	195	9698267	2.0
	"4 years"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	208	10150034	2.0
	"4 years"	"4"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	12	9698267	Unreliable
	"4 years"	"4"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	80	9698267	0.8
	"4 years"	"4"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	71	10150034	0.7
	"4 years"	"4"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	40	9698267	0.4
	"4 years"	"4"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	40	10150034	0.4
	"4 years"	"4"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	35	9698267	0.4
	"4 years"	"4"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	36	10150034	0.4
	"4 years"	"4"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	60	9698267	0.6
	"4 years"	"4"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	79	10150034	0.8
	"4 years"	"4"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	16	9698267	Unreliable
	"4 years"	"4"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	24	10150034	0.2
	"5 years"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	196	9792709	2.0
	"5 years"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	214	10247477	2.1
	"5 years"	"5"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	13	9792709	Unreliable
	"5 years"	"5"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	89	9792709	0.9
	"5 years"	"5"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	97	10247477	0.9
	"5 years"	"5"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	40	9792709	0.4
	"5 years"	"5"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	46	10247477	0.4
	"5 years"	"5"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	39	9792709	0.4
	"5 years"	"5"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	40	10247477	0.4
	"5 years"	"5"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	50	9792709	0.5
	"5 years"	"5"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	58	10247477	0.6
	"5 years"	"5"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	18	10247477	Unreliable
	"6 years"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	172	9854449	1.7
	"6 years"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	213	10303733	2.1
	"6 years"	"6"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	11	9854449	Unreliable
	"6 years"	"6"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	95	9854449	1.0
	"6 years"	"6"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	88	10303733	0.9
	"6 years"	"6"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	28	9854449	0.3
	"6 years"	"6"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	50	10303733	0.5
	"6 years"	"6"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	27	9854449	0.3
	"6 years"	"6"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	44	10303733	0.4
	"6 years"	"6"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	35	9854449	0.4
	"6 years"	"6"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	65	10303733	0.6
	"6 years"	"6"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	16	9854449	Unreliable
	"6 years"	"6"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	10	10303733	Unreliable
	"7 years"	"7"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	188	9881759	1.9
	"7 years"	"7"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	209	10338001	2.0
	"7 years"	"7"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	10	9881759	Unreliable
	"7 years"	"7"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	11	10338001	Unreliable
	"7 years"	"7"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	97	9881759	1.0
	"7 years"	"7"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	97	10338001	0.9
	"7 years"	"7"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	34	9881759	0.3
	"7 years"	"7"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	37	10338001	0.4
	"7 years"	"7"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	30	9881759	0.3
	"7 years"	"7"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	32	10338001	0.3
	"7 years"	"7"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	42	9881759	0.4
	"7 years"	"7"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	55	10338001	0.5
	"7 years"	"7"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	10	10338001	Unreliable
	"8 years"	"8"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	165	9893339	1.7
	"8 years"	"8"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	191	10346160	1.8
	"8 years"	"8"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	10	9893339	Unreliable
	"8 years"	"8"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	75	9893339	0.8
	"8 years"	"8"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	81	10346160	0.8
	"8 years"	"8"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	38	9893339	0.4
	"8 years"	"8"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	42	10346160	0.4
	"8 years"	"8"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	34	9893339	0.3
	"8 years"	"8"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	40	10346160	0.4
	"8 years"	"8"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	37	9893339	0.4
	"8 years"	"8"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	54	10346160	0.5
	"8 years"	"8"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	15	9893339	Unreliable
	"9 years"	"9"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	163	9914126	1.6
	"9 years"	"9"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	175	10358238	1.7
	"9 years"	"9"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	68	9914126	0.7
	"9 years"	"9"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	68	10358238	0.7
	"9 years"	"9"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	35	9914126	0.4
	"9 years"	"9"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	46	10358238	0.4
	"9 years"	"9"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	33	9914126	0.3
	"9 years"	"9"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	40	10358238	0.4
	"9 years"	"9"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	48	9914126	0.5
	"9 years"	"9"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	54	10358238	0.5
	"9 years"	"9"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	12	9914126	Unreliable
	"9 years"	"9"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	12	10358238	Unreliable
	"10 years"	"10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	167	9996425	1.7
	"10 years"	"10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	203	10450801	1.9
	"10 years"	"10"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	77	9996425	0.8
	"10 years"	"10"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	71	10450801	0.7
	"10 years"	"10"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	34	9996425	0.3
	"10 years"	"10"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	65	10450801	0.6
	"10 years"	"10"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	32	9996425	0.3
	"10 years"	"10"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	58	10450801	0.6
	"10 years"	"10"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	48	9996425	0.5
	"10 years"	"10"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	55	10450801	0.5
	"10 years"	"10"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	15	9996425	Unreliable
	"10 years"	"10"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	14	10450801	Unreliable
	"11 years"	"11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	186	10127639	1.8
	"11 years"	"11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	210	10595593	2.0
	"11 years"	"11"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	67	10127639	0.7
	"11 years"	"11"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	73	10595593	0.7
	"11 years"	"11"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	47	10127639	0.5
	"11 years"	"11"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	49	10595593	0.5
	"11 years"	"11"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	45	10127639	0.4
	"11 years"	"11"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	44	10595593	0.4
	"11 years"	"11"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	61	10127639	0.6
	"11 years"	"11"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	73	10595593	0.7
	"11 years"	"11"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	13	10595593	Unreliable
	"12 years"	"12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	195	10268368	1.9
	"12 years"	"12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	231	10741607	2.2
	"12 years"	"12"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	58	10268368	0.6
	"12 years"	"12"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	80	10741607	0.7
	"12 years"	"12"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	47	10268368	0.5
	"12 years"	"12"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	60	10741607	0.6
	"12 years"	"12"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	41	10268368	0.4
	"12 years"	"12"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	50	10741607	0.5
	"12 years"	"12"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	76	10268368	0.7
	"12 years"	"12"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	80	10741607	0.7
	"12 years"	"12"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	12	10268368	Unreliable
	"12 years"	"12"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	18	10741607	Unreliable
	"13 years"	"13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	219	10377861	2.1
	"13 years"	"13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	259	10857633	2.4
	"13 years"	"13"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	65	10377861	0.6
	"13 years"	"13"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	65	10857633	0.6
	"13 years"	"13"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	72	10377861	0.7
	"13 years"	"13"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	82	10857633	0.8
	"13 years"	"13"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	10	10857633	Unreliable
	"13 years"	"13"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	62	10377861	0.6
	"13 years"	"13"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	71	10857633	0.7
	"13 years"	"13"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	70	10377861	0.7
	"13 years"	"13"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	95	10857633	0.9
	"13 years"	"13"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	14	10377861	Unreliable
	"13 years"	"13"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	20	10857633	0.2
	"14 years"	"14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	202	10437403	1.9
	"14 years"	"14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	283	10916511	2.6
	"14 years"	"14"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	47	10437403	0.5
