"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	64	18808136	0.3
	"2 years"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	358	19227296	1.9
	"2 years"	"2"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	18	19227296	Unreliable
	"2 years"	"2"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	19	19227296	Unreliable
	"2 years"	"2"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	45	19227296	0.2
	"2 years"	"2"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	145	19227296	0.8
	"2 years"	"2"	"Leukemia (C91-C95)"	"GR113-040"	138	19227296	0.7
	"2 years"	"2"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	130	19227296	0.7
	"2 years"	"2"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	59	19227296	0.3
	"3 years"	"3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	397	19556332	2.0
	"3 years"	"3"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	16	19556332	Unreliable
	"3 years"	"3"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	14	19556332	Unreliable
	"3 years"	"3"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	90	19556332	0.5
	"3 years"	"3"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	115	19556332	0.6
	"3 years"	"3"	"Leukemia (C91-C95)"	"GR113-040"	109	19556332	0.6
	"3 years"	"3"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	153	19556332	0.8
	"3 years"	"3"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	34	19556332	0.2
	"4 years"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	403	19848301	2.0
	"4 years"	"4"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	21	19848301	0.1
	"4 years"	"4"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	151	19848301	0.8
	"4 years"	"4"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	80	19848301	0.4
	"4 years"	"4"	"Leukemia (C91-C95)"	"GR113-040"	71	19848301	0.4
	"4 years"	"4"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	139	19848301	0.7
	"4 years"	"4"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	40	19848301	0.2
	"5 years"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	410	20040186	2.0
	"5 years"	"5"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	10	20040186	Unreliable
	"5 years"	"5"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	17	20040186	Unreliable
	"5 years"	"5"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	186	20040186	0.9
	"5 years"	"5"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	86	20040186	0.4
	"5 years"	"5"	"Leukemia (C91-C95)"	"GR113-040"	79	20040186	0.4
	"5 years"	"5"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	108	20040186	0.5
	"5 years"	"5"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	27	20040186	0.1
	"6 years"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	385	20158182	1.9
	"6 years"	"6"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	18	20158182	Unreliable
	"6 years"	"6"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	183	20158182	0.9
	"6 years"	"6"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	78	20158182	0.4
	"6 years"	"6"	"Leukemia (C91-C95)"	"GR113-040"	71	20158182	0.4
	"6 years"	"6"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	100	20158182	0.5
	"6 years"	"6"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	26	20158182	0.1
	"7 years"	"7"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	397	20219760	2.0
	"7 years"	"7"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	21	20219760	0.1
	"7 years"	"7"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	194	20219760	1.0
	"7 years"	"7"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	71	20219760	0.4
	"7 years"	"7"	"Leukemia (C91-C95)"	"GR113-040"	62	20219760	0.3
	"7 years"	"7"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	97	20219760	0.5
	"7 years"	"7"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	18	20219760	Unreliable
	"8 years"	"8"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	356	20239499	1.8
	"8 years"	"8"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	15	20239499	Unreliable
	"8 years"	"8"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	156	20239499	0.8
	"8 years"	"8"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	80	20239499	0.4
	"8 years"	"8"	"Leukemia (C91-C95)"	"GR113-040"	74	20239499	0.4
	"8 years"	"8"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	91	20239499	0.4
	"8 years"	"8"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	23	20239499	0.1
	"9 years"	"9"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	338	20272364	1.7
	"9 years"	"9"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	20272364	Unreliable
	"9 years"	"9"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	136	20272364	0.7
	"9 years"	"9"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	81	20272364	0.4
	"9 years"	"9"	"Leukemia (C91-C95)"	"GR113-040"	73	20272364	0.4
	"9 years"	"9"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	102	20272364	0.5
	"9 years"	"9"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	24	20272364	0.1
	"10 years"	"10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	370	20447226	1.8
	"10 years"	"10"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	10	20447226	Unreliable
	"10 years"	"10"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	148	20447226	0.7
	"10 years"	"10"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	99	20447226	0.5
	"10 years"	"10"	"Leukemia (C91-C95)"	"GR113-040"	90	20447226	0.4
	"10 years"	"10"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	103	20447226	0.5
	"10 years"	"10"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	29	20447226	0.1
	"11 years"	"11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	396	20723232	1.9
	"11 years"	"11"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	10	20723232	Unreliable
	"11 years"	"11"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	140	20723232	0.7
	"11 years"	"11"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	96	20723232	0.5
	"11 years"	"11"	"Leukemia (C91-C95)"	"GR113-040"	89	20723232	0.4
	"11 years"	"11"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	134	20723232	0.6
	"11 years"	"11"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	22	20723232	0.1
	"12 years"	"12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	426	21009975	2.0
	"12 years"	"12"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	21009975	Unreliable
	"12 years"	"12"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	138	21009975	0.7
	"12 years"	"12"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	107	21009975	0.5
	"12 years"	"12"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	15	21009975	Unreliable
	"12 years"	"12"	"Leukemia (C91-C95)"	"GR113-040"	91	21009975	0.4
	"12 years"	"12"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	156	21009975	0.7
	"12 years"	"12"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	30	21009975	0.1
	"13 years"	"13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	478	21235494	2.3
	"13 years"	"13"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	130	21235494	0.6
	"13 years"	"13"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	154	21235494	0.7
	"13 years"	"13"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	19	21235494	Unreliable
	"13 years"	"13"	"Leukemia (C91-C95)"	"GR113-040"	133	21235494	0.6
	"13 years"	"13"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	165	21235494	0.8
	"13 years"	"13"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	34	21235494	0.2
	"14 years"	"14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	485	21353914	2.3
	"14 years"	"14"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	129	21353914	0.6
	"14 years"	"14"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	160	21353914	0.7
	"14 years"	"14"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	17	21353914	Unreliable
	"14 years"	"14"	"Leukemia (C91-C95)"	"GR113-040"	141	21353914	0.7
	"14 years"	"14"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	175	21353914	0.8
	"14 years"	"14"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	42	21353914	0.2
	"15 years"	"15"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	569	21245089	2.7
	"15 years"	"15"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	10	21245089	Unreliable
	"15 years"	"15"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	146	21245089	0.7
	"15 years"	"15"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	167	21245089	0.8
	"15 years"	"15"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	14	21245089	Unreliable
	"15 years"	"15"	"Leukemia (C91-C95)"	"GR113-040"	150	21245089	0.7
	"15 years"	"15"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	221	21245089	1.0
	"15 years"	"15"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	36	21245089	0.2
	"16 years"	"16"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	527	21105308	2.5
	"16 years"	"16"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	13	21105308	Unreliable
	"16 years"	"16"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	95	21105308	0.5
	"16 years"	"16"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	136	21105308	0.6
	"16 years"	"16"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	25	21105308	0.1
	"16 years"	"16"	"Leukemia (C91-C95)"	"GR113-040"	105	21105308	0.5
	"16 years"	"16"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	252	21105308	1.2
	"16 years"	"16"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	40	21105308	0.2
	"17 years"	"17"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	591	21173695	2.8
	"17 years"	"17"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	10	21173695	Unreliable
	"17 years"	"17"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	10	21173695	Unreliable
	"17 years"	"17"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	134	21173695	0.6
	"17 years"	"17"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	167	21173695	0.8
	"17 years"	"17"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	21	21173695	0.1
	"17 years"	"17"	"Leukemia (C91-C95)"	"GR113-040"	141	21173695	0.7
	"17 years"	"17"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	245	21173695	1.2
	"17 years"	"17"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	32	21173695	0.2
	"18 years"	"18"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	668	21354828	3.1
	"18 years"	"18"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	16	21354828	Unreliable
	"18 years"	"18"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	17	21354828	Unreliable
	"18 years"	"18"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	12	21354828	Unreliable
	"18 years"	"18"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	10	21354828	Unreliable
	"18 years"	"18"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	127	21354828	0.6
	"18 years"	"18"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	186	21354828	0.9
	"18 years"	"18"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	38	21354828	0.2
	"18 years"	"18"	"Leukemia (C91-C95)"	"GR113-040"	140	21354828	0.7
	"18 years"	"18"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	275	21354828	1.3
	"18 years"	"18"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	34	21354828	0.2
	"19 years"	"19"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	627	21434258	2.9
	"19 years"	"19"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	11	21434258	Unreliable
	"19 years"	"19"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	15	21434258	Unreliable
	"19 years"	"19"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	11	21434258	Unreliable
	"19 years"	"19"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	12	21434258	Unreliable
	"19 years"	"19"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	107	21434258	0.5
	"19 years"	"19"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	178	21434258	0.8
	"19 years"	"19"	"Hodgkin disease (C81)"	"GR113-038"	12	21434258	Unreliable
	"19 years"	"19"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	24	21434258	0.1
	"19 years"	"19"	"Leukemia (C91-C95)"	"GR113-040"	140	21434258	0.7
	"19 years"	"19"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	275	21434258	1.3
	"19 years"	"19"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	39	21434258	0.2
	"20 years"	"20"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	648	21672762	3.0
	"20 years"	"20"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	11	21672762	Unreliable
	"20 years"	"20"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	14	21672762	Unreliable
	"20 years"	"20"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	12	21672762	Unreliable
	"20 years"	"20"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	107	21672762	0.5
	"20 years"	"20"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	204	21672762	0.9
	"20 years"	"20"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	33	21672762	0.2
	"20 years"	"20"	"Leukemia (C91-C95)"	"GR113-040"	166	21672762	0.8
	"20 years"	"20"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	269	21672762	1.2
	"20 years"	"20"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	33	21672762	0.2
	"21 years"	"21"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	724	21925009	3.3
	"21 years"	"21"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	13	21925009	Unreliable
	"21 years"	"21"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	23	21925009	0.1
	"21 years"	"21"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	21	21925009	0.1
	"21 years"	"21"	"Malignant melanoma of skin (C43)"	"GR113-028"	12	21925009	Unreliable
	"21 years"	"21"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	13	21925009	Unreliable
	"21 years"	"21"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	13	21925009	Unreliable
	"21 years"	"21"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	94	21925009	0.4
	"21 years"	"21"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	213	21925009	1.0
	"21 years"	"21"	"Hodgkin disease (C81)"	"GR113-038"	13	21925009	Unreliable
	"21 years"	"21"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	37	21925009	0.2
	"21 years"	"21"	"Leukemia (C91-C95)"	"GR113-040"	160	21925009	0.7
	"21 years"	"21"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	294	21925009	1.3
	"21 years"	"21"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	28	21925009	0.1
	"22 years"	"22"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	760	21868931	3.5
	"22 years"	"22"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	12	21868931	Unreliable
	"22 years"	"22"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	23	21868931	0.1
	"22 years"	"22"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	21	21868931	0.1
	"22 years"	"22"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	11	21868931	Unreliable
	"22 years"	"22"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	16	21868931	Unreliable
	"22 years"	"22"	"Malignant melanoma of skin (C43)"	"GR113-028"	15	21868931	Unreliable
	"22 years"	"22"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	14	21868931	Unreliable
	"22 years"	"22"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	141	21868931	0.6
	"22 years"	"22"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	202	21868931	0.9
	"22 years"	"22"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	49	21868931	0.2
	"22 years"	"22"	"Leukemia (C91-C95)"	"GR113-040"	145	21868931	0.7
	"22 years"	"22"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	274	21868931	1.3
	"22 years"	"22"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	40	21868931	0.2
	"23 years"	"23"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	814	21850525	3.7
	"23 years"	"23"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	19	21850525	Unreliable
	"23 years"	"23"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	42	21850525	0.2
	"23 years"	"23"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	32	21850525	0.1
	"23 years"	"23"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	13	21850525	Unreliable
	"23 years"	"23"	"Malignant melanoma of skin (C43)"	"GR113-028"	18	21850525	Unreliable
	"23 years"	"23"	"Malignant neoplasm of breast (C50)"	"GR113-029"	11	21850525	Unreliable
	"23 years"	"23"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	10	21850525	Unreliable
	"23 years"	"23"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	23	21850525	0.1
	"23 years"	"23"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	113	21850525	0.5
	"23 years"	"23"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	210	21850525	1.0
	"23 years"	"23"	"Hodgkin disease (C81)"	"GR113-038"	15	21850525	Unreliable
	"23 years"	"23"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	29	21850525	0.1
	"23 years"	"23"	"Leukemia (C91-C95)"	"GR113-040"	166	21850525	0.8
	"23 years"	"23"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	296	21850525	1.4
	"23 years"	"23"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	45	21850525	0.2
	"24 years"	"24"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	881	22013823	4.0
	"24 years"	"24"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	24	22013823	0.1
