entity,year,cVDPV1,cVDPV2,cVDPV3,total_cVDPV,wild_polio_cases,non_polio_afp_rate,percent_adequate_stool_collection,total_polio,wild_polio_cases_per_million,cVDPV1_per_million,cVDPV2_per_million,cVDPV3_per_million,total_cVDPV_per_million,total_polio_per_million
Australia,2008,,,,0.0,0.0,1.46,33.0,0.0,0.0,,,,0.0,0.0
Australia,2009,,,,0.0,0.0,1.17,33.0,0.0,0.0,,,,0.0,0.0
Australia,2010,,,,0.0,0.0,1.04,30.0,0.0,0.0,,,,0.0,0.0
Australia,2011,,,,0.0,0.0,1.52,34.0,0.0,0.0,,,,0.0,0.0
Australia,2012,,,,0.0,0.0,1.34,29.0,0.0,0.0,,,,0.0,0.0
Australia,2013,,,,0.0,0.0,1.54,40.0,0.0,0.0,,,,0.0,0.0
Australia,2014,,,,0.0,0.0,1.46,50.0,0.0,0.0,,,,0.0,0.0
Australia,2015,,,,0.0,0.0,1.3,26.0,0.0,0.0,,,,0.0,0.0
Australia,2016,,,,0.0,0.0,1.52,45.0,0.0,0.0,,,,0.0,0.0
Australia,2017,,,,0.0,0.0,1.5,36.0,0.0,0.0,,,,0.0,0.0
Australia,2018,,,,0.0,0.0,1.35,44.0,0.0,0.0,,,,0.0,0.0
Australia,2019,,,,0.0,0.0,3.12,49.0,0.0,0.0,,,,0.0,0.0
Australia,2020,,,,0.0,0.0,2.5,63.0,0.0,0.0,,,,0.0,0.0
