entity,year,wild_polio_1_cases,wild_polio_1_cases_per_million,cVDPV1,cVDPV2,cVDPV3,total_cVDPV,cVDPV1_per_million,cVDPV2_per_million,cVDPV3_per_million,total_cVDPV_per_million
Iran,2017,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Iran,2018,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Iran,2019,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Iran,2020,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Iran,2021,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Laos,2016,0,0.0,3,0,0,3,0.438,0.0,0.0,0.438
Liberia,2021,0,0.0,0,3,0,3,0.0,0.579,0.0,0.579
Madagascar,2020,0,0.0,2,0,0,2,0.072,0.0,0.0,0.072
Madagascar,2021,0,0.0,13,0,0,13,0.457,0.0,0.0,0.457
Malawi,2016,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Malawi,2017,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Malawi,2018,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Malawi,2019,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Malawi,2020,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Malawi,2021,1,0.051,0,0,0,0,0.0,0.0,0.0,0.0
Malaysia,2019,0,0.0,3,0,0,3,0.094,0.0,0.0,0.094
Malaysia,2020,0,0.0,1,0,0,1,0.031,0.0,0.0,0.031
Mali,2020,0,0.0,0,52,0,52,0.0,2.568,0.0,2.568
Mozambique,2018,0,0.0,0,1,0,1,0.0,0.034,0.0,0.034
Mozambique,2021,0,0.0,0,2,0,2,0.0,0.062,0.0,0.062
Myanmar,2019,0,0.0,6,0,0,6,0.111,0.0,0.0,0.111
Niger,2018,0,0.0,0,10,0,10,0.0,0.446,0.0,0.446
Niger,2019,0,0.0,0,1,0,1,0.0,0.043,0.0,0.043
Niger,2020,0,0.0,0,10,0,10,0.0,0.413,0.0,0.413
Niger,2021,0,0.0,0,15,0,15,0.0,0.597,0.0,0.597
Nigeria,2016,4,0.022,0,1,0,1,0.0,0.005,0.0,0.005
Nigeria,2017,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Nigeria,2018,0,0.0,0,34,0,34,0.0,0.174,0.0,0.174
Nigeria,2019,0,0.0,0,18,0,18,0.0,0.09,0.0,0.09
Nigeria,2020,0,0.0,0,8,0,8,0.0,0.039,0.0,0.039
Nigeria,2021,0,0.0,0,415,0,415,0.0,1.963,0.0,1.963
Pakistan,2016,20,0.098,0,1,0,1,0.0,0.005,0.0,0.005
Pakistan,2017,8,0.038,0,0,0,0,0.0,0.0,0.0,0.0
Pakistan,2018,12,0.057,0,0,0,0,0.0,0.0,0.0,0.0
Pakistan,2019,147,0.679,0,22,0,22,0.0,0.102,0.0,0.102
Pakistan,2020,84,0.38,0,135,0,135,0.0,0.611,0.0,0.611
Pakistan,2021,1,0.004,0,8,0,8,0.0,0.036,0.0,0.036
Papua New Guinea,2018,0,0.0,26,0,0,26,3.021,0.0,0.0,3.021
Philippines,2019,0,0.0,2,12,0,14,0.018,0.111,0.0,0.129
Philippines,2020,0,0.0,0,1,0,1,0.0,0.009,0.0,0.009
Senegal,2021,0,0.0,0,17,0,17,0.0,0.989,0.0,0.989
Sierra Leone,2020,0,0.0,0,10,0,10,0.0,1.254,0.0,1.254
Sierra Leone,2021,0,0.0,0,5,0,5,0.0,0.614,0.0,0.614
Somalia,2018,0,0.0,0,65,75,140,0.0,4.331,4.997,9.328
Somalia,2019,0,0.0,0,3,0,3,0.0,0.194,0.0,0.194
Somalia,2020,0,0.0,0,14,0,14,0.0,0.881,0.0,0.881
Somalia,2021,0,0.0,0,1,0,1,0.0,0.061,0.0,0.061
South Sudan,2020,0,0.0,0,50,0,50,0.0,4.467,0.0,4.467
South Sudan,2021,0,0.0,0,9,0,9,0.0,0.791,0.0,0.791
Sudan,2020,0,0.0,0,59,0,59,0.0,1.346,0.0,1.346
Syria,2017,0,0.0,0,74,0,74,0.0,4.329,0.0,4.329
Tajikistan,2020,0,0.0,0,1,0,1,0.0,0.105,0.0,0.105
Tajikistan,2021,0,0.0,0,32,0,32,0.0,3.282,0.0,3.282
Togo,2019,0,0.0,0,8,0,8,0.0,0.99,0.0,0.99
Togo,2020,0,0.0,0,9,0,9,0.0,1.087,0.0,1.087
Ukraine,2021,0,0.0,0,2,0,2,0.0,0.046,0.0,0.046
World,2016,111,0.015,3,2,0,5,0.0,0.0,0.0,0.0
World,2017,66,0.009000000000000001,0,96,0,96,0.0,0.013,0.0,0.013
World,2018,99,0.012,27,71,7,105,0.004,0.009,0.001,0.013999999999999999
World,2019,528,0.069,12,366,0,378,0.002,0.047,0.0,0.049
World,2020,420,0.05399999999999999,34,1079,0,1113,0.004,0.138,0.0,0.14200000000000002
World,2021,18,0.003,16,622,0,638,0.002,0.079,0.0,0.081
Yemen,2019,0,0.0,1,0,0,1,0.034,0.0,0.0,0.034
Yemen,2020,0,0.0,31,0,0,31,1.039,0.0,0.0,1.039
Yemen,2021,0,0.0,3,13,0,16,0.098,0.426,0.0,0.525
Zambia,2019,0,0.0,0,2,0,2,0.0,0.112,0.0,0.112
