position,name,type,isnumeric,format,vallab,varlab
43,mm_mode_fu_EVS5,byte,1,%8.0g,MM_MODE,Mode of data collection (follow-up) (EVS5)
44,mm_v277_fu_EVS5,long,1,%12.0g,MM_V277,Date of interview (follow-up) (EVS5)
45,mm_v278a_fu_r_EVS5,double,1,%12.0g,MM_V278A,Time of the interview -Start (constructed) (follow-up) (EVS5)
46,mm_v279a_fu_r_EVS5,double,1,%12.0g,MM_V279A,Time of the interview -End (constructed) (follow-up) (EVS5)
47,mm_year_fu_EVS5,int,1,%8.0g,MM_YEAR,Survey year (follow-up) (EVS5)
48,A001,byte,1,%20.0g,A001,Important in life: Family
49,A002,byte,1,%20.0g,A002,Important in life: Friends
50,A003,byte,1,%20.0g,A003,Important in life: Leisure time
51,A004,byte,1,%20.0g,A004,Important in life: Politics
52,A005,byte,1,%20.0g,A005,Important in life: Work
53,A006,byte,1,%20.0g,A006,Important in life: Religion
54,A007,byte,1,%20.0g,A007,Service to others important in life
55,A008,byte,1,%19.0g,A008,Feeling of happiness
56,A009,byte,1,%19.0g,A009,State of health (subjective)
57,A010,byte,1,%19.0g,A010,Ever felt very excited or interested
58,A011,byte,1,%19.0g,A011,Ever felt restless
59,A012,byte,1,%19.0g,A012,Ever felt proud because someone complimented you
60,A013,byte,1,%19.0g,A013,Ever felt very lonely or remote from other people
61,A014,byte,1,%19.0g,A014,Ever felt pleased about having accomplished something
62,A015,byte,1,%19.0g,A015,Ever felt bored
63,A016,byte,1,%19.0g,A016,Ever felt on top of the world
64,A017,byte,1,%19.0g,A017,Ever felt depressed or very unhappy
65,A018,byte,1,%19.0g,A018,Ever felt that things were going your way
66,A019,byte,1,%19.0g,A019,Ever felt upset because somebody criticized you
67,A025,byte,1,%19.0g,A025,Respect and love for parents
68,A026,byte,1,%120.0g,A026,Parents responsibilities to their children
69,A027,byte,1,%19.0g,A027,Important child qualities: good manners
70,A029,byte,1,%19.0g,A029,Important child qualities: independence
71,A030,byte,1,%19.0g,A030,Important child qualities: hard work
72,A032,byte,1,%19.0g,A032,Important child qualities: feeling of responsibility
73,A034,byte,1,%19.0g,A034,Important child qualities: imagination
74,A035,byte,1,%19.0g,A035,Important child qualities: tolerance and respect for other people
75,A038,byte,1,%19.0g,A038,Important child qualities: thrift saving money and things
76,A039,byte,1,%19.0g,A039,Important child qualities: determination perseverance
77,A040,byte,1,%19.0g,A040,Important child qualities: religious faith
78,A041,byte,1,%19.0g,A041,Important child qualities: unselfishness
79,A042,byte,1,%19.0g,A042,Important child qualities: obedience
80,A043_01,byte,1,%19.0g,A043_01,Important child qualities: none
81,A046,byte,1,%19.0g,A046,Abortion when the mothers health is at risk
82,A047,byte,1,%19.0g,A047,Abortion when child physically handicapped
83,A048,byte,1,%19.0g,A048,Abortion when woman not married
84,A049,byte,1,%19.0g,A049,Abortion if not wanting more children
85,A058,byte,1,%23.0g,A058,Spend time with friends
86,A059,byte,1,%23.0g,A059,Spend time with colleagues from work
87,A060,byte,1,%23.0g,A060,"Spend time with people at your church, mosque or synagogue"
88,A061,byte,1,%23.0g,A061,"Spend time with people at sport, culture, communal organization"
89,A062,byte,1,%19.0g,A062,How often discusses political matters with friends
90,A063,byte,1,%19.0g,A063,"Persuading friends, relatives or fellow workers"
91,A064,byte,1,%19.0g,A064,"Member: Belong to social welfare service for elderly, handicapped or deprived pe"
92,A065,byte,1,%19.0g,A065,Member: Belong to religious organization
93,A066,byte,1,%19.0g,A066,"Member: Belong to education, arts, music or cultural activities"
94,A067,byte,1,%19.0g,A067,Member: Belong to labour unions
95,A068,byte,1,%19.0g,A068,Member: Belong to political parties
96,A069,byte,1,%19.0g,A069,Member: Belong to local political actions
97,A070,byte,1,%19.0g,A070,Member: Belong to human rights
98,A071,byte,1,%19.0g,A071,"Member: Belong to conservation, the environment, ecology, animal rights"
99,A071B,byte,1,%19.0g,A071B,"Member: Belong to conservation, the environment, ecology"
100,A071C,byte,1,%19.0g,A071C,Member: Belong to animal rights
101,A072,byte,1,%19.0g,A072,Member: Belong to professional associations
102,A073,byte,1,%19.0g,A073,Member: Belong to youth work
103,A074,byte,1,%19.0g,A074,Member: Belong to sports or recreation
104,A075,byte,1,%19.0g,A075,Member: Belong to women´s group
105,A076,byte,1,%19.0g,A076,Member: Belong to peace movement
106,A077,byte,1,%19.0g,A077,Member: Belong to organization concerned with health
107,A078,byte,1,%19.0g,A078,Member: Belong to consumer groups
108,A079,byte,1,%19.0g,A079,Member: Belong to other groups
109,A080,byte,1,%19.0g,A080,Member: Belong to none
110,A080_01,byte,1,%8.0g,LABA,Member: Belong to humanitarian or charitable organization
111,A080_02,byte,1,%8.0g,LABA,"Member:  Belong to self-help group, mutual aid group"
112,A081,byte,1,%19.0g,A081,"Voluntary work: Unpaid work social welfare service for elderly, handicapped or d"
113,A082,byte,1,%19.0g,A082,Voluntary work: Unpaid work religious or church organization
114,A083,byte,1,%19.0g,A083,"Voluntary work: Unpaid work education, arts, music or cultural activities"
115,A084,byte,1,%19.0g,A084,Voluntary work: Unpaid work labour unions
116,A085,byte,1,%19.0g,A085,Voluntary work: Unpaid work political parties or groups
117,A086,byte,1,%19.0g,A086,Voluntary work: Unpaid work local political action groups
118,A087,byte,1,%19.0g,A087,Voluntary work: Unpaid work human rights
119,A088,byte,1,%19.0g,A088,"Voluntary work: Unpaid work environment, conservation, animal rights"
120,A088B,byte,1,%19.0g,A088B,"Voluntary work: Unpaid work environment, conservation, ecology"
121,A088C,byte,1,%19.0g,A088C,Voluntary work: Unpaid work animal rights
122,A089,byte,1,%19.0g,A089,Voluntary work: Unpaid work professional associations
123,A090,byte,1,%19.0g,A090,Voluntary work: Unpaid work youth work
124,A091,byte,1,%19.0g,A091,Voluntary work: Unpaid work sports or recreation
125,A092,byte,1,%19.0g,A092,Voluntary work: Unpaid work women´s group
126,A093,byte,1,%19.0g,A093,Voluntary work: Unpaid work peace movement
127,A094,byte,1,%19.0g,A094,Voluntary work: Unpaid work organization concerned with health
128,A096,byte,1,%19.0g,A096,Voluntary work: Unpaid work other groups
129,A097,byte,1,%19.0g,A097,Voluntary work: Unpaid work none
130,A098,byte,1,%19.0g,A098,Active/Inactive membership of church or religious organization
131,A099,byte,1,%19.0g,A099,Active/Inactive membership of sport or recreation
132,A100,byte,1,%19.0g,A100,"Active/Inactive membership of art, music, educational"
133,A101,byte,1,%19.0g,A101,Active/Inactive membership of labour unions
134,A102,byte,1,%19.0g,A102,Active/Inactive membership of political party
135,A103,byte,1,%19.0g,A103,Active/Inactive membership of environmental organization
136,A104,byte,1,%19.0g,A104,Active/Inactive membership of professional organization
137,A105,byte,1,%19.0g,A105,Active/Inactive membership of charitable/humanitarian organization
138,A106,byte,1,%19.0g,A106,Active/Inactive membership of any other organization
139,A106B,byte,1,%19.0g,A106B,Active/Inactive membership: Consumer organization
140,A106C,byte,1,%19.0g,A106C,"Active/Inactive membership: Self-help group, mutual aid group"
141,A107,byte,1,%19.0g,A107,Reasons voluntary work: Solidarity with the poor and disadvantaged
142,A108,byte,1,%19.0g,A108,Reasons voluntary work: Compassion for those in need
143,A109,byte,1,%19.0g,A109,Reasons voluntary work: Opportunity to repay something
144,A110,byte,1,%19.0g,A110,"Reasons voluntary work: Sense of duty, moral, obligation"
145,A111,byte,1,%19.0g,A111,Reasons voluntary work: Identifying with people who suffer
146,A112,byte,1,%19.0g,A112,Reasons voluntary work: Time on my hands
147,A113,byte,1,%19.0g,A113,Reasons voluntary work: Personal satisfaction
148,A114,byte,1,%19.0g,A114,Reasons voluntary work: Religious belief
149,A115,byte,1,%19.0g,A115,Reasons voluntary work: Help disadvantaged people
150,A116,byte,1,%19.0g,A116,Reasons voluntary work: Make a contribution to my local community
151,A117,byte,1,%19.0g,A117,Reasons voluntary work: Bring about social or political change
152,A118,byte,1,%19.0g,A118,Reasons voluntary work: For social reasons
153,A119,byte,1,%19.0g,A119,Reasons voluntary work: Gain new skills and useful experience
154,A120,byte,1,%19.0g,A120,"Reasons voluntary work: Did not want to, but could not refuse"
155,A124_01,byte,1,%19.0g,A124_01,Neighbours: People with a criminal record
156,A124_02,byte,1,%19.0g,A124_02,Neighbours: People of a different race
157,A124_03,byte,1,%19.0g,A124_03,Neighbours: Heavy drinkers
158,A124_04,byte,1,%19.0g,A124_04,Neighbours: Emotionally unstable people
159,A124_05,byte,1,%19.0g,A124_05,Neighbours: Muslims
160,A124_06,byte,1,%19.0g,A124_06,Neighbours: Immigrants/foreign workers
161,A124_07,byte,1,%19.0g,A124_07,Neighbours: People who have AIDS
162,A124_08,byte,1,%19.0g,A124_08,Neighbours: Drug addicts
163,A124_09,byte,1,%19.0g,A124_09,Neighbours: Homosexuals
164,A124_10,byte,1,%19.0g,A124_10,Neighbours: Jews
165,A124_11,byte,1,%19.0g,A124_11,Neighbours: Evangelists
166,A124_12,byte,1,%19.0g,A124_12,Neighbours: People of a different religion
167,A124_14,byte,1,%19.0g,A124_14,Neighbours: Militant minority
168,A124_16,byte,1,%19.0g,A124_16,Neighbours: People not from country of origin
169,A124_17,byte,1,%19.0g,A124_17,Neighbours: Gypsies
170,A124_18,byte,1,%19.0g,A124_18,Neighbours: Political Extremists
171,A124_19,byte,1,%19.0g,A124_19,Neighbours: Trafficants
172,A124_24,byte,1,%19.0g,A124_24,Neighbours: Christians
173,A124_26,byte,1,%19.0g,A124_26,Neighbours: Left wing extremists
174,A124_27,byte,1,%19.0g,A124_27,Neighbours: Right wing extremists
175,A124_28,byte,1,%19.0g,A124_28,Neighbours: People with large families
176,A124_29,byte,1,%19.0g,A124_29,Neighbours: Hindus
177,A124_30,byte,1,%19.0g,A124_30,Neighbours: North-American persons
178,A124_34,byte,1,%19.0g,A124_34,Neighbours: Black people
179,A124_35,byte,1,%19.0g,A124_35,Neighbours: White people
180,A124_36,byte,1,%19.0g,A124_36,Neighbours: Coloured people
181,A124_37,byte,1,%19.0g,A124_37,Neighbours: Indians
182,A124_38,byte,1,%19.0g,A124_38,"Neighbours: Kurds, Esids"
183,A124_42,byte,1,%22.0g,A124_42,Neighbours: Unmarried couples living together
184,A124_43,byte,1,%22.0g,A124_43,Neighbours: People who speak a different language
185,A124_45,byte,1,%19.0g,A124_45,Neighbours: Sunnis
186,A124_46,byte,1,%19.0g,A124_46,Neighbours: Shia
187,A124_47,byte,1,%19.0g,A124_47,Neighbours: French
188,A124_48,byte,1,%19.0g,A124_48,Neighbours: British
189,A124_49,byte,1,%19.0g,A124_49,Neighbours: Iranian
190,A124_50,byte,1,%19.0g,A124_50,Neighbours: Kuwaiti
191,A124_51,byte,1,%19.0g,A124_51,Neighbours: Turkish
192,A124_52,byte,1,%19.0g,A124_52,Neighbours: Jordanian
193,A165,byte,1,%26.0g,A165,Most people can be trusted
194,A168,byte,1,%20.0g,A168,Do you think most people try to take advantage of you
195,A168A,byte,1,%39.0g,A168A,Do you think most people try to take advantage of you (10-point scale)
196,A169,byte,1,%31.0g,A169,Good human relationships
197,A170,byte,1,%19.0g,A170,Satisfaction with your life
198,A173,byte,1,%19.0g,A173,How much freedom of choice and control
199,A189,byte,1,%19.0g,A189,Schwartz: It is important to this person to think up new ideas and be creative
200,A190,byte,1,%19.0g,A190,Schwartz: It is important to this person to be rich
201,A191,byte,1,%19.0g,A191,Schwartz: It is important to this person living in secure surroundings
202,A192,byte,1,%19.0g,A192,Schwartz: It is important to this person to have a good time
203,A193,byte,1,%19.0g,A193,Schwartz: It is important to this person to help the people nearby
204,A194,byte,1,%19.0g,A194,Schwartz: It is important to this person being very successful
205,A195,byte,1,%19.0g,A195,Schwartz: It is important to this person adventure and taking risks
206,A196,byte,1,%19.0g,A196,Schwartz: It is important to this person to always behave properly
207,A197,byte,1,%19.0g,A197,Schwartz: It is important to this person looking after the environment
208,A198,byte,1,%19.0g,A198,Schwartz: It is important to this person tradition
209,B001,byte,1,%19.0g,B001,Would give part of my income for the environment (4-point scale)
210,B002,byte,1,%19.0g,B002,Increase in taxes if used to prevent environmental pollution
211,B003,byte,1,%19.0g,B003,Government should reduce environmental pollution
212,B005,byte,1,%19.0g,B005,All talk about the environment make people anxious
213,B006,byte,1,%19.0g,B006,"Combatting unemployment, we have to accept environmental problems"
214,B007,byte,1,%19.0g,B007,Protecting environment and fighting pollution is less urgent than suggested
215,B008,byte,1,%32.0g,B008,Protecting environment vs. Economic growth
216,B009,byte,1,%39.0g,B009,Human & nature
217,C001,byte,1,%19.0g,C001,Jobs scarce: Men should have more right to a job than women (3 categories)
218,C001_01,byte,1,%8.0g,LABB,Jobs scarce: Men should have more right to a job than women (5-point scale)
219,C002,byte,1,%19.0g,C002,Jobs scarce: Employers should give priority to (nation) people than immigrants (
220,C002_01,byte,1,%8.0g,LABB,Jobs scarce: Employers should give priority to (nation) people than immigrants (
221,C004,byte,1,%19.0g,C004,Jobs scarce: older people should be forced to retire
222,C005,byte,1,%19.0g,C005,Unfair to give work to handicapped people when able bodied people can´t find job
223,C006,byte,1,%19.0g,C006,Satisfaction with financial situation of household
224,C008,byte,1,%51.0g,C008,Work compared with Leisure
225,C009,byte,1,%28.0g,C009,"First choice, if looking for a job"
226,C010,byte,1,%28.0g,C010,Second choice if looking for a job
227,C011,byte,1,%19.0g,C011,Important in a job: good pay
228,C012,byte,1,%19.0g,C012,Important in a job: not too much pressure
229,C013,byte,1,%19.0g,C013,Important in a job: good job security
230,C014,byte,1,%19.0g,C014,Important in a job: a respected job
231,C015,byte,1,%19.0g,C015,Important in a job: good hours
232,C016,byte,1,%19.0g,C016,Important in a job: an opportunity to use initiative
233,C017,byte,1,%19.0g,C017,Important in a job: generous holidays
234,C018,byte,1,%19.0g,C018,Important in a job: that you can achieve something
235,C019,byte,1,%19.0g,C019,Important in a job: a responsible job
236,C020,byte,1,%19.0g,C020,Important in a job: a job that is interesting
237,C021,byte,1,%19.0g,C021,Important in a job: a job that meets one´s abilities
238,C022,byte,1,%19.0g,C022,Important in a job: pleasant people to work with
239,C023,byte,1,%19.0g,C023,Important in a job: good chances for promotion
240,C024,byte,1,%19.0g,C024,Important in a job: a useful job for society
241,C025,byte,1,%19.0g,C025,Important in a job: meeting people
242,C027_90,byte,1,%19.0g,C027_90,Important in a job: none of these
243,C029,byte,1,%19.0g,C029,Employed
244,C031,byte,1,%19.0g,C031,Degree of pride in your work
245,C033,byte,1,%19.0g,C033,Job satisfaction
246,C034,byte,1,%19.0g,C034,Freedom decision taking in job
247,C036,byte,1,%26.0g,C036,To develop talents you need to have a job
248,C037,byte,1,%26.0g,C037,Humiliating to receive money without having to work for it
249,C038,byte,1,%26.0g,C038,People who don´t work turn lazy
250,C039,byte,1,%26.0g,C039,Work is a duty towards society
251,C040,byte,1,%26.0g,C040,People should not have to work if they don´t want to
252,C041,byte,1,%26.0g,C041,Work should come first even if it means less spare time
253,C042B1,byte,1,%19.0g,C042B1,Why people work: work is like a business transaction
254,C042B2,byte,1,%19.0g,C042B2,Why people work: I do the best I can regardless of pay
255,C042B3,byte,1,%19.0g,C042B3,Why people work: I wouldn’t work if I didn’t have to
256,C042B4,byte,1,%19.0g,C042B4,Why people work: I wouldn´t work if work interfered my life
257,C042B5,byte,1,%19.0g,C042B5,Why people work: work most important in my life
258,C042B6,byte,1,%19.0g,C042B6,Why people work: I never had a paid job
259,C042B7,byte,1,%19.0g,C042B7,Why people work: don’t know
260,C059,byte,1,%19.0g,C059,Fairness: One secretary is paid more
261,C060,byte,1,%53.0g,C060,How business and industry should be managed
262,C061,byte,1,%23.0g,C061,Following instructions at work
263,D001,byte,1,%31.0g,D001,How much do you trust your family (5-point scale)
264,D001_B,byte,1,%22.0g,D001_B,How much do you trust your family (4-point scale)
265,D002,byte,1,%19.0g,D002,Satisfaction with home life
266,D003,byte,1,%19.0g,D003,Sharing with partner: attitudes towards religion
267,D004,byte,1,%19.0g,D004,Sharing with partner: moral standards
268,D005,byte,1,%19.0g,D005,Sharing with partner: social attitudes
269,D006,byte,1,%19.0g,D006,Sharing with partner: political views
270,D007,byte,1,%19.0g,D007,Sharing with partner: sexual attitudes
271,D008,byte,1,%19.0g,D008,Sharing with partner: no sharing attitudes
272,D009,byte,1,%19.0g,D009,Sharing with partner: don´t know or missing
273,D010,byte,1,%19.0g,D010,Sharing with parents: attitudes towards religion
274,D011,byte,1,%19.0g,D011,Sharing with parents: moral standards
275,D012,byte,1,%19.0g,D012,Sharing with parents: social attitudes
276,D013,byte,1,%19.0g,D013,Sharing with parents: political views
277,D014,byte,1,%19.0g,D014,Sharing with parents: sexual attitudes
278,D015,byte,1,%19.0g,D015,Sharing with parents: no sharing attitudes
279,D016,byte,1,%19.0g,D016,Sharing with parents: don´t know or missing
280,D017,byte,1,%19.0g,D017,Ideal number of children
281,D018,byte,1,%19.0g,D018,Child needs a home with father and mother
282,D019,byte,1,%19.0g,D019,A woman has to have children to be fulfilled
283,D020,byte,1,%26.0g,D020,A man has to have children to be fulfilled
284,D022,byte,1,%19.0g,D022,Marriage is an out-dated institution
285,D023,byte,1,%19.0g,D023,Woman as a single parent
286,D024,byte,1,%19.0g,D024,Enjoy sexual freedom
287,D026,byte,1,%26.0g,D026,Long-term relationship is necessary to be happy
288,D026_03,byte,1,%19.0g,D026_03,Duty towards society to have children
289,D026_05,byte,1,%19.0g,D026_05,It is childs duty to take care of ill parent
290,D027,byte,1,%19.0g,D027,Important for successful marriage: Faithfulness
291,D028,byte,1,%19.0g,D028,Important for successful marriage: Adequate income
292,D029,byte,1,%19.0g,D029,Important for successful marriage: Same social background
293,D030,byte,1,%19.0g,D030,Important for successful marriage: Respect and appreciation
294,D031,byte,1,%19.0g,D031,Important for successful marriage: Religious beliefs
295,D032,byte,1,%19.0g,D032,Important for successful marriage: Good housing
296,D033,byte,1,%19.0g,D033,Important for successful marriage: Agreement on politics
297,D034,byte,1,%19.0g,D034,Important for successful marriage: Understanding and tolerance
298,D035,byte,1,%19.0g,D035,Important for successful marriage: Apart from in-laws
299,D036,byte,1,%19.0g,D036,Important for successful marriage: Happy sexual relationship
300,D037,byte,1,%19.0g,D037,Important for successful marriage: Sharing household chores
301,D038,byte,1,%19.0g,D038,Important for successful marriage: Children
302,D039,byte,1,%19.0g,D039,Important for successful marriage: Discussing problems
303,D043,byte,1,%19.0g,D043,Important for successful marriage: Tastes and interests in common
304,D043_01,byte,1,%19.0g,D043_01,Important for successful marriage: Time for friends and personal hobbies
305,D054,byte,1,%19.0g,D054,One of main goals in life has been to make my parents proud
306,D055,byte,1,%19.0g,D055,Make effort to live up to what my friends expect
307,D056,byte,1,%19.0g,D056,Relationship working mother
308,D057,byte,1,%19.0g,D057,Being a housewife just as fulfilling
309,D058,byte,1,%19.0g,D058,Husband and wife should both contribute to income
310,D059,byte,1,%19.0g,D059,Men make better political leaders than women do
311,D060,byte,1,%19.0g,D060,University is more important for a boy than for a girl
312,D061,byte,1,%19.0g,D061,Pre-school child suffers with working mother
313,D062,byte,1,%19.0g,D062,Women want a home and children
314,D063,byte,1,%19.0g,D063,Job best way for women to be independent (4 categories)
315,D064,byte,1,%19.0g,D064,Fathers are well suited for looking after children
316,D066_B,byte,1,%19.0g,D066_B,Problem if women have more income than husband (3 categories)
317,D078,byte,1,%19.0g,D078,Men make better business executives than women do
318,D081,byte,1,%26.0g,D081,Homosexual couples are as good parents as other couples
319,E001,byte,1,%56.0g,E001,Aims of country: first choice
320,E002,byte,1,%56.0g,E002,Aims of country: second choice
321,E003,byte,1,%31.0g,E003,Aims of respondent: first choice
322,E004,byte,1,%31.0g,E004,Aims of respondent: second choice
323,E005,byte,1,%58.0g,E005,Most important: first choice
324,E006,byte,1,%58.0g,E006,Most important: second choice
325,E012,byte,1,%19.0g,E012,Willingness to fight for country
326,E014,byte,1,%19.0g,E014,Future changes: Less emphasis on money and material possessions
327,E015,byte,1,%19.0g,E015,Future changes: Less importance placed on work
328,E016,byte,1,%19.0g,E016,Future changes: More emphasis on technology
329,E017,byte,1,%19.0g,E017,Future changes: More emphasis on individual
330,E018,byte,1,%19.0g,E018,Future changes: Greater respect for authority
331,E019,byte,1,%19.0g,E019,Future changes: More emphasis on family life
332,E020,byte,1,%19.0g,E020,Future changes: A simple and more natural lifestyle
333,E022,byte,1,%19.0g,E022,Opinion about scientific advances
334,E023,byte,1,%21.0g,E023,Interest in politics
335,E025,byte,1,%19.0g,E025,Political action: signing a petition
336,E025B,byte,1,%19.0g,E025B,Political action recently done: signing a petition
337,E026,byte,1,%19.0g,E026,Political action: joining in boycotts
338,E026B,byte,1,%19.0g,E026B,Political action recently done: joining in boycotts
339,E027,byte,1,%19.0g,E027,Political action: attending lawful/peaceful demonstrations
340,E028,byte,1,%19.0g,E028,Political action: joining unofficial strikes
341,E029,byte,1,%19.0g,E029,Political action: occupying buildings or factories
342,E032,byte,1,%22.0g,E032,Freedom or equality
343,E033,byte,1,%19.0g,E033,Self positioning in political scale
344,E034,byte,1,%45.0g,E034,Basic kinds of attitudes concerning society
345,E035,byte,1,%47.0g,E035,Income equality
346,E036,byte,1,%52.0g,E036,Private vs state ownership of business
347,E037,byte,1,%46.0g,E037,Government responsibility
348,E038,byte,1,%39.0g,E038,Job taking of the unemployed
349,E039,byte,1,%22.0g,E039,Competition good or harmful
350,E040,byte,1,%55.0g,E040,Hard work brings success
351,E041,byte,1,%49.0g,E041,Wealth accumulation
352,E042,byte,1,%43.0g,E042,Firms and freedom
353,E045,byte,1,%50.0g,E045,Major changes in life
354,E046,byte,1,%48.0g,E046,New and old ideas
355,E047,byte,1,%55.0g,E047,"Personal characteristics: changes, worry or welcome possibility"
356,E048,byte,1,%19.0g,E048,Personal characteristics: I usually count on being successful in everything I do
357,E049,byte,1,%19.0g,E049,Personal characteristics: I enjoy convincing others of my opinion
358,E050,byte,1,%19.0g,E050,Personal characteristics: I serve as a model for others
359,E051,byte,1,%19.0g,E051,Personal characteristics: I am good at getting what I want
360,E052,byte,1,%19.0g,E052,Personal characteristics: I own many things others envy me for
361,E053,byte,1,%19.0g,E053,Personal characteristics: I like to assume responsibility
362,E054,byte,1,%19.0g,E054,Personal characteristics: I am rarely unsure about how I should behave
363,E055,byte,1,%19.0g,E055,Personal characteristics: I often give others advice
364,E056,byte,1,%19.0g,E056,Personal characteristics: none of the above
365,E057,byte,1,%26.0g,E057,The economic system needs fundamental changes
366,E058,byte,1,%26.0g,E058,Our government should be made much more open to the public
367,E059,byte,1,%26.0g,E059,Allow more freedom for individuals
368,E060,byte,1,%26.0g,E060,I could do nothing about an unjust law
369,E061,byte,1,%26.0g,E061,Political reform is moving too rapidly
370,E069_01,byte,1,%19.0g,E069_01,Confidence: Churches
371,E069_02,byte,1,%19.0g,E069_02,Confidence: Armed Forces
372,E069_03,byte,1,%19.0g,E069_03,Confidence: Education System
373,E069_04,byte,1,%19.0g,E069_04,Confidence: The Press
374,E069_05,byte,1,%19.0g,E069_05,Confidence: Labour Unions
375,E069_06,byte,1,%19.0g,E069_06,Confidence: The Police
376,E069_07,byte,1,%19.0g,E069_07,Confidence: Parliament
377,E069_08,byte,1,%19.0g,E069_08,Confidence: The Civil Services
378,E069_09,byte,1,%19.0g,E069_09,Confidence: Social Security System
379,E069_10,byte,1,%19.0g,E069_10,Confidence: Television
380,E069_11,byte,1,%19.0g,E069_11,Confidence: The Government
381,E069_12,byte,1,%19.0g,E069_12,Confidence: The Political Parties
382,E069_13,byte,1,%19.0g,E069_13,Confidence: Major Companies
383,E069_14,byte,1,%19.0g,E069_14,Confidence: The Environmental Protection Movement
384,E069_15,byte,1,%19.0g,E069_15,Confidence: The Women´s Movement
385,E069_16,byte,1,%19.0g,E069_16,Confidence: Health Care System
386,E069_17,byte,1,%19.0g,E069_17,Confidence: Justice System/Courts
387,E069_18,byte,1,%19.0g,E069_18,Confidence: The European Union
388,E069_18A,byte,1,%19.0g,E069_18A,Confidence: Major regional organization (combined from country-specific)
389,E069_19,byte,1,%19.0g,E069_19,Confidence: NATO
390,E069_20,byte,1,%19.0g,E069_20,Confidence: The United Nations
391,E069_21,byte,1,%19.0g,E069_21,Confidence: The Arab League
392,E069_22,byte,1,%19.0g,E069_22,Confidence: The Association of South East Asian Nations -ASEAN
393,E069_23,byte,1,%19.0g,E069_23,Confidence: The Organization for African Unity-OAU
394,E069_24,byte,1,%19.0g,E069_24,Confidence: The NAFTA
395,E069_25,byte,1,%19.0g,E069_25,Confidence: The Andean pact
396,E069_26,byte,1,%19.0g,E069_26,Confidence: The Mercosur
397,E069_27,byte,1,%19.0g,E069_27,Confidence: The SAARC
398,E069_29,byte,1,%19.0g,E069_29,Confidence: The APEC
399,E069_30,byte,1,%19.0g,E069_30,Confidence: The Free Commerce Treaty (Tratado de libre comercio)
400,E069_31,byte,1,%19.0g,E069_31,Confidence: The United American States Organization (Organización de Estados Un
401,E069_33,byte,1,%19.0g,E069_33,Confidence: Local/Regional Government
402,E069_40,byte,1,%19.0g,E069_40,Confidence: Charitable or humanitarian organizations
403,E069_41,byte,1,%19.0g,E069_41,Confidence: Banks
404,E069_42,byte,1,%19.0g,E069_42,Confidence: CARICOM
405,E069_43,byte,1,%19.0g,E069_43,Confidence: CIS
406,E069_44,byte,1,%19.0g,E069_44,Confidence: Confidence in CER with Australia
407,E069_45,byte,1,%19.0g,E069_45,Confidence: International Monetary Found (IMF)
408,E069_54,byte,1,%19.0g,E069_54,Confidence: Universities
409,E069_55,byte,1,%19.0g,E069_55,Confidence: The Organization of the Islamic World
410,E069_56,byte,1,%19.0g,E069_56,Confidence: The Organization of American States (OAE)
411,E069_59,byte,1,%19.0g,E069_59,Confidence: Cooperation Council for the Arab states of Gulf (GCC)
412,E104,byte,1,%19.0g,E104,Approval: Ecology movement or nature protection
