lname,value,label
A007,-1,Don´t know
A007,1,Very important
A007,2,Rather important
A007,3,Not very important
A007,4,Not at all important
A007,.a,Don't know
A007,.b,No answer
A007,.c,Not applicable
A007,.d,Not asked in survey
A007,.e,Missing: other
A008,-5,Missing: Other
A008,-4,Not asked in survey
A008,-3,Not applicable
A008,-2,No answer
A008,-1,Don´t know
A008,1,Very happy
A008,2,Quite happy
A008,3,Not very happy
A008,4,Not at all happy
A008,.a,Don't know
A008,.b,No answer
A008,.c,Not applicable
A008,.d,Not asked in survey
A008,.e,Missing: other
A009,-5,Missing: Other
A009,-4,Not asked in survey
A009,-3,Not applicable
A009,-2,No answer
A009,-1,Don´t know
A009,1,Very good
A009,2,Good
A009,3,Fair
A009,4,Poor
A009,5,Very poor
A009,.a,Don't know
A009,.b,No answer
A009,.c,Not applicable
A009,.d,Not asked in survey
A009,.e,Missing: other
A010,-5,Missing: Other
A010,-4,Not asked in survey
A010,-3,Not applicable
A010,-2,No answer
A010,-1,Don´t know
A010,0,No
A010,1,Yes
A010,.a,Don't know
A010,.b,No answer
A010,.c,Not applicable
A010,.d,Not asked in survey
A010,.e,Missing: other
A011,-5,Missing: Other
A011,-4,Not asked in survey
A011,-3,Not applicable
A011,-2,No answer
A011,-1,Don´t know
A011,0,No
A011,1,Yes
A011,.a,Don't know
A011,.b,No answer
A011,.c,Not applicable
A011,.d,Not asked in survey
A011,.e,Missing: other
A012,-5,Missing: Other
A012,-4,Not asked in survey
A012,-3,Not applicable
A012,-2,No answer
A012,-1,Don´t know
A012,0,No
A012,1,Yes
A012,.a,Don't know
A012,.b,No answer
A012,.c,Not applicable
A012,.d,Not asked in survey
A012,.e,Missing: other
A013,-5,Missing: Other
A013,-4,Not asked in survey
A013,-3,Not applicable
A013,-2,No answer
A013,-1,Don´t know
A013,0,No
A013,1,Yes
A013,.a,Don't know
A013,.b,No answer
A013,.c,Not applicable
A013,.d,Not asked in survey
A013,.e,Missing: other
A014,-5,Missing: Other
A014,-4,Not asked in survey
A014,-3,Not applicable
A014,-2,No answer
A014,-1,Don´t know
A014,0,No
A014,1,Yes
A014,.a,Don't know
A014,.b,No answer
A014,.c,Not applicable
A014,.d,Not asked in survey
A014,.e,Missing: other
A015,-5,Missing: Other
A015,-4,Not asked in survey
A015,-3,Not applicable
A015,-2,No answer
A015,-1,Don´t know
A015,0,No
A015,1,Yes
A015,.a,Don't know
A015,.b,No answer
A015,.c,Not applicable
A015,.d,Not asked in survey
A015,.e,Missing: other
A016,-5,Missing: Other
A016,-4,Not asked in survey
A016,-3,Not applicable
A016,-2,No answer
A016,-1,Don´t know
A016,0,No
A016,1,Yes
A016,.a,Don't know
A016,.b,No answer
A016,.c,Not applicable
A016,.d,Not asked in survey
A016,.e,Missing: other
A017,-5,Missing: Other
A017,-4,Not asked in survey
A017,-3,Not applicable
A017,-2,No answer
A017,-1,Don´t know
A017,0,No
A017,1,Yes
A017,.a,Don't know
A017,.b,No answer
A017,.c,Not applicable
A017,.d,Not asked in survey
A017,.e,Missing: other
A018,-5,Missing: Other
A018,-4,Not asked in survey
A018,-3,Not applicable
A018,-2,No answer
A018,-1,Don´t know
A018,0,No
A018,1,Yes
A018,.a,Don't know
A018,.b,No answer
A018,.c,Not applicable
A018,.d,Not asked in survey
A018,.e,Missing: other
A019,-5,Missing: Other
A019,-4,Not asked in survey
A019,-3,Not applicable
A019,-2,No answer
A019,-1,Don´t know
A019,0,No
A019,1,Yes
A019,.a,Don't know
A019,.b,No answer
A019,.c,Not applicable
A019,.d,Not asked in survey
A019,.e,Missing: other
A025,-5,Missing: Other
A025,-4,Not asked in survey
A025,-3,Not applicable
A025,-2,No answer
A025,-1,Don´t know
A025,1,Always respect
A025,2,Respect if earned
A025,3,Neither
A025,.a,Don't know
A025,.b,No answer
A025,.c,Not applicable
A025,.d,Not asked in survey
A025,.e,Missing: other
A026,-5,Missing: Other
A026,-4,Not asked in survey
A026,-3,Not applicable
A026,-2,No answer
A026,-1,Don´t know
A026,1,Parents' duty is to do their best for their children even at the expense of their own well-being
A026,2,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their childre
A026,3,Neither
A026,.a,Don't know
A026,.b,No answer
A026,.c,Not applicable
A026,.d,Not asked in survey
A026,.e,Missing: other
A027,-5,Missing: Other
A027,-4,Not asked in survey
A027,-3,Not applicable
A027,-2,No answer
A027,-1,Don´t know
A027,0,Not mentioned
A027,1,Important
A027,.a,Don't know
A027,.b,No answer
A027,.c,Not applicable
A027,.d,Not asked in survey
A027,.e,Missing: other
A029,-5,Missing: Other
A029,-4,Not asked in survey
A029,-3,Not applicable
A029,-2,No answer
A029,-1,Don´t know
A029,0,Not mentioned
A029,1,Important
A029,.a,Don't know
A029,.b,No answer
A029,.c,Not applicable
A029,.d,Not asked in survey
A029,.e,Missing: other
A030,-5,Missing: Other
A030,-4,Not asked in survey
A030,-3,Not applicable
A030,-2,No answer
A030,-1,Don´t know
A030,0,Not mentioned
A030,1,Important
A030,.a,Don't know
A030,.b,No answer
A030,.c,Not applicable
A030,.d,Not asked in survey
A030,.e,Missing: other
A032,-5,Missing: Other
A032,-4,Not asked in survey
A032,-3,Not applicable
A032,-2,No answer
A032,-1,Don´t know
A032,0,Not mentioned
A032,1,Important
A032,.a,Don't know
A032,.b,No answer
A032,.c,Not applicable
A032,.d,Not asked in survey
A032,.e,Missing: other
A034,-5,Missing: Other
A034,-4,Not asked in survey
A034,-3,Not applicable
A034,-2,No answer
A034,-1,Don´t know
A034,0,Not mentioned
A034,1,Important
A034,.a,Don't know
A034,.b,No answer
A034,.c,Not applicable
A034,.d,Not asked in survey
A034,.e,Missing: other
A035,-5,Missing: Other
A035,-4,Not asked in survey
A035,-3,Not applicable
A035,-2,No answer
A035,-1,Don´t know
A035,0,Not mentioned
A035,1,Important
A035,.a,Don't know
A035,.b,No answer
A035,.c,Not applicable
A035,.d,Not asked in survey
A035,.e,Missing: other
A038,-5,Missing: Other
A038,-4,Not asked in survey
A038,-3,Not applicable
A038,-2,No answer
A038,-1,Don´t know
A038,0,Not mentioned
A038,1,Important
A038,.a,Don't know
A038,.b,No answer
A038,.c,Not applicable
A038,.d,Not asked in survey
A038,.e,Missing: other
A039,-5,Missing: Other
A039,-4,Not asked in survey
A039,-3,Not applicable
A039,-2,No answer
A039,-1,Don´t know
A039,0,Not mentioned
A039,1,Important
A039,.a,Don't know
A039,.b,No answer
A039,.c,Not applicable
A039,.d,Not asked in survey
A039,.e,Missing: other
A040,-5,Missing: Other
A040,-4,Not asked in survey
A040,-3,Not applicable
A040,-2,No answer
A040,-1,Don´t know
A040,0,Not mentioned
A040,1,Important
A040,.a,Don't know
A040,.b,No answer
A040,.c,Not applicable
A040,.d,Not asked in survey
A040,.e,Missing: other
A041,-5,Missing: Other
A041,-4,Not asked in survey
A041,-3,Not applicable
A041,-2,No answer
A041,-1,Don´t know
A041,0,Not mentioned
A041,1,Important
A041,.a,Don't know
A041,.b,No answer
A041,.c,Not applicable
A041,.d,Not asked in survey
A041,.e,Missing: other
A042,-5,Missing: Other
A042,-4,Not asked in survey
A042,-3,Not applicable
A042,-2,No answer
A042,-1,Don´t know
A042,0,Not mentioned
A042,1,Important
A042,.a,Don't know
A042,.b,No answer
A042,.c,Not applicable
A042,.d,Not asked in survey
A042,.e,Missing: other
A043_01,-5,Missing: Other
A043_01,-4,Not asked in survey
A043_01,-3,Not applicable
A043_01,-2,No answer
A043_01,-1,Don´t know
A043_01,0,Not mentioned
A043_01,1,Mentioned
A043_01,.a,Don't know
A043_01,.b,No answer
A043_01,.c,Not applicable
A043_01,.d,Not asked in survey
A043_01,.e,Missing: other
A046,-5,Missing: Other
A046,-4,Not asked in survey
A046,-3,Not applicable
A046,-2,No answer
A046,-1,Don´t know
A046,0,Disapprove
A046,1,Approve
A046,.a,Don't know
A046,.b,No answer
A046,.c,Not applicable
A046,.d,Not asked in survey
A046,.e,Missing: other
A047,-5,Missing: Other
A047,-4,Not asked in survey
A047,-3,Not applicable
A047,-2,No answer
A047,-1,Don´t know
A047,0,Disapprove
A047,1,Approve
A047,.a,Don't know
A047,.b,No answer
A047,.c,Not applicable
A047,.d,Not asked in survey
A047,.e,Missing: other
A048,-5,Missing: Other
A048,-4,Not asked in survey
A048,-3,Not applicable
A048,-2,No answer
A048,-1,Don´t know
A048,0,Disapprove
A048,1,Approve
A048,.a,Don't know
A048,.b,No answer
A048,.c,Not applicable
A048,.d,Not asked in survey
A048,.e,Missing: other
A049,-5,Missing: Other
A049,-4,Not asked in survey
A049,-3,Not applicable
A049,-2,No answer
A049,-1,Don´t know
A049,0,Disapprove
A049,1,Approve
A049,.a,Don't know
A049,.b,No answer
A049,.c,Not applicable
A049,.d,Not asked in survey
A049,.e,Missing: other
A058,-5,Missing: Other
A058,-4,Not asked in survey
A058,-3,Not applicable
A058,-2,No answer
A058,-1,Don´t know
A058,1,Weekly
A058,2,Once or twice a month
A058,3,Only a few times a year
A058,4,Not at all
A058,.a,Don't know
A058,.b,No answer
A058,.c,Not applicable
A058,.d,Not asked in survey
A058,.e,Missing: other
A059,-5,Missing: Other
A059,-4,Not asked in survey
A059,-3,Not applicable
A059,-2,No answer
A059,-1,Don´t know
A059,1,Weekly
A059,2,Once or twice a month
A059,3,Only a few times a year
A059,4,Not at all
A059,.a,Don't know
A059,.b,No answer
A059,.c,Not applicable
A059,.d,Not asked in survey
A059,.e,Missing: other
A060,-5,Missing: Other
A060,-4,Not asked in survey
A060,-3,Not applicable
A060,-2,No answer
A060,-1,Don´t know
A060,1,Weekly
A060,2,Once or twice a month
A060,3,Only a few times a year
A060,4,Not at all
A060,.a,Don't know
A060,.b,No answer
A060,.c,Not applicable
A060,.d,Not asked in survey
A060,.e,Missing: other
A061,-5,Missing: Other
A061,-4,Not asked in survey
A061,-3,Not applicable
A061,-2,No answer
A061,-1,Don´t know
A061,1,Weekly
A061,2,Once or twice a month
A061,3,Only a few times a year
A061,4,Not at all
A061,.a,Don't know
A061,.b,No answer
A061,.c,Not applicable
A061,.d,Not asked in survey
A061,.e,Missing: other
A062,-5,Missing: Other
A062,-4,Not asked in survey
A062,-3,Not applicable
A062,-2,No answer
A062,-1,Don´t know
A062,1,Frequently
A062,2,Occasionally
A062,3,Never
A062,.a,Don't know
A062,.b,No answer
A062,.c,Not applicable
A062,.d,Not asked in survey
A062,.e,Missing: other
A063,-5,Missing: Other
A063,-4,Not asked in survey
A063,-3,Not applicable
A063,-2,No answer
A063,-1,Don´t know
A063,1,Often
A063,2,From time to time
A063,3,Rarely
A063,4,Never
A063,.a,Don't know
A063,.b,No answer
A063,.c,Not applicable
A063,.d,Not asked in survey
A063,.e,Missing: other
A064,-5,Missing: Other
A064,-4,Not asked in survey
A064,-3,Not applicable
A064,-2,No answer
A064,-1,Don´t know
A064,0,Not mentioned
A064,1,Mentioned
A064,.a,Don't know
A064,.b,No answer
A064,.c,Not applicable
A064,.d,Not asked in survey
A064,.e,Missing: other
A065,-5,Missing: Other
A065,-4,Not asked in survey
A065,-3,Not applicable
A065,-2,No answer
A065,-1,Don´t know
A065,0,Not mentioned
A065,1,Mentioned
A065,.a,Don't know
A065,.b,No answer
A065,.c,Not applicable
A065,.d,Not asked in survey
A065,.e,Missing: other
A066,-5,Missing: Other
A066,-4,Not asked in survey
A066,-3,Not applicable
A066,-2,No answer
A066,-1,Don´t know
A066,0,Not mentioned
A066,1,Mentioned
A066,.a,Don't know
A066,.b,No answer
A066,.c,Not applicable
A066,.d,Not asked in survey
A066,.e,Missing: other
A067,-5,Missing: Other
A067,-4,Not asked in survey
A067,-3,Not applicable
A067,-2,No answer
A067,-1,Don´t know
A067,0,Not mentioned
A067,1,Mentioned
A067,.a,Don't know
A067,.b,No answer
A067,.c,Not applicable
A067,.d,Not asked in survey
A067,.e,Missing: other
A068,-5,Missing: Other
A068,-4,Not asked in survey
A068,-3,Not applicable
A068,-2,No answer
A068,-1,Don´t know
A068,0,Not mentioned
A068,1,Mentioned
A068,.a,Don't know
A068,.b,No answer
A068,.c,Not applicable
A068,.d,Not asked in survey
A068,.e,Missing: other
A069,-5,Missing: Other
A069,-4,Not asked in survey
A069,-3,Not applicable
A069,-2,No answer
A069,-1,Don´t know
A069,0,Not mentioned
A069,1,Mentioned
A069,.a,Don't know
A069,.b,No answer
A069,.c,Not applicable
A069,.d,Not asked in survey
A069,.e,Missing: other
A070,-5,Missing: Other
A070,-4,Not asked in survey
A070,-3,Not applicable
A070,-2,No answer
A070,-1,Don´t know
A070,0,Not mentioned
A070,1,Mentioned
A070,.a,Don't know
A070,.b,No answer
A070,.c,Not applicable
A070,.d,Not asked in survey
A070,.e,Missing: other
A071,-5,Missing: Other
A071,-4,Not asked in survey
A071,-3,Not applicable
A071,-2,No answer
A071,-1,Don´t know
A071,0,Not mentioned
A071,1,Mentioned
A071,.a,Don't know
A071,.b,No answer
A071,.c,Not applicable
A071,.d,Not asked in survey
A071,.e,Missing: other
A071B,-5,Missing: Other
A071B,-4,Not asked in survey
A071B,-3,Not applicable
A071B,-2,No answer
A071B,-1,Don´t know
A071B,0,Not mentioned
A071B,1,Mentioned
A071B,.a,Don't know
A071B,.b,No answer
A071B,.c,Not applicable
A071B,.d,Not asked in survey
A071B,.e,Missing: other
A071C,-5,Missing: Other
A071C,-4,Not asked in survey
A071C,-3,Not applicable
A071C,-2,No answer
A071C,-1,Don´t know
A071C,0,Not mentioned
A071C,1,Mentioned
A071C,.a,Don't know
A071C,.b,No answer
A071C,.c,Not applicable
A071C,.d,Not asked in survey
A071C,.e,Missing: other
A072,-5,Missing: Other
A072,-4,Not asked in survey
A072,-3,Not applicable
A072,-2,No answer
A072,-1,Don´t know
A072,0,Not mentioned
A072,1,Mentioned
A072,.a,Don't know
A072,.b,No answer
A072,.c,Not applicable
A072,.d,Not asked in survey
A072,.e,Missing: other
A073,-5,Missing: Other
A073,-4,Not asked in survey
A073,-3,Not applicable
A073,-2,No answer
A073,-1,Don´t know
A073,0,Not mentioned
A073,1,Mentioned
A073,.a,Don't know
A073,.b,No answer
A073,.c,Not applicable
A073,.d,Not asked in survey
A073,.e,Missing: other
A074,-5,Missing: Other
A074,-4,Not asked in survey
A074,-3,Not applicable
A074,-2,No answer
A074,-1,Don´t know
A074,0,Not mentioned
A074,1,Mentioned
A074,.a,Don't know
A074,.b,No answer
A074,.c,Not applicable
A074,.d,Not asked in survey
A074,.e,Missing: other
A075,-5,Missing: Other
A075,-4,Not asked in survey
A075,-3,Not applicable
A075,-2,No answer
A075,-1,Don´t know
A075,0,Not mentioned
A075,1,Mentioned
A075,.a,Don't know
A075,.b,No answer
A075,.c,Not applicable
A075,.d,Not asked in survey
A075,.e,Missing: other
A076,-5,Missing: Other
A076,-4,Not asked in survey
A076,-3,Not applicable
A076,-2,No answer
A076,-1,Don´t know
A076,0,Not mentioned
A076,1,Mentioned
A076,.a,Don't know
A076,.b,No answer
A076,.c,Not applicable
A076,.d,Not asked in survey
A076,.e,Missing: other
A077,-5,Missing: Other
A077,-4,Not asked in survey
A077,-3,Not applicable
A077,-2,No answer
A077,-1,Don´t know
A077,0,Not mentioned
A077,1,Mentioned
A077,.a,Don't know
A077,.b,No answer
A077,.c,Not applicable
A077,.d,Not asked in survey
A077,.e,Missing: other
A078,-5,Missing: Other
A078,-4,Not asked in survey
A078,-3,Not applicable
A078,-2,No answer
A078,-1,Don´t know
A078,0,Not mentioned
A078,1,Mentioned
A078,.a,Don't know
A078,.b,No answer
A078,.c,Not applicable
A078,.d,Not asked in survey
A078,.e,Missing: other
A079,-5,Missing: Other
A079,-4,Not asked in survey
A079,-3,Not applicable
A079,-2,No answer
A079,-1,Don´t know
A079,0,Not mentioned
A079,1,Mentioned
A079,.a,Don't know
A079,.b,No answer
A079,.c,Not applicable
A079,.d,Not asked in survey
A079,.e,Missing: other
A080,-5,Missing: Other
A080,-4,Not asked in survey
A080,-3,Not applicable
A080,-2,No answer
A080,-1,Don´t know
A080,0,Not mentioned
A080,1,Mentioned
A080,.a,Don't know
A080,.b,No answer
A080,.c,Not applicable
A080,.d,Not asked in survey
A080,.e,Missing: other
A081,-5,Missing: Other
A081,-4,Not asked in survey
A081,-3,Not applicable
A081,-2,No answer
A081,-1,Don´t know
A081,0,Not mentioned
A081,1,Mentioned
A081,.a,Don't know
A081,.b,No answer
A081,.c,Not applicable
A081,.d,Not asked in survey
A081,.e,Missing: other
A082,-5,Missing: Other
A082,-4,Not asked in survey
A082,-3,Not applicable
A082,-2,No answer
A082,-1,Don´t know
A082,0,Not mentioned
A082,1,Mentioned
A082,.a,Don't know
A082,.b,No answer
A082,.c,Not applicable
A082,.d,Not asked in survey
A082,.e,Missing: other
A083,-5,Missing: Other
A083,-4,Not asked in survey
A083,-3,Not applicable
A083,-2,No answer
A083,-1,Don´t know
A083,0,Not mentioned
A083,1,Mentioned
A083,.a,Don't know
A083,.b,No answer
A083,.c,Not applicable
A083,.d,Not asked in survey
A083,.e,Missing: other
A084,-5,Missing: Other
A084,-4,Not asked in survey
A084,-3,Not applicable
A084,-2,No answer
A084,-1,Don´t know
A084,0,Not mentioned
A084,1,Mentioned
A084,.a,Don't know
A084,.b,No answer
A084,.c,Not applicable
A084,.d,Not asked in survey
A084,.e,Missing: other
A085,-5,Missing: Other
A085,-4,Not asked in survey
A085,-3,Not applicable
A085,-2,No answer
A085,-1,Don´t know
A085,0,Not mentioned
A085,1,Mentioned
A085,.a,Don't know
A085,.b,No answer
A085,.c,Not applicable
A085,.d,Not asked in survey
A085,.e,Missing: other
A086,-5,Missing: Other
A086,-4,Not asked in survey
A086,-3,Not applicable
A086,-2,No answer
A086,-1,Don´t know
A086,0,Not mentioned
A086,1,Mentioned
A086,.a,Don't know
A086,.b,No answer
A086,.c,Not applicable
A086,.d,Not asked in survey
A086,.e,Missing: other
A087,-5,Missing: Other
A087,-4,Not asked in survey
A087,-3,Not applicable
A087,-2,No answer
A087,-1,Don´t know
A087,0,Not mentioned
A087,1,Mentioned
A087,.a,Don't know
A087,.b,No answer
A087,.c,Not applicable
A087,.d,Not asked in survey
A087,.e,Missing: other
A088,-5,Missing: Other
A088,-4,Not asked in survey
A088,-3,Not applicable
A088,-2,No answer
A088,-1,Don´t know
A088,0,Not mentioned
A088,1,Mentioned
A088,.a,Don't know
A088,.b,No answer
A088,.c,Not applicable
A088,.d,Not asked in survey
A088,.e,Missing: other
A088B,-5,Missing: Other
A088B,-4,Not asked in survey
A088B,-3,Not applicable
A088B,-2,No answer
A088B,-1,Don´t know
A088B,0,Not mentioned
A088B,1,Mentioned
A088B,.a,Don't know
A088B,.b,No answer
A088B,.c,Not applicable
A088B,.d,Not asked in survey
A088B,.e,Missing: other
A088C,-5,Missing: Other
A088C,-4,Not asked in survey
A088C,-3,Not applicable
A088C,-2,No answer
A088C,-1,Don´t know
A088C,0,Not mentioned
A088C,1,Mentioned
A088C,.a,Don't know
A088C,.b,No answer
A088C,.c,Not applicable
A088C,.d,Not asked in survey
A088C,.e,Missing: other
A089,-5,Missing: Other
A089,-4,Not asked in survey
A089,-3,Not applicable
A089,-2,No answer
A089,-1,Don´t know
A089,0,Not mentioned
A089,1,Mentioned
A089,.a,Don't know
A089,.b,No answer
A089,.c,Not applicable
A089,.d,Not asked in survey
A089,.e,Missing: other
A090,-5,Missing: Other
A090,-4,Not asked in survey
A090,-3,Not applicable
A090,-2,No answer
A090,-1,Don´t know
A090,0,Not mentioned
A090,1,Mentioned
A090,.a,Don't know
A090,.b,No answer
A090,.c,Not applicable
A090,.d,Not asked in survey
A090,.e,Missing: other
A091,-5,Missing: Other
A091,-4,Not asked in survey
A091,-3,Not applicable
A091,-2,No answer
A091,-1,Don´t know
A091,0,Not mentioned
A091,1,Mentioned
A091,.a,Don't know
A091,.b,No answer
A091,.c,Not applicable
A091,.d,Not asked in survey
A091,.e,Missing: other
A092,-5,Missing: Other
A092,-4,Not asked in survey
A092,-3,Not applicable
A092,-2,No answer
A092,-1,Don´t know
A092,0,Not mentioned
A092,1,Mentioned
A092,.a,Don't know
A092,.b,No answer
A092,.c,Not applicable
A092,.d,Not asked in survey
A092,.e,Missing: other
A093,-5,Missing: Other
A093,-4,Not asked in survey
A093,-3,Not applicable
A093,-2,No answer
A093,-1,Don´t know
A093,0,Not mentioned
A093,1,Mentioned
A093,.a,Don't know
A093,.b,No answer
A093,.c,Not applicable
A093,.d,Not asked in survey
A093,.e,Missing: other
A094,-5,Missing: Other
A094,-4,Not asked in survey
A094,-3,Not applicable
A094,-2,No answer
A094,-1,Don´t know
A094,0,Not mentioned
A094,1,Mentioned
A094,.a,Don't know
A094,.b,No answer
A094,.c,Not applicable
A094,.d,Not asked in survey
A094,.e,Missing: other
A096,-5,Missing: Other
A096,-4,Not asked in survey
A096,-3,Not applicable
A096,-2,No answer
A096,-1,Don´t know
A096,0,Not mentioned
A096,1,Mentioned
A096,.a,Don't know
A096,.b,No answer
A096,.c,Not applicable
A096,.d,Not asked in survey
A096,.e,Missing: other
A097,-5,Missing: Other
A097,-4,Not asked in survey
A097,-3,Not applicable
A097,-2,No answer
A097,-1,Don´t know
A097,0,Not mentioned
A097,1,Mentioned
A097,.a,Don't know
A097,.b,No answer
A097,.c,Not applicable
A097,.d,Not asked in survey
A097,.e,Missing: other
A098,-5,Missing; Unknown
A098,-4,Not asked
A098,-2,No answer
A098,-1,Don't know
A098,0,Not a member
A098,1,Inactive member
A098,2,Active member
A098,.a,Don't know
A098,.b,No answer
A098,.c,Not applicable
A098,.d,Not asked in survey
A098,.e,Missing: other
A099,-5,Missing; Unknown
A099,-4,Not asked
A099,-2,No answer
A099,-1,Don't know
A099,0,Not a member
A099,1,Inactive member
A099,2,Active member
A099,.a,Don't know
A099,.b,No answer
A099,.c,Not applicable
A099,.d,Not asked in survey
A099,.e,Missing: other
A100,-5,Missing; Unknown
A100,-4,Not asked
A100,-2,No answer
A100,-1,Don't know
A100,0,Not a member
A100,1,Inactive member
A100,2,Active member
A100,.a,Don't know
A100,.b,No answer
A100,.c,Not applicable
A100,.d,Not asked in survey
A100,.e,Missing: other
A101,-5,Missing; Unknown
A101,-4,Not asked
A101,-2,No answer
A101,-1,Don't know
A101,0,Not a member
A101,1,Inactive member
A101,2,Active member
A101,.a,Don't know
A101,.b,No answer
A101,.c,Not applicable
A101,.d,Not asked in survey
A101,.e,Missing: other
A102,-5,Missing; Unknown
A102,-4,Not asked
A102,-2,No answer
A102,-1,Don't know
A102,0,Not a member
A102,1,Inactive member
A102,2,Active member
A102,.a,Don't know
A102,.b,No answer
A102,.c,Not applicable
A102,.d,Not asked in survey
A102,.e,Missing: other
A103,-5,Missing; Unknown
A103,-4,Not asked
A103,-2,No answer
A103,-1,Don't know
A103,0,Not a member
A103,1,Inactive member
A103,2,Active member
A103,.a,Don't know
A103,.b,No answer
A103,.c,Not applicable
A103,.d,Not asked in survey
A103,.e,Missing: other
A104,-5,Missing; Unknown
A104,-4,Not asked
A104,-2,No answer
A104,-1,Don't know
A104,0,Not a member
A104,1,Inactive member
A104,2,Active member
A104,.a,Don't know
A104,.b,No answer
A104,.c,Not applicable
A104,.d,Not asked in survey
A104,.e,Missing: other
A105,-5,Missing; Unknown
A105,-4,Not asked
A105,-2,No answer
A105,-1,Don't know
A105,0,Not a member
A105,1,Inactive member
A105,2,Active member
A105,.a,Don't know
A105,.b,No answer
A105,.c,Not applicable
A105,.d,Not asked in survey
A105,.e,Missing: other
A106,-5,Missing; Unknown
A106,-4,Not asked
A106,-2,No answer
A106,-1,Don't know
A106,0,Not a member
A106,1,Inactive member
A106,2,Active member
A106,.a,Don't know
A106,.b,No answer
A106,.c,Not applicable
A106,.d,Not asked in survey
A106,.e,Missing: other
A106B,-5,Missing; Unknown
A106B,-4,Not asked
A106B,-2,No answer
A106B,-1,Don't know
A106B,0,Not a member
A106B,1,Inactive member
A106B,2,Active member
A106B,.a,Don't know
A106B,.b,No answer
A106B,.c,Not applicable
A106B,.d,Not asked in survey
A106B,.e,Missing: other
A106C,-5,Missing; Unknown
A106C,-4,Not asked
A106C,-2,No answer
A106C,-1,Don't know
A106C,0,Not a member
A106C,1,Inactive member
A106C,2,Active member
A106C,.a,Don't know
A106C,.b,No answer
A106C,.c,Not applicable
A106C,.d,Not asked in survey
A106C,.e,Missing: other
A107,-5,Missing: Other
A107,-4,Not asked in survey
A107,-3,Not applicable
A107,-2,No answer
A107,-1,Don´t know
A107,1,Unimportant
A107,2,2
A107,3,3
A107,4,4
A107,5,Very important
A107,.a,Don't know
A107,.b,No answer
A107,.c,Not applicable
A107,.d,Not asked in survey
A107,.e,Missing: other
A108,-5,Missing: Other
A108,-4,Not asked in survey
A108,-3,Not applicable
A108,-2,No answer
A108,-1,Don´t know
A108,1,Unimportant
A108,2,2
A108,3,3
A108,4,4
A108,5,Very important
A108,.a,Don't know
A108,.b,No answer
A108,.c,Not applicable
A108,.d,Not asked in survey
A108,.e,Missing: other
A109,-5,Missing: Other
A109,-4,Not asked in survey
A109,-3,Not applicable
A109,-2,No answer
A109,-1,Don´t know
A109,1,Unimportant
A109,2,2
A109,3,3
A109,4,4
A109,5,Very important
A109,.a,Don't know
A109,.b,No answer
A109,.c,Not applicable
A109,.d,Not asked in survey
A109,.e,Missing: other
A110,-5,Missing: Other
A110,-4,Not asked in survey
A110,-3,Not applicable
A110,-2,No answer
A110,-1,Don´t know
A110,1,Unimportant
A110,2,2
A110,3,3
A110,4,4
A110,5,Very important
A110,.a,Don't know
A110,.b,No answer
A110,.c,Not applicable
A110,.d,Not asked in survey
A110,.e,Missing: other
A111,-5,Missing: Other
A111,-4,Not asked in survey
A111,-3,Not applicable
A111,-2,No answer
A111,-1,Don´t know
A111,1,Unimportant
A111,2,2
A111,3,3
