"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","Population","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","headcount_ratio_15_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00","headcount_stacked_below_1_00","headcount_stacked_below_1_90","headcount_stacked_below_3_20","headcount_stacked_below_5_50","headcount_stacked_below_10_00","headcount_stacked_below_15_00","headcount_stacked_below_20_00","headcount_stacked_below_30_00","headcount_stacked_above_40_00","headcount_stacked_below_40_00","headcount_ratio_stacked_below_1_00","headcount_ratio_stacked_below_1_90","headcount_ratio_stacked_below_3_20","headcount_ratio_stacked_below_5_50","headcount_ratio_stacked_below_10_00","headcount_ratio_stacked_below_15_00","headcount_ratio_stacked_below_20_00","headcount_ratio_stacked_below_30_00","headcount_ratio_stacked_above_40_00","headcount_ratio_stacked_below_40_00"
"China -  Rural",2014,"R","consumption",TRUE,"CHN:2014:R:c","CHN2014",NA,0.1834676,0.06380134,1144894,61.3068338595903,2.398516,0.4593949,14967477,19.0118617234072,16.85026,3.811164,105150802,22.4867532517107,48.83476,15.98116,304743915,32.7999928305571,84.32286,40.36151,526200568,47.8681981049495,94.37262,57.0627,588914160,60.4881157376994,97.93382,67.00639,611137143,68.3589767567024,99.35054,77.61456,619977911,78.0894335557559,99.69901,83.10006,622152471,83.3659748745545,4.938456,0.9271634,30817484,18.3864604046507,11.29663,2.329942,70494444,20.5261707397849,19.0593,4.460442,118935891,23.2962584740336,0.0006380134,0.0087285031,0.121957248,0.8789638,4.036151,8.559405,13.401278,23.284368,33.240024,0.020731373624,0.0651218789,0.14960322468,0.613068338595903,0.361225372744737,0.719576104054743,1.80399960568064,4.78681981049495,9.07321736065491,13.6717953513405,23.4268300667268,33.3463899498218,1144894,13822583,90183325,199593113,221456653,62713592,22222983,8840768,1878270,2174560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China -  Urban",2014,"U","consumption",TRUE,"CHN:2014:U:c","CHN2014",NA,0.1028714,0.06248681,761494,50.5417667189828,0.4871549,0.1502563,3606112,38.5913166787143,3.324185,0.7256695,24606922,22.872256872025,16.91092,4.410469,125181269,26.2163061073929,47.20921,16.88717,349461106,35.9450394370569,72.18222,31.54664,534321130,43.7697758077515,84.95245,43.49663,628851386,51.28359704801,94.3766,59.21855,698612645,62.7646005602414,97.35174,68.43953,720635799,70.2919784096689,8.221237,1.868589,60856824,22.801427616772,14.96957,3.792154,110810634,25.4189778675143,22.35079,6.278724,165449322,28.2393264015696,0.0006248681,0.0028548697,0.023221424,0.242575795,1.688717,4.731996,8.699326,17.765565,27.375812,0.07808833431,0.1979504388,0.3936759948,0.505417667189828,0.733235016895572,0.7319122199048,1.44189683590661,3.59450394370569,6.56546637116272,10.256719409602,18.8293801680724,28.1167913638676,761494,2844618,21000810,100574347,224279837,184860024,94530256,69761259,19603460,22023154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2015,"A","consumption",TRUE,"CHN:2015:A:c","CHN2015",NA,0.07653325,0.03765433,1049439,77.1178741076739,0.7299798,0.1556376,10009629,23.2857576062124,6.980407,1.405247,95716737,20.1459240053654,27.21853,7.803243,373225927,28.724795255913,60.47635,24.69157,829263806,40.9219754448779,79.98454,40.25879,1096764009,50.3867238868629,89.53478,51.57141,1227718810,57.5674063532552,96.12112,65.56072,1318032022,68.1703011075072,98.51538,73.6019,1350862594,74.6355137033265,7.859422,1.617296,107769966,20.5244470677184,14.86806,3.549664,203873812,23.8280092587714,22.30355,6.017403,305830738,27.0564926573052,0.0003765433,0.0029571144,0.044967904,0.429178365,2.469157,6.0388185,10.314282,19.668216,29.44076,0.05364570832,0.14720456608,0.29942597328,0.771178741076739,0.442429394518036,0.644669568171693,1.57986373907522,4.09219754448779,7.55800858302944,11.513481270651,20.4510903322522,29.8542054813306,1049439,8960190,85707108,277509190,456037879,267500203,130954801,90313212,20357406,32830572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China -  Rural",2015,"R","consumption",TRUE,"CHN:2015:R:c","CHN2015",NA,0.08743737,0.03107538,533537,22.8460701223762,1.250846,0.2267839,7632573,17.0489039210052,12.79851,2.555484,78095599,19.8580336490463,43.2192,13.18769,263720490,30.6380140389403,81.28129,36.76821,495972661,45.2858075318458,93.21856,54.02733,568813035,57.9541091410537,97.47841,64.52899,594806337,66.1490090946529,99.22552,75.88185,605467078,76.4099673167918,99.6461,81.78007,608033427,82.0336567393553,4.254825,0.723282,25962640,16.5507492389716,10.59385,2.024011,64642921,18.9663018623103,18.48793,4.096074,112812036,22.0686195721818,0.0003107538,0.0043088941,0.081775488,0.72532295,3.676821,8.1040995,12.905798,22.764555,32.712028,0.01749619158,0.06120609264,0.14860556472,0.228460701223762,0.323929174499099,0.635457076769482,1.68509077214172,4.52858075318458,8.69311637115806,13.2298018189306,22.9229901950375,32.8134626957421,533537,7099036,70463026,185624891,232252171,72840374,25993302,10660741,2159473,2566349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China -  Urban",2015,"U","consumption",TRUE,"CHN:2015:U:c","CHN2015",NA,0.06779031,0.04292934,515903,76.7207277605108,0.3123485,0.09859243,2377057,43.7425939943069,2.315442,0.4829857,17621141,21.1510354235971,14.38917,3.485982,109505483,24.2459957290256,43.79492,15.00849,333291210,34.4435946706814,69.37348,29.21916,527950983,42.1809670013022,83.16556,41.18201,632912449,49.5531909135118,93.632,57.28522,712564894,61.1820104509377,97.60876,67.04463,742829116,68.593550558478,7.644739,1.642626,58178536,21.4680122996738,14.45509,3.50583,110007152,24.2152032253926,21.89045,5.94296,166592257,27.1510017638234,0.0004292934,0.00187325617,0.0154555424,0.19172901,1.500849,4.382874,8.236402,17.185566,26.817852,0.07240695408,0.193171233,0.392829656,0.767207277605108,0.831109285891831,0.676833133555107,1.33352976509641,3.44435946706814,6.32714505019533,9.91063818270236,18.3546031352813,27.4374202233912,515903,1861154,15244084,91884342,223785727,194659773,104961466,79652445,18197984,30264222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",2016,"A","consumption",TRUE,"CHN:2016:A:c","CHN2016",NA,0.05753393,0.02668633,793200,73.3535919300319,0.5253779,0.1143713,7243201,26.1190453542128,5.399211,1.042206,74437032,19.473764531683,23.96841,6.546262,330444080,27.4221181124839,57.01525,22.36372,786049296,39.3009744210823,77.37984,37.68896,1066808771,48.7678123199228,87.51666,49.02767,1206561561,56.0246741847463,95.27957,63.41649,1313586084,66.5921979466262,98.22785,71.84667,1354232988,73.0932127905325,7.650193,1.559301,105470533,20.3352771768694,14.69372,3.462312,202577175,23.5700735654318,22.19683,5.922259,306019926,26.8418003873252,0.0002668633,0.0021730547,0.033350592,0.36004441,2.236372,5.653344,9.805534,19.024947,28.738668,0.05512129035,0.15299956728,0.313879727,0.733535919300319,0.496261861730043,0.623160465013856,1.50821649618661,3.93009744210823,7.31517184798842,11.2049348369493,19.9776593839879,29.237285116213,793200,6450001,67193831,256007048,455605216,280759475,139752790,107024523,24432012,40646904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China -  Rural",2016,"R","consumption",TRUE,"CHN:2016:R:c","CHN2016",NA,0.09286915,0.03748737,553933,46.3302913005573,0.9939204,0.2007635,5928394,20.0253152778826,10.35972,2.015885,61792169,19.4788054482419,38.89191,11.40685,231976874,29.5613154840334,78.47933,34.03181,468102227,43.3838429485225,92.11224,51.60128,549417849,56.0369675760046,96.30283,62.34005,574413278,64.7359224074539,98.83268,74.18004,589502963,75.0740498299824,99.58664,80.45261,594000076,80.8451972919929,4.321312,0.7674206,25775141,17.7006395786224,10.55179,2.060485,62937800,19.5319357784318,18.40667,4.119164,109789459,22.3224647164371,0.0003748737,0.0038145065,0.06450832,0.62737675,3.403181,7.740192,12.46801,22.254012,32.181044,0.019753406244,0.06628580245,0.15904092204,0.463302913005573,0.380480990279769,0.623321774343741,1.62587235162184,4.33838429485225,8.40554513640069,12.9471844814908,22.5222149489947,32.3380789167972,553933,5374461,55863775,170184705,236125353,81315622,24995429,15089685,2465550,4497113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China -  Urban",2016,"U","consumption",TRUE,"CHN:2016:U:c","CHN2016",NA,0.03058907,0.01845,239268,82.1298430175664,0.1680912,0.04849296,1314808,55.7792350782479,1.616579,0.2997275,12644871,20.3124338574554,12.58851,2.839823,98467246,22.6702199892053,40.64783,13.46623,317947072,33.3499914859666,66.14565,27.08013,517390860,41.0177211055317,80.81676,38.87633,632148191,48.1290341290191,92.57014,55.20876,724083056,59.6757382673442,97.19171,65.28421,760232947,67.1415397718056,7.546004,1.513571,59024796,20.2089184599955,14.46711,3.39248,113161644,23.501237386605,21.94019,5.858475,171616029,26.6814091227766,0.0001845,0.00092136624,0.00959128,0.156190265,1.346623,4.0620195,7.775266,16.562628,26.113684,0.07025996582,0.19676384,0.40774986,0.821298430175664,1.05980546648671,0.649997883438573,1.24686209940629,3.33499914859666,6.15265816582975,9.62580682580382,17.9027214802033,26.8566159087222,239268,1075540,11330063,85822375,219479826,199443788,114757331,91934865,21966427,36149891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1985,"N","consumption",TRUE,"CIV:1985:N:c","CIV1985",NA,1.632836,0.7276668,161948,47.7989551418961,7.539851,2.216968,747817,29.8112383360433,20.58791,6.846307,2041949,33.4497748247679,47.55039,18.3868,4716141,38.7863113280161,75.71523,38.80948,7509585,51.3124489718774,87.81675,53.55231,8709837,61.0303431495185,93.0477,62.91916,9228653,67.6856451819373,97.42699,73.83083,9663000,75.8290240670083,98.4818,79.87332,9767618,81.1968636794817,11.01207,3.454642,1092199,31.5770964753695,17.38236,5.587508,1724017,32.5610785534744,24.21424,8.073278,2401616,33.3989827333745,0.007276668,0.042122392,0.219081824,1.011274,3.880948,8.0328465,12.583832,22.149249,31.949328,0.08000950872,0.1617583566,0.28038494494,0.477989551418961,0.566413528384823,1.07039279439257,2.13324712304089,5.13124489718774,9.15455147242777,13.5371290363875,22.7487072201025,32.4787454717927,161948,585869,1294132,2674192,2793444,1200252,518816,434347,150578,104618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1986,"N","consumption",TRUE,"CIV:1986:N:c","CIV1986",NA,0.2415669,0.08577539,24899,36.6064096744069,3.314594,0.7382186,341645,22.6479061190788,17.59134,4.218072,1813189,24.0882157089689,48.2072,16.5566,4968852,34.3231078809762,79.38728,39.12511,8182670,49.2499043865122,91.09405,54.76945,9389320,60.0964159276024,95.53943,64.47781,9847518,67.4921051898292,98.4211,75.4462,10144539,76.644479794617,99.27937,81.31217,10233004,81.941239890492,5.850654,1.344183,603043,23.2270853359995,11.88925,2.888299,1225458,24.2581238521356,21.45666,5.136746,2211598,23.8760989202466,0.0008577539,0.0140261534,0.134978304,0.910613,3.912511,8.2154175,12.895562,22.63386,32.524868,0.03053983776,0.0820276916,0.17506030368,0.366064096744069,0.430310216262497,0.770822902687005,1.88777093345369,4.92499043865122,9.01446238914036,13.4984210379658,22.9933439383851,32.7764959561968,24899,316746,1471544,3155663,3213818,1206650,458198,297021,74277,88465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1987,"N","consumption",TRUE,"CIV:1987:N:c","CIV1987",NA,0.6522063,0.09113208,69774,26.929622323296,6.659821,1.630574,712481,25.2641349557742,27.12046,7.434505,2901399,27.4837853486243,57.83216,22.58272,6186997,39.0653914738286,84.75304,46.06812,9067045,54.3111000663973,93.57213,60.72691,10010528,64.927438605595,96.55532,69.3943,10329675,71.8895568017265,98.54428,78.84895,10542458,80.0233251565152,99.48348,83.90436,10642936,84.3827588544487,7.018926,1.673737,750898,24.4308736790085,13.26565,3.382804,1419185,25.6226608595171,20.41208,5.564364,2183724,27.3574193768673,0.0009113208,0.030980906,0.23790416,1.2420496,4.606812,9.1090365,13.87886,23.654685,33.561744,0.03206880092,0.08098432776,0.15986417772,0.26929622323296,0.48001856415971,0.879481131155978,2.14859653106057,5.43111000663973,9.73911579083925,14.3779113603453,24.0069975469546,33.7531035417795,69774,642707,2188918,3285598,2880048,943483,319147,212783,55258,100478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1988,"N","consumption",TRUE,"CIV:1988:N:c","CIV1988",NA,1.376645,0.2084328,152735,17.5323984295735,11.44283,2.856742,1269553,25.0674565638354,35.9396,11.25297,3987408,31.3169863233748,68.44019,29.28214,7593267,42.7833336754708,91.06676,53.1354,10103628,58.3002058123356,96.71737,66.94405,10730548,69.200343005244,98.39183,74.62071,10916326,75.8042979745325,99.37167,82.71701,11025036,83.2651693665986,99.9073,86.95957,11084463,87.0118379699811,6.986138,1.497493,775094,21.4504590742108,12.90646,3.186691,1431939,24.7053750086842,19.79196,5.293832,2195868,26.8466816661563,0.002084328,0.054278098,0.36009504,1.6105177,5.31354,10.0416075,14.924142,24.815103,34.783828,0.02358551475,0.06274594579,0.12509325016,0.175323984295735,0.476281674712873,1.00214356234799,2.35308335215089,5.83002058123356,10.3800514507866,15.1608595949065,24.9795508099796,34.8047351879924,152735,1116818,2717855,3605859,2510361,626920,185778,108710,10285,59427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1992,"N","consumption",TRUE,"CIV:1992:N:c","CIV1992",NA,4.424102,1.111371,566835,24.455848819168,21.87155,6.476792,2802275,29.5286131580705,49.6633,18.57398,6363071,37.3651854867084,77.59377,38.1379,9941640,49.1563001185422,94.20027,60.51194,12069335,64.192246598122,98.14878,72.53351,12575235,73.8939016493706,99.23866,79.09803,12714875,79.6910915791328,99.84676,85.93877,12792787,86.0654772023575,99.94462,89.43058,12805325,89.478086918536,9.050496,2.327218,1159588,25.4510489375809,15.53224,4.272228,1990056,27.3142654238797,22.49573,6.705017,2882248,29.6237071310948,0.01111371,0.123059048,0.59436736,2.0975845,6.051194,10.8800265,15.819606,25.781631,35.772232,0.0299047513,0.06865470396,0.12927272776,0.24455848819168,0.561043650003339,1.19568593557467,2.70359650651982,6.4192246598122,11.0840852474056,15.9382183158266,25.8196431607073,35.7912347674144,566835,2235440,3560796,3578569,2127695,505900,139640,77912,7096,12538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1995,"N","consumption",TRUE,"CIV:1995:N:c","CIV1995",NA,2.200319,0.5423738,312440,23.0382620217866,21.60188,5.24271,3067416,24.4239017922656,50.82554,18.97748,7217106,37.4819351581154,79.66388,39.34851,11312081,49.4420140275207,93.34021,61.70065,13254088,66.1289002166795,97.25418,72.96215,13809862,75.0651558445084,99.06573,79.2232,14067098,80.2635598503319,99.42043,85.91892,14117464,86.3305460643269,99.77758,89.35502,14168179,89.4300486544118,6.037591,1.209722,857324,21.2278203733402,12.81244,2.723381,1819336,22.133631750632,20.70189,5.082309,2939619,24.5949971964175,0.005423738,0.09961149,0.60727936,2.16416805,6.170065,10.9443225,15.84464,25.775676,35.742008,0.01516991388,0.04267538027,0.09559823229,0.230382620217866,0.464054134053046,1.19942192505969,2.71931077151364,6.61289002166795,11.2597733766763,16.0527119700664,25.8991638192981,35.7720194617647,312440,2754976,4149690,4094975,1942007,555774,257236,50366,31583,50715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",1998,"N","consumption",TRUE,"CIV:1998:N:c","CIV1998",NA,4.781654,1.089121,745432,22.7667977996243,27.04363,8.253978,4215943,30.3934962658803,60.64628,22.52172,9454400,37.1369598061922,82.92291,43.90391,12927196,52.9337688225918,94.88303,64.76668,14791708,67.1149194486879,98.994,75.87615,15432584,76.7132283508693,99.48915,81.72729,15509775,82.1266789263213,99.80439,87.71151,15558920,87.8610703463996,99.93977,90.75417,15580024,90.8109359584238,7.420522,1.57444,1156816,21.0738982658188,14.26369,3.346643,2223626,23.4552292941801,22.17909,5.846352,3457590,26.2600392941687,0.01089121,0.156825582,0.72069504,2.41471505,6.476668,11.3814225,16.345458,26.313453,36.301668,0.0173818176,0.0461836734,0.09681558912,0.227667977996243,0.577476429051726,1.18838271379815,2.91135728524255,6.71149194486879,11.5069842526304,16.4253357852643,26.3583211039199,36.3243743833695,745432,3470511,5238457,3472796,1864512,640876,77191,49145,9390,21104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",2002,"N","consumption",TRUE,"CIV:2002:N:c","CIV2002",NA,5.570922,1.493309,959956,26.1250876630159,24.37731,7.65396,4200586,31.3601458549768,58.08839,21.98328,10009524,37.8560562251086,81.90008,43.16018,14112644,52.6610951902037,94.56829,64.15664,16295572,67.8547054707127,97.8181,74.93338,16855564,76.5820531905922,98.87785,80.80751,17038175,81.6694688012586,99.68787,87.00152,17177754,87.3115123698607,99.88066,90.20033,17210975,90.3392494812235,7.439261,2.014855,1281899,26.8032866946244,12.97704,3.654324,2236144,28.082307561116,19.14546,5.734717,3299057,29.8519889110884,0.01493309,0.14542524,0.70346496,2.3738099,6.415664,11.240007,16.161502,26.100456,36.080132,0.02246563325,0.05094127656,0.09594181541,0.261250876630159,0.595842771244559,1.21139379920348,2.8963602354612,6.78547054707127,11.4873079785888,16.3338937602517,26.1934537109582,36.1356997924894,959956,3240630,5808938,4103120,2182928,559992,182611,139579,20564,33221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",2008,"N","consumption",TRUE,"CIV:2008:N:c","CIV2008",NA,10.234,3.027782,2006434,29.36128691338,30.43707,11.00659,5967361,36.084007490966,59.05169,25.43216,11577420,43.0410926528348,81.96463,45.00594,16069632,54.9031345836117,94.59744,65.20996,18546366,68.9594303871069,98.04264,75.74254,19221817,77.2453855095509,99.10696,81.4758,19430483,82.2560456184937,99.77682,87.47492,19561813,87.6958609406025,99.91749,90.57102,19589392,90.6166847742662,11.54937,3.604526,2264320,31.0517515067745,17.38217,5.769934,3407873,32.9595514782737,23.49345,8.207351,4606025,34.9186399190966,0.03027782,0.20912521,0.81382912,2.4753267,6.520996,11.361381,16.29516,26.242476,36.228408,0.03889283554,0.07777871032,0.13279493918,0.2936128691338,0.685596142328354,1.37731496489071,3.01967240209864,6.89594303871069,11.5868078264326,16.4512091236987,26.3087582821808,36.2466739097065,2006434,3960927,5610059,4492212,2476734,675451,208666,131330,16177,27579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire",2015,"N","consumption",TRUE,"CIV:2015:N:c","CIV2015",NA,7.873908,2.257616,1828805,28.5013948524258,29.83408,9.764679,6929306,32.651402592716,59.10317,24.43313,13727387,41.3531527013338,83.23951,44.8184,19333328,53.8259518172118,95.24967,65.56078,22122825,68.8286270404935,98.24653,76.05496,22818880,77.4119177590749,99.15164,81.73709,23029102,82.4410054734616,99.78948,87.6889,23177247,87.913874468766,99.8981,90.72774,23202476,90.779192125649,9.401589,2.740775,2183627,28.7882197448745,15.33001,4.620164,3560570,29.9724611952097,22.36958,6.971723,5195591,31.1102637941018,0.02257616,0.185528901,0.78186016,2.465012,6.556078,11.408244,16.347418,26.30667,36.291096,0.0296551855,0.06246461728,0.11315106429,0.285013948524258,0.620376649261604,1.32330088644268,2.96042734994665,6.88286270404935,11.6117876638612,16.4882010946923,26.3741623406298,36.3116768502596,1828805,5100501,6798081,5605941,2789497,696055,210222,148145,23667,25229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",1996,"N","consumption",TRUE,"CMR:1996:N:c","CMR1996",NA,12.92848,2.965488,1806214,24.6190921636656,51.16826,17.02909,7148622,33.6048908286133,75.35403,36.71444,10527571,48.8659911398741,89.11037,56.37034,12449443,63.3080408317621,96.34714,73.30328,13460479,76.0472361485715,98.72788,81.50386,13793087,82.5673175829367,99.23487,85.87314,13863918,86.546057126936,99.76838,90.43579,13938454,90.6847985278724,99.86106,92.78908,13951402,92.8511418969704,4.972591,0.7731095,694711,21.5403324767986,11.10488,2.260087,1551442,23.7722709499679,17.03083,4.205599,2379345,25.6962361750646,0.02965488,0.32355271,1.17486208,3.1003687,7.330328,12.225579,17.174628,27.130737,37.115632,0.005728741395,0.02095100649,0.04676626088,0.246190921636656,0.638492925743653,1.56371171647597,3.48194224574692,7.60472361485715,12.3850976374405,17.3092114253872,27.2054395583617,37.1404567587882,1806214,5342408,3378949,1921872,1011036,332608,70831,74536,19411,12948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",2001,"N","consumption",TRUE,"CMR:2001:N:c","CMR2001",NA,3.7591,0.8050565,598784,20.9744804394419,26.01386,7.008194,4143724,26.871459495583,55.78808,21.20401,8886433,38.0178491901736,80.94952,41.97478,12894376,51.8434554769815,94.40195,63.38678,15037202,67.1081636724225,97.91872,74.40697,15597385,75.962338490952,98.99427,80.43981,15768708,81.292654111238,99.49022,86.7286,15847708,87.2089250805047,99.69191,89.94754,15879835,90.1734904746317,6.698294,1.42445,1066965,21.0932639989847,13.22607,3.114996,2106769,23.471813933156,21.36862,5.476302,3403788,25.6166168897903,0.008050565,0.133155686,0.67852832,2.3086129,6.338678,11.1610455,16.087962,26.01858,35.979016,0.01652362,0.045167442,0.0952876548,0.209744804394419,0.510557730416077,1.21657117408556,2.85139005123398,6.71081636724225,11.3943507736428,16.2585308222476,26.1626775241514,36.0693961898527,598784,3544940,4742709,4007943,2142826,560183,171323,79000,49075,32127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",2007,"N","consumption",TRUE,"CMR:2007:N:c","CMR2007",NA,5.982103,0.721114,1120465,11.8907160439955,31.77693,9.44405,5951909,29.7204530674422,58.42974,24.50803,10944055,41.9138417934506,81.43731,44.18226,15253438,54.2337712180488,94.38469,64.6445,17678519,68.5093958866599,98.05394,75.28186,18365779,76.7760872672315,99.04284,81.10983,18551003,81.8855570792072,99.70695,87.22486,18675393,87.4394092327188,99.87766,90.36938,18707367,90.5046583632757,8.407701,1.152182,1574786,13.6043946504153,15.75597,3.360286,2951138,21.3004748729571,23.86989,6.096136,4470898,25.5315783099086,0.00721114,0.17943695,0.78425696,2.4300243,6.46445,11.292279,16.221966,26.167458,36.147752,0.01235139104,0.04499422954,0.09796490552,0.118907160439955,0.564688608281402,1.34124293739042,2.98285741699268,6.85093958866599,11.5164130900847,16.3771114158414,26.2318227698156,36.2018633453103,1120465,4831444,4992146,4309383,2425081,687260,185224,124390,22915,31974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",2014,"N","consumption",TRUE,"CMR:2014:N:c","CMR2014",NA,6.863225,1.605141,1556707,23.2073319608155,25.97455,8.448534,5891511,32.4633638036752,46.95823,20.05581,10650999,42.6465210248843,71.04461,36.80431,16114238,51.8179980385613,89.2632,57.23745,20246552,64.0770921468616,95.37048,69.13056,21631797,72.5208601865734,97.6129,76.00176,22140419,77.8523421264519,99.26948,83.53781,22516162,84.1918401174878,99.70061,87.52891,22613951,87.7720969868252,13.97576,3.899784,3169962,27.8121628306352,21.73172,6.692366,4929158,30.5265590949381,28.73445,9.807895,6517507,34.1438633407146,0.01605141,0.160522146,0.64178592,2.02423705,5.723745,10.369584,15.200352,25.061343,35.011564,0.05319305376,0.11417176396,0.20076761065,0.232073319608155,0.616803912269829,1.3646886727963,2.84998989212087,6.40770921468616,10.878129027986,15.5704684252904,25.2575520352463,35.1088387947301,1556707,4334804,4759488,5463239,4132314,1385245,508622,375743,67907,97789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic Republic of Congo",2004,"N","consumption",TRUE,"COD:2004:N:c","COD2004",NA,80.61302,42.67272,42780427,53.112689203798,94.60494,64.83659,50205782,68.5896947596783,98.64445,77.95395,52349505,79.0702247916645,99.73979,86.93102,52930789,87.1827260220384,99.95801,92.76225,53046596,92.8293774442068,99.99603,95.1702,53066773,95.2195849628045,99.99748,96.3767,53067543,96.4146887221034,100,97.58372,53068880,97.6097924814023,100,98.18779,53068880,98.2073443610517,8.968185,2.265401,4759315,25.6243326710884,15.56969,4.233426,8262660,27.4149145504913,22.86884,6.742034,12136237,28.5476292630882,0.4267272,1.23189521,2.4945264,4.7812061,9.276225,14.27553,19.27534,29.275116,39.275116,0.00466672606,0.01087990482,0.02083288506,0.53112689203798,1.30320420043389,2.53024719333326,4.79504993121211,9.28293774442068,14.2829377444207,19.2829377444207,29.2829377444207,39.2829377444207,42780427,7425355,2143723,581284,115807,20177,770,1337,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic Republic of Congo",2012,"N","consumption",TRUE,"COD:2012:N:c","COD2012",NA,48.8073,18.59139,33687163,38.0014968701854,79.3107,41.41453,54740838,52.1649224384236,92.53419,59.978,63867789,64.7893938003498,98.11834,75.09654,67722011,76.5029115313525,99.70405,85.9416,68816480,86.1524893346055,99.92672,90.57354,68970169,90.6196216807801,99.96326,92.91702,68995389,92.9647162605851,99.98357,95.27021,69009407,95.3098108403901,99.99405,96.44993,69016640,96.4823581302926,10.00983,2.723035,6908859,26.8415204908709,16.33323,4.776216,11273317,29.0603182174651,23.56198,7.290118,16262655,30.8442309211173,0.1859139,0.78687607,1.919296,4.1303097,8.59416,13.586031,18.583404,28.581063,38.579972,0.01113721315,0.02440646376,0.04468842334,0.380014968701854,0.991133526330048,2.07326060161119,4.20766013422439,8.61524893346055,13.592943252117,18.592943252117,28.592943252117,38.592943252117,33687163,21053675,9126951,3854222,1094469,153689,25220,14018,4107,7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
