name,slug,sourceName,description,sourceLink,dataPublishedBy,unit,shortUnit,tolerance,type,colorScaleNumericMinValue,colorScaleNumericBins,colorScaleEqualSizeBins,colorScaleScheme,transform
3rd decile,decile3_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 3rd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile3_avg 1
4th decile,decile4_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 4th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile4_avg 1
5th decile,decile5_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 5th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile5_avg 1
6th decile,decile6_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 6th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile6_avg 1
7th decile,decile7_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 7th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile7_avg 1
8th decile,decile8_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 8th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile8_avg 1
9th decile,decile9_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 9th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile9_avg 1
richest decile,decile10_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the richest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile10_avg 1
Mean income or expenditure per month,mean_month ,World Bank Poverty and Inequality Platform,The mean level of income or expenditure per month.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,BuGn,multiplyBy mean 30
Median income or expenditure per month,median_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which half of the population live.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Blues,multiplyBy median 30
poorest decile,decile1_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 10% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile1_thr 30
2nd decile,decile2_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 20% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile2_thr 30
3rd decile,decile3_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 30% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile3_thr 30
4th decile,decile4_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 40% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile4_thr 30
5th decile (median),decile5_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 50% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile5_thr 30
6th decile,decile6_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 60% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile6_thr 30
7th decile,decile7_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 70% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile7_thr 30
8th decile,decile8_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 80% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile8_thr 30
richest decile,decile9_thr_month ,World Bank Poverty and Inequality Platform,The level of income or expenditure per month below which 90% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Purples,multiplyBy decile9_thr 30
poorest decile,decile1_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the poorest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile1_avg 30
2nd decile,decile2_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 2nd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile2_avg 30
3rd decile,decile3_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 3rd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile3_avg 30
4th decile,decile4_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 4th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile4_avg 30
5th decile,decile5_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 5th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile5_avg 30
6th decile,decile6_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 6th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile6_avg 30
7th decile,decile7_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 7th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile7_avg 30
8th decile,decile8_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 8th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile8_avg 30
9th decile,decile9_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the 9th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile9_avg 30
richest decile,decile10_avg_month ,World Bank Poverty and Inequality Platform,The mean income or expenditure per month within the richest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,10;20;50;100;200;500;1000;1000.0001,'true,Greens,multiplyBy decile10_avg 30
Mean income or expenditure per year,mean_year ,World Bank Poverty and Inequality Platform,The mean level of income or expenditure per year.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,BuGn,multiplyBy mean 365
Median income or expenditure per year,median_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which half of the population live.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Blues,multiplyBy median 365
poorest decile,decile1_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 10% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile1_thr 365
2nd decile,decile2_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 20% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile2_thr 365
3rd decile,decile3_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 30% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile3_thr 365
4th decile,decile4_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 40% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile4_thr 365
5th decile (median),decile5_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 50% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile5_thr 365
6th decile,decile6_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 60% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile6_thr 365
7th decile,decile7_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 70% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile7_thr 365
8th decile,decile8_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 80% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile8_thr 365
richest decile,decile9_thr_year ,World Bank Poverty and Inequality Platform,The level of income or expenditure per year below which 90% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Purples,multiplyBy decile9_thr 365
poorest decile,decile1_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the poorest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile1_avg 365
2nd decile,decile2_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 2nd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile2_avg 365
3rd decile,decile3_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 3rd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile3_avg 365
4th decile,decile4_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 4th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile4_avg 365
5th decile,decile5_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 5th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile5_avg 365
6th decile,decile6_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 6th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile6_avg 365
7th decile,decile7_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 7th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile7_avg 365
8th decile,decile8_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 8th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile8_avg 365
9th decile,decile9_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the 9th decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile9_avg 365
richest decile,decile10_avg_year ,World Bank Poverty and Inequality Platform,The mean income or expenditure per year within the richest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,100;200;500;1000;2000;5000;10000;10000.0001,'true,Greens,multiplyBy decile10_avg 365
poorest decile,decile1_share,World Bank Poverty and Inequality Platform,The income or expenditure of the poorest decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,1;2;3;4;5,'true,OrRd,
2nd decile,decile2_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 2nd decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,1;2;3;4;5;6,'true,OrRd,
3rd decile,decile3_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 3rd decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,1;2;3;4;5;6;7,'true,OrRd,
4th decile,decile4_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 4th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,1;2;3;4;5;6;7;8,'true,OrRd,
5th decile,decile5_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 5th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,2;4;6;8;10,'true,OrRd,
6th decile,decile6_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 6th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,2;4;6;8;10;12,'true,OrRd,
7th decile,decile7_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 7th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,2;4;6;8;10;12,'true,OrRd,
8th decile,decile8_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 8th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,2;4;6;8;10;12;14,'true,OrRd,
9th decile,decile9_share,World Bank Poverty and Inequality Platform,The income or expenditure of the 9th decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,2;4;6;8;10;12;14;16;18,'true,OrRd,
richest decile,decile10_share,World Bank Poverty and Inequality Platform,The income or expenditure of the richest decile (tenth of the population) as a share of total income or expenditure.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,5;10;15;20;25;30;35;40;45;50,'true,OrRd,
