"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"85+ years"	"85+"	16	4545883	0.4 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"10-14 years"	"10-14"	10	21212579	0.0 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"15-19 years"	"15-19"	28	21486214	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"20-24 years"	"20-24"	131	20959955	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"25-34 years"	"25-34"	1318	39258647	3.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"35-44 years"	"35-44"	4363	43505538	10.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"45-54 years"	"45-54"	4516	42495904	10.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"55-64 years"	"55-64"	1612	30641497	5.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"65-74 years"	"65-74"	438	18881697	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"75-84 years"	"75-84"	104	13074802	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2005"	"2005"	"85+ years"	"85+"	15	4693299	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"10-14 years"	"10-14"	13	21033138	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"15-19 years"	"15-19"	40	21807709	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"20-24 years"	"20-24"	166	21036135	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"25-34 years"	"25-34"	1182	39395179	3.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"35-44 years"	"35-44"	4010	43243801	9.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"45-54 years"	"45-54"	4377	43286159	10.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"55-64 years"	"55-64"	1722	31930113	5.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"65-74 years"	"65-74"	475	19203027	2.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"75-84 years"	"75-84"	107	13095151	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2006"	"2006"	"85+ years"	"85+"	11	4865929	0.2 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"15-19 years"	"15-19"	33	22067816	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"20-24 years"	"20-24"	127	21077999	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"25-34 years"	"25-34"	1091	39713463	2.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"35-44 years"	"35-44"	3572	42796230	8.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"45-54 years"	"45-54"	4156	43939939	9.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"55-64 years"	"55-64"	1721	33128434	5.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"65-74 years"	"65-74"	448	19698727	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"75-84 years"	"75-84"	109	13087439	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2007"	"2007"	"85+ years"	"85+"	16	5039545	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"15-19 years"	"15-19"	28	22210880	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"20-24 years"	"20-24"	140	21180612	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"25-34 years"	"25-34"	975	40207473	2.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"35-44 years"	"35-44"	2838	42192486	6.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"45-54 years"	"45-54"	3730	44460447	8.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"55-64 years"	"55-64"	1908	34157063	5.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"65-74 years"	"65-74"	516	20505679	2.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"75-84 years"	"75-84"	116	13076102	0.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2008"	"2008"	"85+ years"	"85+"	31	5195840	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"15-19 years"	"15-19"	22	22192810	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"20-24 years"	"20-24"	127	21384122	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"25-34 years"	"25-34"	881	40723342	2.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"35-44 years"	"35-44"	2425	41487811	5.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"45-54 years"	"45-54"	3388	44867088	7.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"55-64 years"	"55-64"	1854	35405600	5.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"65-74 years"	"65-74"	556	21233099	2.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"75-84 years"	"75-84"	122	13022775	0.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2009"	"2009"	"85+ years"	"85+"	24	5367301	0.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"15-19 years"	"15-19"	22	22040343	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"20-24 years"	"20-24"	125	21585999	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"25-34 years"	"25-34"	741	41063948	1.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"35-44 years"	"35-44"	1898	41070606	4.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"45-54 years"	"45-54"	3123	45006716	6.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"55-64 years"	"55-64"	1822	36482729	5.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"65-74 years"	"65-74"	486	21713429	2.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"75-84 years"	"75-84"	124	13061122	0.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2010"	"2010"	"85+ years"	"85+"	23	5493433	0.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"15-19 years"	"15-19"	17	21644043	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"20-24 years"	"20-24"	117	22153832	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"25-34 years"	"25-34"	666	41790498	1.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"35-44 years"	"35-44"	1619	40627954	4.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"45-54 years"	"45-54"	2781	44718203	6.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"55-64 years"	"55-64"	1796	38062140	4.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"65-74 years"	"65-74"	519	22481738	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"75-84 years"	"75-84"	143	13175230	1.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2011"	"2011"	"85+ years"	"85+"	21	5737173	0.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"15-19 years"	"15-19"	11	21360702	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"20-24 years"	"20-24"	105	22583203	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"25-34 years"	"25-34"	652	42309321	1.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"35-44 years"	"35-44"	1345	40516420	3.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"45-54 years"	"45-54"	2582	44268738	5.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"55-64 years"	"55-64"	1793	38586202	4.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"65-74 years"	"65-74"	560	23985392	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"75-84 years"	"75-84"	137	13272634	1.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2012"	"2012"	"85+ years"	"85+"	24	5887330	0.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"20-24 years"	"20-24"	106	22795438	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"25-34 years"	"25-34"	631	42844587	1.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"35-44 years"	"35-44"	1246	40452690	3.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"45-54 years"	"45-54"	2378	43767532	5.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"55-64 years"	"55-64"	1820	39316431	4.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"65-74 years"	"65-74"	587	25216766	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"75-84 years"	"75-84"	163	13446519	1.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2013"	"2013"	"85+ years"	"85+"	18	6040789	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"20-24 years"	"20-24"	109	22912174	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"25-34 years"	"25-34"	583	43516504	1.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"35-44 years"	"35-44"	1174	40513133	2.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"45-54 years"	"45-54"	2234	43458851	5.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"55-64 years"	"55-64"	1810	40077581	4.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"65-74 years"	"65-74"	614	26398290	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"75-84 years"	"75-84"	154	13682690	1.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2014"	"2014"	"85+ years"	"85+"	32	6162231	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"20-24 years"	"20-24"	96	22739313	0.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"25-34 years"	"25-34"	529	44137202	1.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"35-44 years"	"35-44"	1055	40589783	2.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"45-54 years"	"45-54"	2027	43188161	4.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"55-64 years"	"55-64"	1824	40877819	4.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"65-74 years"	"65-74"	710	27550517	2.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"75-84 years"	"75-84"	184	13923174	1.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2015"	"2015"	"85+ years"	"85+"	31	6287161	0.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"20-24 years"	"20-24"	63	22381028	0.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"25-34 years"	"25-34"	546	44677243	1.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"35-44 years"	"35-44"	971	40470156	2.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"45-54 years"	"45-54"	1831	42786679	4.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"55-64 years"	"55-64"	1803	41463144	4.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"65-74 years"	"65-74"	722	28630330	2.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"75-84 years"	"75-84"	180	14233534	1.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2016"	"2016"	"85+ years"	"85+"	38	6380331	0.6
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"ICD-10 Codes: B20-B24 (Human immunodeficiency virus [HIV] disease)"
"Group By: ICD Sub-Chapter; Year; Age Group"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 26, 2024 7:06:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality: Compressed Mortality File 1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the"
"Compressed Mortality File 1999-2016 Series 20 No. 2U, 2016, as compiled from data provided by the 57 vital statistics"
"jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Jul 26, 2024"
"7:06:53 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Due to confidentiality constraints, death counts and rates are suppressed when the number of deaths is less than 10. Figures"
"representing infant deaths and births have additional constraints for national and local data. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"3. About national population figures: population figures for 1999 are from the 1990-1999 series of bridged-race intercensal"
"estimates of the July 1 resident population; population figures for 2000 and 2010 are bridged-race April 1 census counts;"
"population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race intercensal estimates of the July 1"
"resident population; population figures for 2011 are bridged-race postcensal estimates of the July 1 resident population, from"
"the Vintage 2011 series released by NCHS on July 18, 2012; population figures for 2012 are bridged-race postcensal estimates of"
"the July 1 resident population, from the Vintage 2012 series released by NCHS on June 13, 2013; population figures for 2013 are"
"bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2013 series released by NCHS on June 26,"
"2014; population figures for 2014 are bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2014"
"series released by NCHS on June 30, 2015. and population figures for 2015 are bridged-race postcensal estimates of the July 1"
"resident population, from the Vintage 2015 series released by NCHS on June 28, 2016. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
"6. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#2014-Revision."
"7. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/cmf.html#California-Reporting-Anomalies."
"8. Circumstances in Georgia for the years 2008-2009 have resulted in unusually high death counts for the ICD-10 cause of death"
"code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data. More"
"information: http://wonder.cdc.gov/wonder/help/cmf.html#Georgia-Reporting-Anomalies."
"9. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/cmf.html#New-Jersey-Reporting-Anomalies."
