"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"20-24 years"	"20-24"	506	19654537	2.6
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"25-34 years"	"25-34"	6036	43130133	14.0
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"35-44 years"	"35-44"	6184	35180436	17.6
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"45-54 years"	"45-54"	2352	23949248	9.8
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"55-64 years"	"55-64"	867	21513721	4.0
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"65-74 years"	"65-74"	286	17626305	1.6
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"75-84 years"	"75-84"	79	9612042	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"85+ years"	"85+"	11	2885260	0.4 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"			16602	244651961	6.8
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"< 1 year"	"1"	120	4040958	3.0
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"1-4 years"	"1-4"	112	14649632	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"5-9 years"	"5-9"	41	17916793	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"10-14 years"	"10-14"	23	16796836	0.1
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"15-19 years"	"15-19"	43	18133103	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"20-24 years"	"20-24"	570	19257656	3.0
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"25-34 years"	"25-34"	7759	43236388	17.9
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"35-44 years"	"35-44"	8563	36414452	23.5
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"45-54 years"	"45-54"	3285	24633190	13.3
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"55-64 years"	"55-64"	1144	21240998	5.4
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"65-74 years"	"65-74"	327	17864102	1.8
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"75-84 years"	"75-84"	70	9849910	0.7
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"85+ years"	"85+"	12	2967744	0.4 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1989"	"1989"			22082	247001762	8.9
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"< 1 year"	"1"	106	4158212	2.5
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"1-4 years"	"1-4"	123	14811673	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"5-9 years"	"5-9"	64	18034778	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"10-14 years"	"10-14"	20	17060469	0.1
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"15-19 years"	"15-19"	48	17881711	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"20-24 years"	"20-24"	493	19131578	2.6
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"25-34 years"	"25-34"	8483	43160726	19.7
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"35-44 years"	"35-44"	10265	37434767	27.4
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"45-54 years"	"45-54"	3812	25056650	15.2
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"55-64 years"	"55-64"	1314	21112652	6.2
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"65-74 years"	"65-74"	369	18045495	2.0
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"75-84 years"	"75-84"	66	10011975	0.7
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"85+ years"	"85+"	12	3021425	0.4 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1990"	"1990"			25188	248922111	10.1
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"< 1 year"	"1"	91	4110907	2.2
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"1-4 years"	"1-4"	155	15204266	1.0
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"5-9 years"	"5-9"	69	18281130	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"10-14 years"	"10-14"	35	17755955	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"15-19 years"	"15-19"	52	17270280	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"20-24 years"	"20-24"	561	19234425	2.9
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"25-34 years"	"25-34"	9488	43224002	22.0
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"35-44 years"	"35-44"	12259	39329466	31.2
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"45-54 years"	"45-54"	4728	25820152	18.3
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"55-64 years"	"55-64"	1558	21045861	7.4
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"65-74 years"	"65-74"	447	18293904	2.4
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"75-84 years"	"75-84"	92	10328581	0.9
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"85+ years"	"85+"	10	3189139	0.3 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1991"	"1991"			29555	253088068	11.7
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"< 1 year"	"1"	100	4065014	2.5
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"1-4 years"	"1-4"	161	15555266	1.0
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"5-9 years"	"5-9"	72	18431104	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"10-14 years"	"10-14"	32	18245763	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"15-19 years"	"15-19"	48	17246240	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"20-24 years"	"20-24"	530	19188002	2.8
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"25-34 years"	"25-34"	10426	42996970	24.2
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"35-44 years"	"35-44"	14203	39976334	35.5
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"45-54 years"	"45-54"	5575	27547718	20.2
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"55-64 years"	"55-64"	1785	20998058	8.5
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"65-74 years"	"65-74"	519	18486019	2.8
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"75-84 years"	"75-84"	88	10555315	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"85+ years"	"85+"	14	3314660	0.4 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1992"	"1992"			33566	256606463	13.1
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"< 1 year"	"1"	87	4000240	2.2
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"1-4 years"	"1-4"	204	15835084	1.3
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"5-9 years"	"5-9"	100	18645956	0.5
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"10-14 years"	"10-14"	55	18721403	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"15-19 years"	"15-19"	61	17473853	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"20-24 years"	"20-24"	548	18989924	2.9
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"25-34 years"	"25-34"	11299	42652396	26.5
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"35-44 years"	"35-44"	15929	40911550	38.9
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"45-54 years"	"45-54"	6487	28863949	22.5
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"55-64 years"	"55-64"	1843	21028471	8.8
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"65-74 years"	"65-74"	545	18692619	2.9
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"75-84 years"	"75-84"	82	10763626	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"85+ years"	"85+"	17	3445566	0.5 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1993"	"1993"			37267	260024637	14.3
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"< 1 year"	"1"	95	3952767	2.4
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"1-4 years"	"1-4"	199	15939749	1.2
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"5-9 years"	"5-9"	110	19024679	0.6
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"10-14 years"	"10-14"	72	19001286	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"15-19 years"	"15-19"	77	17875809	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"20-24 years"	"20-24"	564	18656064	3.0
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"25-34 years"	"25-34"	12117	42329554	28.6
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"35-44 years"	"35-44"	18359	41818866	43.9
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"45-54 years"	"45-54"	7636	30152761	25.3
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"55-64 years"	"55-64"	2186	21159137	10.3
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"65-74 years"	"65-74"	587	18789791	3.1
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"75-84 years"	"75-84"	95	10979980	0.9
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"85+ years"	"85+"	11	3561032	0.3 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1994"	"1994"			42114	263241475	16.0
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"< 1 year"	"1"	56	3899589	1.4
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"1-4 years"	"1-4"	210	15835119	1.3
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"5-9 years"	"5-9"	123	19438171	0.6
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"10-14 years"	"10-14"	66	19207049	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"15-19 years"	"15-19"	56	18373998	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"20-24 years"	"20-24"	573	18300214	3.1
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"25-34 years"	"25-34"	11894	42052123	28.3
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"35-44 years"	"35-44"	18860	42710768	44.2
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"45-54 years"	"45-54"	8179	31480239	26.0
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"55-64 years"	"55-64"	2320	21320022	10.9
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"65-74 years"	"65-74"	681	18866088	3.6
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"75-84 years"	"75-84"	79	11222494	0.7
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"85+ years"	"85+"	10	3680722	0.3 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"	"Not Stated"	"NS"	8	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1995"	"1995"			43115	266386596	16.2
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"< 1 year"	"1"	40	3891494	1.0
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"1-4 years"	"1-4"	147	15663273	0.9
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"5-9 years"	"5-9"	103	19860530	0.5
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"10-14 years"	"10-14"	74	19435109	0.4
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"15-19 years"	"15-19"	50	18920160	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"20-24 years"	"20-24"	363	17876645	2.0
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"25-34 years"	"25-34"	8048	41809305	19.2
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"35-44 years"	"35-44"	13637	43551263	31.3
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"45-54 years"	"45-54"	6259	32799965	19.1
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"55-64 years"	"55-64"	1794	21589986	8.3
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"65-74 years"	"65-74"	503	18824488	2.7
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"75-84 years"	"75-84"	87	11523669	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"85+ years"	"85+"	18	3794892	0.5 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"	"Not Stated"	"NS"	7	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1996"	"1996"			31130	269540779	11.5
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"< 1 year"	"1"	19	3880894	0.5 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"1-4 years"	"1-4"	54	15481530	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"5-9 years"	"5-9"	62	20254032	0.3
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"10-14 years"	"10-14"	40	19600697	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"15-19 years"	"15-19"	36	19397691	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"20-24 years"	"20-24"	240	17910076	1.3
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"25-34 years"	"25-34"	3993	41344963	9.7
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"35-44 years"	"35-44"	7073	44228415	16.0
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"45-54 years"	"45-54"	3513	34177508	10.3
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"55-64 years"	"55-64"	1065	22099311	4.8
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"65-74 years"	"65-74"	336	18683874	1.8
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"75-84 years"	"75-84"	72	11812211	0.6
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"85+ years"	"85+"	7	3905476	0.2 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1997"	"1997"			16516	272776678	6.1
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"< 1 year"	"1"	14	3941553	0.4 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"1-4 years"	"1-4"	32	15382114	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"5-9 years"	"5-9"	29	20510328	0.1
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"10-14 years"	"10-14"	25	19825181	0.1
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"15-19 years"	"15-19"	24	19839732	0.1
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"20-24 years"	"20-24"	170	18167103	0.9
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"25-34 years"	"25-34"	2912	40756512	7.1
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"35-44 years"	"35-44"	5746	44748354	12.8
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"45-54 years"	"45-54"	3120	35231857	8.9
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"55-64 years"	"55-64"	979	23010955	4.3
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"65-74 years"	"65-74"	301	18570247	1.6
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"75-84 years"	"75-84"	64	12016377	0.5
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"85+ years"	"85+"	7	4032535	0.2 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1998"	"1998"			13426	276032848	4.9
"Total"	"Human immunodeficiency virus infection"	"042-044"					324029	4961016600	6.5
"Total"							324029	4961016600	6.5
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"ICD-9 Codes: 042-044 (Human immunodeficiency virus infection)"
"Group By: ICD Sub-Chapter; Year; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 26, 2024 7:07:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality: Compressed Mortality File 1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF"
"1968-1988, Series 20, No. 2A, 2000 and CMF 1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html"
"on Jul 26, 2024 7:07:56 AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Caveats:
"1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the live births for the"
"given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
