varname,varlabel
corruption_vdem_low_owid,"Political corruption (lower bound, V-Dem)"
corruption_vdem_high_owid,"Political corruption (upper bound, V-Dem)"
corr_exec_vdem_owid,Executive corruption (V-Dem)
corr_exec_vdem_low_owid,"Executive corruption (lower bound, V-Dem)"
corr_exec_vdem_high_owid,"Executive corruption (upper bound, V-Dem)"
corr_publsec_vdem_owid,Public sector corruption (V-Dem)
corr_publsec_vdem_low_owid,"Public sector corruption (lower bound, V-Dem)"
corr_publsec_vdem_high_owid,"Public sector corruption (upper bound, V-Dem)"
wom_emp_vdem_owid,Women's political empowerment (V-Dem)
wom_emp_vdem_low_owid,"Women's political empowerment (lower bound, V-Dem)"
wom_emp_vdem_high_owid,"Women's political empowerment (upper bound, V-Dem)"
wom_civ_libs_vdem_owid,Women's civil rights (V-Dem)
wom_civ_libs_vdem_low_owid,"Women's civil rights (lower bound, V-Dem)"
wom_civ_libs_vdem_high_owid,"Women's civil rights (upper bound, V-Dem)"
wom_civ_soc_vdem_owid,Women's civil society participation (V-Dem)
wom_civ_soc_vdem_low_owid,"Women's civil society participation (lower bound, V-Dem)"
wom_civ_soc_vdem_high_owid,"Women's civil society participation (upper bound, V-Dem)"
wom_pol_par_vdem_owid,Women's political participation (V-Dem)
wom_pol_par_vdem_low_owid,"Women's political participation (lower bound, V-Dem)"
wom_pol_par_vdem_high_owid,"Women's political participation (upper bound, V-Dem)"
rule_of_law_vdem_owid,Rule of Law (V-Dem)
rule_of_law_vdem_low_owid,"Rule of Law (lower bound, V-Dem)"
rule_of_law_vdem_high_owid,"Rule of Law (upper bound, V-Dem)"
civ_soc_str_vdem_owid,Civil society strength (V-Dem)
civ_soc_str_vdem_low_owid,"Civil society strength (lower bound, V-Dem)"
civ_soc_str_vdem_high_owid,"Civil society strength (upper bound, V-Dem)"
goveffective_vdem_wbgi_owid,"Government effectiveness (World Bank Governance Indicators, V-Dem)"
corruption_cpi_owid,Corruption perceptions (Transparency International)
regime_redux_row_owid,"Political regime (Regimes of the World, reduced, OWID)"
wom_hoe_vdem_owid,Woman head of executive (V-Dem)
regime_imputed_vdem_owid,V-Dem regime information imputed from another country
regime_imputed_country_vdem_owid,Name of the country from which V-Dem regime information was imputed
electdem_exp_row_owid,"Experience with electoral democracy (Regimes of the World, OWID)"
libdem_exp_row_owid,"Experience with liberal democracy (Regimes of the World, OWID)"
wom_parl_gr_vdem_owid,"Women's political representation (grouped, V-Dem, OWID)"
number_closedaut_row_owid,"Number of closed autocracies (RoW, OWID)"
number_electaut_row_owid,"Number of electoral autocracies (RoW, OWID)"
number_electdem_row_owid,"Number of electoral democracies (RoW, OWID)"
number_libdem_row_owid,"Number of liberal democracies (RoW, OWID)"
number_closedaut_amb_row_owid,"Number of closed autocracies (ambig. RoW, OWID)"
number_closedaut_h_amb_row_owid,"Number of closed, maybe electoral, autocracies (ambig. RoW, OWID)"
number_electaut_l_amb_row_owid,"Number of electoral, maybe closed, autocracies (ambig. RoW, OWID)"
number_electaut_amb_row_owid,"Number of electoral autocracies (ambig. RoW, OWID)"
number_electaut_h_amb_row_owid,"Number of electoral autocracies that may be electoral democracies (ambig. RoW, O"
number_electdem_l_amb_row_owid,"Number of electoral democracies that may be electoral autocracies (ambig. RoW, O"
number_electdem_amb_row_owid,"Number of electoral democracies (ambig. RoW, OWID)"
number_electdem_h_amb_row_owid,"Number of electoral, maybe liberal, democracies (ambig. RoW, OWID)"
number_libdem_l_amb_row_owid,"Number of liberal, maybe electoral, democracies (ambig. RoW, OWID)"
number_libdem_amb_row_owid,"Number of liberal democracies (ambig. RoW, OWID)"
number_electdem_18_row_owid,"Number of electoral democracies aged 1-18 years (RoW, OWID)"
number_electdem_30_row_owid,"Number of electoral democracies aged 19-30 years (RoW, OWID)"
number_electdem_60_row_owid,"Number of electoral democracies aged 31-60 years (RoW, OWID)"
number_electdem_90_row_owid,"Number of electoral democracies aged 61-90 years (RoW, OWID)"
number_electdem_91plus_row_owid,"Number of electoral democracies aged 91 years or older (RoW, OWID)"
number_libdem_18_row_owid,"Number of liberal democracies aged 1-18 years (RoW, OWID)"
number_libdem_30_row_owid,"Number of liberal democracies aged 19-30 years (RoW, OWID)"
number_libdem_60_row_owid,"Number of liberal democracies aged 31-60 years (RoW, OWID)"
number_libdem_90_row_owid,"Number of liberal democracies aged 61-90 years (RoW, OWID)"
number_libdem_91plus_row_owid,"Number of liberal democracies aged 91 years or older (RoW, OWID)"
number_nowomen_vdem_owid,"Number of countries with no women in parliament (V-Dem, OWID)"
number_less10women_vdem_owid,"Number of countries with 0-10% women in parliament (V-Dem, OWID)"
number_less20women_vdem_owid,"Number of countries with 10-20% women in parliament (V-Dem, OWID)"
number_less30women_vdem_owid,"Number of countries with 20-30% women in parliament (V-Dem, OWID)"
number_less40women_vdem_owid,"Number of countries with 30-40% women in parliament (V-Dem, OWID)"
number_less50women_vdem_owid,"Number of countries with 40-50% women in parliament (V-Dem, OWID)"
number_more50women_vdem_owid,"Number of countries with more than 50% women in parliament (V-Dem, OWID)"
number_hog_men_vdem_owid,Number of countries in which head of government is a woman (V-Dem)
number_hog_women_vdem_owid,Number of countries in which head of government is a man (V-Dem)
number_hos_men_vdem_owid,Number of countries in which head of state is a woman (V-Dem)
number_hos_women_vdem_owid,Number of countries in which head of state is a man (V-Dem)
number_hoe_men_vdem_owid,Number of countries in which chief executive is a woman (V-Dem)
number_hoe_women_vdem_owid,Number of countries in which chief executive is a man (V-Dem)
pop_closedaut_row_owid,"People living in closed autocracies (RoW, OWID)"
pop_electaut_row_owid,"People living in electoral autocracies (RoW, OWID)"
pop_electdem_row_owid,"People living in electoral democracies (RoW, OWID)"
pop_libdem_row_owid,"People living in liberal democracies (RoW, OWID)"
pop_missreg_row_owid,"People living in countries without regime data (RoW, OWID)"
pop_closedaut_amb_row_owid,"People living in closed autocracies (ambig. RoW, OWID)"
pop_closedaut_h_amb_row_owid,"People living in closed, maybe electoral, autocracies (ambig. RoW, OWID)"
pop_electaut_l_amb_row_owid,"People living in electoral, maybe closed, autocracies (ambig. RoW, OWID)"
pop_electaut_amb_row_owid,"People living in electoral autocracies (ambig. RoW, OWID)"
pop_electaut_h_amb_row_owid,People living in electoral autocracies that may be electoral democracies (ambig.
pop_electdem_l_amb_row_owid,People living in electoral democracies that may be electoral autocracies (ambig.
pop_electdem_amb_row_owid,"People living in electoral democracies (ambig. RoW, OWID)"
pop_electdem_h_amb_row_owid,"People living in electoral, maybe liberal, democracies (ambig. RoW, OWID)"
pop_libdem_l_amb_row_owid,"People living in liberal, maybe electoral, democracies (ambig. RoW, OWID)"
pop_libdem_amb_row_owid,"People living in liberal democracies (ambig. RoW, OWID)"
pop_electdem_18_row_owid,"People living in electoral democracies aged 1-18 years (RoW, OWID)"
pop_electdem_30_row_owid,"People living in electoral democracies aged 19-30 years (RoW, OWID)"
pop_electdem_60_row_owid,"People living in electoral democracies aged 31-60 years (RoW, OWID)"
pop_electdem_90_row_owid,"People living in electoral democracies aged 61-90 years (RoW, OWID)"
pop_electdem_91plus_row_owid,"People living in electoral democracies aged 91 years or older (RoW, OWID)"
pop_libdem_18_row_owid,"People living in liberal democracies aged 1-18 years (RoW, OWID)"
pop_libdem_30_row_owid,"People living in liberal democracies aged 19-30 years (RoW, OWID)"
pop_libdem_60_row_owid,"People living in liberal democracies aged 31-60 years (RoW, OWID)"
pop_libdem_90_row_owid,"People living in liberal democracies aged 61-90 years (RoW, OWID)"
pop_libdem_91plus_row_owid,"People living in liberal democracies aged 91 years or older (RoW, OWID)"
pop_hog_men_vdem_owid,People living in countries in which head of government is a woman (V-Dem)
pop_hog_women_vdem_owid,People living in countries in which head of government is a man (V-Dem)
pop_hog_missgen_vdem_owid,People living in countries without data on head of government's gender (V-Dem)
pop_hos_men_vdem_owid,People living in countries in which head of state is a woman (V-Dem)
pop_hos_women_vdem_owid,People living in countries in which head of state is a man (V-Dem)
pop_hos_missgen_vdem_owid,People living in countries without data on head of state's gender (V-Dem)
pop_hoe_men_vdem_owid,People living in countries in which chief executive is a woman (V-Dem)
pop_hoe_women_vdem_owid,People living in countries in which chief executive is a man (V-Dem)
pop_hoe_missgen_vdem_owid,People living in countries without data on chief executive's gender (V-Dem)
popw_electdem_vdem_owid,"Electoral democracy (V-Dem, population-weighted)"
popw_electdem_l_vdem_owid,"Electoral democracy (lower bound, pop-weighted, V-Dem)"
popw_electdem_h_vdem_owid,"Electoral democracy (upper bound, pop-weighted, V-Dem)"
popw_libdem_vdem_owid,"Liberal democracy (V-Dem, population-weighted)"
popw_libdem_l_vdem_owid,"Liberal democracy (lower bound, pop-weighted, V-Dem)"
popw_libdem_h_vdem_owid,"Liberal democracy (upper bound, pop-weighted, V-Dem)"
popw_participdem_vdem_owid,"Participatory democracy (V-Dem, population-weighted)"
popw_participdem_l_vdem_owid,"Participatory democracy (lower bound, pop-weighted, V-Dem)"
popw_participdem_h_vdem_owid,"Participatory democracy (upper bound, pop-weighted, V-Dem)"
popw_delibdem_vdem_owid,"Deliberative democracy (V-Dem, population-weighted)"
popw_delibdem_l_vdem_owid,"Deliberative democracy (lower bound, pop-weighted, V-Dem)"
popw_delibdem_h_vdem_owid,"Deliberative democracy (upper bound, pop-weighted, V-Dem)"
popw_egaldem_vdem_owid,"Egalitarian democracy (V-Dem, population-weighted)"
popw_egaldem_l_vdem_owid,"Egalitarian democracy (lower bound, pop-weighted, V-Dem)"
popw_egaldem_h_vdem_owid,"Egalitarian democracy (upper bound, pop-weighted, V-Dem)"
popw_civ_libs_vdem_owid,"Civil liberties (V-Dem, population-weighted)"
popw_civ_libs_vdem_high_owid,"Civil liberties (upper bound, pop-weighted, V-Dem)"
popw_civ_libs_vdem_low_owid,"Civil liberties (lower bound, pop-weighted, V-Dem)"
popw_physinteg_libs_vdem_owid,"Physical integrity liberties (V-Dem, population-weighted)"
popw_physinteg_libs_vdem_h_owid,"Physical integrity liberties (upper bound, pop-weighted, V-Dem)"
popw_physinteg_libs_vdem_l_owid,"Physical integrity liberties (lower bound, pop-weighted, V-Dem)"
popw_pol_libs_vdem_owid,"Political civil liberties (V-Dem, population-weighted)"
popw_pol_libs_vdem_high_owid,"Political civil liberties (upper bound, pop-weighted, V-Dem)"
popw_pol_libs_vdem_low_owid,"Political civil liberties (lower bound, pop-weighted, V-Dem)"
popw_priv_libs_vdem_owid,"Private civil liberties (V-Dem, population-weighted)"
popw_priv_libs_vdem_high_owid,"Private civil liberties (upper bound, pop-weighted, V-Dem)"
popw_priv_libs_vdem_low_owid,"Private civil liberties (lower bound, pop-weighted, V-Dem)"
popw_wom_emp_vdem_owid,"Women's political empowerment (V-Dem, population-weighted)"
popw_wom_emp_vdem_high_owid,"Women's political empowerment (upper bound, pop-weighted, V-Dem)"
popw_wom_emp_vdem_low_owid,"Women's political empowerment (lower bound, pop-weighted, V-Dem)"
popw_wom_civ_libs_vdem_owid,"Women's civil rights (V-Dem, population-weighted)"
popw_wom_civ_libs_vdem_high_owid,"Women's civil rights (upper bound, pop-weighted, V-Dem)"
popw_wom_civ_libs_vdem_low_owid,"Women's civil rights (lower bound, pop-weighted, V-Dem)"
popw_wom_civ_soc_vdem_owid,"Women's civil society partipation (V-Dem, population-weighted)"
popw_wom_civ_soc_vdem_high_owid,"Women's civil society partipation (upper bound, pop-weighted, V-Dem)"
popw_wom_civ_soc_vdem_low_owid,"Women's civil society partipation (lower bound, pop-weighted, V-Dem)"
popw_wom_pol_par_vdem_owid,"Women's political partipation (V-Dem, population-weighted)"
popw_wom_pol_par_vdem_high_owid,"Women's political partipation (upper bound, pop-weighted, V-Dem)"
popw_wom_pol_par_vdem_low_owid,"Women's political partipation (lower bound, pop-weighted, V-Dem)"
popw_wom_parl_vdem_owid,"Women in parliament (V-Dem, population-weighted)"
popw_socgr_civ_libs_vdem_owid,"Equality of civil liberties across social groups (V-Dem, population-weighted)"
popw_socgr_civ_libs_vdem_h_owid,"Equality of civil liberties across social groups (upper bound, pop-weighted, V-D"
popw_socgr_civ_libs_vdem_l_owid,"Equality of civil liberties across social groups (lower bound, pop-weighted, V-D"
popw_socgr_pow_vdem_owid,"Equality of political power across social groups (V-Dem, population-weighted)"
popw_socgr_pow_vdem_high_owid,"Equality of political power across social groups (upper bound, pop-weighted V-De"
popw_socgr_pow_vdem_low_owid,"Equality of political power across social groups (upper bound, pop-weighted V-De"
popw_terr_contr_vdem_owid,"Territory under state control (V-Dem, population-weighted)"
popw_terr_contr_vdem_high_owid,"Territory under state control (upper bound, pop-weighted, V-Dem)"
popw_terr_contr_vdem_low_owid,"Territory under state control (lower bound, pop-weighted, V-Dem)"
popw_rule_of_law_vdem_owid,"Rule of Law (V-Dem, population-weighted)"
popw_rule_of_law_vdem_high_owid,"Rule of Law (upper bound, pop-weighted, V-Dem)"
popw_rule_of_law_vdem_low_owid,"Rule of Law (lower bound, pop-weighted, V-Dem)"
popw_public_admin_vdem_owid,"Rigorous and impartial public administration (V-Dem, population-weighted)"
popw_public_admin_vdem_high_owid,"Rigorous and impartial public administration (upper bound, pop-weighted, V-Dem)"
popw_public_admin_vdem_low_owid,"Rigorous and impartial public administration (lower bound, pop-weighted, V-Dem)"
popw_int_auton_vdem_owid,"Foreign policymaking free from foreign influence (V-Dem, population-weighted)"
popw_int_auton_vdem_high_owid,"Foreign policymaking free from foreign influence (upper bound, pop-weighted, V-D"
popw_int_auton_vdem_low_owid,"Foreign policymaking free from foreign influence (lower bound, pop-weighted, V-D"
popw_dom_auton_vdem_owid,"Domestic policymaking free from foreign influence (V-Dem, population-weighted)"
popw_dom_auton_vdem_high_owid,"Domestic policymaking free from foreign influence (upper bound, pop-weighted, V-"
popw_dom_auton_vdem_low_owid,"Domestic policymaking free from foreign influence (upper bound, pop-weighted, V-"
popw_corruption_vdem_owid,"Political corruption (V-Dem, population-weighted)"
popw_corruption_vdem_high_owid,"Political corruption (upper bound, pop-weighted, V-Dem)"
popw_corruption_vdem_low_owid,"Political corruption (lower bound, pop-weighted, V-Dem)"
popw_corr_publsec_vdem_owid,"Public sector corruption (V-Dem, population-weighted)"
popw_corr_publsec_vdem_high_owid,"Public sector corruption (upper bound, pop-weighted, V-Dem)"
popw_corr_publsec_vdem_low_owid,"Public sector corruption (lower bound, pop-weighted, V-Dem)"
popw_corr_exec_vdem_owid,"Executive corruption (V-Dem, population-weighted)"
popw_corr_exec_vdem_high_owid,"Executive corruption (upper bound, pop-weighted, V-Dem)"
popw_corr_exec_vdem_low_owid,"Executive corruption (lower bound, pop-weighted, V-Dem)"
popw_corr_leg_vdem_owid,"Legislative corruption (V-Dem, population-weighted)"
popw_corr_leg_vdem_high_owid,"Legislative corruption (upper bound, pop-weighted, V-Dem)"
popw_corr_leg_vdem_low_owid,"Legislative corruption (lower bound, pop-weighted, V-Dem)"
popw_corr_jud_vdem_owid,"Judicial corruption (V-Dem, population-weighted)"
popw_corr_jud_vdem_high_owid,"Judicial corruption (upper bound, pop-weighted, V-Dem)"
popw_corr_jud_vdem_low_owid,"Judicial corruption (upper bound, pop-weighted, V-Dem)"
popw_personalism_vdem_owid,"Personalism (V-Dem, population-weighted)"
popw_personalism_vdem_high_owid,"Personalism (upper bound, pop-weighted, V-Dem)"
popw_personalism_vdem_low_owid,"Personalism (lower bound, pop-weighted, V-Dem)"
popw_civ_soc_str_vdem_owid,"Civil society strength (V-Dem, population-weighted)"
popw_civ_soc_str_vdem_high_owid,"Civil society strength (upper bound, pop-weighted, V-Dem)"
popw_civ_soc_str_vdem_low_owid,"Civil society strength (lower bound, pop-weighted, V-Dem)"
region,Region
