"Region","Year","PovRateAt30DAD"
"South and South-East Asia",1847,0.999979688602441
"Sub-Saharan Africa",1847,0.999992783423179
"W. Europe",1847,0.998146929393081
"W. Offshoots",1847,0.99696206831123
"World",1847,0.999584806987852
"East Asia",1848,0.999998805698554
"East. Europe and form. SU",1848,0.999492988879242
"Latin America and Carib.",1848,0.999821475375241
"MENA",1848,0.999709440268583
"South and South-East Asia",1848,0.999979709646211
"Sub-Saharan Africa",1848,0.999993021497352
"W. Europe",1848,0.998381213420028
"W. Offshoots",1848,0.996914287791217
"World",1848,0.999621660718788
"East Asia",1849,0.999998852237492
"East. Europe and form. SU",1849,0.999492932550699
"Latin America and Carib.",1849,0.999825885108419
"MENA",1849,0.999708727974727
"South and South-East Asia",1849,0.999979730822522
"Sub-Saharan Africa",1849,0.999993258938079
"W. Europe",1849,0.998138134193153
"W. Offshoots",1849,0.997406739021115
"World",1849,0.999592554794064
"East Asia",1850,0.999998898775548
"East. Europe and form. SU",1850,0.999492881039893
"Latin America and Carib.",1850,0.999833415897259
"MENA",1850,0.999708148882517
"South and South-East Asia",1850,0.999979752031085
"Sub-Saharan Africa",1850,0.999993495968865
"W. Europe",1850,0.998103195779349
"W. Offshoots",1850,0.997622797150356
"World",1850,0.999591255433835
"East Asia",1851,0.999998861031892
"East. Europe and form. SU",1851,0.999494431282842
"Latin America and Carib.",1851,0.999806637452382
"MENA",1851,0.999707474844889
"South and South-East Asia",1851,0.99997974636616
"Sub-Saharan Africa",1851,0.999993724379282
"W. Europe",1851,0.997853690246933
"W. Offshoots",1851,0.996805445040199
"World",1851,0.99952533980649
"East Asia",1852,0.99999882258573
"East. Europe and form. SU",1852,0.999495962784197
"Latin America and Carib.",1852,0.999792904611067
"MENA",1852,0.999706824152203
"South and South-East Asia",1852,0.999980185568393
"Sub-Saharan Africa",1852,0.999993948673885
"W. Europe",1852,0.997487087832575
"W. Offshoots",1852,0.995716117958686
"World",1852,0.999430320635519
"East Asia",1853,0.999998783444664
"East. Europe and form. SU",1853,0.999497543502983
"Latin America and Carib.",1853,0.999762684842767
"MENA",1853,0.999706166538546
"South and South-East Asia",1853,0.999980623514164
"Sub-Saharan Africa",1853,0.999994168781418
"W. Europe",1853,0.99772165602271
"W. Offshoots",1853,0.994159428451339
"World",1853,0.999418416946593
"East Asia",1854,0.999998743551049
"East. Europe and form. SU",1854,0.999499014856994
"Latin America and Carib.",1854,0.999735503570103
"MENA",1854,0.999705536230726
"South and South-East Asia",1854,0.999981060468575
"Sub-Saharan Africa",1854,0.999994384459914
"W. Europe",1854,0.997597730054236
"W. Offshoots",1854,0.99375226544586
"World",1854,0.999378572106686
"East Asia",1855,0.999998702914094
"East. Europe and form. SU",1855,0.999500455290532
"Latin America and Carib.",1855,0.999704462319908
"MENA",1855,0.999704923284448
"South and South-East Asia",1855,0.999981496309941
"Sub-Saharan Africa",1855,0.999994596548343
"W. Europe",1855,0.997583317326738
"W. Offshoots",1855,0.993737171058246
"World",1855,0.99936713571291
"East Asia",1856,0.999998661569808
"East. Europe and form. SU",1856,0.999501871420626
"Latin America and Carib.",1856,0.999691220113891
"MENA",1856,0.999704321732353
"South and South-East Asia",1856,0.999981931911145
"Sub-Saharan Africa",1856,0.999994804442224
"W. Europe",1856,0.997217331430742
"W. Offshoots",1856,0.992674159943647
"World",1856,0.999264789821637
"East Asia",1857,0.999998619413893
"East. Europe and form. SU",1857,0.999502340476806
"Latin America and Carib.",1857,0.999631847619588
"MENA",1857,0.99970372014707
"South and South-East Asia",1857,0.999982366547746
"Sub-Saharan Africa",1857,0.999995008776353
"W. Europe",1857,0.996766365850703
"W. Offshoots",1857,0.992800864777347
"World",1857,0.99918202435703
"East Asia",1858,0.999998576542423
"East. Europe and form. SU",1858,0.999503602959729
"Latin America and Carib.",1858,0.999628042234935
"MENA",1858,0.999703260477171
"South and South-East Asia",1858,0.999982800133622
"Sub-Saharan Africa",1858,0.999995209642738
"W. Europe",1858,0.996619403844975
"W. Offshoots",1858,0.992383964628912
"World",1858,0.999133998192677
"East Asia",1859,0.999998532830594
"East. Europe and form. SU",1859,0.999503256478268
"Latin America and Carib.",1859,0.999609118356002
"MENA",1859,0.999702699833263
"South and South-East Asia",1859,0.999983232392815
"Sub-Saharan Africa",1859,0.999995406800167
"W. Europe",1859,0.996359764926189
"W. Offshoots",1859,0.991083856395326
"World",1859,0.999035671107671
"East Asia",1860,0.999998488385711
"East. Europe and form. SU",1860,0.999504268577523
"Latin America and Carib.",1860,0.999584087509659
"MENA",1860,0.999702147817702
"South and South-East Asia",1860,0.999983664474617
"Sub-Saharan Africa",1860,0.999995600675417
"W. Europe",1860,0.995966016047714
"W. Offshoots",1860,0.9899791974599
"World",1860,0.998918152397144
"East Asia",1861,0.999998447854612
"East. Europe and form. SU",1861,0.999501947034354
"Latin America and Carib.",1861,0.999567673380025
"MENA",1861,0.999701594438932
"South and South-East Asia",1861,0.999984096051152
"Sub-Saharan Africa",1861,0.99999579087183
"W. Europe",1861,0.99583796205748
"W. Offshoots",1861,0.991003400548039
"World",1861,0.998922474998474
"East Asia",1862,0.999998406752214
"East. Europe and form. SU",1862,0.999502965837239
"Latin America and Carib.",1862,0.99953702385366
"MENA",1862,0.999701060031962
"South and South-East Asia",1862,0.999984429567787
"Sub-Saharan Africa",1862,0.999995970328761
"W. Europe",1862,0.995429055702718
"W. Offshoots",1862,0.990820765954235
"World",1862,0.99883421810314
"East Asia",1863,0.999998365129916
"East. Europe and form. SU",1863,0.999504107646953
"Latin America and Carib.",1863,0.999477312474324
"MENA",1863,0.999700550508457
"South and South-East Asia",1863,0.999984762922986
"Sub-Saharan Africa",1863,0.999996154524156
"W. Europe",1863,0.993940997293308
"W. Offshoots",1863,0.989742537395573
"World",1863,0.998524301931269
"East Asia",1864,0.999998322970481
"East. Europe and form. SU",1864,0.999505175258867
"Latin America and Carib.",1864,0.999456211847448
"MENA",1864,0.999700043027356
"South and South-East Asia",1864,0.999985095826286
"Sub-Saharan Africa",1864,0.999996335457783
"W. Europe",1864,0.993946375994155
"W. Offshoots",1864,0.989281877365751
"World",1864,0.998494617820385
"East Asia",1865,0.999998280240011
"East. Europe and form. SU",1865,0.999504696957032
"Latin America and Carib.",1865,0.999424316639962
"MENA",1865,0.999699540309361
"South and South-East Asia",1865,0.999985428279775
"Sub-Saharan Africa",1865,0.999996513215389
"W. Europe",1865,0.993777330511917
"W. Offshoots",1865,0.991104718178279
"World",1865,0.998520942592261
"East Asia",1866,0.999998236967355
"East. Europe and form. SU",1866,0.999505639295454
"Latin America and Carib.",1866,0.999374912236213
"MENA",1866,0.999699192585247
"South and South-East Asia",1866,0.999985759412339
"Sub-Saharan Africa",1866,0.999996688175196
"W. Europe",1866,0.993534332185104
"W. Offshoots",1866,0.991568259312628
"World",1866,0.998484689216424
"East Asia",1867,0.999998193098977
"East. Europe and form. SU",1867,0.999504590775853
"Latin America and Carib.",1867,0.999341192257048
"MENA",1867,0.999698726977957
"South and South-East Asia",1867,0.999986090156356
"Sub-Saharan Africa",1867,0.99999686040386
"W. Europe",1867,0.994439383369544
"W. Offshoots",1867,0.990886028927702
"World",1867,0.998605023143096
"East Asia",1868,0.99999814868693
"East. Europe and form. SU",1868,0.999502054847542
"Latin America and Carib.",1868,0.999302258927289
"MENA",1868,0.999698269007624
"South and South-East Asia",1868,0.999986420508246
"Sub-Saharan Africa",1868,0.999997029679041
"W. Europe",1868,0.99400032576785
"W. Offshoots",1868,0.990875019025047
"World",1868,0.998516595642078
"East Asia",1869,0.999998103663313
"East. Europe and form. SU",1869,0.999502824017872
"Latin America and Carib.",1869,0.999200415040385
"MENA",1869,0.999697808690311
"South and South-East Asia",1869,0.999986750475913
"Sub-Saharan Africa",1869,0.999997196217123
"W. Europe",1869,0.993558591409724
"W. Offshoots",1869,0.990305608437547
"World",1869,0.998399350194861
"East Asia",1870,0.99999805808586
"East. Europe and form. SU",1870,0.999503556187767
"Latin America and Carib.",1870,0.999054594001856
"MENA",1870,0.999697378687868
"South and South-East Asia",1870,0.99998723872596
"Sub-Saharan Africa",1870,0.99994395711501
"W. Europe",1870,0.994122353308852
"W. Offshoots",1870,0.99106437102867
"World",1870,0.998523475002833
"East Asia",1871,0.999997936160955
"East. Europe and form. SU",1871,0.999484761904604
"Latin America and Carib.",1871,0.999039247319783
"MENA",1871,0.999689211647219
"South and South-East Asia",1871,0.99998754563898
"Sub-Saharan Africa",1871,0.999942169710116
"W. Europe",1871,0.994121827353956
"W. Offshoots",1871,0.990760264770657
"World",1871,0.998506767441771
"East Asia",1872,0.999997938561166
"East. Europe and form. SU",1872,0.99946477630006
"Latin America and Carib.",1872,0.99900814536519
"MENA",1872,0.999681064910173
"South and South-East Asia",1872,0.999988011364167
"Sub-Saharan Africa",1872,0.999940400635093
"W. Europe",1872,0.993702024027487
"W. Offshoots",1872,0.98936134374551
"World",1872,0.998363220293498
"East Asia",1873,0.999997817744054
"East. Europe and form. SU",1873,0.999443998179009
"Latin America and Carib.",1873,0.999024068589494
"MENA",1873,0.99967289877105
"South and South-East Asia",1873,0.999988312713588
"Sub-Saharan Africa",1873,0.999938685766741
"W. Europe",1873,0.993957259917726
"W. Offshoots",1873,0.98807596098211
"World",1873,0.998340731400808
"East Asia",1874,0.999997820260489
"East. Europe and form. SU",1874,0.99942369199175
"Latin America and Carib.",1874,0.999076378261088
"MENA",1874,0.999664759356538
"South and South-East Asia",1874,0.999988612798816
"Sub-Saharan Africa",1874,0.99993694912568
"W. Europe",1874,0.993449671995364
"W. Offshoots",1874,0.988265119899217
"World",1874,0.998249339254186
"East Asia",1875,0.999996992301412
"East. Europe and form. SU",1875,0.999405842126993
"Latin America and Carib.",1875,0.999167302727995
"MENA",1875,0.999656594185713
"South and South-East Asia",1875,0.999988911323972
"Sub-Saharan Africa",1875,0.99993523158397
"W. Europe",1875,0.993704292566306
"W. Offshoots",1875,0.989363389426878
"World",1875,0.998335134047987
"East Asia",1876,0.999997360533446
"East. Europe and form. SU",1876,0.99938528309133
"Latin America and Carib.",1876,0.9991756795834
"MENA",1876,0.999648440159057
"South and South-East Asia",1876,0.999989207026481
"Sub-Saharan Africa",1876,0.99993352665913
"W. Europe",1876,0.994638853895702
"W. Offshoots",1876,0.98900186404227
"World",1876,0.998471466611087
"East Asia",1877,0.999997099019976
"East. Europe and form. SU",1877,0.999366088847544
"Latin America and Carib.",1877,0.999079781831109
"MENA",1877,0.999640275595244
"South and South-East Asia",1877,0.999989342883641
"Sub-Saharan Africa",1877,0.999931842733905
"W. Europe",1877,0.994859962900627
"W. Offshoots",1877,0.989380770596591
"World",1877,0.998512795369286
"East Asia",1878,0.999997225885569
"East. Europe and form. SU",1878,0.99934738549815
"Latin America and Carib.",1878,0.999218765327341
"MENA",1878,0.999632130627015
"South and South-East Asia",1878,0.999989794124036
"Sub-Saharan Africa",1878,0.999930210871082
"W. Europe",1878,0.994953048112183
"W. Offshoots",1878,0.987961404251464
"World",1878,0.998455490021257
"East Asia",1879,0.999996516196895
"East. Europe and form. SU",1879,0.999328336580771
"Latin America and Carib.",1879,0.999244936780238
"MENA",1879,0.999623976285305
"South and South-East Asia",1879,0.999990084853567
"Sub-Saharan Africa",1879,0.999928549974943
"W. Europe",1879,0.995543440156872
"W. Offshoots",1879,0.984006445188079
"World",1879,0.998356192785478
"East Asia",1880,0.999995916437778
"East. Europe and form. SU",1880,0.999309103412494
"Latin America and Carib.",1880,0.99930395145857
"MENA",1880,0.99961581772844
"South and South-East Asia",1880,0.999990216501916
"Sub-Saharan Africa",1880,0.999926908667974
"W. Europe",1880,0.995084356401128
"W. Offshoots",1880,0.982386101322487
"World",1880,0.998181863681816
"East Asia",1881,0.999996640860885
"East. Europe and form. SU",1881,0.999290619076399
"Latin America and Carib.",1881,0.999341593064146
"MENA",1881,0.999607683331963
"South and South-East Asia",1881,0.999990371296826
"Sub-Saharan Africa",1881,0.999925274017549
"W. Europe",1881,0.994893951295196
"W. Offshoots",1881,0.978406714095932
"World",1881,0.997934313023596
"East Asia",1882,0.999996289983715
"East. Europe and form. SU",1882,0.999274901666377
"Latin America and Carib.",1882,0.998999761077374
"MENA",1882,0.999599533493189
"South and South-East Asia",1882,0.999990481099199
"Sub-Saharan Africa",1882,0.99992369521165
"W. Europe",1882,0.994733163106447
"W. Offshoots",1882,0.977482690995501
"World",1882,0.997828878082592
"East Asia",1883,0.999997168606662
"East. Europe and form. SU",1883,0.999259574697151
"Latin America and Carib.",1883,0.998782924804097
"MENA",1883,0.999591363599441
"South and South-East Asia",1883,0.999990734220961
"Sub-Saharan Africa",1883,0.999922092022
"W. Europe",1883,0.994766713553467
"W. Offshoots",1883,0.977148676726635
"World",1883,0.99779181769599
"East Asia",1884,0.999997922026756
"East. Europe and form. SU",1884,0.999245835108781
"Latin America and Carib.",1884,0.998711366831246
"MENA",1884,0.999583224288646
"South and South-East Asia",1884,0.999991133897882
"Sub-Saharan Africa",1884,0.999920497226294
"W. Europe",1884,0.995157375662957
"W. Offshoots",1884,0.979208513892429
"World",1884,0.997948684117748
"East Asia",1885,0.999998521568174
"East. Europe and form. SU",1885,0.999232291410293
"Latin America and Carib.",1885,0.998294361625152
"MENA",1885,0.999575070719456
"South and South-East Asia",1885,0.999991223781158
"Sub-Saharan Africa",1885,0.999918913615442
"W. Europe",1885,0.99528238107146
"W. Offshoots",1885,0.981505874956884
"World",1885,0.998061341474961
"East Asia",1886,0.999999293745409
"East. Europe and form. SU",1886,0.999219514905957
"Latin America and Carib.",1886,0.998423468315197
"MENA",1886,0.999566924484319
"South and South-East Asia",1886,0.999992078216368
"Sub-Saharan Africa",1886,0.999917337510886
"W. Europe",1886,0.995136991107882
"W. Offshoots",1886,0.980624695196294
"World",1886,0.997978942637078
"East Asia",1887,0.999999296223282
"East. Europe and form. SU",1887,0.999207858036674
"Latin America and Carib.",1887,0.99845349639117
"MENA",1887,0.999558767773336
"South and South-East Asia",1887,0.999991723670234
"Sub-Saharan Africa",1887,0.999915821776012
"W. Europe",1887,0.99545383509103
"W. Offshoots",1887,0.97802073811193
"World",1887,0.997878051580062
"East Asia",1888,0.999999474740066
"East. Europe and form. SU",1888,0.999195744253736
"Latin America and Carib.",1888,0.997976642147268
"MENA",1888,0.999550629671958
"South and South-East Asia",1888,0.999992157025487
"Sub-Saharan Africa",1888,0.999914270079837
"W. Europe",1888,0.995216850734627
"W. Offshoots",1888,0.97620920684526
"World",1888,0.997700384862789
"East Asia",1889,0.999999535222898
"East. Europe and form. SU",1889,0.9991840313024
"Latin America and Carib.",1889,0.997972183066105
"MENA",1889,0.999542477714898
"South and South-East Asia",1889,0.999992900976456
"Sub-Saharan Africa",1889,0.999912724765884
"W. Europe",1889,0.995367870875703
"W. Offshoots",1889,0.977642306039049
"World",1889,0.997790526341557
"East Asia",1890,0.999999653349577
"East. Europe and form. SU",1890,0.999173149573048
"Latin America and Carib.",1890,0.998507474631838
"MENA",1890,0.999534331493297
"South and South-East Asia",1890,0.999992587916447
"Sub-Saharan Africa",1890,0.999911195621078
"W. Europe",1890,0.995402522922153
"W. Offshoots",1890,0.974216569294871
"World",1890,0.997606586335669
"East Asia",1891,0.999999493783366
"East. Europe and form. SU",1891,0.999156397493585
"Latin America and Carib.",1891,0.998648490570783
"MENA",1891,0.999526173377258
"South and South-East Asia",1891,0.999992336719074
"Sub-Saharan Africa",1891,0.999909389015955
"W. Europe",1891,0.995236860211585
"W. Offshoots",1891,0.973973172574883
"World",1891,0.997547523870336
"East Asia",1892,0.999999220911269
"East. Europe and form. SU",1892,0.999138491234598
"Latin America and Carib.",1892,0.997992111565798
"MENA",1892,0.999517787776681
"South and South-East Asia",1892,0.99999191436813
"Sub-Saharan Africa",1892,0.99990783358943
"W. Europe",1892,0.995230997352435
"W. Offshoots",1892,0.971407308625656
"World",1892,0.9973478605994
"East Asia",1893,0.999999042280283
"East. Europe and form. SU",1893,0.999125827504699
"Latin America and Carib.",1893,0.99772190044122
"MENA",1893,0.999509643482057
"South and South-East Asia",1893,0.999991365271403
"Sub-Saharan Africa",1893,0.99990614374569
"W. Europe",1893,0.994807341041065
"W. Offshoots",1893,0.976600316748347
"World",1893,0.997548347155339
"East Asia",1894,0.999998206276144
"East. Europe and form. SU",1894,0.999113347719299
"Latin America and Carib.",1894,0.996864683620338
"MENA",1894,0.999501494988207
"South and South-East Asia",1894,0.999990937056938
"Sub-Saharan Africa",1894,0.999904472884063
"W. Europe",1894,0.994388796820779
"W. Offshoots",1894,0.98002632364422
"World",1894,0.997625546631205
"East Asia",1895,0.999997797440709
"East. Europe and form. SU",1895,0.999100107932492
"Latin America and Carib.",1895,0.996121206778373
"MENA",1895,0.999493332517366
"South and South-East Asia",1895,0.999990468832204
"Sub-Saharan Africa",1895,0.999901455932403
"W. Europe",1895,0.993821535700978
"W. Offshoots",1895,0.972609858696818
"World",1895,0.9970274843273
"East Asia",1896,0.999998045584102
"East. Europe and form. SU",1896,0.99908742735439
"Latin America and Carib.",1896,0.995411618250146
"MENA",1896,0.999485203273321
"South and South-East Asia",1896,0.999989883929133
"Sub-Saharan Africa",1896,0.999899001176976
"W. Europe",1896,0.993013676039751
"W. Offshoots",1896,0.973824958600602
"World",1896,0.996907671043272
"East Asia",1897,0.999997709299404
"East. Europe and form. SU",1897,0.99907437846018
"Latin America and Carib.",1897,0.997264898598488
"MENA",1897,0.999477045804951
"South and South-East Asia",1897,0.999989066914232
"Sub-Saharan Africa",1897,0.999898321586165
"W. Europe",1897,0.992222005610473
"W. Offshoots",1897,0.97175130113112
"World",1897,0.996697966297362
"East Asia",1898,0.999994328057426
"East. Europe and form. SU",1898,0.999061630737177
"Latin America and Carib.",1898,0.996872397409227
"MENA",1898,0.999468900390377
"South and South-East Asia",1898,0.999988343932721
"Sub-Saharan Africa",1898,0.999876310090074
"W. Europe",1898,0.991426179281047
"W. Offshoots",1898,0.963957545165665
"World",1898,0.996028419982896
"East Asia",1899,0.999995887086372
"East. Europe and form. SU",1899,0.999047990514616
"Latin America and Carib.",1899,0.995653207444551
"MENA",1899,0.999460729924379
"South and South-East Asia",1899,0.999987619003504
"Sub-Saharan Africa",1899,0.999884302984962
